FileName: C:\GULFNE~1\GP081R2.TXT
Local Time: Wed Sep 17 15:09:13 2003

Ship: MarcoMichel Trip: 002gulf Tow: gp081r2
Comments: Zone 12, nord de pei 
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
030917  180918  46  46.4460 N  62  46.6380 W   2.6        3.3*       2.3*       3.6*      23.8*
030917  180920  46  46.4470 N  62  46.6360 W   2.9        3.3        2.3        3.6       23.8 
030917  180922  46  46.4480 N  62  46.6350 W   2.7        3.3        2.3        3.6       23.8 
030917  180924  46  46.4490 N  62  46.6330 W   3.0        3.3        2.3        3.6       23.8 
030917  180926  46  46.4500 N  62  46.6320 W   2.9        3.3        2.3        3.6       23.8 
030917  180928  46  46.4520 N  62  46.6300 W   3.0        3.3        2.3        3.6       23.8 
030917  180930  46  46.4530 N  62  46.6280 W   3.1        3.3        2.3        3.6       23.8 
030917  180932  46  46.4540 N  62  46.6260 W   3.4        3.3        2.3        3.6       23.8 
030917  180934  46  46.4560 N  62  46.6240 W   3.3        3.3        2.3        3.6       23.8 
030917  180936  46  46.4570 N  62  46.6230 W   3.8        3.3        2.3        3.6       23.8 
030917  180938  46  46.4590 N  62  46.6210 W   4.0        3.3        2.3        3.6       23.8 
030917  180940  46  46.4610 N  62  46.6190 W   4.5        3.3        2.3        3.6       23.8 
030917  180942  46  46.4620 N  62  46.6160 W   5.1        3.3        2.3        3.6       23.8 
030917  180944  46  46.4650 N  62  46.6130 W   5.7        3.3        2.3        3.6       23.8 
030917  180946  46  46.4670 N  62  46.6100 W   5.9        3.3        2.3        3.6       23.8 
030917  180948  46  46.4700 N  62  46.6070 W   6.5        3.3        2.3        3.6       23.8 
030917  180951  46  46.4740 N  62  46.6020 W   6.9        3.3        2.3        3.6       23.8 
030917  180952  46  46.4760 N  62  46.5990 W   7.0        3.3        2.3        3.6       23.8 
030917  180954  46  46.4790 N  62  46.5960 W   7.1        3.3        2.3        3.6       23.8 
030917  180956  46  46.4820 N  62  46.5920 W   7.1        3.3        2.3        3.6       23.8 
030917  180958  46  46.4850 N  62  46.5890 W   6.8        3.3        2.3        3.6       23.8 
030917  181001  46  46.4890 N  62  46.5840 W   5.7        3.3        2.3        3.6       23.8 
030917  181002  46  46.4900 N  62  46.5830 W   5.5        3.3        2.3        3.6       23.8 
030917  181004  46  46.4920 N  62  46.5800 W   5.0        3.3        2.3        3.6       23.8 
030917  181006  46  46.4940 N  62  46.5780 W   4.4        3.3        2.3        3.6       23.8 
030917  181008  46  46.4960 N  62  46.5760 W   4.3        3.3        2.3        3.6       23.8 
030917  181011  46  46.4980 N  62  46.5730 W   3.7        3.3        2.3        3.6       23.8 
030917  181012  46  46.4990 N  62  46.5720 W   3.7        3.3        2.3        3.6       23.8 
030917  181014  46  46.5010 N  62  46.5700 W   3.5        3.3        2.3        3.6       23.8 
030917  181016  46  46.5020 N  62  46.5680 W   3.5        3.3        2.3        3.6       23.8 
030917  181019  46  46.5040 N  62  46.5660 W   3.2        3.3        2.3        3.6       23.8 
030917  181021  46  46.5060 N  62  46.5640 W   3.1        3.3        2.3        3.6       23.8 
030917  181022  46  46.5060 N  62  46.5630 W   2.6        3.3        2.3        3.6       23.8 
030917  181024  46  46.5070 N  62  46.5630 W   3.1        3.3        2.3        5.1*      23.8 
030917  181027  46  46.5090 N  62  46.5600 W   2.8        3.3        2.3        5.1       23.8 
030917  181028  46  46.5100 N  62  46.5600 W   2.7        3.3        2.3        5.1       23.8 
030917  181031  46  46.5110 N  62  46.5570 W   2.5        3.3        2.3        3.6*      23.8 
030917  181032  46  46.5120 N  62  46.5570 W   2.3        3.3        2.3        3.6       23.8 
030917  181035  46  46.5140 N  62  46.5540 W   3.2        3.3       13.6*       5.5*      23.8 
030917  181037  46  46.5150 N  62  46.5520 W   3.6        3.3       13.6        5.5       23.8 
030917  181039  46  46.5170 N  62  46.5500 W   4.6        3.3       13.6        5.5       23.8 
030917  181041  46  46.5190 N  62  46.5480 W   5.0        3.3        2.3*       5.5       23.8 
030917  181043  46  46.5210 N  62  46.5450 W   5.1        3.3        2.3        5.5       23.8 
030917  181045  46  46.5230 N  62  46.5420 W   5.9        3.3        2.3        5.5       23.8 
030917  181047  46  46.5250 N  62  46.5390 W   6.1        3.3        2.3        5.5       23.8 
030917  181048  46  46.5270 N  62  46.5370 W   6.2        3.3        2.3        5.5       23.8 
030917  181051  46  46.5310 N  62  46.5320 W   6.7        3.3        2.3        5.5       23.8 
030917  181053  46  46.5330 N  62  46.5280 W   6.9        3.3        2.3        5.5       23.8 
030917  181055  46  46.5360 N  62  46.5240 W   7.1        3.3        2.3        5.5       23.8 
030917  181057  46  46.5390 N  62  46.5200 W   6.7        3.3        2.3        5.5       23.8 
030917  181059  46  46.5420 N  62  46.5170 W   7.4        3.3        2.3        5.5       23.8 
030917  181101  46  46.5450 N  62  46.5120 W   6.9        3.3        2.3        5.5       23.8 
030917  181103  46  46.5480 N  62  46.5090 W   7.4        3.3        2.3        5.5       23.8 
030917  181105  46  46.5510 N  62  46.5050 W   6.9        3.3        2.3        5.5       23.8 
030917  181107  46  46.5540 N  62  46.5020 W   7.1        3.3        2.3        5.5       23.8 
030917  181109  46  46.5570 N  62  46.4980 W   7.2        3.3        2.3        5.5       23.8 
030917  181111  46  46.5600 N  62  46.4940 W   7.2        3.3        2.3        5.5       23.8 
030917  181113  46  46.5630 N  62  46.4910 W   7.3        3.3        2.3        5.5       23.8 
030917  181115  46  46.5660 N  62  46.4860 W   7.2        3.3        2.3        5.5       23.8 
030917  181117  46  46.5690 N  62  46.4830 W   7.3        3.3        2.3        5.5       23.8 
030917  181119  46  46.5720 N  62  46.4790 W   7.3        3.3        2.3        5.5       23.8 
030917  181121  46  46.5760 N  62  46.4760 W   7.4        3.3        2.3        5.5       23.8 
030917  181123  46  46.5790 N  62  46.4720 W   7.4        3.3        2.3        5.5       23.8 
