FileName: C:\GULFNE~1\GP135R.TXT
Local Time: Sun Sep 07 07:44:25 2003

Ship: MarcoMichel Trip: 002gulf Tow: gp135r
Comments: Zone 12, Secteur du banc de l'orphelin
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
030907  104425  48  22.2170 N  62  47.8760 W   7.2        3.4*       2.4*       3.5*       8.4*
030907  104427  48  22.2160 N  62  47.8700 W   7.7        3.4        2.4        3.5        8.4 
030907  104429  48  22.2140 N  62  47.8640 W   8.0        3.4        2.4        3.5        8.4 
030907  104431  48  22.2120 N  62  47.8570 W   8.1        3.4        2.4        3.5        8.4 
030907  104433  48  22.2110 N  62  47.8500 W   8.1        3.4        2.4        3.5        8.4 
030907  104435  48  22.2100 N  62  47.8430 W   8.0        3.4        2.4        3.5        8.4 
030907  104437  48  22.2090 N  62  47.8370 W   8.4        3.4        2.4        3.5        8.4 
030907  104439  48  22.2080 N  62  47.8300 W   8.3        3.4        2.4        3.5        8.4 
030907  104441  48  22.2070 N  62  47.8230 W   8.0        3.4        2.4        3.5        8.4 
030907  104443  48  22.2050 N  62  47.8170 W   8.3        3.4        2.4        3.5        8.4 
030907  104445  48  22.2030 N  62  47.8100 W   8.4        3.4        2.4        3.5        8.4 
030907  104447  48  22.2030 N  62  47.8040 W   8.5        3.4        2.4        3.5        8.4 
030907  104449  48  22.2010 N  62  47.7970 W   8.2        3.4        2.4        3.5        8.4 
030907  104451  48  22.2000 N  62  47.7900 W   8.3        3.4        2.4        3.5        8.4 
030907  104453  48  22.1990 N  62  47.7840 W   8.4        3.4        2.4        3.5        8.4 
030907  104455  48  22.1980 N  62  47.7770 W   8.6        3.4        2.4        3.5        8.4 
030907  104457  48  22.1970 N  62  47.7700 W   8.3        3.4        2.4        3.5        8.4 
030907  104459  48  22.1960 N  62  47.7630 W   8.2        3.4        2.4        3.5        8.4 
030907  104501  48  22.1940 N  62  47.7570 W   8.7        3.4        2.4        3.5        8.4 
030907  104503  48  22.1920 N  62  47.7500 W   8.5        3.4        2.4        3.5        8.4 
030907  104505  48  22.1910 N  62  47.7430 W   8.5        3.4        2.4        3.5        8.4 
030907  104507  48  22.1900 N  62  47.7360 W   8.6        3.4        2.4        3.5        8.4 
030907  104509  48  22.1890 N  62  47.7290 W   8.8        3.4        2.4        3.5        8.4 
030907  104511  48  22.1880 N  62  47.7220 W   8.6        3.4        2.4        3.5        8.4 
030907  104513  48  22.1870 N  62  47.7150 W   8.6        3.4        2.4        3.5        8.4 
030907  104515  48  22.1850 N  62  47.7080 W   8.5        3.4        2.4        3.5        8.4 
030907  104517  48  22.1840 N  62  47.7010 W   8.7        3.4        2.4        3.5        8.4 
