FileName: C:\GULFNE~1\GP152.TXT
Local Time: Fri Sep 19 12:25:06 2003

Ship: MarcoMichel Trip: 002gulf Tow: gp152
Comments: Zone 12, vallee de shediac
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
030919  152509  47  51.1540 N  63  47.3090 W   3.2        2.1*       2.6        4.2*       0.0*
030919  152512  47  51.1560 N  63  47.3070 W   3.2        2.1        2.6        4.2        0.0 
030919  152514  47  51.1580 N  63  47.3050 W   3.1        2.1        2.6        4.2        0.0 
030919  152515  47  51.1590 N  63  47.3050 W   3.1        2.1        2.6        4.2        0.0 
030919  152518  47  51.1610 N  63  47.3030 W   3.0        2.1        2.6        4.2        0.0 
030919  152519  47  51.1610 N  63  47.3020 W   3.2        2.1        2.6        4.2        0.0 
030919  152521  47  51.1630 N  63  47.3010 W   3.1        2.1        2.6        4.2        0.0 
030919  152524  47  51.1650 N  63  47.2990 W   3.1        2.1        2.6        4.2        0.0 
030919  152525  47  51.1660 N  63  47.2980 W   3.0        2.1        2.6        4.2        0.0 
030919  152527  47  51.1670 N  63  47.2970 W   3.0        2.1        2.6        4.2        0.0 
030919  152530  47  51.1690 N  63  47.2950 W   3.0        2.1        2.6        4.2        0.0 
030919  152531  47  51.1700 N  63  47.2940 W   3.1        2.1        2.6        4.2        0.0 
030919  152533  47  51.1720 N  63  47.2930 W   3.1        2.1        2.6        4.2        0.0 
030919  152536  47  51.1740 N  63  47.2910 W   3.0        2.1        2.6        4.2        0.0 
030919  152537  47  51.1750 N  63  47.2910 W   3.1        2.1        2.6        4.2        0.0 
030919  152539  47  51.1760 N  63  47.2900 W   3.3        2.1        2.6        4.2        0.0 
030919  152542  47  51.1790 N  63  47.2870 W   3.7        2.1        2.6        4.2        0.0 
030919  152543  47  51.1790 N  63  47.2860 W   4.0        2.1        2.6        4.2        0.0 
030919  152545  47  51.1810 N  63  47.2850 W   4.2        2.1        2.6        4.2        0.0 
030919  152548  47  51.1850 N  63  47.2820 W   4.5        2.1        2.6        4.2        0.0 
030919  152549  47  51.1860 N  63  47.2810 W   4.7        2.1        2.6        4.2        0.0 
030919  152551  47  51.1880 N  63  47.2790 W   4.9        2.1        2.6        4.2        0.0 
030919  152554  47  51.1910 N  63  47.2750 W   5.2        2.1        2.6        4.2        0.0 
030919  152555  47  51.1930 N  63  47.2740 W   5.4        2.1        2.6        4.2        0.0 
030919  152557  47  51.1960 N  63  47.2710 W   5.5        2.1        2.6        4.2        0.0 
030919  152600  47  51.2000 N  63  47.2670 W   6.0        2.1        2.6        4.2        0.0 
030919  152601  47  51.2010 N  63  47.2660 W   5.9        2.1        2.6        4.2        0.0 
030919  152603  47  51.2040 N  63  47.2630 W   6.0        2.1        2.6        4.2        0.0 
030919  152606  47  51.2080 N  63  47.2590 W   5.4        2.1        2.6        4.2        0.0 
030919  152607  47  51.2100 N  63  47.2580 W   5.4        2.1        2.6        4.2        0.0 
030919  152609  47  51.2120 N  63  47.2560 W   5.0        2.1        2.6        4.2        0.0 
030919  152612  47  51.2160 N  63  47.2530 W   4.5        2.1        2.6        4.2        0.0 
030919  152613  47  51.2170 N  63  47.2520 W   4.2        2.1        2.6        4.2        0.0 
