FileName: C:\GULFNE~1\GP241.TXT
Local Time: Tue Oct 07 10:08:05 2003

Ship: MarcoMichel Trip: 002gulf Tow: gp241
Comments: Zone 19 secteur ouest de kerrs pte
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
031007  130804  46  54.5610 N  60  48.4330 W   6.8        2.4*      11.1*       3.0*       7.9*
031007  130806  46  54.5640 N  60  48.4280 W   7.3        2.4       11.1        3.0        7.9 
031007  130808  46  54.5660 N  60  48.4230 W   7.1        2.4       11.1        3.0        7.9 
031007  130810  46  54.5690 N  60  48.4180 W   8.0        2.4       11.1        3.0        7.9 
031007  130812  46  54.5710 N  60  48.4130 W   7.5        2.4       11.1        3.0        7.9 
031007  130814  46  54.5730 N  60  48.4070 W   7.6        2.4       11.1        3.0        7.9 
031007  130816  46  54.5760 N  60  48.4020 W   7.8        2.4       11.1        3.0        7.9 
031007  130818  46  54.5780 N  60  48.3970 W   8.1        2.4       11.1        3.0        7.9 
031007  130820  46  54.5810 N  60  48.3920 W   7.5        2.4       11.1        3.0        7.9 
031007  130822  46  54.5840 N  60  48.3870 W   8.0        2.4       11.1        3.0        7.9 
031007  130824  46  54.5860 N  60  48.3820 W   7.7        2.4       11.1        3.0        7.9 
031007  130826  46  54.5890 N  60  48.3760 W   7.8        2.4       11.1        3.0        7.9 
031007  130828  46  54.5910 N  60  48.3710 W   8.3        2.4       11.1        3.0        7.9 
031007  130830  46  54.5940 N  60  48.3650 W   8.1        2.4       11.1        3.0        7.9 
031007  130832  46  54.5960 N  60  48.3600 W   8.1        2.4       11.1        3.0        7.9 
031007  130834  46  54.5990 N  60  48.3550 W   8.1        2.4       11.1        3.0        7.9 
031007  130836  46  54.6020 N  60  48.3490 W   8.9        2.4       11.1        3.0        7.9 
031007  130838  46  54.6040 N  60  48.3430 W   8.2        2.4       11.1        3.0        7.9 
031007  130840  46  54.6070 N  60  48.3370 W   8.2        2.4       11.1        3.0        7.9 
031007  130842  46  54.6100 N  60  48.3320 W   8.2        2.4       11.1        3.0        7.9 
031007  130844  46  54.6130 N  60  48.3260 W   8.6        2.4       11.1        3.0        7.9 
031007  130846  46  54.6150 N  60  48.3200 W   8.6        2.4       11.1        3.0        7.9 
031007  130848  46  54.6180 N  60  48.3140 W   8.1        2.4       11.1        3.0        7.9 
031007  130850  46  54.6210 N  60  48.3090 W   8.6        2.4       11.1        3.0        7.9 
031007  130852  46  54.6230 N  60  48.3040 W   8.8        2.4       11.1      103.1*       7.9 
031007  130854  46  54.6260 N  60  48.2970 W   8.5        2.4       11.1      103.1        7.9 
031007  130856  46  54.6290 N  60  48.2920 W   8.4        2.4       11.1      103.1        7.9 
031007  130858  46  54.6320 N  60  48.2860 W   8.5        2.4       11.1      103.1        7.9 
031007  130900  46  54.6340 N  60  48.2800 W   8.5        2.4       11.1      103.1        7.9 
031007  130902  46  54.6370 N  60  48.2750 W   8.3        2.4       11.1      103.1        7.9 
031007  130904  46  54.6400 N  60  48.2690 W   8.6        2.4       11.1      103.1        7.9 
031007  130906  46  54.6420 N  60  48.2640 W   8.3        2.4       11.1      103.1        7.9 
031007  130908  46  54.6450 N  60  48.2580 W   8.7        2.4       11.1      103.1        7.9 
031007  130910  46  54.6480 N  60  48.2520 W   8.6        2.4       11.1      103.1        7.9 
031007  130912  46  54.6510 N  60  48.2460 W   8.2        2.4       11.1      103.1        7.9 
031007  130914  46  54.6540 N  60  48.2410 W   8.7        2.4       11.1      103.1        7.9 
031007  130916  46  54.6560 N  60  48.2350 W   8.5        2.4       11.1      103.1        7.9 
031007  130918  46  54.6590 N  60  48.2300 W   8.4        2.4       11.1      103.1        7.9 
031007  130920  46  54.6620 N  60  48.2240 W   8.2        2.4       11.1      103.1        7.9 
031007  130922  46  54.6650 N  60  48.2190 W   8.5        2.4       11.1      103.1        7.9 
031007  130924  46  54.6670 N  60  48.2130 W   8.5        2.4       11.1      103.1        7.9 
031007  130926  46  54.6700 N  60  48.2080 W   8.5        2.4       11.1      103.1        7.9 
031007  130928  46  54.6730 N  60  48.2020 W   8.6        2.4       11.1      103.1        7.9 
031007  130930  46  54.6760 N  60  48.1960 W   8.5        2.4       11.1      103.1        7.9 
031007  130932  46  54.6790 N  60  48.1910 W   8.2        2.4       11.1      103.1        7.9 
031007  130934  46  54.6820 N  60  48.1860 W   8.7        2.4       11.1      103.1        7.9 
031007  130936  46  54.6850 N  60  48.1800 W   8.4        2.4       11.1      103.1        7.9 
031007  130938  46  54.6880 N  60  48.1750 W   8.6        2.4       11.1      103.1        7.9 
031007  130940  46  54.6910 N  60  48.1690 W   8.2        2.4       11.1      103.1        7.9 
031007  130942  46  54.6940 N  60  48.1640 W   8.3        2.4       11.1      103.1        7.9 
031007  130944  46  54.6970 N  60  48.1600 W   8.3        2.4       11.1      103.1        7.9 
031007  130946  46  54.7000 N  60  48.1540 W   8.4        2.4       11.1      103.1        7.9 
031007  130948  46  54.7030 N  60  48.1490 W   8.2        2.4       11.1      103.1        7.9 
031007  130950  46  54.7070 N  60  48.1440 W   8.1        2.4       11.1      103.1        7.9 
031007  130952  46  54.7100 N  60  48.1400 W   7.9        2.4       11.1      103.1        7.9 
031007  130954  46  54.7130 N  60  48.1350 W   7.3        2.4       11.1      103.1        7.9 
031007  130956  46  54.7150 N  60  48.1310 W   6.5        2.4       11.1      103.1        7.9 
031007  130958  46  54.7170 N  60  48.1270 W   5.7        2.4       11.1      103.1        7.9 
031007  131000  46  54.7190 N  60  48.1240 W   4.9        2.4       11.1      103.1       29.9*
031007  131002  46  54.7210 N  60  48.1220 W   5.0        2.4       11.1        6.6*      29.9 
031007  131004  46  54.7220 N  60  48.1180 W   3.9        4.6*      11.1        6.6       29.9 
031007  131006  46  54.7240 N  60  48.1160 W   4.4        4.6       11.1        7.4*      47.1*
031007  131008  46  54.7250 N  60  48.1140 W   3.4        4.6       11.1        7.4       47.1 
031007  131010  46  54.7260 N  60  48.1110 W   3.8        4.6       11.1        7.4       47.9*
031007  131012  46  54.7280 N  60  48.1090 W   3.3        4.6       11.1        7.1*      47.9 
031007  131014  46  54.7280 N  60  48.1070 W   2.9        4.6       11.1        7.1       47.9 
031007  131016  46  54.7300 N  60  48.1050 W   3.4        4.6       11.1        9.7*      47.5*
031007  131019  46  54.7310 N  60  48.1020 W   3.0        4.6       11.1        9.7       47.5 
031007  131020  46  54.7310 N  60  48.1010 W   2.9        4.6       11.1        9.7       47.5 
031007  131022  46  54.7320 N  60  48.0990 W   2.8        4.6       11.1        6.5*      51.5*
031007  131024  46  54.7330 N  60  48.0970 W   2.9        4.6       11.1        6.5       51.5 
031007  131026  46  54.7340 N  60  48.0950 W   2.3        4.6       11.1        6.5       51.5 
031007  131028  46  54.7350 N  60  48.0930 W   3.4        4.6       11.1        4.9*      52.3*
031007  131030  46  54.7350 N  60  48.0920 W   2.0        4.6       11.1        4.9       52.3 
031007  131032  46  54.7360 N  60  48.0900 W   3.6        4.6       11.1        8.0*      65.5*
