FileName: C:\GULFNE~1\GP288.TXT
Local Time: Thu Oct 02 17:31:57 2003

Ship: MarcoMichel Trip: 002gulf Tow: gp288
Comments: Zone 12 centre du corridor 
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
031002  203202  47   8.7130 N  61  16.0560 W   3.3        5.8        4.1*     119.1*      39.1*
031002  203204  47   8.7110 N  61  16.0560 W   3.4        5.8        4.1      119.1       39.1 
031002  203206  47   8.7090 N  61  16.0570 W   3.2        5.8        4.1      119.1       39.1 
031002  203208  47   8.7080 N  61  16.0560 W   3.3        5.8        4.1      119.1       39.1 
031002  203210  47   8.7060 N  61  16.0570 W   3.3        5.8        4.1      119.1       39.1 
031002  203212  47   8.7040 N  61  16.0570 W   3.3        5.8        4.1      119.1       39.1 
031002  203214  47   8.7030 N  61  16.0570 W   3.2        5.8        4.1      119.1       39.1 
031002  203216  47   8.7000 N  61  16.0570 W   3.3        5.8        4.1      119.1       39.1 
031002  203219  47   8.6980 N  61  16.0570 W   3.3        5.8        4.1       11.7*      39.1 
031002  203220  47   8.6970 N  61  16.0570 W   3.4        5.8        4.1       11.7       39.1 
031002  203222  47   8.6950 N  61  16.0570 W   3.2        5.8        4.1       11.7       39.1 
031002  203224  47   8.6930 N  61  16.0570 W   3.8        5.8        4.1       11.7       39.1 
031002  203226  47   8.6910 N  61  16.0570 W   4.3        7.5*       4.1       11.7       39.1 
031002  203228  47   8.6880 N  61  16.0570 W   4.2        7.5        4.1       11.7       39.1 
031002  203230  47   8.6860 N  61  16.0580 W   4.1        7.5        4.1       11.7       39.1 
031002  203232  47   8.6840 N  61  16.0580 W   3.9        7.5        4.1       11.7       39.1 
031002  203234  47   8.6810 N  61  16.0580 W   3.7        7.5        4.1       11.7       39.1 
031002  203236  47   8.6790 N  61  16.0570 W   3.4        7.5        4.1       11.7       39.1 
031002  203238  47   8.6780 N  61  16.0570 W   3.3        7.5        4.1        3.8*      39.1 
031002  203241  47   8.6750 N  61  16.0580 W   3.1        7.5        4.1        3.8        6.2*
031002  203242  47   8.6740 N  61  16.0580 W   3.0        7.5        4.1        3.8        6.2 
031002  203244  47   8.6730 N  61  16.0580 W   2.9        7.5        4.1        4.8*       8.8*
031002  203246  47   8.6710 N  61  16.0580 W   2.7        7.5        4.1        4.8        8.8 
031002  203249  47   8.6690 N  61  16.0580 W   2.8        7.5        4.1        4.2*       8.8 
031002  203250  47   8.6680 N  61  16.0580 W   2.6        7.5        4.1        4.2        5.7*
031002  203252  47   8.6660 N  61  16.0590 W   2.8        7.5        4.1        4.2        5.7 
031002  203254  47   8.6650 N  61  16.0590 W   2.6        7.5        4.1        4.3*       5.7 
031002  203256  47   8.6640 N  61  16.0590 W   2.9        7.5        4.1        4.3        5.7 
031002  203258  47   8.6620 N  61  16.0600 W   2.6        7.5        4.1        3.9*       5.7 
031002  203300  47   8.6600 N  61  16.0600 W   2.9        7.5        4.1        3.9        5.7 
031002  203302  47   8.6580 N  61  16.0600 W   2.7        7.5        4.1        3.9        5.7 
031002  203304  47   8.6570 N  61  16.0600 W   2.7        7.5        4.1        2.6*       5.7 
031002  203306  47   8.6550 N  61  16.0600 W   2.8        7.5        4.1        2.6       10.6*
031002  203308  47   8.6540 N  61  16.0610 W   2.6        7.5        2.3*       2.6       10.6 
031002  203310  47   8.6530 N  61  16.0610 W   2.6        7.5        2.3        2.6        6.2*
031002  203312  47   8.6510 N  61  16.0610 W   2.7        7.5        2.3        2.6        6.2 
031002  203314  47   8.6500 N  61  16.0610 W   2.8        7.5        2.3        2.6        6.2 
031002  203316  47   8.6480 N  61  16.0610 W   3.1        3.0*       2.3        2.6       29.0*
031002  203319  47   8.6450 N  61  16.0620 W   3.8        3.0        2.3        2.6       29.0 
031002  203320  47   8.6440 N  61  16.0620 W   4.1        3.0        2.3        3.1*      29.0 
031002  203323  47   8.6400 N  61  16.0620 W   4.6        3.0        2.3        3.1        9.2*
031002  203324  47   8.6390 N  61  16.0620 W   4.9        3.0        2.3        3.1        9.2 
031002  203326  47   8.6360 N  61  16.0620 W   5.2        3.0        2.3        3.1        9.2 
031002  203328  47   8.6330 N  61  16.0630 W   5.4        3.0        2.3        3.1        9.2 
031002  203330  47   8.6300 N  61  16.0630 W   5.8        3.0        2.3        3.1        9.2 
031002  203333  47   8.6250 N  61  16.0630 W   6.0        3.0        2.3        3.1        9.2 
031002  203334  47   8.6230 N  61  16.0630 W   6.1        3.0        2.3        3.1        9.2 
031002  203336  47   8.6190 N  61  16.0630 W   6.1        3.0        2.3        3.1        9.2 
031002  203338  47   8.6160 N  61  16.0640 W   6.4        3.0        2.3        3.1        9.2 
031002  203340  47   8.6130 N  61  16.0640 W   6.4        3.0        2.3        3.1        9.2 
031002  203343  47   8.6070 N  61  16.0650 W   6.5        3.0        2.3        3.1        9.2 
031002  203344  47   8.6060 N  61  16.0650 W   6.5        3.0        2.3        3.1        9.2 
031002  203346  47   8.6020 N  61  16.0650 W   6.5        3.0        2.3        3.1        9.2 
031002  203349  47   8.5960 N  61  16.0650 W   6.6        3.0        2.3        3.1        9.2 
031002  203350  47   8.5940 N  61  16.0660 W   6.5        3.0        2.3        3.1        9.2 
031002  203352  47   8.5910 N  61  16.0650 W   6.4        3.0        2.3        3.1        9.2 
031002  203354  47   8.5870 N  61  16.0660 W   6.5        3.0        2.3        3.1        9.2 
031002  203357  47   8.5820 N  61  16.0660 W   6.4        3.0        2.3        3.1        9.2 
031002  203358  47   8.5800 N  61  16.0660 W   6.4        3.0        2.3        3.1        9.2 
031002  203400  47   8.5770 N  61  16.0660 W   6.3        3.0        2.3        3.1        9.2 
031002  203402  47   8.5730 N  61  16.0670 W   6.4        3.0        2.3        3.1        9.2 
031002  203405  47   8.5680 N  61  16.0670 W   6.2        3.0        2.3        3.1        9.2 
031002  203407  47   8.5650 N  61  16.0670 W   6.0        3.0        2.3        3.1        9.2 
031002  203408  47   8.5630 N  61  16.0670 W   6.1        3.0        2.3        3.1        9.2 
031002  203410  47   8.5600 N  61  16.0670 W   6.0        3.0        2.3        3.1        9.2 
031002  203412  47   8.5560 N  61  16.0670 W   6.1        3.0        2.3        3.1        9.2 
031002  203414  47   8.5530 N  61  16.0680 W   6.1        3.0        2.3        3.1        9.2 
031002  203417  47   8.5480 N  61  16.0680 W   6.0        3.0        2.3        3.1        9.2 
031002  203419  47   8.5440 N  61  16.0680 W   5.9        3.0        2.3        3.1        9.2 
031002  203420  47   8.5430 N  61  16.0680 W   6.0        3.0        2.3        3.1        9.2 
031002  203422  47   8.5400 N  61  16.0690 W   6.0        3.0        2.3        3.1        9.2 
031002  203424  47   8.5370 N  61  16.0690 W   6.0        3.0        2.3        3.1        9.2 
031002  203427  47   8.5320 N  61  16.0690 W   5.9        3.0        2.3        3.1        9.2 
031002  203428  47   8.5300 N  61  16.0690 W   5.9        3.0        2.3        3.1        9.2 
031002  203431  47   8.5250 N  61  16.0700 W   5.8        3.0        2.3        3.1        9.2 
031002  203433  47   8.5210 N  61  16.0700 W   5.9        3.0        2.3        3.1        9.2 
031002  203435  47   8.5180 N  61  16.0700 W   5.8        3.0        2.3        3.1        9.2 
031002  203437  47   8.5150 N  61  16.0700 W   5.9        3.0        2.3        3.1        9.2 
031002  203439  47   8.5120 N  61  16.0700 W   5.5        3.0        2.3        3.1        9.2 
031002  203441  47   8.5090 N  61  16.0710 W   5.6        3.0        2.3        3.1        9.2 
031002  203443  47   8.5060 N  61  16.0710 W   5.3        3.0        2.3        3.1        9.2 
031002  203445  47   8.5030 N  61  16.0710 W   5.3        3.0        2.3        3.1        9.2 
031002  203447  47   8.5000 N  61  16.0710 W   5.2        3.0        2.3        3.1        9.2 
031002  203449  47   8.4970 N  61  16.0710 W   5.1        3.0        2.3        3.1        9.2 
031002  203451  47   8.4940 N  61  16.0710 W   5.1        3.0        2.3        3.1        9.2 
031002  203453  47   8.4910 N  61  16.0710 W   4.8        3.0        2.3        3.1        9.2 
031002  203455  47   8.4890 N  61  16.0710 W   4.6        3.0        2.3       11.0*       9.2 
031002  203457  47   8.4860 N  61  16.0710 W   4.4        3.0        2.3       11.0        9.2 
031002  203459  47   8.4840 N  61  16.0720 W   3.9        3.0        2.3       11.0        9.2 
031002  203501  47   8.4820 N  61  16.0720 W   4.0        3.0        2.3        1.3*      30.4*
031002  203503  47   8.4800 N  61  16.0720 W   3.4        3.0        2.3        1.3       30.4 
031002  203505  47   8.4780 N  61  16.0730 W   3.3        3.0        2.3        1.3       30.4 
031002  203507  47   8.4760 N  61  16.0730 W   3.1        3.0        2.3        1.3       33.4*
031002  203509  47   8.4750 N  61  16.0730 W   2.9        3.0        2.3        1.3       33.4 
031002  203511  47   8.4730 N  61  16.0730 W   2.7        3.0        2.4*       1.3       33.4 
031002  203513  47   8.4710 N  61  16.0740 W   2.7        3.0        2.4        1.3       24.2*
031002  203515  47   8.4700 N  61  16.0740 W   2.4        3.0        2.4        1.3       24.2 
031002  203517  47   8.4690 N  61  16.0740 W   2.4        3.3*       2.4        6.5*      31.7*
031002  203519  47   8.4680 N  61  16.0740 W   2.3        3.3        2.4        6.5       31.7 
031002  203521  47   8.4670 N  61  16.0740 W   2.4        3.3        2.4        5.0*      31.7 
031002  203523  47   8.4650 N  61  16.0740 W   2.2        3.3        2.5*       5.0       33.0*
031002  203525  47   8.4640 N  61  16.0740 W   2.2        3.3        2.5        5.0       33.0 
031002  203527  47   8.4630 N  61  16.0740 W   2.0        3.3        2.5        5.6*      33.0 
031002  203529  47   8.4620 N  61  16.0740 W   1.9        3.3        2.5        5.6       33.9*
031002  203531  47   8.4610 N  61  16.0740 W   1.9        3.6*       2.5        6.1*      33.9 
031002  203533  47   8.4600 N  61  16.0750 W   2.0        3.6        2.5        6.1       37.4*
031002  203535  47   8.4590 N  61  16.0750 W   1.9        3.6        2.5        6.1       37.4 
031002  203537  47   8.4580 N  61  16.0750 W   2.0        3.6        2.3*       4.9*      37.4 
031002  203539  47   8.4570 N  61  16.0750 W   1.9        3.6        2.3        4.9       38.7*
031002  203541  47   8.4560 N  61  16.0760 W   2.1        3.6        2.3        4.9       38.7 
031002  203543  47   8.4550 N  61  16.0760 W   1.9        3.6        2.3        4.7*      38.7 
031002  203545  47   8.4540 N  61  16.0760 W   1.8        3.9*       2.3        4.7       40.0*
031002  203547  47   8.4530 N  61  16.0770 W   2.0        3.9        2.3        5.3*      40.0 
031002  203549  47   8.4520 N  61  16.0760 W   1.9        3.9        2.3        5.3       44.9*
031002  203551  47   8.4500 N  61  16.0760 W   2.0        3.9        2.4*       5.3       44.9 
031002  203553  47   8.4490 N  61  16.0760 W   1.9        3.9        2.4        5.4*      44.9 
031002  203555  47   8.4480 N  61  16.0770 W   2.0        3.9        2.4        5.4       46.6*
031002  203557  47   8.4470 N  61  16.0770 W   1.8        4.2*       2.4        5.4       46.6 
031002  203559  47   8.4460 N  61  16.0770 W   2.1        4.2        2.4        5.5*      47.1*
031002  203601  47   8.4450 N  61  16.0770 W   2.0        4.2        2.4        5.5       47.1 
031002  203603  47   8.4440 N  61  16.0770 W   2.0        4.2        2.4        5.0*      47.1 
031002  203605  47   8.4430 N  61  16.0770 W   2.1        4.2        2.4        5.0       47.5*
031002  203607  47   8.4420 N  61  16.0780 W   2.0        4.2        2.4        5.0       47.5 
031002  203609  47   8.4410 N  61  16.0770 W   2.0        4.2        2.4        5.3*      47.5 
031002  203611  47   8.4390 N  61  16.0770 W   2.1        4.2        2.4        5.3       50.6*
031002  203613  47   8.4380 N  61  16.0770 W   2.0        4.2        2.4        5.3*      50.6 
031002  203615  47   8.4370 N  61  16.0780 W   2.0        4.2        2.4        5.3       47.9*
031002  203617  47   8.4360 N  61  16.0780 W   2.1        4.2        2.4        5.3       47.9 
031002  203619  47   8.4350 N  61  16.0780 W   2.0        4.2        2.4        5.5*      47.9 
031002  203621  47   8.4330 N  61  16.0780 W   2.1        4.2        2.4        5.5       47.9*
031002  203623  47   8.4320 N  61  16.0780 W   2.1        4.2        2.4        5.5       47.9 
031002  203625  47   8.4310 N  61  16.0780 W   2.1        4.2        2.4        5.4*      47.9 
031002  203627  47   8.4300 N  61  16.0790 W   2.0        4.2        2.4        5.4       51.9*
031002  203629  47   8.4290 N  61  16.0780 W   2.1        4.2        2.4        5.7*      51.9 
031002  203631  47   8.4280 N  61  16.0780 W   2.2        4.2        2.4        5.7       49.3*
031002  203633  47   8.4270 N  61  16.0790 W   2.3        4.2        2.4        5.7       49.3 
031002  203635  47   8.4250 N  61  16.0790 W   2.3        4.2        2.4        5.7*      49.3 
031002  203637  47   8.4240 N  61  16.0790 W   2.2        4.2        2.4        5.7       49.3*
031002  203639  47   8.4230 N  61  16.0790 W   2.3        4.2        2.4        5.7       49.3 
031002  203641  47   8.4220 N  61  16.0790 W   2.1        4.2        2.4        5.8*      49.3 
031002  203643  47   8.4200 N  61  16.0790 W   2.3        4.2        2.4        5.8       50.1*
031002  203645  47   8.4190 N  61  16.0790 W   2.3        4.2        2.4        6.4*      50.1 
031002  203647  47   8.4180 N  61  16.0790 W   2.4        4.2        2.4        6.4       51.0*
031002  203649  47   8.4170 N  61  16.0800 W   2.3        4.2        2.4        6.4       51.0 
031002  203651  47   8.4150 N  61  16.0800 W   2.2        4.2        2.4        6.5*      51.0 
031002  203653  47   8.4140 N  61  16.0800 W   2.2        4.2        2.4        6.5       48.8*
031002  203655  47   8.4130 N  61  16.0800 W   2.3        4.2        2.4        6.8*      48.8 
031002  203657  47   8.4120 N  61  16.0800 W   2.2        4.2        2.4        6.8       48.8 
031002  203659  47   8.4110 N  61  16.0800 W   2.4        4.2        2.4        6.8       49.7*
031002  203701  47   8.4090 N  61  16.0810 W   2.4        4.2        2.4        6.3*      49.7 
031002  203703  47   8.4080 N  61  16.0810 W   2.1        4.2        2.4        6.3       51.0*
031002  203705  47   8.4070 N  61  16.0810 W   2.1        4.2        2.4        6.3       51.0 
031002  203707  47   8.4060 N  61  16.0810 W   2.3        4.2        2.4        7.3*      51.0 
031002  203709  47   8.4040 N  61  16.0820 W   2.1        4.2        2.4        7.3       50.6*
031002  203711  47   8.4030 N  61  16.0810 W   2.2        4.2        2.4        7.1*      50.6 
031002  203713  47   8.4020 N  61  16.0810 W   2.1        4.2        2.4        7.1       50.6 
031002  203715  47   8.4010 N  61  16.0820 W   2.0        4.2        2.4        7.1       50.1*
031002  203717  47   8.4000 N  61  16.0810 W   1.9        4.2        2.4        7.7*      50.1 
031002  203719  47   8.3990 N  61  16.0820 W   2.2        4.2        2.4        7.7       51.5*
031002  203721  47   8.3970 N  61  16.0820 W   1.9        4.2        2.4        7.7       51.5 
031002  203723  47   8.3960 N  61  16.0820 W   2.1        4.2        2.4        7.7       51.5 
031002  203725  47   8.3950 N  61  16.0820 W   2.1        4.2        2.4        7.7       49.7*
031002  203727  47   8.3940 N  61  16.0830 W   1.9        4.2        2.4        7.7       49.7 
031002  203729  47   8.3930 N  61  16.0820 W   2.0        4.2        2.4        7.7       49.3*
031002  203731  47   8.3920 N  61  16.0830 W   2.0        4.2        2.4        7.7       49.3 
