FileName: C:\2005NE~1\GP028.TXT
Local Time: Wed Aug 10 11:06:15 2005

Ship: Marco Michel Trip: 07 Tow: gp028
Comments: zone 12
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread WingSpread      Depth 
050810  140616  48  27.0560 N  64   7.2010 W   3.4        4.1*       3.8*      16.8*       0.0       63.3*
050810  140618  48  27.0570 N  64   7.2030 W   2.5        4.1        3.8        1.7*       0.0       63.3 
050810  140620  48  27.0580 N  64   7.2040 W   2.7        4.1        3.8        1.7        0.0       63.3 
050810  140622  48  27.0590 N  64   7.2060 W   3.0        4.1        3.8        1.7        0.0       63.3 
050810  140624  48  27.0600 N  64   7.2080 W   2.5        4.1        3.8        3.4*       0.0       63.3 
050810  140626  48  27.0610 N  64   7.2100 W   2.5        4.1        3.8        3.4        0.0       63.3 
050810  140628  48  27.0610 N  64   7.2120 W   2.5        4.1        3.8        2.6*       0.0       21.1*
050810  140630  48  27.0630 N  64   7.2130 W   2.7        4.1        3.8        2.6        0.0       21.1 
050810  140632  48  27.0630 N  64   7.2150 W   2.0        4.1        3.8        2.6        0.0       21.1 
050810  140634  48  27.0640 N  64   7.2160 W   2.5        4.1        3.8        2.1*       0.0       21.1 
050810  140636  48  27.0650 N  64   7.2180 W   2.9        2.1*       3.8        2.1        0.0       21.1 
050810  140638  48  27.0660 N  64   7.2210 W   3.5        2.1        3.8        2.1        0.0       21.1 
050810  140640  48  27.0670 N  64   7.2240 W   3.9        2.1        3.8        2.1        0.0       23.8*
050810  140642  48  27.0690 N  64   7.2270 W   4.7        2.1        3.8        2.1        0.0       23.8 
050810  140644  48  27.0710 N  64   7.2300 W   5.1        2.1        3.8        2.1        0.0       23.8 
050810  140646  48  27.0730 N  64   7.2330 W   5.8        2.1        3.8        2.1        0.0       23.8 
050810  140648  48  27.0740 N  64   7.2380 W   5.7        2.1        3.8        2.1        0.0       23.8 
050810  140650  48  27.0760 N  64   7.2420 W   6.5        2.1        3.8        2.1        0.0       23.8 
050810  140652  48  27.0780 N  64   7.2470 W   6.2        2.1        3.8        2.1        0.0       23.8 
050810  140654  48  27.0800 N  64   7.2520 W   6.7        2.1        3.8        2.1        0.0       23.8 
050810  140656  48  27.0820 N  64   7.2560 W   7.0        2.1        3.8        2.1        0.0       23.8 
050810  140658  48  27.0850 N  64   7.2620 W   7.0        2.1        3.8        2.1        0.0       23.8 
050810  140700  48  27.0870 N  64   7.2670 W   6.8        2.1        3.8        7.3*       0.0       23.8 
050810  140702  48  27.0890 N  64   7.2710 W   7.0        2.1        3.8        7.3        0.0       23.8 
050810  140704  48  27.0910 N  64   7.2760 W   7.2        2.1        3.8        2.6*       0.0       23.8 
050810  140706  48  27.0930 N  64   7.2820 W   7.3        2.1        3.8        2.6        0.0       77.0*
050810  140708  48  27.0950 N  64   7.2870 W   6.7        2.1        3.8        2.6        0.0       77.0 
050810  140710  48  27.0970 N  64   7.2920 W   7.1        2.1        3.8        5.6*       0.0        7.9*
050810  140712  48  27.0990 N  64   7.2970 W   7.5        2.1        3.8        5.6        0.0        7.9 
050810  140714  48  27.1020 N  64   7.3020 W   7.1        2.1        3.8        5.6        0.0        7.9 
050810  140716  48  27.1040 N  64   7.3070 W   6.8        2.1        3.8        5.6        0.0        7.9 
050810  140718  48  27.1060 N  64   7.3120 W   7.1        2.1        3.8        5.6        0.0        7.9 
050810  140720  48  27.1080 N  64   7.3170 W   7.1        2.1        3.8       62.2*       0.0        7.9 
050810  140722  48  27.1110 N  64   7.3220 W   6.9        2.1        3.8       62.2        0.0        7.9 
050810  140724  48  27.1130 N  64   7.3270 W   7.2        2.1        3.8       62.2        0.0        7.9 
050810  140726  48  27.1150 N  64   7.3320 W   6.8        2.1        3.8        3.5*       0.0        7.9 
050810  140728  48  27.1180 N  64   7.3370 W   7.1        2.1        3.8        3.5        0.0        7.9 
050810  140730  48  27.1200 N  64   7.3410 W   6.9        2.1        3.8        8.2*       0.0        7.9 
050810  140732  48  27.1220 N  64   7.3460 W   6.9        2.1        3.8        8.2        0.0        7.9 
050810  140734  48  27.1250 N  64   7.3510 W   7.2        2.1        3.8        8.2        0.0        7.9 
050810  140736  48  27.1270 N  64   7.3560 W   6.8        2.1        3.8        9.6*       0.0        7.9 
050810  140738  48  27.1290 N  64   7.3610 W   6.8        2.1        3.8        9.6        0.0        7.9 
050810  140740  48  27.1310 N  64   7.3660 W   6.8        2.1        3.8        9.6        0.0        7.9 
050810  140742  48  27.1340 N  64   7.3710 W   7.1        2.1        3.8        9.6        0.0        7.9 
050810  140744  48  27.1360 N  64   7.3750 W   6.9        2.1        3.8        9.6        0.0        7.9 
050810  140746  48  27.1380 N  64   7.3800 W   6.6        2.1        3.8       81.2*       0.0        7.9 
050810  140748  48  27.1400 N  64   7.3850 W   6.8        2.1        3.8       81.2        0.0       20.7*
050810  140750  48  27.1430 N  64   7.3890 W   7.1        2.1        3.8       81.2        0.0       20.7 
050810  140752  48  27.1460 N  64   7.3940 W   7.0        2.1        3.8       81.2        0.0       20.7 
050810  140754  48  27.1490 N  64   7.3980 W   6.7        2.1        3.8       81.2        0.0       20.7 
050810  140756  48  27.1510 N  64   7.4020 W   6.9        2.1        3.8       81.2        0.0       20.7 
050810  140758  48  27.1530 N  64   7.4070 W   7.1        2.1        3.8       81.2        0.0       20.7 
050810  140800  48  27.1570 N  64   7.4110 W   7.2        2.1        3.8       81.2        0.0       20.7 
050810  140802  48  27.1600 N  64   7.4150 W   7.0        2.1        3.8       81.2        0.0       20.7 
050810  140804  48  27.1630 N  64   7.4180 W   6.9        2.1        3.8       81.2        0.0       20.7 
050810  140806  48  27.1660 N  64   7.4210 W   7.1        2.1        3.8       81.2        0.0       20.7 
050810  140808  48  27.1690 N  64   7.4250 W   7.4        2.1        3.8       81.2        0.0       20.7 
050810  140810  48  27.1730 N  64   7.4290 W   7.1        2.1        3.8       81.2        0.0       20.7 
050810  140812  48  27.1760 N  64   7.4330 W   7.1        2.1        3.8       81.2        0.0       20.7 
