FileName: C:\2005NE~1\GP071.TXT
Local Time: Mon Aug 01 15:35:23 2005

Ship: Marco Michel Trip: 06 Tow: gp071
Comments: zone 12
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread WingSpread      Depth 
050801  183526  47  17.0340 N  63  36.2540 W   4.9        5.2*      10.5*      93.5*       0.0      377.4*
050801  183528  47  17.0370 N  63  36.2540 W   4.3        5.2       10.5       93.5        0.0      377.4 
050801  183530  47  17.0390 N  63  36.2540 W   4.3        5.2       10.5       93.5        0.0      377.4 
050801  183532  47  17.0410 N  63  36.2540 W   4.1        5.2       10.5       93.5        0.0      377.4 
050801  183534  47  17.0430 N  63  36.2540 W   4.1        5.2       10.5       93.5        0.0      377.4 
050801  183536  47  17.0460 N  63  36.2550 W   3.8        5.2       10.5       93.5        0.0      377.4 
050801  183538  47  17.0480 N  63  36.2540 W   3.8        5.2       10.5        5.3*       0.0        3.1*
050801  183540  47  17.0490 N  63  36.2540 W   3.4        5.2       10.5        5.3        0.0        3.1 
050801  183542  47  17.0510 N  63  36.2540 W   3.5        5.2       10.5        5.3        0.0        3.1 
050801  183544  47  17.0530 N  63  36.2540 W   3.3        5.2       10.5        5.3        0.0        3.1*
050801  183546  47  17.0550 N  63  36.2540 W   3.3        5.2       10.5        5.3        0.0        3.1 
050801  183548  47  17.0580 N  63  36.2540 W   4.5        5.2       10.5        5.3        0.0       10.1*
050801  183550  47  17.0600 N  63  36.2540 W   4.2        5.2       10.5        5.3        0.0       10.1 
050801  183552  47  17.0630 N  63  36.2540 W   5.3        5.2       10.5        5.3        0.0       10.1 
050801  183554  47  17.0660 N  63  36.2540 W   5.5        5.2       10.5        5.3        0.0       10.1 
050801  183556  47  17.0690 N  63  36.2550 W   6.2        5.2       10.5        5.3        0.0       10.1 
050801  183558  47  17.0730 N  63  36.2550 W   6.3        5.2       10.5        5.3        0.0       10.1 
050801  183600  47  17.0760 N  63  36.2550 W   6.9        5.2       10.5        5.3        0.0       10.1 
050801  183602  47  17.0810 N  63  36.2560 W   7.2        5.2       10.5        5.3        0.0       10.1 
050801  183604  47  17.0850 N  63  36.2550 W   7.4        5.2       10.5        5.3        0.0       10.1 
050801  183606  47  17.0890 N  63  36.2550 W   7.5        5.2       10.5        5.3        0.0       10.1 
