FileName: C:\2005NE~1\GP101.TXT
Local Time: Tue Aug 09 18:00:09 2005

Ship: Marco Michel Trip: 07 Tow: gp101
Comments: zone 12
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread WingSpread      Depth 
050809  210012  47   7.2490 N  62  51.5070 W   3.2        3.1*       2.4*       3.3*       0.0        3.5*
050809  210013  47   7.2500 N  62  51.5070 W   3.3        3.1        2.4        3.3        0.0        3.5 
050809  210015  47   7.2520 N  62  51.5060 W   3.1        3.1        2.4        4.1*       0.0        3.5 
050809  210018  47   7.2550 N  62  51.5060 W   3.0        3.1        2.4        4.1        0.0       25.5*
050809  210019  47   7.2550 N  62  51.5060 W   3.0        3.1        2.4        4.1        0.0       25.5 
050809  210021  47   7.2570 N  62  51.5060 W   2.9        3.1        2.4        4.1        0.0       25.5 
050809  210024  47   7.2590 N  62  51.5050 W   2.9        3.1        2.4        4.1        0.0       25.5 
050809  210025  47   7.2600 N  62  51.5060 W   2.9        3.1        2.4        2.7*       0.0       25.5 
050809  210027  47   7.2620 N  62  51.5060 W   2.9        3.1        2.4        2.7        0.0       25.5 
050809  210030  47   7.2640 N  62  51.5050 W   3.0        3.1        2.8*       2.7        0.0       21.1*
050809  210031  47   7.2650 N  62  51.5050 W   3.1        3.1        2.8        6.0*       0.0       21.1 
050809  210033  47   7.2670 N  62  51.5050 W   3.9        3.1        2.8        6.0        0.0       11.0*
050809  210036  47   7.2700 N  62  51.5050 W   4.3        3.8*       2.8        6.0        0.0       11.0 
050809  210037  47   7.2720 N  62  51.5050 W   4.9        3.8        2.8        6.0        0.0       11.0 
050809  210039  47   7.2750 N  62  51.5060 W   5.0        3.8        2.8        6.0        0.0        8.4*
050809  210042  47   7.2800 N  62  51.5070 W   5.8        3.8        2.8        6.0        0.0        8.4 
050809  210043  47   7.2810 N  62  51.5070 W   5.5        3.8        2.8        6.0        0.0        8.4 
050809  210045  47   7.2840 N  62  51.5070 W   6.4        3.8        2.8        6.0        0.0        8.4 
050809  210048  47   7.2900 N  62  51.5070 W   6.6        3.8        2.8        6.0        0.0        8.4 
050809  210049  47   7.2920 N  62  51.5080 W   6.8        3.8        2.8        6.0        0.0        8.4 
050809  210051  47   7.2950 N  62  51.5070 W   6.6        3.8        2.8        6.0        0.0        8.4 
050809  210054  47   7.3010 N  62  51.5090 W   6.9        3.8        2.8        6.0        0.0        8.4 
050809  210055  47   7.3030 N  62  51.5090 W   7.1        3.8        2.8        6.0        0.0        8.4 
050809  210057  47   7.3070 N  62  51.5100 W   7.0        3.8        2.8        6.0        0.0        8.4 
050809  210100  47   7.3120 N  62  51.5110 W   7.2        3.8        2.8        6.0        0.0        8.4 
050809  210101  47   7.3140 N  62  51.5120 W   7.2        3.8        2.8        6.0        0.0        8.4 
050809  210103  47   7.3180 N  62  51.5130 W   7.1        3.8        2.8        6.0        0.0        8.4 
050809  210106  47   7.3240 N  62  51.5160 W   7.2        3.8        2.8        6.0        0.0        8.4 
050809  210107  47   7.3260 N  62  51.5170 W   7.3        3.8        2.8       72.6*       0.0        8.4 
050809  210109  47   7.3300 N  62  51.5190 W   7.1        3.8        2.8       72.6        0.0        8.4 
050809  210112  47   7.3350 N  62  51.5210 W   7.1        3.8        2.8       72.6        0.0        8.4 
050809  210113  47   7.3370 N  62  51.5220 W   7.4        3.8        2.8       72.6        0.0        8.4 
050809  210115  47   7.3410 N  62  51.5240 W   7.1        3.8        2.8       72.6        0.0        8.4 
050809  210118  47   7.3470 N  62  51.5270 W   7.2        3.8        2.8       72.6        0.0        8.4 
050809  210119  47   7.3490 N  62  51.5280 W   7.2        3.8        2.8       72.6        0.0        8.4 
050809  210121  47   7.3530 N  62  51.5290 W   7.4        3.8        2.8       72.6        0.0        8.4 
050809  210124  47   7.3590 N  62  51.5320 W   7.2        3.8        2.8       72.6        0.0        8.4 
050809  210125  47   7.3610 N  62  51.5330 W   7.1        3.8        2.8       72.6        0.0        8.4 
050809  210127  47   7.3640 N  62  51.5350 W   7.4        3.8        2.8       72.6        0.0        8.4 
050809  210130  47   7.3700 N  62  51.5370 W   7.4        3.8        2.8       72.6        0.0        8.4 
050809  210131  47   7.3720 N  62  51.5380 W   7.2        3.8        2.8       72.6        0.0        8.4 
050809  210133  47   7.3760 N  62  51.5400 W   7.4        3.8        2.8       72.6        0.0        8.4 
050809  210136  47   7.3820 N  62  51.5420 W   7.5        3.8        2.8       72.6        0.0        8.4 
050809  210137  47   7.3840 N  62  51.5420 W   7.3        3.8        2.8       72.6        0.0        8.4 
050809  210139  47   7.3880 N  62  51.5440 W   7.4        3.8        2.8       72.6        0.0        8.4 
050809  210142  47   7.3940 N  62  51.5470 W   7.1        3.8        2.8       72.6        0.0        8.4 
050809  210143  47   7.3960 N  62  51.5480 W   7.2        3.8        2.8       72.6        0.0        8.4 
050809  210145  47   7.3990 N  62  51.5490 W   7.2        3.8        2.8       72.6        0.0        8.4 
050809  210148  47   7.4050 N  62  51.5520 W   7.3        3.8        2.8       72.6        0.0        8.4 
050809  210150  47   7.4090 N  62  51.5530 W   7.3        3.8        2.8       72.6        0.0        8.4 
050809  210151  47   7.4110 N  62  51.5540 W   7.2        3.8        2.8       72.6        0.0        8.4 
050809  210154  47   7.4170 N  62  51.5570 W   7.7        3.8        2.8       72.6        0.0        8.4 
050809  210155  47   7.4190 N  62  51.5580 W   7.7        3.8        2.8       72.6        0.0        8.4 
050809  210157  47   7.4230 N  62  51.5590 W   7.2        3.8        2.8       72.6        0.0        8.4 
050809  210200  47   7.4290 N  62  51.5610 W   6.8        3.8        2.8       72.6        0.0        8.4 
050809  210201  47   7.4310 N  62  51.5620 W   6.9        3.8        2.8       72.6        0.0        8.4 
050809  210203  47   7.4350 N  62  51.5630 W   6.6        3.8        2.8       72.6        0.0      500.6*
050809  210206  47   7.4400 N  62  51.5640 W   5.4        3.8        2.8        5.1*       0.0      500.6 
050809  210207  47   7.4410 N  62  51.5640 W   5.1        3.8        2.8        5.1        0.0       33.4*
050809  210209  47   7.4440 N  62  51.5640 W   4.5        3.8        2.8        5.1        0.0       33.4 
050809  210212  47   7.4470 N  62  51.5650 W   3.7        3.8        2.8        6.0*       0.0       33.4 
050809  210213  47   7.4480 N  62  51.5650 W   3.7        2.3*       2.8        6.0        0.0       33.9*
050809  210215  47   7.4500 N  62  51.5650 W   3.6        2.3        2.8        7.0*       0.0       33.9 
050809  210218  47   7.4530 N  62  51.5650 W   3.4        2.3        2.8        7.0        0.0       33.9 
050809  210219  47   7.4530 N  62  51.5650 W   3.0        2.3        2.8        7.0        0.0       35.2*
050809  210221  47   7.4550 N  62  51.5650 W   2.9        2.3        2.8        7.4*       0.0       35.2 
050809  210224  47   7.4570 N  62  51.5650 W   2.9        2.3        2.8        7.4        0.0       44.4*
050809  210225  47   7.4580 N  62  51.5650 W   2.7        2.3        2.8        7.4        0.0       44.4 
050809  210227  47   7.4590 N  62  51.5650 W   2.3        2.3        2.8        7.6*       0.0       44.4 
050809  210230  47   7.4610 N  62  51.5650 W   2.1        2.3        2.8        7.6        0.0       33.4*
050809  210232  47   7.4630 N  62  51.5650 W   2.6        2.3        3.3*       6.2*       0.0       33.4 
050809  210233  47   7.4630 N  62  51.5650 W   2.6        2.3        3.3        6.2        0.0       33.4 
050809  210236  47   7.4650 N  62  51.5650 W   2.4        2.3        3.3        6.2        0.0       44.4*
050809  210237  47   7.4660 N  62  51.5650 W   2.4        2.3        3.3        8.3*       0.0       44.4 
050809  210239  47   7.4670 N  62  51.5650 W   2.0        2.7*       3.3        8.3        0.0       39.6*
050809  210242  47   7.4690 N  62  51.5640 W   2.1        2.7        3.3        3.2*       0.0       39.6 
050809  210243  47   7.4690 N  62  51.5640 W   2.2        2.7        3.3        3.2        0.0       39.6 
050809  210245  47   7.4700 N  62  51.5650 W   2.0        2.7        3.3        3.2        0.0       43.5*
050809  210248  47   7.4720 N  62  51.5640 W   1.7        2.7        3.3        6.0*       0.0       43.5 
050809  210249  47   7.4730 N  62  51.5640 W   1.7        2.7        3.3        6.0        0.0       43.5 
050809  210252  47   7.4750 N  62  51.5640 W   1.8        2.7        3.3        6.0        0.0       40.9*
050809  210254  47   7.4760 N  62  51.5640 W   2.2        2.7        3.3        5.2*       0.0       40.9 
050809  210255  47   7.4760 N  62  51.5640 W   2.5        2.7        3.3        5.2        0.0       48.4*
050809  210257  47   7.4780 N  62  51.5630 W   1.5        2.7        3.3        5.6*       0.0       48.4 
050809  210300  47   7.4790 N  62  51.5630 W   2.4        2.7        3.3        5.6        0.0       48.4 
050809  210301  47   7.4800 N  62  51.5620 W   1.6        2.7        3.3        5.6        0.0       52.8*
