FileName: C:\2005NE~1\GP195.TXT
Local Time: Sun Jul 31 12:39:25 2005

Ship: Marco Michel Trip: 06 Tow: gp195
Comments: zone 12
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread WingSpread      Depth 
050731  153928  47  51.8560 N  63  22.2030 W   3.4        2.4*       6.9*      84.5*       0.0       25.5*
050731  153930  47  51.8580 N  63  22.2040 W   3.6        2.4        6.9       84.5        0.0       25.5 
050731  153932  47  51.8590 N  63  22.2050 W   3.0        2.4        6.9       84.5        0.0       25.5 
050731  153934  47  51.8610 N  63  22.2060 W   3.8        2.4        6.9       84.5        0.0       25.5 
050731  153936  47  51.8630 N  63  22.2060 W   2.1        2.4        6.9       84.5        0.0       25.5 
050731  153938  47  51.8640 N  63  22.2060 W   3.3        2.4        6.9       84.5        0.0       25.5 
050731  153940  47  51.8650 N  63  22.2070 W   2.0        2.4        6.9       84.5        0.0       25.5 
050731  153942  47  51.8660 N  63  22.2070 W   2.5        2.4        6.9       84.5        0.0       25.5 
050731  153944  47  51.8680 N  63  22.2080 W   1.6        2.4        6.9        2.9*       0.0       25.5 
050731  153946  47  51.8680 N  63  22.2080 W   3.0        2.4        6.9        2.9        0.0       25.5 
050731  153948  47  51.8700 N  63  22.2090 W   2.2        2.4        6.9        2.9        0.0       25.5 
050731  153950  47  51.8720 N  63  22.2100 W   4.0        2.4        6.9        7.2*       0.0       25.5 
050731  153952  47  51.8740 N  63  22.2110 W   4.0        2.4        6.9        7.2        0.0       25.5 
050731  153954  47  51.8760 N  63  22.2120 W   4.4        2.4        6.9        7.2        0.0       25.5 
050731  153956  47  51.8790 N  63  22.2130 W   5.2        2.4        6.9        7.2        0.0       25.5 
050731  153958  47  51.8810 N  63  22.2140 W   5.7        2.4        6.9        7.2        0.0       25.5 
050731  154000  47  51.8840 N  63  22.2160 W   6.2        2.4        6.9        7.2        0.0       25.5 
050731  154002  47  51.8880 N  63  22.2170 W   5.7        2.4        6.9        7.2        0.0       25.5 
050731  154004  47  51.8910 N  63  22.2190 W   6.6        2.4        6.9        7.2        0.0       25.5 
050731  154006  47  51.8950 N  63  22.2200 W   6.6        2.4        6.9        7.2        0.0       25.5 
050731  154008  47  51.8990 N  63  22.2220 W   6.5        2.4        6.9        7.2        0.0       25.5 
050731  154010  47  51.9020 N  63  22.2230 W   7.3        2.4        6.9        7.2        0.0       25.5 
050731  154012  47  51.9060 N  63  22.2240 W   7.1        2.4        6.9        7.2        0.0       25.5 
050731  154014  47  51.9100 N  63  22.2260 W   7.3        2.4        6.9        7.2        0.0       25.5 
050731  154016  47  51.9140 N  63  22.2270 W   6.8        2.4        6.9        7.2        0.0       25.5 
050731  154018  47  51.9180 N  63  22.2290 W   7.2        2.4        6.9        7.2        0.0       25.5 
050731  154020  47  51.9210 N  63  22.2300 W   7.1        2.4        6.9        7.2        0.0       25.5 
050731  154022  47  51.9260 N  63  22.2310 W   7.3        2.4        6.9        7.2        0.0       25.5 
050731  154024  47  51.9300 N  63  22.2330 W   7.3        2.4        6.9        7.2        0.0       25.5 
050731  154026  47  51.9340 N  63  22.2340 W   7.2        2.4        6.9        7.2        0.0       25.5 
050731  154028  47  51.9380 N  63  22.2350 W   7.3        2.4        6.9        7.2        0.0       25.5 
050731  154030  47  51.9420 N  63  22.2360 W   7.0        2.4        6.9        7.2        0.0      504.5*
050731  154032  47  51.9450 N  63  22.2370 W   7.6        2.4        6.9        7.2        0.0      504.5 
050731  154034  47  51.9490 N  63  22.2380 W   7.3        2.4        6.9        7.2        0.0      504.5 
050731  154036  47  51.9530 N  63  22.2400 W   7.2        2.4        6.9        7.2        0.0      504.5 
