FileName: C:\2005NE~1\GP213.TXT
Local Time: Sat Jul 30 19:10:09 2005

Ship: Marco Michel Trip: 06 Tow: gp213
Comments: zone 12
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread WingSpread      Depth 
050730  221012  47  43.1170 N  62  31.7000 W   3.4       13.5*       2.5*      11.1*       0.0       44.9*
050730  221014  47  43.1160 N  62  31.6970 W   2.8       13.5        2.5       11.1        0.0       44.9 
050730  221015  47  43.1160 N  62  31.6960 W   2.6       13.5        2.5       11.1        0.0       44.9 
050730  221018  47  43.1140 N  62  31.6940 W   3.0        3.0*       2.5       11.1        0.0        2.6*
050730  221019  47  43.1130 N  62  31.6930 W   3.0        3.0        2.5       11.1        0.0        2.6 
050730  221021  47  43.1120 N  62  31.6910 W   3.1        3.0        2.5       11.1        0.0        2.6 
050730  221024  47  43.1100 N  62  31.6890 W   4.0        3.0        2.5       11.1        0.0        2.6 
050730  221025  47  43.1090 N  62  31.6880 W   4.6        3.0        2.5       11.1        0.0        2.6 
050730  221027  47  43.1070 N  62  31.6850 W   4.8        3.0        2.5       11.1        0.0        2.6 
050730  221030  47  43.1040 N  62  31.6800 W   5.2        3.0        2.5       11.1        0.0        2.6 
050730  221031  47  43.1030 N  62  31.6780 W   5.3        3.0        2.5       11.1        0.0        2.6 
050730  221033  47  43.1010 N  62  31.6750 W   6.1        3.0        2.5       11.1        0.0        2.6 
050730  221036  47  43.0970 N  62  31.6700 W   7.0        3.0        2.5       11.1        0.0        2.6 
050730  221037  47  43.0950 N  62  31.6680 W   7.1        3.0        2.5       11.1        0.0        2.6 
050730  221039  47  43.0920 N  62  31.6630 W   6.8        3.0        2.5        7.4*       0.0        2.6 
050730  221042  47  43.0880 N  62  31.6570 W   6.8        3.0        2.5        7.4        0.0        2.6 
050730  221043  47  43.0870 N  62  31.6550 W   6.9        3.0        2.5        7.4        0.0        2.6 
050730  221045  47  43.0830 N  62  31.6520 W   7.1        3.0        2.5        7.4        0.0        2.6 
050730  221048  47  43.0780 N  62  31.6460 W   7.8        3.0        2.5        7.4        0.0        2.6 
050730  221049  47  43.0760 N  62  31.6440 W   7.9        3.0        2.5        7.4        0.0        2.6 
050730  221051  47  43.0730 N  62  31.6390 W   7.8        3.0        2.5        7.4        0.0        2.6 
050730  221054  47  43.0680 N  62  31.6340 W   7.0        3.0        2.5        7.4        0.0      136.8*
050730  221055  47  43.0670 N  62  31.6320 W   7.4        3.0        2.5        7.4        0.0      136.8 
050730  221057  47  43.0630 N  62  31.6280 W   8.1        3.0        2.5        7.4        0.0      136.8 
050730  221100  47  43.0580 N  62  31.6210 W   8.2        3.0        2.5        7.4        0.0      136.8 
050730  221101  47  43.0560 N  62  31.6190 W   7.7        3.0        2.5        7.4        0.0      136.8 
050730  221103  47  43.0530 N  62  31.6150 W   6.9        3.0        2.5        7.4        0.0      136.8 
050730  221106  47  43.0490 N  62  31.6090 W   7.5        3.0        2.5        7.4        0.0      136.8 
050730  221107  47  43.0470 N  62  31.6070 W   7.5        3.0        2.5        7.4        0.0      136.8 
050730  221109  47  43.0440 N  62  31.6030 W   8.0        3.0        2.5        7.4        0.0      136.8 
050730  221112  47  43.0380 N  62  31.5980 W   7.2        3.0        2.5        7.4        0.0      136.8 
050730  221113  47  43.0370 N  62  31.5960 W   6.9        3.0        2.5        7.4        0.0      136.8 
050730  221115  47  43.0340 N  62  31.5920 W   7.3        3.0        2.5        7.4        0.0      136.8 
050730  221118  47  43.0290 N  62  31.5860 W   7.8        3.0        2.5        7.4        0.0      136.8 
050730  221119  47  43.0270 N  62  31.5840 W   7.8        3.0        2.5        7.4        0.0      136.8 
050730  221121  47  43.0230 N  62  31.5810 W   7.7        3.0        2.5        7.4        0.0      136.8 
050730  221124  47  43.0180 N  62  31.5760 W   7.7        3.0        2.5        7.4        0.0      136.8 
050730  221125  47  43.0160 N  62  31.5740 W   7.6        3.0        2.5        7.4        0.0      136.8 
050730  221127  47  43.0130 N  62  31.5700 W   7.6        3.0        2.5        7.4        0.0      136.8 
050730  221130  47  43.0070 N  62  31.5650 W   7.6        3.0        2.5        4.6*       0.0      136.8 
050730  221131  47  43.0050 N  62  31.5630 W   7.7        3.0        2.5        4.6        0.0      136.8 
050730  221133  47  43.0020 N  62  31.5600 W   7.2        3.0        2.5        4.6        0.0      136.8 
050730  221136  47  42.9970 N  62  31.5550 W   7.8        3.0        2.5        6.0*       0.0      136.8 
050730  221137  47  42.9950 N  62  31.5530 W   7.7        3.0        2.5        6.0        0.0      136.8 
050730  221139  47  42.9910 N  62  31.5490 W   7.9        3.0        2.5        6.0        0.0      136.8 
050730  221142  47  42.9850 N  62  31.5450 W   7.2        3.0        2.5        6.0        0.0      136.8 
050730  221143  47  42.9840 N  62  31.5430 W   7.1        3.0        2.5        6.0        0.0      136.8 
050730  221145  47  42.9810 N  62  31.5390 W   7.8        3.0        2.5        6.0        0.0      136.8 
050730  221148  47  42.9750 N  62  31.5350 W   7.9        3.0        2.5        6.0        0.0      136.8 
050730  221149  47  42.9730 N  62  31.5330 W   7.5        3.0        2.5        6.0        0.0      136.8 
050730  221151  47  42.9690 N  62  31.5300 W   7.3        3.0        2.5        6.0        0.0      136.8 
050730  221154  47  42.9640 N  62  31.5240 W   7.7        3.0        2.5        6.0        0.0      136.8 
050730  221155  47  42.9630 N  62  31.5220 W   7.5        3.0        2.5        6.0        0.0      136.8 
050730  221157  47  42.9590 N  62  31.5200 W   7.8        3.0        2.5        6.0        0.0      136.8 
050730  221200  47  42.9530 N  62  31.5140 W   7.4        3.0        2.5        6.0        0.0      136.8 
050730  221201  47  42.9520 N  62  31.5130 W   7.2        3.0        2.5        6.0        0.0      136.8 
050730  221203  47  42.9480 N  62  31.5090 W   7.4        3.0        2.5        6.0        0.0      136.8 
050730  221206  47  42.9430 N  62  31.5040 W   7.9        3.0        2.5        6.0        0.0      136.8 
050730  221207  47  42.9410 N  62  31.5020 W   7.7        3.0        2.5        6.0        0.0      136.8 
050730  221209  47  42.9380 N  62  31.4990 W   7.2        3.0        2.5        6.0        0.0      136.8 
050730  221212  47  42.9330 N  62  31.4950 W   6.8        3.0        2.5        6.0        0.0      136.8 
050730  221213  47  42.9310 N  62  31.4930 W   6.5        3.0        2.5        6.0        0.0      136.8 
050730  221215  47  42.9280 N  62  31.4900 W   6.7        3.0        2.5        6.0        0.0      136.8 
050730  221218  47  42.9240 N  62  31.4860 W   5.8        3.0        2.5        5.8*       0.0       31.2*
050730  221219  47  42.9230 N  62  31.4850 W   5.7        3.0       13.5*       5.8        0.0       31.2 
050730  221221  47  42.9200 N  62  31.4830 W   5.6        3.0       13.5        5.8        0.0       31.2 
050730  221224  47  42.9160 N  62  31.4780 W   5.5        3.0       13.5        8.3*       0.0       37.4*
050730  221225  47  42.9150 N  62  31.4770 W   5.7        3.0       13.5        8.3        0.0       37.4 
050730  221227  47  42.9120 N  62  31.4750 W   5.0        3.0       13.5        8.3        0.0       36.9*
