FileName: C:\2005NE~1\GP221.TXT
Local Time: Fri Aug 26 12:26:55 2005

Ship: Marco Michel Trip: 08 Tow: gp221
Comments: zone 12
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread WingSpread      Depth 
050826  152656  47  25.8000 N  62  35.9400 W   6.6        7.9*      13.1*      29.7*       0.0       17.6*
050826  152658  47  25.7970 N  62  35.9370 W   6.5        7.9       13.1       29.7        0.0       17.6 
050826  152700  47  25.7950 N  62  35.9330 W   6.3        7.9       13.1       29.7        0.0       17.6 
050826  152702  47  25.7920 N  62  35.9290 W   6.5        7.9       13.1       29.7        0.0       17.6 
050826  152704  47  25.7900 N  62  35.9250 W   6.3        7.9       13.1       29.7        0.0       17.6 
050826  152706  47  25.7880 N  62  35.9220 W   6.3        7.9       13.1       29.7        0.0       17.6 
050826  152708  47  25.7850 N  62  35.9180 W   6.2        7.9       13.1       29.7        0.0       17.6 
050826  152710  47  25.7830 N  62  35.9140 W   6.7        7.9       13.1       29.7        0.0       17.6 
050826  152712  47  25.7800 N  62  35.9110 W   5.8        7.9       13.1       29.7        0.0       17.6 
050826  152714  47  25.7780 N  62  35.9070 W   5.9        7.9       13.1       29.7        0.0       17.6 
050826  152716  47  25.7760 N  62  35.9040 W   5.5        7.9       13.1        1.6*       0.0       17.6 
050826  152718  47  25.7740 N  62  35.9020 W   5.7        7.9       13.1        1.6        0.0       17.6 
050826  152720  47  25.7710 N  62  35.8980 W   4.9        7.9       13.1        1.6        0.0       17.6 
050826  152722  47  25.7690 N  62  35.8960 W   5.6        7.9       13.1        1.6        0.0       17.6 
050826  152724  47  25.7670 N  62  35.8930 W   4.9        7.9       13.1        1.6        0.0       17.6 
050826  152726  47  25.7660 N  62  35.8900 W   5.0        7.9       13.1        1.6        0.0       17.6 
050826  152728  47  25.7630 N  62  35.8870 W   4.8        7.9       13.1        1.6        0.0       17.6 
050826  152730  47  25.7620 N  62  35.8850 W   5.0        7.9       13.1        1.6        0.0       17.6 
050826  152732  47  25.7600 N  62  35.8820 W   4.6        7.9       13.1        1.6        0.0       17.6 
050826  152734  47  25.7580 N  62  35.8800 W   4.6        7.9       13.1        1.6        0.0       17.6 
050826  152736  47  25.7560 N  62  35.8780 W   4.6        7.9       13.1        1.6        0.0       17.6 
050826  152738  47  25.7540 N  62  35.8760 W   4.4        7.9       13.1        1.6        0.0       17.6 
050826  152740  47  25.7520 N  62  35.8730 W   4.8        7.9       13.1        1.6        0.0       17.6 
050826  152742  47  25.7500 N  62  35.8720 W   4.9        7.9       13.1        1.6        0.0       17.6 
050826  152744  47  25.7470 N  62  35.8700 W   5.3        7.9       13.1        1.6        0.0       17.6 
050826  152746  47  25.7450 N  62  35.8670 W   5.9        7.9       13.1        1.6        0.0       17.6 
050826  152748  47  25.7420 N  62  35.8650 W   6.1        7.9       13.1        1.6        0.0       17.6 
050826  152750  47  25.7390 N  62  35.8620 W   6.2        7.9       13.1        1.6        0.0       17.6 
050826  152752  47  25.7360 N  62  35.8600 W   6.1        7.9       13.1        3.2*       0.0       17.6 
050826  152754  47  25.7320 N  62  35.8580 W   5.6        7.9       13.1        3.2        0.0       17.6 
050826  152756  47  25.7300 N  62  35.8560 W   5.2        7.9       13.1        3.2*       0.0       17.6 
050826  152758  47  25.7270 N  62  35.8540 W   4.7        7.9       13.1        3.2        0.0       17.6 
050826  152800  47  25.7250 N  62  35.8520 W   4.6        7.9       13.1        3.2        0.0       17.6 
050826  152802  47  25.7230 N  62  35.8500 W   4.5        7.9       13.1        3.5*       0.0        2.2*
050826  152804  47  25.7200 N  62  35.8490 W   4.8        7.9       13.1        3.5        0.0        2.2 
050826  152806  47  25.7180 N  62  35.8460 W   5.1        7.9       13.1        3.8*       0.0        2.2 
050826  152808  47  25.7150 N  62  35.8450 W   5.4        7.9       13.1        3.8        0.0        2.2 
050826  152810  47  25.7120 N  62  35.8430 W   5.4        7.9       13.1        3.8        0.0        2.2 
050826  152812  47  25.7100 N  62  35.8410 W   6.0        7.9       13.1        4.0*       0.0        2.2 
050826  152814  47  25.7070 N  62  35.8390 W   6.0        7.9       13.1        4.0        0.0        2.2 
050826  152816  47  25.7030 N  62  35.8370 W   6.4        7.9       13.1        4.0        0.0        2.2 
050826  152818  47  25.7000 N  62  35.8350 W   6.5        7.9       13.1        3.5*       0.0        2.2 
050826  152820  47  25.6960 N  62  35.8330 W   6.7        7.9       13.1        3.5        0.0        2.2 
050826  152822  47  25.6930 N  62  35.8320 W   6.9        7.9       13.1        3.5        0.0       29.9*
050826  152824  47  25.6890 N  62  35.8310 W   6.8        7.9       13.1        3.5        0.0       29.9 
050826  152826  47  25.6860 N  62  35.8290 W   6.9        7.9       13.1        3.5        0.0       29.9 
050826  152828  47  25.6820 N  62  35.8280 W   7.0        7.9       13.1        3.5        0.0       29.9 
050826  152830  47  25.6780 N  62  35.8260 W   7.0        7.9       13.1        3.5        0.0       29.9 
050826  152832  47  25.6740 N  62  35.8260 W   7.3        7.9       13.1        3.5        0.0       29.9 
050826  152834  47  25.6700 N  62  35.8240 W   7.5        7.9       13.1       73.1*       0.0       29.9 
050826  152836  47  25.6660 N  62  35.8240 W   6.9        7.9       13.1       73.1        0.0       29.9 
050826  152838  47  25.6620 N  62  35.8230 W   7.4        7.9       13.1        4.4*       0.0       29.9 
050826  152840  47  25.6580 N  62  35.8220 W   7.3        7.9       13.1        4.4        0.0       29.9 
050826  152842  47  25.6540 N  62  35.8210 W   7.4        7.9       13.1        4.4        0.0       29.9 
050826  152844  47  25.6500 N  62  35.8220 W   7.4        7.9       13.1       10.1*       0.0       29.9 
050826  152846  47  25.6460 N  62  35.8210 W   7.3        7.9       13.1       10.1        0.0       29.9 
050826  152848  47  25.6420 N  62  35.8200 W   7.4        7.9       13.1       10.1        0.0        8.8*
050826  152850  47  25.6380 N  62  35.8190 W   7.3        7.9       13.1       10.1        0.0        8.8 
050826  152852  47  25.6340 N  62  35.8190 W   7.3        7.9       13.1       10.1        0.0        8.8 
050826  152854  47  25.6300 N  62  35.8190 W   7.7        7.9       13.1       27.8*       0.0       52.8*
050826  152856  47  25.6260 N  62  35.8180 W   7.5        7.9       13.1       27.8        0.0       52.8 
050826  152858  47  25.6220 N  62  35.8170 W   7.4        7.9       13.1       27.8        0.0       52.8 
050826  152900  47  25.6180 N  62  35.8170 W   7.3        7.9       13.1        3.8*       0.0       52.8 
050826  152902  47  25.6140 N  62  35.8170 W   7.6        7.9       13.1        3.8        0.0       52.8 
050826  152904  47  25.6100 N  62  35.8160 W   7.1        7.9       13.1        6.0*       0.0       52.8 
050826  152906  47  25.6050 N  62  35.8150 W   7.6        7.9       13.1        6.0        0.0       52.8 
050826  152908  47  25.6010 N  62  35.8140 W   7.4        7.9       13.1        6.0        0.0       52.8 
050826  152910  47  25.5970 N  62  35.8130 W   7.4        7.9       13.1        6.4*       0.0       52.8 
050826  152912  47  25.5930 N  62  35.8120 W   7.5        7.9       13.1        6.4        0.0       52.8 
050826  152914  47  25.5890 N  62  35.8100 W   7.3        7.9       13.1        6.4        0.0       52.8 
050826  152916  47  25.5860 N  62  35.8080 W   7.1        7.9       13.1        6.4*       0.0       52.8 
050826  152918  47  25.5820 N  62  35.8060 W   7.2        7.9       13.1        6.4        0.0       52.8 
050826  152920  47  25.5780 N  62  35.8040 W   6.9        7.9       13.1        4.5*       0.0       52.8 
050826  152922  47  25.5750 N  62  35.8010 W   7.4        7.9       13.1        4.5        0.0       52.8 
050826  152924  47  25.5710 N  62  35.7980 W   7.3        7.9       13.1        4.5        0.0       52.8 
050826  152926  47  25.5670 N  62  35.7960 W   7.3        7.9       13.1        4.5        0.0       52.8 
050826  152928  47  25.5630 N  62  35.7930 W   7.3        7.9       13.1        4.5        0.0       52.8 
050826  152930  47  25.5600 N  62  35.7900 W   7.3        7.9       13.1        4.5        0.0       52.8 
050826  152932  47  25.5560 N  62  35.7880 W   7.3        7.9       13.1        4.5        0.0       52.8 
050826  152934  47  25.5530 N  62  35.7860 W   7.6        7.9       13.1        4.5        0.0       52.8 
050826  152936  47  25.5490 N  62  35.7830 W   7.5        7.9       13.1        4.5        0.0       52.8 
050826  152938  47  25.5450 N  62  35.7800 W   7.4        7.9       13.1        4.5        0.0       52.8 
