FileName: C:\2005NE~1\GP258.TXT
Local Time: Sat Sep 17 17:19:31 2005

Ship: Marco Michel Trip: 09 Tow: gp258
Comments: zone 19
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread WingSpread      Depth 
050917  201932  46  54.4950 N  61  14.6720 W   2.2       11.4*      11.5*       0.0        3.4*       7.5*
050917  201934  46  54.4940 N  61  14.6710 W   2.7       11.4       11.5        0.0        3.4        7.5 
050917  201936  46  54.4930 N  61  14.6700 W   2.1       11.4       11.5        0.0        3.4        7.5 
050917  201938  46  54.4930 N  61  14.6680 W   2.6       11.4       11.5        0.0        3.4       15.4*
050917  201940  46  54.4920 N  61  14.6660 W   3.0       11.4       11.5        0.0        3.4       15.4 
050917  201942  46  54.4900 N  61  14.6650 W   3.7       11.4       11.5        0.0        3.4       15.4 
050917  201944  46  54.4880 N  61  14.6630 W   4.4       11.4       11.5        0.0        3.4       10.1*
050917  201946  46  54.4860 N  61  14.6600 W   4.9       11.4       11.5        0.0        3.4       10.1 
050917  201948  46  54.4840 N  61  14.6570 W   5.7       11.4       11.5        0.0        3.4       10.1 
050917  201950  46  54.4810 N  61  14.6550 W   6.0       11.4       11.5        0.0        3.4       10.1 
050917  201952  46  54.4780 N  61  14.6520 W   5.9       11.4       11.5        0.0        3.4       10.1 
050917  201954  46  54.4760 N  61  14.6480 W   6.6       11.4       11.5        0.0        3.4       10.1 
050917  201956  46  54.4730 N  61  14.6450 W   6.9       11.4       11.5        0.0        3.4       10.1 
050917  201958  46  54.4690 N  61  14.6420 W   6.3       11.4       11.5        0.0        3.4       10.1 
050917  202000  46  54.4670 N  61  14.6390 W   6.8       11.4       11.5        0.0        3.4       10.1 
050917  202002  46  54.4640 N  61  14.6350 W   6.7       11.4       11.5        0.0        3.4       10.1 
050917  202004  46  54.4600 N  61  14.6320 W   7.2       11.4       11.5        0.0        3.4       10.1 
050917  202006  46  54.4570 N  61  14.6290 W   6.7       11.4       11.5        0.0        3.4       10.1 
050917  202008  46  54.4540 N  61  14.6260 W   7.0       11.4       11.5        0.0        3.4       10.1 
050917  202010  46  54.4510 N  61  14.6220 W   7.3       11.4       11.5        0.0        3.4       10.1 
050917  202012  46  54.4470 N  61  14.6200 W   7.2       11.4       11.5        0.0        3.4       10.1 
050917  202014  46  54.4430 N  61  14.6170 W   7.1       11.4       11.5        0.0        3.4       10.1 
050917  202016  46  54.4400 N  61  14.6140 W   7.1       11.4       11.5        0.0        3.4       10.1 
050917  202018  46  54.4360 N  61  14.6110 W   7.3       11.4       11.5        0.0        3.4       10.1 
050917  202020  46  54.4330 N  61  14.6090 W   7.5       11.4       11.5        0.0        3.4       10.1 
050917  202022  46  54.4290 N  61  14.6070 W   7.2       11.4       11.5        0.0        3.4       10.1 
050917  202024  46  54.4250 N  61  14.6050 W   7.2       11.4       11.5        0.0        3.4       10.1 
050917  202026  46  54.4210 N  61  14.6020 W   7.2       11.4       11.5        0.0        3.4       10.1 
050917  202028  46  54.4180 N  61  14.6000 W   7.2       11.4       11.5        0.0        3.4       10.1 
050917  202030  46  54.4140 N  61  14.5980 W   7.5       11.4       11.5        0.0        3.4       10.1 
050917  202032  46  54.4100 N  61  14.5960 W   7.1       11.4       11.5        0.0        3.4       10.1 
050917  202034  46  54.4060 N  61  14.5950 W   7.0       11.4       11.5        0.0        3.4       10.1 
050917  202036  46  54.4020 N  61  14.5930 W   7.4       11.4       11.5        0.0        3.4       10.1 
050917  202038  46  54.3980 N  61  14.5910 W   7.8       11.4       11.5        0.0        3.4       10.1 
050917  202040  46  54.3940 N  61  14.5900 W   7.3       11.4       11.5        0.0        3.4       10.1 
050917  202042  46  54.3900 N  61  14.5890 W   6.9       11.4       11.5        0.0        3.4       10.1 
050917  202044  46  54.3860 N  61  14.5870 W   7.3       11.4       11.5        0.0        3.4       10.1 
050917  202046  46  54.3830 N  61  14.5860 W   7.8       11.4       11.5        0.0        3.4       10.1 
