FileName: C:\2005NE~1\GP316.TXT
Local Time: Mon Aug 01 10:35:44 2005

Ship: Marco Michel Trip: 06 Tow: gp316
Comments: zone 12
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread WingSpread      Depth 
050801  133545  47  27.7650 N  63  48.5540 W   4.0        4.3*       2.3*       3.5*       0.0      104.3*
050801  133547  47  27.7660 N  63  48.5520 W   3.4        4.3        2.3        1.7*       0.0      104.3 
050801  133549  47  27.7680 N  63  48.5500 W   3.6        4.3        2.3        1.7        0.0      104.3 
050801  133551  47  27.7690 N  63  48.5480 W   2.8        4.3        2.3        1.7        0.0      104.3 
050801  133553  47  27.7710 N  63  48.5470 W   3.2        4.3        2.3        2.5*       0.0      104.3 
050801  133555  47  27.7720 N  63  48.5450 W   2.6        4.3        2.3        2.5        0.0      104.3 
050801  133557  47  27.7730 N  63  48.5440 W   2.8        4.3        2.3        2.5        0.0      104.3 
050801  133559  47  27.7740 N  63  48.5430 W   2.5        4.3       13.2*       2.5        0.0       73.5*
050801  133601  47  27.7750 N  63  48.5420 W   2.5        4.3       13.2        2.5        0.0       73.5 
050801  133603  47  27.7770 N  63  48.5400 W   3.4        4.3       13.2        2.9*       0.0       73.5 
050801  133605  47  27.7780 N  63  48.5390 W   3.2        4.3       13.2        2.9        0.0       73.5 
050801  133607  47  27.7800 N  63  48.5360 W   4.6        4.3       13.2        2.9        0.0       73.5 
050801  133609  47  27.7820 N  63  48.5340 W   4.4        4.3       13.2        2.9        0.0       73.5 
050801  133611  47  27.7840 N  63  48.5310 W   5.5        4.3       13.2        2.9        0.0       73.5 
050801  133613  47  27.7870 N  63  48.5280 W   5.4        4.3       13.2        2.9        0.0       73.5 
050801  133615  47  27.7890 N  63  48.5250 W   6.1        4.3       13.2        2.9        0.0       73.5 
050801  133617  47  27.7910 N  63  48.5210 W   6.6        4.3       13.2        2.9        0.0       73.5 
050801  133619  47  27.7940 N  63  48.5180 W   6.9        4.3       13.2        2.9        0.0       73.5 
050801  133621  47  27.7980 N  63  48.5140 W   6.5        4.3       13.2        2.9        0.0       73.5 
050801  133623  47  27.8000 N  63  48.5110 W   6.7        4.3       13.2        2.9        0.0       73.5 
050801  133625  47  27.8030 N  63  48.5070 W   7.3        4.3       13.2        2.9        0.0       73.5 
050801  133627  47  27.8060 N  63  48.5030 W   7.4        4.3       13.2        2.9        0.0       73.5 
050801  133629  47  27.8090 N  63  48.4980 W   7.1        4.3       13.2        2.9        0.0       73.5 
050801  133631  47  27.8120 N  63  48.4940 W   7.0        4.3       13.2        2.9        0.0       73.5 
050801  133633  47  27.8150 N  63  48.4900 W   7.5        4.3       13.2        2.9        0.0       73.5 
050801  133635  47  27.8170 N  63  48.4860 W   7.4        4.3       13.2        2.9        0.0       73.5 
050801  133637  47  27.8200 N  63  48.4820 W   7.6        4.3       13.2        2.9        0.0       73.5 
050801  133639  47  27.8230 N  63  48.4770 W   7.6        4.3       13.2        2.9        0.0       73.5 
050801  133641  47  27.8260 N  63  48.4730 W   7.4        4.3       13.2        2.9        0.0       73.5 
050801  133643  47  27.8290 N  63  48.4690 W   7.3        4.3       13.2        2.9        0.0       73.5 
050801  133645  47  27.8320 N  63  48.4640 W   7.5        4.3       13.2        2.9        0.0       73.5 
050801  133647  47  27.8350 N  63  48.4600 W   7.5        4.3       13.2        2.9        0.0       73.5 
050801  133649  47  27.8380 N  63  48.4560 W   7.7        4.3       13.2        2.9        0.0       73.5 
050801  133651  47  27.8410 N  63  48.4510 W   7.3        4.3       13.2        2.9        0.0       73.5 
050801  133653  47  27.8440 N  63  48.4470 W   7.4        4.3       13.2        2.9        0.0       73.5 
050801  133655  47  27.8470 N  63  48.4430 W   7.4        4.3       13.2        2.9        0.0       73.5 
050801  133657  47  27.8510 N  63  48.4390 W   7.8        4.3       13.2        2.9        0.0       73.5 
050801  133659  47  27.8540 N  63  48.4350 W   7.7        4.3       13.2        2.9        0.0       73.5 
050801  133701  47  27.8570 N  63  48.4310 W   7.5        4.3       13.2        2.9        0.0       73.5 
050801  133703  47  27.8600 N  63  48.4270 W   7.4        4.3       13.2        2.9        0.0       73.5 
050801  133705  47  27.8630 N  63  48.4230 W   7.5        4.3       13.2        2.9        0.0       73.5 
050801  133707  47  27.8660 N  63  48.4200 W   7.8        4.3       13.2        2.9        0.0       73.5 
050801  133709  47  27.8700 N  63  48.4160 W   7.7        4.3       13.2        2.9        0.0       73.5 
050801  133711  47  27.8730 N  63  48.4120 W   7.6        4.3       13.2        2.9        0.0       73.5 
050801  133713  47  27.8770 N  63  48.4080 W   7.4        4.3       13.2        2.9        0.0       73.5 
050801  133715  47  27.8800 N  63  48.4050 W   7.5        4.3       13.2        2.9        0.0       73.5 
050801  133717  47  27.8830 N  63  48.4010 W   7.8        4.3       13.2        2.9        0.0       73.5 
050801  133719  47  27.8870 N  63  48.3970 W   7.8        4.3       13.2        2.9        0.0       73.5 
050801  133721  47  27.8910 N  63  48.3930 W   7.4        4.3       13.2        2.9        0.0       73.5 
050801  133723  47  27.8940 N  63  48.3900 W   7.3        4.3       13.2        2.9        0.0       73.5 
050801  133725  47  27.8980 N  63  48.3870 W   7.9        4.3       13.2        2.9        0.0       73.5 
050801  133727  47  27.9020 N  63  48.3840 W   7.9        4.3       13.2        2.9        0.0       73.5 
050801  133729  47  27.9050 N  63  48.3800 W   7.2        4.3       13.2        2.9        0.0       30.8*
050801  133731  47  27.9090 N  63  48.3770 W   7.1        4.3       13.2        2.9        0.0       30.8 
050801  133733  47  27.9120 N  63  48.3750 W   6.8        4.3       13.2        2.9        0.0       30.8 
050801  133735  47  27.9150 N  63  48.3720 W   6.4        4.3       13.2        2.9        0.0       30.8 
050801  133737  47  27.9180 N  63  48.3690 W   6.4        4.3       13.2        6.3*       0.0       30.8 
050801  133739  47  27.9210 N  63  48.3670 W   6.2        4.3       13.2        6.3        0.0       30.8 
050801  133741  47  27.9240 N  63  48.3640 W   6.1        4.3       13.2        6.3        0.0       30.8 
050801  133743  47  27.9270 N  63  48.3610 W   6.0        4.3       13.2        6.3        0.0       30.8 
050801  133745  47  27.9290 N  63  48.3590 W   5.9        4.3       13.2        6.3        0.0       30.8 
050801  133747  47  27.9320 N  63  48.3560 W   6.0        4.3       13.2        6.3        0.0       30.8 
050801  133749  47  27.9350 N  63  48.3540 W   5.8        4.3       13.2        6.3        0.0       26.0*
