FileName: C:\2005CA~1\CTY0092.TXT
Local Time: Wed Oct 05 17:20:56 2005

Ship: Marco Michel Trip: 01 Tow: cty0092
Comments: zone 12
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread WingSpread      Depth 
051005  202057  47  38.8440 N  62  32.8800 W   1.4        2.6*      11.4*       2.6*       2.9*      10.5*
051005  202059  47  38.8440 N  62  32.8790 W   1.8        2.6       11.4        2.6        2.9       11.4*
051005  202101  47  38.8460 N  62  32.8780 W   2.0        2.6       11.4        2.6        2.9       11.4 
051005  202103  47  38.8460 N  62  32.8770 W   2.4        2.6        2.3*       2.6        2.9       11.4 
051005  202105  47  38.8480 N  62  32.8760 W   3.5        2.6        2.3        2.6        2.9       15.4*
051005  202107  47  38.8490 N  62  32.8740 W   3.6        2.6        2.3        2.6       63.1*      15.4 
051005  202109  47  38.8520 N  62  32.8720 W   5.1        2.9*       2.3        2.6       63.1       15.4 
051005  202111  47  38.8540 N  62  32.8700 W   4.7        2.9        2.3        2.6       63.1       15.4 
051005  202113  47  38.8570 N  62  32.8680 W   5.5        2.9        2.3        2.6       63.1       15.4 
051005  202115  47  38.8590 N  62  32.8660 W   6.0        2.9        2.3        2.6       63.1       15.4 
051005  202117  47  38.8630 N  62  32.8630 W   6.1        2.9        2.3        2.6       63.1       15.4 
051005  202119  47  38.8650 N  62  32.8600 W   5.8        2.9        2.3        2.6       63.1       15.4 
051005  202121  47  38.8690 N  62  32.8580 W   7.0        2.9        2.3        2.6       63.1       15.4 
051005  202123  47  38.8720 N  62  32.8550 W   5.7        2.9        2.3        2.6       63.1       15.4 
051005  202125  47  38.8750 N  62  32.8530 W   7.7        2.9        2.3        2.6       63.1       15.4 
051005  202127  47  38.8780 N  62  32.8500 W   5.9        2.9        2.3        2.6       63.1       15.4 
051005  202129  47  38.8810 N  62  32.8460 W   6.2        2.9        2.3        1.1*      63.1       15.4 
051005  202131  47  38.8840 N  62  32.8440 W   7.2        2.9        2.3        1.1       63.1       15.4 
051005  202133  47  38.8870 N  62  32.8400 W   5.6        2.9        2.3        1.1       63.1       15.4 
051005  202135  47  38.8900 N  62  32.8380 W   7.2        2.9        2.3        1.1       63.1       15.4 
051005  202137  47  38.8930 N  62  32.8350 W   5.8        2.9        2.3        1.1       63.1       15.4 
051005  202139  47  38.8960 N  62  32.8320 W   6.5        2.9        2.3        1.1       63.1       15.4 
051005  202141  47  38.8990 N  62  32.8290 W   6.9        2.9        2.3        1.1       63.1       15.4 
051005  202143  47  38.9020 N  62  32.8260 W   6.1        2.9        2.3        1.1       63.1       15.4 
051005  202145  47  38.9050 N  62  32.8220 W   7.2        2.9        2.3        1.1       63.1       15.4 
051005  202147  47  38.9080 N  62  32.8190 W   6.2        2.9        2.3        1.1       63.1       15.4 
051005  202149  47  38.9110 N  62  32.8160 W   7.2        2.9        2.3        1.1       63.1       15.4 
051005  202151  47  38.9140 N  62  32.8120 W   6.2        2.9        2.3        1.1       63.1       15.4 
051005  202153  47  38.9170 N  62  32.8090 W   6.9        2.9        2.3        1.1       63.1       15.4 
051005  202155  47  38.9200 N  62  32.8060 W   6.9        2.9        2.3        1.1       63.1       15.4 
051005  202157  47  38.9230 N  62  32.8030 W   6.7        2.9        2.3        1.1       63.1       15.4 
051005  202159  47  38.9260 N  62  32.7990 W   6.7        2.9        2.3        1.1        6.7*      15.4 
051005  202201  47  38.9290 N  62  32.7960 W   6.9        2.9        2.3        1.1        6.7       53.2*
051005  202203  47  38.9320 N  62  32.7930 W   6.8        2.9        2.3        1.1        6.7       53.2 
051005  202205  47  38.9350 N  62  32.7890 W   6.7        2.9        2.3        1.1        5.4*      53.2 
051005  202207  47  38.9380 N  62  32.7860 W   7.1        2.9        2.3        1.1        5.4       53.2 
051005  202209  47  38.9410 N  62  32.7830 W   7.2        2.9        2.3        1.1        5.4       53.2 
051005  202211  47  38.9440 N  62  32.7790 W   6.3        2.9        2.3        1.1        6.0*      53.2 
051005  202213  47  38.9470 N  62  32.7760 W   7.2        2.9        2.3        1.1        6.0       53.2 
051005  202215  47  38.9500 N  62  32.7730 W   6.6        2.9        2.3        1.1        9.1*      53.2 
051005  202217  47  38.9530 N  62  32.7700 W   6.7        2.9        2.3        1.1        9.1       58.4*
051005  202219  47  38.9560 N  62  32.7670 W   7.3        2.9        2.3        1.1        9.1       58.4 
051005  202221  47  38.9590 N  62  32.7630 W   6.7        2.9        2.3        1.1        9.1       58.4 
051005  202223  47  38.9630 N  62  32.7590 W   6.7        2.9        2.3        1.1        9.1       33.8*
051005  202225  47  38.9650 N  62  32.7550 W   7.1        2.9        2.3        1.1        9.1       33.8 
051005  202227  47  38.9680 N  62  32.7510 W   6.8        2.9        2.3        1.1        9.1       33.8 
051005  202229  47  38.9710 N  62  32.7470 W   6.9        2.9        2.3        1.1        9.1       33.8 
051005  202231  47  38.9740 N  62  32.7430 W   7.2        2.9        2.3        1.1        9.1       33.8 
