FileName: C:\2005CA~1\CTY0111.TXT
Local Time: Wed Oct 05 19:56:01 2005

Ship: Marco Michel Trip: 01 Tow: cty0111
Comments: zone 12
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread WingSpread      Depth 
051005  225602  47  31.2870 N  62  46.5790 W   1.8        2.3*       4.8*       2.6*       3.2*       5.3*
051005  225604  47  31.2870 N  62  46.5810 W   1.8        2.3        4.8        2.6        2.7*       5.3 
051005  225606  47  31.2870 N  62  46.5820 W   1.5        2.3        4.8        2.6*       2.7        5.3 
051005  225608  47  31.2860 N  62  46.5840 W   1.9        2.3        4.8        2.6        3.5*       8.3*
051005  225610  47  31.2860 N  62  46.5850 W   1.9        2.3        4.8        2.6        3.5        8.3 
051005  225612  47  31.2860 N  62  46.5870 W   2.8        2.3        4.8        2.6        3.5        8.3 
051005  225614  47  31.2860 N  62  46.5890 W   3.2        2.3        4.8        2.6        3.5        8.3 
051005  225616  47  31.2850 N  62  46.5930 W   3.9        2.3        4.8        2.6        3.5        8.3 
051005  225618  47  31.2850 N  62  46.5960 W   4.3        2.3        4.8        2.6        3.5        8.3 
051005  225620  47  31.2850 N  62  46.6000 W   4.9        2.3        4.8        2.6        3.5        8.3 
051005  225622  47  31.2850 N  62  46.6050 W   5.4        2.3        4.8        2.6        3.5        8.3 
051005  225624  47  31.2840 N  62  46.6090 W   5.5        2.3        4.8        2.6        3.5        8.3 
051005  225626  47  31.2830 N  62  46.6130 W   5.6        2.3        4.8        2.6        3.5        8.3 
051005  225628  47  31.2830 N  62  46.6180 W   6.3        2.3        4.8        2.6        3.5        8.3 
051005  225630  47  31.2820 N  62  46.6240 W   6.3        2.3        4.8        2.6        3.5        8.3 
051005  225632  47  31.2820 N  62  46.6290 W   6.2        2.3        4.8        2.6        3.5        8.3 
051005  225634  47  31.2820 N  62  46.6340 W   6.2        2.3        4.8        2.6        3.5        8.3 
051005  225636  47  31.2810 N  62  46.6400 W   6.7        2.3        4.8        2.6        3.5        8.3 
051005  225638  47  31.2800 N  62  46.6450 W   6.8        2.3        4.8        2.6        3.5        8.3 
051005  225640  47  31.2790 N  62  46.6500 W   6.6        2.3        4.8        2.6        3.5        8.3 
051005  225642  47  31.2780 N  62  46.6550 W   6.3        2.3        4.8        2.6        3.5        8.3 
051005  225644  47  31.2770 N  62  46.6600 W   6.7        2.3        4.8        2.6        3.5        8.3 
051005  225646  47  31.2760 N  62  46.6660 W   7.0        2.3        4.8        2.6        3.5        8.3 
