FileName: C:\2005CA~1\CTY0151.TXT
Local Time: Wed Oct 05 22:34:06 2005

Ship: Marco Michel Trip: 01 Tow: cty0151
Comments: zone 12
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread WingSpread      Depth 
051006  013407  47  29.0870 N  62  45.8950 W   2.6        3.1*      10.9*      27.2*       1.0*      24.6*
051006  013409  47  29.0850 N  62  45.8960 W   2.7        3.1       10.9       27.2        1.0       24.6 
051006  013411  47  29.0840 N  62  45.8960 W   2.5        2.7*      10.9       27.2        6.4*      24.6 
051006  013413  47  29.0830 N  62  45.8980 W   2.3        2.7       10.9       27.2        6.4       24.6 
051006  013415  47  29.0820 N  62  45.8980 W   2.6        2.7       10.9        6.9*       3.8*      24.6 
051006  013417  47  29.0810 N  62  45.8990 W   2.8        2.7        2.8*       6.9        3.8       35.6*
051006  013419  47  29.0790 N  62  45.9010 W   3.7        2.7        2.8        6.9        3.8       35.6 
051006  013421  47  29.0770 N  62  45.9020 W   4.5        2.7        2.8        6.9        3.8       35.6 
051006  013423  47  29.0740 N  62  45.9040 W   5.0        2.7        2.8        6.9        3.8       35.6 
051006  013425  47  29.0700 N  62  45.9050 W   5.5        2.8*       2.8        6.9        3.8       35.6 
051006  013427  47  29.0670 N  62  45.9070 W   6.1        2.8        2.8        6.9        3.8       35.6 
051006  013429  47  29.0640 N  62  45.9090 W   6.1        2.8        2.8        6.9        3.8       35.6 
051006  013431  47  29.0610 N  62  45.9110 W   6.4        2.8        2.8        6.9        3.8       35.6 
051006  013433  47  29.0570 N  62  45.9130 W   6.9        2.8        2.8        6.9        3.8       35.6 
051006  013435  47  29.0540 N  62  45.9150 W   6.7        2.8        2.8        6.9        3.8       35.6 
051006  013437  47  29.0500 N  62  45.9170 W   6.9        2.8        2.8        6.9        3.8       35.6 
051006  013439  47  29.0460 N  62  45.9190 W   7.3        2.8        2.8        6.9        3.8       35.6 
051006  013441  47  29.0420 N  62  45.9220 W   7.2        2.8        2.8        6.9        3.8       35.6 
051006  013443  47  29.0390 N  62  45.9240 W   7.0        2.8        2.8        6.9        3.8       35.6 
051006  013445  47  29.0360 N  62  45.9270 W   7.3        2.8        2.8        6.9        3.8       35.6 
051006  013447  47  29.0330 N  62  45.9290 W   7.6        2.8        2.8        6.9        3.8       35.6 
051006  013449  47  29.0290 N  62  45.9330 W   7.6        2.8        2.8        6.9        3.8       35.6 
051006  013451  47  29.0250 N  62  45.9350 W   7.2        2.8        2.8        6.9        3.8       35.6 
051006  013453  47  29.0210 N  62  45.9380 W   7.2        2.8        2.8        6.9        3.8       35.6 
051006  013455  47  29.0180 N  62  45.9410 W   7.4        2.8        2.8        6.9        3.8       35.6 
051006  013457  47  29.0140 N  62  45.9440 W   7.7        2.8        2.8        6.9        4.7*      35.6 
051006  013459  47  29.0100 N  62  45.9470 W   7.5        2.8        2.8        6.9        4.7       35.6 
051006  013501  47  29.0060 N  62  45.9500 W   7.4        2.8        2.8        6.9        4.7       35.6 
051006  013503  47  29.0030 N  62  45.9530 W   7.2        2.8        2.8        6.9        5.9*      35.6 
051006  013505  47  29.0000 N  62  45.9570 W   7.5        2.8        2.8        6.9        5.9       35.6 
051006  013507  47  28.9970 N  62  45.9600 W   7.4        2.8        2.8        6.9        5.9       35.6 
051006  013509  47  28.9930 N  62  45.9640 W   7.4        2.8        2.8        6.9        5.2*      35.6 
051006  013511  47  28.9900 N  62  45.9660 W   7.6        2.8        2.8        6.9        5.2       35.6 
051006  013513  47  28.9860 N  62  45.9700 W   7.5        2.8        2.8        6.9        5.3*      35.6 
051006  013515  47  28.9820 N  62  45.9740 W   7.4        2.8        2.8        6.9        5.3       35.6 
051006  013517  47  28.9790 N  62  45.9770 W   7.2        2.8        2.8        6.9        5.3       35.6 
051006  013519  47  28.9760 N  62  45.9810 W   7.2        2.8        2.8        6.9        6.4*      35.6 
051006  013521  47  28.9720 N  62  45.9840 W   7.2        2.8        2.8        6.9        6.4       35.6 
051006  013523  47  28.9690 N  62  45.9870 W   7.6        2.8        2.8        6.9        5.6*      35.6 
051006  013525  47  28.9660 N  62  45.9910 W   7.6        2.8        2.8        6.9        5.6       35.6 
051006  013527  47  28.9630 N  62  45.9950 W   7.2        2.8        2.8        6.9        5.6       35.6 
051006  013529  47  28.9590 N  62  45.9990 W   7.0        2.8        2.8        6.9        8.2*      35.6 
051006  013531  47  28.9560 N  62  46.0020 W   7.3        2.8        2.8        6.9        8.2       35.6 
051006  013533  47  28.9520 N  62  46.0050 W   7.9        2.8        2.8        6.9        8.2       35.6 
051006  013535  47  28.9490 N  62  46.0090 W   7.4        2.8        2.8        6.9        8.3*      35.6 
051006  013537  47  28.9450 N  62  46.0130 W   7.0        2.8        2.8        6.9        8.3       35.6 
051006  013539  47  28.9420 N  62  46.0160 W   7.0        2.8        2.8        6.9        2.6*      35.6 
051006  013541  47  28.9390 N  62  46.0200 W   7.4        2.8        2.8        6.9        2.6       35.6 
051006  013543  47  28.9360 N  62  46.0240 W   7.6        2.8        2.8        6.9        2.6       35.6 
051006  013545  47  28.9330 N  62  46.0280 W   7.0        2.8        2.8       82.0*       9.2*      35.6 
051006  013547  47  28.9290 N  62  46.0300 W   7.1        2.8        2.8       82.0        9.2       35.6 
051006  013549  47  28.9260 N  62  46.0340 W   7.2        2.8        2.8       82.0        9.2       35.6 
051006  013551  47  28.9230 N  62  46.0380 W   7.3        2.8        2.8       82.0        8.9*      35.6 
051006  013553  47  28.9200 N  62  46.0420 W   7.1        2.8        2.8       82.0        8.9       35.6 
051006  013555  47  28.9160 N  62  46.0450 W   7.1        2.8        2.8       82.0        8.9       35.6 
051006  013557  47  28.9130 N  62  46.0490 W   7.3        2.8        2.8       82.0        8.9       35.6 
051006  013559  47  28.9090 N  62  46.0530 W   7.5        2.8        2.8       82.0        8.9       35.6 
051006  013601  47  28.9060 N  62  46.0560 W   6.7        2.8        2.8       82.0        8.9       35.6 
051006  013603  47  28.9030 N  62  46.0580 W   5.8        2.8        2.8       82.0        8.9       35.6 
051006  013605  47  28.9010 N  62  46.0610 W   5.3        2.8        4.3*       5.1*       8.9       35.6 
051006  013607  47  28.8990 N  62  46.0640 W   5.5        2.8        4.3        5.1        8.9       35.6 
051006  013609  47  28.8970 N  62  46.0660 W   5.2        2.8        4.3        5.1        8.9       35.6 
051006  013611  47  28.8940 N  62  46.0680 W   5.0        2.8        4.3        4.7*       8.9       35.6 
051006  013613  47  28.8920 N  62  46.0710 W   4.7        2.8        4.3        4.7        8.9       35.6 
051006  013615  47  28.8900 N  62  46.0730 W   4.8        2.8        4.3        4.7        8.9       35.6 
051006  013617  47  28.8880 N  62  46.0750 W   4.8        2.8        4.3        5.9*       8.9       35.6 
051006  013619  47  28.8860 N  62  46.0780 W   4.8        2.8        4.3        5.9        8.9       55.4*
051006  013621  47  28.8840 N  62  46.0800 W   4.7        2.8        4.3        6.6*       4.7*      55.4 
051006  013623  47  28.8820 N  62  46.0820 W   4.5        2.8        4.3        6.6        4.7       22.0*
051006  013625  47  28.8800 N  62  46.0840 W   4.6        2.8        4.3        6.6        4.7       22.0 
051006  013627  47  28.8770 N  62  46.0870 W   4.9        2.8        4.3        4.0*       4.0*      22.0 
051006  013629  47  28.8740 N  62  46.0890 W   4.7        2.8        4.3        4.0        4.0       61.9*
051006  013631  47  28.8720 N  62  46.0910 W   4.6        2.8        4.3        5.0*       4.0       61.9 
051006  013633  47  28.8700 N  62  46.0930 W   4.7        2.8        4.3        5.0        7.1*      61.9 
051006  013635  47  28.8680 N  62  46.0950 W   4.4        2.8        4.3        5.0        7.1       17.6*
051006  013637  47  28.8660 N  62  46.0980 W   4.5        2.8        4.3       11.9*       7.8*      17.6 
051006  013639  47  28.8640 N  62  46.1000 W   4.7        2.8        4.3       11.9        7.8       39.5*
051006  013641  47  28.8610 N  62  46.1020 W   5.1        2.8        4.3       11.9        7.8       39.5 
051006  013643  47  28.8590 N  62  46.1040 W   4.5        2.8        4.3       11.9        5.0*      39.5 
051006  013645  47  28.8580 N  62  46.1070 W   4.4        2.8        4.3       11.9        5.0       58.9*
051006  013647  47  28.8560 N  62  46.1090 W   4.8        2.8        4.3       10.1*       5.0       58.9 
051006  013649  47  28.8540 N  62  46.1120 W   4.8        2.8        4.3       10.1        5.0       58.9 
051006  013651  47  28.8510 N  62  46.1140 W   4.5        2.8        4.3       10.1        5.0       31.6*
051006  013653  47  28.8490 N  62  46.1160 W   4.5        2.5*       4.3       10.1       31.5*      31.6 
051006  013655  47  28.8470 N  62  46.1180 W   4.6        2.5        4.3       10.1       31.5       34.7*
051006  013657  47  28.8450 N  62  46.1200 W   4.6        2.5        4.3       10.1       31.5       34.7 
051006  013659  47  28.8420 N  62  46.1220 W   4.4        2.5        4.3        5.6*       6.5*      34.7 
051006  013701  47  28.8410 N  62  46.1250 W   4.6        2.5        4.3        5.6        6.5       31.2*
051006  013703  47  28.8390 N  62  46.1270 W   4.4        2.5        4.3        5.4*       5.7*      31.2 
051006  013705  47  28.8370 N  62  46.1300 W   4.7        2.5        4.3        5.4        5.7       47.4*
051006  013707  47  28.8350 N  62  46.1320 W   4.8        2.5        4.3        5.4        5.7       47.4 
051006  013709  47  28.8320 N  62  46.1350 W   4.7        2.5        4.3        4.7*       5.1*      47.4 
051006  013711  47  28.8300 N  62  46.1370 W   4.6        2.5        4.3        4.7        5.1       47.4 
051006  013713  47  28.8280 N  62  46.1390 W   4.8        2.5        4.3        5.0*       5.1       47.4 
051006  013715  47  28.8260 N  62  46.1410 W   4.6        2.6*       4.3        5.0        5.1       47.4 
051006  013717  47  28.8240 N  62  46.1430 W   4.6        2.6        4.3        5.0        5.1       47.4 
051006  013719  47  28.8220 N  62  46.1460 W   4.7        2.6        4.3        8.6*       5.1       47.4 
051006  013721  47  28.8210 N  62  46.1480 W   5.0        2.6        4.3        8.6        5.1       47.4 
051006  013723  47  28.8180 N  62  46.1500 W   4.5        2.6        4.3        8.6        5.1       47.4 
051006  013725  47  28.8160 N  62  46.1530 W   4.8        2.6        4.3        2.0*       5.1       47.4 
051006  013727  47  28.8140 N  62  46.1550 W   4.6        2.6        4.3        2.0        5.1       59.3*
051006  013729  47  28.8110 N  62  46.1570 W   4.8        2.6        4.3        8.9*       5.1       59.3 
051006  013731  47  28.8090 N  62  46.1600 W   4.7        2.6        4.3        8.9        5.1       59.3 
051006  013733  47  28.8070 N  62  46.1620 W   4.6        2.6        4.3        8.9        5.1       26.8*
051006  013735  47  28.8050 N  62  46.1640 W   4.8        2.6        4.3        1.1*       5.1       26.8 
051006  013737  47  28.8030 N  62  46.1660 W   4.5        2.6        4.3        1.1        5.1       37.8*
051006  013739  47  28.8010 N  62  46.1680 W   4.8        2.6        4.3        1.1        5.1       37.8 
051006  013741  47  28.7980 N  62  46.1710 W   4.5        2.6        4.3        6.9*       5.1       37.8 
051006  013743  47  28.7960 N  62  46.1730 W   4.8        2.6        4.3        6.9        5.1       41.3*
051006  013745  47  28.7940 N  62  46.1750 W   4.5        2.6        4.3        6.9        5.1       41.3 
051006  013747  47  28.7920 N  62  46.1770 W   4.8        2.6        4.3        6.9        5.1       41.3 
051006  013749  47  28.7910 N  62  46.1800 W   4.6        2.6        4.3        6.9        5.1       40.9*
051006  013751  47  28.7880 N  62  46.1820 W   5.1        2.6        4.3        6.9        5.1       40.9 
051006  013753  47  28.7860 N  62  46.1850 W   4.7        2.6        4.3        6.9        5.1       36.9*
051006  013755  47  28.7830 N  62  46.1870 W   5.0        2.6        4.3        6.1*       5.1       36.9 
051006  013757  47  28.7810 N  62  46.1880 W   4.7        2.6        4.3        6.1        5.1       36.9 
051006  013759  47  28.7790 N  62  46.1900 W   4.6        2.6        4.3        6.1        5.1       36.9 
051006  013801  47  28.7770 N  62  46.1930 W   4.0        2.6        4.3        3.2*       5.1       36.9 
051006  013803  47  28.7760 N  62  46.1950 W   3.8        2.6        4.3        3.2        5.1       36.9 
051006  013805  47  28.7740 N  62  46.1970 W   2.9        2.6        4.3        5.6*       5.1       36.9 
051006  013807  47  28.7730 N  62  46.1990 W   2.6        2.6        4.3        5.6        5.1       36.9 
051006  013809  47  28.7720 N  62  46.2000 W   2.0        2.6        2.5*       5.6        5.1       48.3*
051006  013811  47  28.7710 N  62  46.2000 W   1.7        2.6        2.5        6.0*      35.3*      48.3 
051006  013813  47  28.7710 N  62  46.2010 W   2.0        2.6        2.5        6.0       35.3       48.3 
051006  013815  47  28.7700 N  62  46.2030 W   1.4        2.6        2.5        6.0       35.3       46.1*
051006  013817  47  28.7700 N  62  46.2040 W   1.7        3.0*       2.5        7.3*      35.3       46.1 
051006  013819  47  28.7690 N  62  46.2050 W   1.5        3.0        2.5        7.3       35.3       46.1 
051006  013821  47  28.7690 N  62  46.2060 W   1.4        3.0        2.5        2.8*      35.3       31.2*
051006  013823  47  28.7680 N  62  46.2060 W   1.4        3.0        2.5        2.8       37.4*      31.2 
051006  013825  47  28.7670 N  62  46.2070 W   1.5        3.0        2.5        2.8       37.4       49.2*
