FileName: C:\2006NE~1\GP244S.TXT
Local Time: Sat Jun 03 15:47:16 2006

Ship: Marco Michel Trip: 01 Tow: GP 244S
Comments: Spring trawl    Zone 19
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary WingSpread      Depth 
060603  184717  47   2.5390 N  60  49.2350 W   4.3        3.7*      11.5*       2.6*      19.8*
060603  184719  47   2.5410 N  60  49.2340 W   4.0        3.7       11.5        2.6       19.8 
060603  184721  47   2.5440 N  60  49.2320 W   4.1        3.7       11.5        2.6       19.8 
060603  184723  47   2.5460 N  60  49.2310 W   3.7        3.7       11.5       13.1*      19.8 
060603  184725  47   2.5480 N  60  49.2300 W   3.7        3.7       11.5       13.1       19.8 
060603  184727  47   2.5490 N  60  49.2280 W   3.7        3.7       11.5       13.1       19.8 
060603  184729  47   2.5510 N  60  49.2270 W   3.6        3.7        2.3*      13.1       19.8 
060603  184731  47   2.5530 N  60  49.2260 W   3.4        3.7        2.3       13.1        0.4*
060603  184733  47   2.5550 N  60  49.2250 W   3.5        3.7        2.3        3.3*       0.4 
060603  184735  47   2.5570 N  60  49.2240 W   3.1        3.7        2.3        3.3        0.4 
060603  184737  47   2.5580 N  60  49.2230 W   3.6        5.2*       2.3        3.3        7.5*
060603  184739  47   2.5600 N  60  49.2220 W   3.1        5.2        2.3        3.6*       7.5 
060603  184741  47   2.5620 N  60  49.2210 W   3.5        5.2        2.3        3.6        7.5 
060603  184743  47   2.5640 N  60  49.2200 W   4.1        5.2        2.3        3.2*       7.5 
060603  184745  47   2.5660 N  60  49.2180 W   4.6        5.2        2.3        3.2        7.5 
060603  184747  47   2.5690 N  60  49.2170 W   5.3        5.2        2.3        3.2        7.5 
060603  184749  47   2.5720 N  60  49.2150 W   6.0        5.2        2.3        3.2        7.5 
060603  184751  47   2.5750 N  60  49.2130 W   6.3        5.2        2.3        3.2        7.5 
060603  184753  47   2.5790 N  60  49.2110 W   6.9        5.2        2.3        3.2        7.5 
060603  184755  47   2.5820 N  60  49.2090 W   7.2        5.2        2.3        3.2        7.5 
060603  184757  47   2.5860 N  60  49.2070 W   7.4        5.2        2.3        3.2        7.5 
060603  184759  47   2.5900 N  60  49.2050 W   7.5        5.2        2.3        3.2        7.5 
060603  184801  47   2.5940 N  60  49.2020 W   8.0        5.2        2.3        3.2        7.5 
060603  184803  47   2.5980 N  60  49.1990 W   7.8        5.2        2.3        3.2        7.5 
060603  184805  47   2.6020 N  60  49.1960 W   7.8        5.2        2.3        3.2        7.5 
060603  184807  47   2.6060 N  60  49.1930 W   8.1        5.2        2.3        3.2        7.5 
060603  184809  47   2.6090 N  60  49.1900 W   7.9        5.2        2.3        3.2        7.5 
060603  184811  47   2.6130 N  60  49.1860 W   7.9        5.2        2.3        3.2        7.5 
060603  184813  47   2.6170 N  60  49.1830 W   8.1        5.2        2.3        3.2        7.5 
060603  184815  47   2.6210 N  60  49.1790 W   7.9        5.2        2.3        3.2        7.5 
060603  184817  47   2.6240 N  60  49.1750 W   8.2        5.2        2.3        3.2        7.5 
060603  184819  47   2.6280 N  60  49.1710 W   8.0        5.2        2.3        3.2        7.5 
060603  184821  47   2.6310 N  60  49.1670 W   8.0        5.2        2.3        3.2        7.5 
060603  184823  47   2.6350 N  60  49.1640 W   7.9        5.2        2.3        3.2        7.5 
060603  184825  47   2.6380 N  60  49.1600 W   7.8        5.2        2.3        3.2        7.5 
060603  184827  47   2.6420 N  60  49.1560 W   7.7        5.2        2.3        3.2        7.5 
060603  184829  47   2.6450 N  60  49.1520 W   7.8        5.2        2.3        3.2        7.5 
060603  184831  47   2.6490 N  60  49.1470 W   7.8        5.2        2.3        3.2        7.5 
060603  184833  47   2.6520 N  60  49.1430 W   7.7        5.2        2.3        3.2        7.5 
060603  184835  47   2.6550 N  60  49.1390 W   7.9        5.2        2.3        3.2        7.5 
060603  184837  47   2.6580 N  60  49.1350 W   7.7        5.2        2.3        3.2        7.5 
060603  184839  47   2.6620 N  60  49.1310 W   7.7        5.2        2.3        3.2        7.5 
060603  184841  47   2.6650 N  60  49.1270 W   7.8        5.2        2.3        3.2        7.5 
060603  184843  47   2.6680 N  60  49.1220 W   7.8        5.2        2.3        3.2        7.5 
060603  184845  47   2.6710 N  60  49.1180 W   7.6        5.2        2.3        3.2        7.5 
060603  184847  47   2.6740 N  60  49.1140 W   7.8        5.2        2.3        3.2        7.5 
060603  184849  47   2.6770 N  60  49.1090 W   7.8        5.2        2.3        3.2        7.5 
060603  184851  47   2.6810 N  60  49.1050 W   7.6        5.2        2.3        3.2        7.5 
060603  184853  47   2.6840 N  60  49.1000 W   7.8        5.2        2.3        3.2        7.5 
060603  184855  47   2.6860 N  60  49.0960 W   7.7        5.2        2.3        3.2        7.5 
060603  184857  47   2.6890 N  60  49.0910 W   7.8        5.2        2.3        3.2        7.5 
060603  184859  47   2.6920 N  60  49.0860 W   7.8        5.2        2.3        3.2        7.5 
060603  184901  47   2.6950 N  60  49.0810 W   7.8        5.2        2.3        3.2        7.5 
060603  184903  47   2.6970 N  60  49.0760 W   7.8        5.2        2.3        3.2        7.5 
060603  184905  47   2.7000 N  60  49.0710 W   7.8        5.2        2.3        3.2        7.5 
060603  184907  47   2.7020 N  60  49.0650 W   7.9        5.2        2.3        3.2        7.5 
060603  184909  47   2.7050 N  60  49.0600 W   7.8        5.2        2.3        3.2        7.5 
060603  184911  47   2.7070 N  60  49.0540 W   7.9        5.2        2.3        3.2        7.5 
060603  184913  47   2.7090 N  60  49.0490 W   7.8        5.2        2.3        3.2        7.5 
060603  184915  47   2.7110 N  60  49.0430 W   7.8        5.2        2.3        3.2        7.5 
060603  184917  47   2.7130 N  60  49.0370 W   7.9        5.2        2.3        3.2        7.5 
060603  184919  47   2.7150 N  60  49.0320 W   7.9        5.2        2.3        3.2        7.5 
060603  184921  47   2.7170 N  60  49.0260 W   7.9        5.2        2.3        3.2        7.5 
060603  184923  47   2.7190 N  60  49.0200 W   7.9        5.2        2.3        3.2        7.5 
060603  184925  47   2.7210 N  60  49.0140 W   7.9        5.2        2.3        3.2        7.5 
060603  184927  47   2.7220 N  60  49.0080 W   7.9        5.2        2.3        3.2        7.5 
060603  184929  47   2.7240 N  60  49.0020 W   7.8        5.2        2.3        3.2        7.5 
060603  184931  47   2.7250 N  60  48.9960 W   8.0        5.2        2.3        3.2        7.5 
060603  184933  47   2.7270 N  60  48.9900 W   7.9        5.2        2.3        3.2        7.5 
060603  184935  47   2.7290 N  60  48.9840 W   7.9        5.2        2.3       52.3*       7.5 
060603  184937  47   2.7300 N  60  48.9780 W   7.9        5.2        2.3       52.3        7.5 
060603  184939  47   2.7320 N  60  48.9720 W   7.9        5.2        2.3       52.3        7.5 
060603  184941  47   2.7330 N  60  48.9660 W   7.8        5.2        2.3       52.3        7.5 
060603  184943  47   2.7350 N  60  48.9600 W   7.9        5.2        2.3       52.3        7.5 
060603  184945  47   2.7370 N  60  48.9540 W   7.7        5.2        2.3       52.3        7.5 
060603  184947  47   2.7380 N  60  48.9480 W   7.9        5.2        2.3       52.3        7.5 
060603  184949  47   2.7400 N  60  48.9420 W   7.9        5.2        2.3       52.3        7.5 
060603  184951  47   2.7410 N  60  48.9360 W   7.8        5.2        2.3       52.3        7.5 
060603  184953  47   2.7430 N  60  48.9300 W   7.8        5.2        2.3       52.3        7.5 
060603  184955  47   2.7450 N  60  48.9240 W   7.7        5.2        2.3       52.3        7.5 
060603  184957  47   2.7460 N  60  48.9180 W   8.0        5.2        2.3       52.3        7.5 
060603  184959  47   2.7480 N  60  48.9120 W   7.8        5.2        2.3       52.3        7.5 
060603  185001  47   2.7490 N  60  48.9060 W   7.8        5.2        2.3       52.3        7.5 
060603  185003  47   2.7510 N  60  48.9000 W   7.8        5.2        2.3       52.3        7.5 
060603  185005  47   2.7520 N  60  48.8940 W   7.7        5.2        2.3       52.3        7.5 
060603  185007  47   2.7540 N  60  48.8880 W   7.9        5.2        2.3       52.3        7.5 
060603  185009  47   2.7550 N  60  48.8810 W   7.8        5.2        2.3       52.3        7.5 
060603  185011  47   2.7560 N  60  48.8750 W   7.9        5.2        2.3       52.3        7.5 
060603  185013  47   2.7580 N  60  48.8690 W   7.7        5.2        2.3       52.3        7.5 
060603  185015  47   2.7600 N  60  48.8630 W   7.8        5.2        2.3       52.3        7.5 
060603  185017  47   2.7610 N  60  48.8580 W   7.7        5.2        2.3       52.3        7.5 
060603  185019  47   2.7630 N  60  48.8520 W   7.7        5.2        2.3       52.3        7.5 
060603  185021  47   2.7650 N  60  48.8460 W   7.7        5.2        2.3       52.3        7.5 
060603  185023  47   2.7670 N  60  48.8400 W   7.7        5.2        2.3       52.3        7.5 
060603  185025  47   2.7690 N  60  48.8350 W   7.7        5.2        2.3       52.3        7.5 
060603  185027  47   2.7710 N  60  48.8290 W   7.6        5.2        2.3       52.3        7.5 
060603  185029  47   2.7730 N  60  48.8230 W   7.8        5.2        2.3       52.3        7.5 
060603  185031  47   2.7750 N  60  48.8180 W   7.6        5.2        2.3       52.3        7.5 
060603  185033  47   2.7770 N  60  48.8130 W   7.6        5.2        2.3       52.3        7.5 
060603  185035  47   2.7790 N  60  48.8070 W   7.7        5.2        2.3       52.3        7.5 
060603  185037  47   2.7820 N  60  48.8020 W   7.7        5.2        2.3       52.3        7.5 
060603  185039  47   2.7840 N  60  48.7970 W   7.7        5.2        2.3       52.3        7.5 
060603  185041  47   2.7870 N  60  48.7920 W   7.5        5.2        2.3       52.3        7.5 
060603  185043  47   2.7890 N  60  48.7870 W   7.8        5.2        2.3       52.3        7.5 
060603  185045  47   2.7920 N  60  48.7820 W   7.6        5.2        2.3       52.3        7.5 
060603  185047  47   2.7950 N  60  48.7770 W   7.8        5.2        2.3       52.3        7.5 
060603  185049  47   2.7970 N  60  48.7720 W   7.6        5.2        2.3       52.3        7.5 
060603  185051  47   2.8000 N  60  48.7680 W   7.7        5.2        2.3       52.3        7.5 
060603  185053  47   2.8030 N  60  48.7630 W   7.7        5.2        2.3       52.3        7.5 
060603  185055  47   2.8060 N  60  48.7580 W   7.5        5.2        2.3       52.3        7.5 
060603  185057  47   2.8090 N  60  48.7540 W   7.5        5.2        2.3       52.3        7.5 
060603  185059  47   2.8120 N  60  48.7500 W   7.4        5.2        2.3       52.3        7.5 
060603  185101  47   2.8150 N  60  48.7460 W   6.7        5.2        2.3       52.3        7.5 
060603  185103  47   2.8180 N  60  48.7430 W   5.5        5.2        2.3       89.3*       7.5 
060603  185105  47   2.8200 N  60  48.7400 W   5.3        5.2        2.3       89.3        7.5 
060603  185107  47   2.8220 N  60  48.7370 W   4.5        5.2        2.3       89.3       94.1*
060603  185109  47   2.8240 N  60  48.7350 W   4.2        5.2        2.3        5.4*      94.1 
060603  185111  47   2.8250 N  60  48.7330 W   3.6        5.2        2.3        5.4       94.1 
060603  185113  47   2.8270 N  60  48.7310 W   3.5        5.2        2.3       16.2*      72.6*
060603  185115  47   2.8280 N  60  48.7290 W   3.1        5.2        2.3       16.2       72.6 
060603  185117  47   2.8300 N  60  48.7270 W   3.2        5.2        2.3       16.2       72.6 
060603  185119  47   2.8310 N  60  48.7250 W   2.8        5.2        2.3        0.0*      72.6 
060603  185121  47   2.8320 N  60  48.7240 W   2.8        5.2        2.4*       0.0       84.0*
060603  185123  47   2.8330 N  60  48.7220 W   2.5        5.2        2.4        0.0       84.0 
060603  185125  47   2.8340 N  60  48.7210 W   2.5        5.2        2.4        7.2*      84.0 
060603  185127  47   2.8350 N  60  48.7190 W   2.4        5.2        2.4        7.2       84.0 
060603  185129  47   2.8360 N  60  48.7180 W   2.4        2.6*       2.4        9.2*      84.0 
060603  185131  47   2.8370 N  60  48.7170 W   2.2        2.6        2.4        9.2       84.0 
060603  185133  47   2.8380 N  60  48.7150 W   2.2        2.6        2.4        9.2       84.0 
060603  185135  47   2.8390 N  60  48.7140 W   2.1        2.6        2.4        4.7*      91.5*
060603  185137  47   2.8400 N  60  48.7130 W   2.2        2.6        2.4        4.7       91.5 
060603  185139  47   2.8410 N  60  48.7120 W   2.0        2.6        2.4        6.8*      91.5 
060603  185141  47   2.8420 N  60  48.7110 W   2.1        2.6        2.4        6.8       91.1*
060603  185143  47   2.8430 N  60  48.7100 W   1.9        2.6        2.4        6.8       91.1 
060603  185145  47   2.8440 N  60  48.7090 W   2.0        2.6        2.4        6.8*      94.6*
060603  185147  47   2.8450 N  60  48.7080 W   1.9        2.6        2.4        6.8       94.6 
060603  185149  47   2.8460 N  60  48.7070 W   2.1        2.6        2.4        6.8       94.6 
060603  185151  47   2.8460 N  60  48.7060 W   1.9        2.6        2.4        5.6*     100.7*
060603  185153  47   2.8470 N  60  48.7050 W   1.9        2.6        2.4        5.6      100.7 
060603  185155  47   2.8480 N  60  48.7040 W   2.0        2.6        2.4        5.3*     100.7 
060603  185157  47   2.8490 N  60  48.7030 W   1.8        2.6        2.4        5.3      100.7 
060603  185159  47   2.8500 N  60  48.7020 W   2.0        2.6        2.4        5.3      100.7 
060603  185201  47   2.8510 N  60  48.7010 W   1.9        2.6        2.4        5.7*     100.7 
060603  185203  47   2.8520 N  60  48.7000 W   1.7        2.6        2.4        5.7      100.7 
060603  185205  47   2.8530 N  60  48.6990 W   2.2        2.6        2.4        5.8*     100.7 
060603  185207  47   2.8540 N  60  48.6980 W   1.7        2.6        2.4        5.8      143.8*
060603  185209  47   2.8550 N  60  48.6970 W   1.8        2.6        2.4        5.8      143.8 
060603  185211  47   2.8550 N  60  48.6960 W   1.9        2.6        2.4        5.8*     143.8 
060603  185213  47   2.8560 N  60  48.6960 W   2.0        2.6        2.4        5.8       73.5*
060603  185215  47   2.8570 N  60  48.6950 W   1.7        2.6        2.4        5.8       73.5 
060603  185217  47   2.8580 N  60  48.6940 W   2.2        2.6        2.4        5.6*      73.5 
060603  185219  47   2.8590 N  60  48.6930 W   1.7        2.6        2.4        5.6      106.0*
060603  185221  47   2.8600 N  60  48.6920 W   1.9        2.6        2.4        4.8*     106.0 
060603  185223  47   2.8610 N  60  48.6910 W   2.0        2.6        2.4        4.8      113.5*
060603  185225  47   2.8620 N  60  48.6900 W   1.8        2.6        2.4        4.8      113.5 
060603  185227  47   2.8630 N  60  48.6890 W   2.0        2.6        2.4        4.9*     113.5 
060603  185229  47   2.8640 N  60  48.6880 W   1.9        2.6        2.4        4.9      116.6*
060603  185231  47   2.8650 N  60  48.6880 W   1.9        2.6        2.4        4.9      116.6 
