FileName: C:\2006NE~1\GP382S.TXT
Local Time: Fri Jun 02 07:53:11 2006

Ship: Marco Michel Trip: 01 Tow: GP 382S
Comments: Spring trawl    Zone 19
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary WingSpread      Depth 
060602  105311  47   9.6760 N  60  52.8460 W   3.0        2.4*      13.5*       9.2*      10.6*
060602  105313  47   9.6750 N  60  52.8480 W   3.0        2.4       13.5        9.2       10.6 
060602  105315  47   9.6740 N  60  52.8500 W   2.9        2.4       13.5        3.3*      10.6 
060602  105317  47   9.6730 N  60  52.8520 W   2.7        2.4       13.5        3.3       11.9*
060602  105319  47   9.6720 N  60  52.8540 W   2.8        2.4       13.5        3.1*      11.9 
060602  105321  47   9.6710 N  60  52.8560 W   2.6        2.4       13.5        3.1       11.9 
060602  105323  47   9.6700 N  60  52.8580 W   2.6        2.4       13.5        3.1       12.3*
060602  105325  47   9.6690 N  60  52.8590 W   2.5        2.4        2.2*       3.2*      12.3 
060602  105327  47   9.6680 N  60  52.8610 W   2.6        2.4        2.2        3.2       11.0*
060602  105329  47   9.6680 N  60  52.8630 W   2.3        2.4        2.2        3.5*      11.0 
060602  105331  47   9.6670 N  60  52.8650 W   2.4        2.5*       2.2        3.5       11.0 
060602  105333  47   9.6660 N  60  52.8660 W   2.5        2.5        2.2        3.5       11.4*
060602  105335  47   9.6650 N  60  52.8680 W   3.1        2.5        2.2        3.2*      11.4 
060602  105337  47   9.6640 N  60  52.8710 W   3.8        2.5        2.2*       3.2       16.7*
060602  105339  47   9.6620 N  60  52.8730 W   4.1        2.5        2.2        3.2       16.7 
060602  105341  47   9.6610 N  60  52.8760 W   4.8        2.5        2.2        4.0*      16.7 
060602  105343  47   9.6590 N  60  52.8790 W   5.2        2.5        2.2        4.0       12.3*
060602  105345  47   9.6570 N  60  52.8820 W   5.2        2.5        2.2        3.9*      12.3 
060602  105347  47   9.6550 N  60  52.8860 W   5.6        2.5        2.2        3.9       12.3 
060602  105349  47   9.6530 N  60  52.8890 W   5.7        2.5        2.2        3.9       12.3 
060602  105351  47   9.6510 N  60  52.8930 W   6.0        2.5        2.2        4.3*      12.3 
060602  105353  47   9.6480 N  60  52.8970 W   6.0        2.5        2.2        4.3       12.3 
060602  105355  47   9.6460 N  60  52.9000 W   6.1        2.5        2.2        4.3       12.3 
060602  105357  47   9.6440 N  60  52.9040 W   6.2        2.5        2.2        4.3       12.3 
060602  105359  47   9.6410 N  60  52.9080 W   6.4        2.5        2.2        4.3       12.3 
060602  105401  47   9.6390 N  60  52.9120 W   6.4        2.5        2.2        4.3       12.3 
