FileName: C:\2006NE~1\GP087R2.TXT
Local Time: Fri Oct 06 16:02:20 2006

Ship: Marco Michel Trip: 05 Tow: GP 087r2
Comments: trawl    Zone 12
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
061006  190220  46  45.4990 N  62   5.6630 W   4.0        2.9*       2.6*       3.1*      28.2*
061006  190223  46  45.4960 N  62   5.6620 W   5.2        2.9        2.6        3.1       28.2 
061006  190224  46  45.4940 N  62   5.6620 W   5.6        2.9        2.6        3.1       28.2 
061006  190226  46  45.4910 N  62   5.6610 W   5.9        2.9        2.6        3.1       28.2 
061006  190229  46  45.4860 N  62   5.6610 W   6.4        2.9        2.6        3.1       28.2 
061006  190230  46  45.4840 N  62   5.6610 W   6.7        2.9        2.6        3.1       28.2 
061006  190232  46  45.4810 N  62   5.6610 W   6.9        2.9        2.6        3.1       28.2 
061006  190234  46  45.4770 N  62   5.6610 W   6.9        2.9        2.6        3.1       28.2 
061006  190236  46  45.4730 N  62   5.6600 W   6.9        2.9        2.6        3.1       28.2 
061006  190238  46  45.4690 N  62   5.6600 W   7.2        2.9        2.6        3.1       28.2 
061006  190240  46  45.4650 N  62   5.6600 W   7.5        2.9        2.6        3.1       28.2 
061006  190242  46  45.4610 N  62   5.6600 W   7.2        2.9        2.6        3.1       28.2 
061006  190244  46  45.4570 N  62   5.6600 W   7.2        2.9        2.6        3.1       28.2 
061006  190246  46  45.4530 N  62   5.6600 W   7.5        2.9        2.6        3.1       28.2 
061006  190248  46  45.4490 N  62   5.6590 W   7.6        2.9        2.6        3.1       28.2 
061006  190250  46  45.4450 N  62   5.6590 W   7.5        2.9        2.6        3.1       28.2 
061006  190252  46  45.4400 N  62   5.6590 W   7.3        2.9        2.6        3.1       28.2 
061006  190254  46  45.4360 N  62   5.6590 W   7.4        2.9        2.6        3.1       28.2 
061006  190256  46  45.4320 N  62   5.6580 W   7.6        2.9        2.6        3.1       28.2 
061006  190259  46  45.4260 N  62   5.6550 W   7.4        2.9        2.6        3.1       28.2 
061006  190300  46  45.4240 N  62   5.6550 W   7.2        2.9        2.6        3.1       28.2 
061006  190302  46  45.4210 N  62   5.6530 W   7.4        2.9        2.6        3.1       28.2 
061006  190305  46  45.4150 N  62   5.6500 W   7.7        2.9        2.6        3.1       28.2 
061006  190306  46  45.4130 N  62   5.6480 W   7.8        2.9        2.6        3.1       28.2 
061006  190308  46  45.4090 N  62   5.6460 W   7.4        2.9        2.6        3.1       28.2 
061006  190311  46  45.4030 N  62   5.6420 W   7.7        2.9        2.6        3.1       28.2 
061006  190312  46  45.4010 N  62   5.6410 W   7.6        2.9        2.6        3.1       28.2 
061006  190314  46  45.3970 N  62   5.6380 W   7.8        2.9        2.6        3.1       28.2 
061006  190317  46  45.3910 N  62   5.6340 W   7.6        2.9        2.6        3.1       28.2 
061006  190318  46  45.3900 N  62   5.6320 W   7.6        2.9        2.6        3.1       28.2 
061006  190320  46  45.3860 N  62   5.6290 W   7.7        2.9        2.6        3.1       28.2 
061006  190323  46  45.3800 N  62   5.6250 W   7.9        2.9        2.6        3.1       28.2 
061006  190324  46  45.3780 N  62   5.6230 W   8.0        2.9        2.6        3.1       28.2 
061006  190326  46  45.3750 N  62   5.6190 W   7.6        2.9        2.6        3.1       28.2 
061006  190329  46  45.3690 N  62   5.6140 W   7.6        2.9        2.6        3.1       28.2 
061006  190330  46  45.3680 N  62   5.6120 W   7.5        2.9        2.6        3.1       28.2 
061006  190332  46  45.3640 N  62   5.6080 W   7.8        2.9        2.6        3.1       28.2 
061006  190335  46  45.3590 N  62   5.6030 W   7.5        2.9        2.6        3.1       28.2 
061006  190336  46  45.3570 N  62   5.6010 W   7.4        2.9        2.6        3.1       28.2 
061006  190338  46  45.3530 N  62   5.5980 W   7.4        2.9        2.6        3.1       28.2 
061006  190341  46  45.3480 N  62   5.5940 W   7.7        2.9        2.6        3.1       28.2 
061006  190342  46  45.3460 N  62   5.5930 W   7.6        2.9        2.6        3.1       28.2 
061006  190344  46  45.3420 N  62   5.5900 W   7.7        2.9        2.6        3.1       28.2 
061006  190347  46  45.3360 N  62   5.5870 W   7.4        2.9        2.6        3.1       28.2 
061006  190348  46  45.3340 N  62   5.5860 W   7.6        2.9        2.6        3.1       28.2 
061006  190350  46  45.3300 N  62   5.5840 W   7.4        2.9        2.6        3.1       28.2 
061006  190353  46  45.3240 N  62   5.5810 W   7.4        2.9        2.6        3.1       28.2 
061006  190354  46  45.3220 N  62   5.5810 W   7.5        2.9        2.6        3.1       28.2 
061006  190356  46  45.3180 N  62   5.5790 W   7.3        2.9        2.6        3.1       28.2 
061006  190359  46  45.3120 N  62   5.5780 W   7.1        2.9        2.6        3.1       28.2 
061006  190400  46  45.3100 N  62   5.5770 W   7.3        2.9        2.6        3.1       28.2 
061006  190402  46  45.3060 N  62   5.5770 W   7.7        2.9        2.6        3.1       28.2 
061006  190405  46  45.3000 N  62   5.5760 W   7.1        2.9        2.6        3.1       28.2 
061006  190406  46  45.2980 N  62   5.5750 W   6.9        2.9        2.6        3.1       28.2 
061006  190408  46  45.2940 N  62   5.5750 W   7.0        2.9        2.6        3.1       28.2 
061006  190411  46  45.2880 N  62   5.5740 W   6.8        2.9        2.6        3.1       28.2 
061006  190412  46  45.2870 N  62   5.5730 W   6.4        2.9        2.6        3.1       38.3*
061006  190414  46  45.2830 N  62   5.5720 W   6.1        2.9        2.6        7.4*      38.3 
061006  190417  46  45.2780 N  62   5.5700 W   6.3        2.9        2.6        7.4       39.1*
061006  190418  46  45.2770 N  62   5.5700 W   6.0        2.9        2.6        7.4       39.1 
061006  190420  46  45.2730 N  62   5.5690 W   5.9        2.9        2.6        7.1*      39.1 
061006  190423  46  45.2680 N  62   5.5680 W   6.0        2.9        2.6        7.1       43.5*
061006  190424  46  45.2670 N  62   5.5670 W   5.9        2.9        2.6        8.7*      43.5 
061006  190426  46  45.2640 N  62   5.5660 W   5.7        2.9        2.6        8.7       43.5 
061006  190429  46  45.2590 N  62   5.5640 W   6.0        2.9        2.6        8.7       43.5*
061006  190430  46  45.2570 N  62   5.5640 W   5.8        2.9        2.6        8.7       43.5 
061006  190432  46  45.2540 N  62   5.5630 W   5.7        2.9        2.6        8.7       43.5 
061006  190435  46  45.2490 N  62   5.5610 W   5.9        2.9        2.6        8.7       41.8*
061006  190436  46  45.2480 N  62   5.5600 W   5.9        2.9        2.6        8.7       41.8 
061006  190438  46  45.2450 N  62   5.5590 W   5.4        2.9        2.6        8.7       41.3*
061006  190441  46  45.2410 N  62   5.5580 W   4.4        2.9        2.6        8.7       41.3 
061006  190442  46  45.2400 N  62   5.5570 W   4.3        2.9        2.6        8.7       41.3 
061006  190444  46  45.2380 N  62   5.5560 W   4.0        2.9        2.6        8.7       40.0*
061006  190447  46  45.2350 N  62   5.5550 W   3.4        2.9        2.6        8.0*      40.0 
061006  190448  46  45.2340 N  62   5.5550 W   3.4        2.9        2.6        8.0       42.7*
061006  190450  46  45.2320 N  62   5.5540 W   3.2        2.9        2.6        7.7*      42.7 
061006  190453  46  45.2300 N  62   5.5520 W   3.0        2.9        2.6        7.7       42.7 
061006  190454  46  45.2290 N  62   5.5520 W   3.2        2.9        2.6        7.7       40.9*
061006  190456  46  45.2270 N  62   5.5510 W   2.6        2.9        2.6        8.3*      40.9 
