FileName: C:\2006NE~1\GP112.TXT
Local Time: Mon Aug 28 19:16:39 2006

Ship: Marco Michel Trip: 02 Tow: GP 112
Comments: trawl    Zone 12
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
060828  221640  48  14.7640 N  63   9.7410 W   4.4        4.3*       7.1*       7.1*       7.5*
060828  221642  48  14.7660 N  63   9.7380 W   4.9        4.3        7.1        7.1      174.6*
060828  221644  48  14.7670 N  63   9.7340 W   5.6        4.3        7.1        7.1      174.6 
060828  221646  48  14.7690 N  63   9.7300 W   6.1        4.3        7.1        7.1      174.6 
060828  221648  48  14.7710 N  63   9.7260 W   6.2        4.3        7.1        7.1      174.6 
060828  221650  48  14.7730 N  63   9.7220 W   6.6        4.3        7.1        7.1      174.6 
060828  221652  48  14.7750 N  63   9.7170 W   6.7        4.3        7.1        7.1      174.6 
060828  221654  48  14.7770 N  63   9.7120 W   6.9        4.3        7.1        7.1      174.6 
060828  221656  48  14.7790 N  63   9.7080 W   7.0        4.3        7.1        7.1      174.6 
060828  221658  48  14.7820 N  63   9.7030 W   7.1        4.3        7.1        7.1      174.6 
060828  221700  48  14.7840 N  63   9.6980 W   7.2        4.3        7.1        7.1      174.6 
060828  221702  48  14.7860 N  63   9.6930 W   7.3        4.3        7.1        7.1      174.6 
060828  221704  48  14.7880 N  63   9.6870 W   7.3        4.3        7.1        7.1        3.5*
060828  221706  48  14.7910 N  63   9.6820 W   7.4        4.3        7.1        7.1        3.5 
060828  221708  48  14.7930 N  63   9.6770 W   7.5        4.3        7.1        7.1        3.5 
060828  221710  48  14.7960 N  63   9.6720 W   7.6        4.3        7.1        7.1        3.5 
060828  221712  48  14.7980 N  63   9.6670 W   7.5        4.3        7.1        7.1        3.5 
060828  221714  48  14.8000 N  63   9.6610 W   7.6        4.3        7.1        7.1        3.5 
060828  221716  48  14.8020 N  63   9.6560 W   7.6        4.3        7.1        7.1        3.5 
060828  221718  48  14.8050 N  63   9.6510 W   7.8        4.3        7.1        7.1        3.5 
060828  221720  48  14.8070 N  63   9.6460 W   7.4        4.3        7.1        7.1        3.5 
060828  221722  48  14.8100 N  63   9.6410 W   7.8        4.3        7.1        7.1        3.5 
060828  221724  48  14.8120 N  63   9.6350 W   7.5        4.3        7.1        7.1        3.5 
060828  221726  48  14.8150 N  63   9.6300 W   7.5        4.3        7.1        7.1        3.5 
060828  221728  48  14.8170 N  63   9.6250 W   7.6        4.3        7.1        7.1        3.5 
060828  221730  48  14.8200 N  63   9.6200 W   7.4        4.3        7.1        7.1        3.5 
060828  221732  48  14.8220 N  63   9.6140 W   7.7        4.3        7.1        7.1        3.5 
060828  221734  48  14.8240 N  63   9.6090 W   7.4        4.3        7.1        7.1        3.5 
060828  221736  48  14.8270 N  63   9.6040 W   7.7        4.3        7.1        7.1        3.5 
060828  221738  48  14.8300 N  63   9.5990 W   7.5        4.3        7.1        7.1        3.5 
060828  221740  48  14.8320 N  63   9.5940 W   7.5        4.3        7.1        7.1       41.8*
060828  221742  48  14.8340 N  63   9.5890 W   7.4        4.3        7.1        7.1       41.8 
060828  221744  48  14.8370 N  63   9.5830 W   7.6        4.3        7.1        7.1       41.8 
060828  221746  48  14.8390 N  63   9.5780 W   7.4        4.3        7.1        7.1       41.8 
060828  221748  48  14.8420 N  63   9.5730 W   7.5        4.3        7.1        7.1       41.8 
060828  221750  48  14.8440 N  63   9.5680 W   7.4        4.3        7.1        7.1       41.8 
060828  221752  48  14.8460 N  63   9.5630 W   7.6        4.3        7.1        7.1       41.8 
060828  221754  48  14.8490 N  63   9.5580 W   7.5        4.3        7.1        7.1       41.8 
060828  221756  48  14.8510 N  63   9.5530 W   7.2        4.3        7.1        7.1       41.8 
060828  221758  48  14.8530 N  63   9.5470 W   7.4        4.3        7.1        7.1       41.8 
060828  221800  48  14.8560 N  63   9.5420 W   7.5        4.3        7.1        7.1       41.8 
060828  221802  48  14.8580 N  63   9.5370 W   7.0        4.3        7.1        7.1       41.8 
060828  221804  48  14.8600 N  63   9.5320 W   6.8        4.3        7.1        7.1       41.8 
060828  221806  48  14.8620 N  63   9.5280 W   6.2        4.3        7.1        7.1       41.8 
060828  221808  48  14.8640 N  63   9.5230 W   6.2        4.3        7.1        7.1       41.8 
060828  221810  48  14.8660 N  63   9.5190 W   6.0        4.3        7.1        7.1       41.8 
060828  221812  48  14.8680 N  63   9.5150 W   5.7        4.3        7.1        7.1       41.8 
060828  221814  48  14.8690 N  63   9.5110 W   5.4        4.3        7.1        7.1       41.8 
060828  221816  48  14.8710 N  63   9.5080 W   4.5        4.3        7.1        7.1*      27.3*
060828  221818  48  14.8720 N  63   9.5050 W   4.0        2.1*       7.1        7.1       27.3 
060828  221820  48  14.8730 N  63   9.5020 W   3.6        2.1        7.1        7.1       27.3 
060828  221822  48  14.8740 N  63   9.4990 W   3.1        2.1        7.1        7.7*      32.6*
060828  221824  48  14.8750 N  63   9.4970 W   3.1        2.1        7.1        7.7       32.6 
