FileName: C:\2006NE~1\GP118.TXT
Local Time: Thu Sep 28 16:16:41 2006

Ship: Marco Michel Trip: 04 Tow: GP 118
Comments: trawl    Zone 12
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
060928  191643  47  34.9670 N  63  50.2350 W   4.3        2.3*       9.9*       3.0*     176.4*
060928  191645  47  34.9640 N  63  50.2360 W   4.8        2.3        9.9        3.0      176.4 
060928  191647  47  34.9620 N  63  50.2370 W   5.3        2.3        9.9        3.2*     176.4 
060928  191649  47  34.9590 N  63  50.2390 W   5.7        2.3        9.9        3.2      176.4 
060928  191651  47  34.9550 N  63  50.2400 W   6.0        2.3        9.9        3.2      176.4 
060928  191653  47  34.9520 N  63  50.2410 W   6.2        2.3        9.9        3.2      176.4 
060928  191655  47  34.9490 N  63  50.2430 W   6.4        2.3        9.9        3.2       11.0*
060928  191657  47  34.9460 N  63  50.2440 W   6.7        2.3        9.9        3.2       11.0 
060928  191659  47  34.9420 N  63  50.2460 W   6.8        2.3        9.9        3.2       11.0 
060928  191701  47  34.9380 N  63  50.2470 W   6.9        2.3        9.9        3.2       11.0 
060928  191703  47  34.9350 N  63  50.2490 W   7.0        2.3        9.9        3.2       11.0 
060928  191705  47  34.9310 N  63  50.2510 W   7.0        2.3        9.9        3.2       11.0 
060928  191707  47  34.9270 N  63  50.2520 W   7.1        2.3        9.9        3.2       11.0 
060928  191709  47  34.9240 N  63  50.2540 W   7.1        2.3        9.9        3.2       11.0 
060928  191711  47  34.9200 N  63  50.2560 W   7.2        2.3        9.9        3.2       11.0 
060928  191713  47  34.9160 N  63  50.2580 W   7.4        2.3        9.9        3.2       11.0 
060928  191715  47  34.9120 N  63  50.2600 W   7.3        2.3        9.9        3.2       11.0 
060928  191717  47  34.9080 N  63  50.2620 W   7.2        2.3        9.9        3.2       11.0 
060928  191719  47  34.9040 N  63  50.2630 W   7.3        2.3        9.9        3.2       11.0 
060928  191721  47  34.9010 N  63  50.2650 W   7.4        2.3        9.9        3.2       11.0 
060928  191723  47  34.8970 N  63  50.2670 W   7.3        2.3        9.9        3.2       11.0 
060928  191725  47  34.8930 N  63  50.2690 W   7.5        2.3        9.9        3.2       11.0 
060928  191727  47  34.8890 N  63  50.2710 W   7.4        2.3        9.9        3.2       11.0 
060928  191729  47  34.8850 N  63  50.2730 W   7.5        2.3        9.9        3.2       11.0 
060928  191731  47  34.8810 N  63  50.2750 W   7.5        2.3        9.9        3.2       11.0 
060928  191733  47  34.8770 N  63  50.2780 W   7.4        2.3        9.9        3.2       11.0 
060928  191735  47  34.8730 N  63  50.2800 W   7.5        2.3        9.9        3.2       11.0 
060928  191737  47  34.8700 N  63  50.2820 W   7.5        2.3        9.9        3.2       11.0 
060928  191739  47  34.8660 N  63  50.2850 W   7.5        2.3        9.9        3.2       11.0 
060928  191741  47  34.8620 N  63  50.2870 W   7.5        2.3        9.9        3.2       11.0 
060928  191743  47  34.8580 N  63  50.2890 W   7.6        2.3        9.9        3.2       11.0 
060928  191745  47  34.8540 N  63  50.2920 W   7.5        2.3        9.9        3.2       11.0 
060928  191747  47  34.8500 N  63  50.2940 W   7.6        2.3        9.9        3.2       11.0 
060928  191749  47  34.8460 N  63  50.2970 W   7.5        2.3        9.9        3.2       11.0 
060928  191751  47  34.8430 N  63  50.2990 W   7.4        2.3        9.9        3.2       11.0 
060928  191753  47  34.8390 N  63  50.3020 W   7.5        2.3        9.9        3.2       11.0 
060928  191755  47  34.8350 N  63  50.3040 W   7.5        2.3        9.9        3.2       11.0 
060928  191757  47  34.8310 N  63  50.3060 W   7.4        2.3        9.9        3.2       11.0 
060928  191759  47  34.8270 N  63  50.3080 W   7.5        2.3        9.9        3.2       11.0 
060928  191801  47  34.8230 N  63  50.3100 W   7.4        2.3        9.9        3.2       11.0 
060928  191803  47  34.8190 N  63  50.3120 W   7.2        2.3        9.9        3.2       11.0 
060928  191805  47  34.8160 N  63  50.3140 W   6.9        2.3        9.9        3.2       11.0 
060928  191807  47  34.8120 N  63  50.3160 W   6.6        2.3        9.9        3.2       11.0 
060928  191809  47  34.8090 N  63  50.3170 W   6.2        2.3        9.9        3.2       11.0 
060928  191811  47  34.8050 N  63  50.3190 W   6.0        2.3        9.9        7.1*      11.0 
060928  191813  47  34.8020 N  63  50.3200 W   5.7        2.3        9.9        7.1       11.0 
060928  191815  47  34.7990 N  63  50.3210 W   5.7        2.1*       9.9        6.4*      11.0 
060928  191817  47  34.7960 N  63  50.3230 W   5.5        2.1        9.9        6.4       11.0 
060928  191819  47  34.7930 N  63  50.3240 W   5.4        2.1        9.9        6.4       34.3*
060928  191821  47  34.7900 N  63  50.3260 W   5.4        2.1        9.9        6.4       34.3 
060928  191823  47  34.7880 N  63  50.3270 W   5.4        2.1        9.9        6.4       34.3 
060928  191825  47  34.7850 N  63  50.3280 W   5.3        2.1        9.9        6.4       36.9*
060928  191827  47  34.7820 N  63  50.3300 W   4.6        2.1        9.9        6.4       36.9 
060928  191829  47  34.7800 N  63  50.3310 W   4.3        2.1        9.9        6.4       26.0*
060928  191831  47  34.7780 N  63  50.3320 W   3.9        2.1        9.9        4.4*      26.0 
060928  191833  47  34.7760 N  63  50.3330 W   3.5        2.1        9.9        4.4       26.0 
060928  191835  47  34.7740 N  63  50.3340 W   3.3        2.1        9.9        4.4       33.4*
060928  191837  47  34.7720 N  63  50.3350 W   2.9        2.1        9.9       11.9*      33.4 
060928  191839  47  34.7710 N  63  50.3350 W   2.9        2.1        9.9       11.9       33.4 
060928  191841  47  34.7700 N  63  50.3360 W   2.6        2.1        9.9        2.3*      37.8*
060928  191843  47  34.7680 N  63  50.3370 W   2.6        2.1        9.9        2.3       37.8 
060928  191845  47  34.7670 N  63  50.3380 W   2.3        2.1        9.9        2.3       35.2*
060928  191847  47  34.7660 N  63  50.3390 W   2.5        2.1        9.9        6.5*      35.2 
060928  191849  47  34.7650 N  63  50.3390 W   2.1        2.1        9.9        6.5       35.2 
060928  191851  47  34.7630 N  63  50.3400 W   2.1        2.1        9.9        6.5       38.3*
060928  191853  47  34.7620 N  63  50.3410 W   2.2        2.1        9.9        6.4*      38.3 
060928  191855  47  34.7610 N  63  50.3410 W   2.0        2.1        9.9        6.4       38.3 
060928  191857  47  34.7600 N  63  50.3420 W   2.0        2.1        9.9        5.6*      39.6*
060928  191859  47  34.7590 N  63  50.3430 W   2.1        2.1        9.9        5.6       39.6 
060928  191901  47  34.7580 N  63  50.3430 W   1.9        2.1        9.9        5.6       42.2*
060928  191903  47  34.7570 N  63  50.3440 W   1.8        2.1        9.9        8.1*      42.2 
060928  191905  47  34.7560 N  63  50.3450 W   1.9        2.1        9.9        8.1       42.2 
060928  191907  47  34.7550 N  63  50.3450 W   1.8        2.1        9.9        3.2*      42.7*
060928  191909  47  34.7550 N  63  50.3460 W   1.8        2.1        9.9        3.2       42.7 
060928  191911  47  34.7540 N  63  50.3470 W   1.9        2.1        9.9        3.2       47.5*
060928  191913  47  34.7530 N  63  50.3470 W   1.8        2.1        9.9        5.0*      47.5 
060928  191915  47  34.7520 N  63  50.3480 W   1.8        2.1        9.9        5.0       47.5 
060928  191917  47  34.7510 N  63  50.3480 W   2.0        2.1        9.9        5.0       55.4*
060928  191919  47  34.7500 N  63  50.3490 W   1.8        2.1        9.9        5.0       55.4 
060928  191921  47  34.7490 N  63  50.3500 W   1.9        2.1        9.9        5.0       55.4 
060928  191923  47  34.7480 N  63  50.3500 W   1.9        2.1        9.9        5.0       39.6*
060928  191925  47  34.7470 N  63  50.3510 W   1.9        2.1        9.9        5.0       39.6 
060928  191927  47  34.7460 N  63  50.3510 W   2.0        2.1       10.6*       5.0       56.3*
060928  191929  47  34.7450 N  63  50.3520 W   1.9        2.1       10.6        4.9*      56.3 
060928  191931  47  34.7440 N  63  50.3530 W   2.0        2.1       10.6        4.9       56.3 
060928  191933  47  34.7430 N  63  50.3530 W   2.2        2.1        2.5*       4.9       52.8*
060928  191935  47  34.7420 N  63  50.3540 W   1.9        2.1        2.5        5.5*      52.8 
060928  191937  47  34.7410 N  63  50.3550 W   2.1        2.1        2.5        5.5       52.8 
060928  191939  47  34.7400 N  63  50.3550 W   2.1        2.1        2.5        5.3*      56.3*
060928  191941  47  34.7390 N  63  50.3560 W   2.1       13.1*       2.5        5.3       56.3 
060928  191943  47  34.7380 N  63  50.3560 W   2.2       13.1        2.5        5.3       61.1*
060928  191945  47  34.7360 N  63  50.3570 W   2.2       13.1        2.5        6.1*      61.1 
060928  191947  47  34.7350 N  63  50.3580 W   2.2       13.1        2.5*       6.1       61.1 
060928  191949  47  34.7340 N  63  50.3580 W   2.1       13.1        2.5        6.2*      59.8*
060928  191951  47  34.7330 N  63  50.3590 W   2.2       13.1        2.5        6.2       59.8 
060928  191953  47  34.7320 N  63  50.3590 W   2.3       13.1        2.5        6.2       59.8 
060928  191955  47  34.7310 N  63  50.3600 W   2.2        7.4*       2.5        6.6*      64.2*
060928  191957  47  34.7290 N  63  50.3610 W   2.2        7.4        2.5        6.6       64.2 
060928  191959  47  34.7280 N  63  50.3610 W   2.3        7.4        2.5        6.6       63.8*
