FileName: C:\2006NE~1\GP159.TXT
Local Time: Thu Sep 07 09:44:35 2006

Ship: Marco Michel Trip: 03 Tow: GP 159
Comments: trawl    Zone 12
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary WingSpread      Depth 
060907  124435  48   3.9070 N  62  46.7540 W   5.1        2.6*       9.0*       2.8*       2.2*
060907  124438  48   3.9040 N  62  46.7490 W   5.6        2.6        9.0        2.8        2.2 
060907  124440  48   3.9020 N  62  46.7460 W   6.2        2.6        9.0        2.8        2.2 
060907  124442  48   3.9000 N  62  46.7420 W   6.3        2.6        9.0        2.8        2.2 
060907  124444  48   3.8970 N  62  46.7380 W   6.7        2.6        9.0        2.8        2.2 
060907  124446  48   3.8940 N  62  46.7350 W   6.8        2.6        9.0        2.8        2.2 
060907  124448  48   3.8920 N  62  46.7310 W   6.9        2.6        9.0        2.8        2.2 
060907  124450  48   3.8890 N  62  46.7270 W   7.1        2.6        9.0        2.8        2.2 
060907  124452  48   3.8860 N  62  46.7230 W   7.2        2.6        9.0        2.8        2.2 
060907  124454  48   3.8830 N  62  46.7190 W   7.3        2.6        9.0        2.8        2.2 
060907  124456  48   3.8800 N  62  46.7150 W   7.2        2.6        9.0        2.8        2.2 
060907  124458  48   3.8770 N  62  46.7110 W   7.4        2.6        9.0        2.8        2.2 
060907  124500  48   3.8740 N  62  46.7070 W   7.3        2.6        9.0        2.8        2.2 
060907  124502  48   3.8720 N  62  46.7030 W   7.5        2.6        9.0        2.8        2.2 
060907  124504  48   3.8690 N  62  46.6990 W   7.4        2.6        9.0        2.8        2.2 
060907  124505  48   3.8670 N  62  46.6970 W   7.4        2.6        9.0        2.8        2.2 
060907  124508  48   3.8630 N  62  46.6900 W   7.4        2.6        9.0        2.8        2.2 
060907  124510  48   3.8600 N  62  46.6860 W   7.4        2.6        9.0        2.8        2.2 
060907  124512  48   3.8570 N  62  46.6820 W   7.6        2.6        9.0        2.8        2.2 
060907  124514  48   3.8540 N  62  46.6780 W   7.5        2.6        9.0        2.8        2.2 
060907  124516  48   3.8510 N  62  46.6740 W   7.5        2.6        9.0        2.8        2.2 
060907  124518  48   3.8480 N  62  46.6700 W   7.5        2.6        9.0       33.8*       2.2 
060907  124520  48   3.8440 N  62  46.6660 W   7.6        2.6        9.0       33.8        2.2 
060907  124522  48   3.8410 N  62  46.6620 W   7.7        2.6        9.0       33.8        2.2 
060907  124524  48   3.8380 N  62  46.6580 W   7.6        2.6        9.0       33.8        2.2 
060907  124526  48   3.8350 N  62  46.6540 W   7.4        2.6        9.0       33.8        2.2 
060907  124528  48   3.8320 N  62  46.6500 W   7.5        2.6        9.0       33.8        2.2 
060907  124530  48   3.8280 N  62  46.6460 W   7.6        2.6        9.0       33.8        2.2 
060907  124532  48   3.8250 N  62  46.6420 W   7.7        2.6        9.0       33.8        2.2 
060907  124534  48   3.8220 N  62  46.6380 W   7.5        2.6        9.0       33.8        2.2 
060907  124535  48   3.8200 N  62  46.6360 W   7.4        2.6        9.0       33.8        2.2 
060907  124538  48   3.8160 N  62  46.6300 W   7.5        2.6        9.0       33.8        2.2 
060907  124540  48   3.8120 N  62  46.6260 W   7.6        2.6        9.0       33.8        2.2 
060907  124542  48   3.8090 N  62  46.6220 W   7.6        2.6        9.0       33.8        2.2 
060907  124544  48   3.8060 N  62  46.6180 W   7.5        2.6        9.0       33.8        2.2 
060907  124546  48   3.8030 N  62  46.6150 W   7.5        2.6        9.0       33.8        2.2 
060907  124548  48   3.7990 N  62  46.6110 W   7.5        2.6        9.0       33.8        2.2 
060907  124550  48   3.7960 N  62  46.6070 W   7.6        2.6        9.0       33.8        2.2 
060907  124552  48   3.7930 N  62  46.6030 W   7.6        2.6        9.0       33.8        2.2 
060907  124554  48   3.7890 N  62  46.6000 W   7.5        2.6        9.0       33.8        2.2 
060907  124556  48   3.7860 N  62  46.5960 W   7.5        2.6        9.0       33.8        2.2 
060907  124558  48   3.7830 N  62  46.5920 W   7.6        2.6        9.0       33.8        2.2 
060907  124600  48   3.7800 N  62  46.5890 W   7.6        2.6        9.0       33.8        2.2 
060907  124602  48   3.7760 N  62  46.5850 W   7.5        2.6        9.0       33.8        2.2 
060907  124604  48   3.7730 N  62  46.5810 W   7.5        2.6        9.0       33.8        2.2 
060907  124605  48   3.7710 N  62  46.5790 W   7.6        2.6        9.0       33.8        2.2 
060907  124608  48   3.7670 N  62  46.5740 W   7.6        2.6        9.0       33.8        2.2 
060907  124610  48   3.7630 N  62  46.5700 W   7.5        2.6        9.0       33.8        2.2 
060907  124612  48   3.7600 N  62  46.5660 W   7.5        2.6        9.0       33.8        2.2 
060907  124614  48   3.7570 N  62  46.5630 W   7.4        2.6        9.0       33.8        2.2 
060907  124616  48   3.7540 N  62  46.5590 W   7.4        2.6        9.0       33.8        2.2 
060907  124618  48   3.7500 N  62  46.5560 W   7.6        2.6        9.0       33.8        2.2 
060907  124620  48   3.7470 N  62  46.5520 W   7.6        2.6        9.0       33.8        2.2 
