FileName: C:\2006NE~1\GP236.TXT
Local Time: Wed Aug 23 17:21:16 2006

Ship: Marco Michel Trip: 02 Tow: GP 236
Comments: trawl    Zone 12
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary WingSpread      Depth 
060823  202118  47  44.2540 N  62  10.3280 W   4.2       13.4*      12.3*       1.8*     244.6*
060823  202120  47  44.2550 N  62  10.3260 W   4.7       13.4       12.3        1.8      244.6 
060823  202123  47  44.2570 N  62  10.3200 W   5.8       13.4       12.3        1.8      244.6 
060823  202124  47  44.2580 N  62  10.3170 W   6.3       13.4       12.3        1.8      244.6 
060823  202126  47  44.2600 N  62  10.3130 W   6.7       13.4       12.3        1.8      244.6 
060823  202129  47  44.2630 N  62  10.3060 W   6.5       13.4       12.3        1.8      244.6 
060823  202130  47  44.2640 N  62  10.3040 W   6.9       13.4       12.3        1.8      244.6 
060823  202132  47  44.2660 N  62  10.2980 W   7.8       13.4       12.3        1.8      244.6 
060823  202135  47  44.2690 N  62  10.2910 W   6.8       13.4       12.3        1.8      244.6 
060823  202136  47  44.2710 N  62  10.2890 W   6.7       13.4       12.3        1.8      244.6 
060823  202138  47  44.2730 N  62  10.2840 W   7.3       13.4       12.3        1.8      244.6 
060823  202141  47  44.2760 N  62  10.2740 W   8.2       13.4       12.3        1.8      244.6 
060823  202142  47  44.2770 N  62  10.2720 W   7.6       13.4       12.3        1.8      244.6 
060823  202144  47  44.2790 N  62  10.2670 W   7.2       13.4       12.3        1.8      244.6 
060823  202147  47  44.2830 N  62  10.2590 W   8.0       13.4       12.3        1.8      244.6 
060823  202148  47  44.2840 N  62  10.2560 W   8.2       13.4       12.3        1.8      244.6 
060823  202151  47  44.2880 N  62  10.2480 W   7.5       13.4       12.3        1.8      244.6 
060823  202153  47  44.2900 N  62  10.2430 W   7.3       13.4       12.3        1.8      244.6 
060823  202154  47  44.2910 N  62  10.2410 W   7.2       13.4       12.3        1.8      244.6 
060823  202156  47  44.2940 N  62  10.2350 W   7.9       13.4       12.3        1.8      244.6 
060823  202159  47  44.2980 N  62  10.2270 W   8.2       13.4       12.3        1.8      244.6 
060823  202201  47  44.3000 N  62  10.2220 W   7.3       13.4       12.3        1.8      244.6 
060823  202202  47  44.3020 N  62  10.2200 W   7.5       13.4       12.3        1.8      244.6 
060823  202205  47  44.3050 N  62  10.2110 W   8.6       13.4       12.3        1.8      244.6 
060823  202206  47  44.3060 N  62  10.2080 W   8.6       13.4       12.3        1.8      244.6 
060823  202209  47  44.3100 N  62  10.2000 W   7.5       13.4       12.3        1.8      244.6 
060823  202211  47  44.3130 N  62  10.1950 W   7.5       13.4       12.3        1.8      244.6 
060823  202213  47  44.3150 N  62  10.1900 W   7.7       13.4       12.3        1.8      244.6 
060823  202215  47  44.3180 N  62  10.1840 W   8.6       13.4       12.3        1.8      244.6 
060823  202217  47  44.3200 N  62  10.1780 W   7.9       13.4       12.3        1.8      244.6 
060823  202219  47  44.3230 N  62  10.1740 W   7.5       13.4       12.3        1.8      244.6 
060823  202221  47  44.3260 N  62  10.1680 W   8.1       13.4       12.3        1.8      244.6 
060823  202223  47  44.3280 N  62  10.1620 W   8.4       13.4       12.3        1.8      244.6 
