FileName: C:\2006NE~1\GP344.TXT
Local Time: Mon Aug 21 11:20:48 2006

Ship: Marco Michel Trip: 02 Tow: GP 344
Comments: trawl    Zone 12
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary WingSpread      Depth 
060821  142049  47  54.1180 N  60  43.8990 W   5.2        3.4*       5.7*      79.6*      90.2*
060821  142051  47  54.1200 N  60  43.9020 W   6.0        3.4        5.7       79.6       90.2 
060821  142053  47  54.1220 N  60  43.9050 W   5.7        3.4        5.7       79.6       90.2 
060821  142055  47  54.1250 N  60  43.9090 W   6.6        3.4        5.7       79.6       90.2 
060821  142057  47  54.1270 N  60  43.9130 W   6.7        3.4        5.7       79.6       90.2 
060821  142059  47  54.1300 N  60  43.9170 W   6.7        3.4        5.7       79.6       90.2 
060821  142101  47  54.1330 N  60  43.9210 W   6.7        3.4        5.7       79.6       90.2 
060821  142103  47  54.1360 N  60  43.9250 W   7.4        3.4        5.7       79.6       90.2 
060821  142105  47  54.1380 N  60  43.9290 W   6.9        3.4        5.7       79.6       90.2 
060821  142107  47  54.1410 N  60  43.9340 W   7.1        3.4        5.7       79.6       90.2 
060821  142109  47  54.1440 N  60  43.9380 W   7.3        3.4        5.7       79.6       90.2 
060821  142111  47  54.1470 N  60  43.9420 W   7.5        3.4        5.7       79.6       90.2 
060821  142113  47  54.1500 N  60  43.9470 W   7.4        3.4        5.7       79.6       90.2 
060821  142115  47  54.1530 N  60  43.9510 W   7.2        3.4        5.7       79.6       90.2 
060821  142117  47  54.1560 N  60  43.9550 W   7.6        3.4        5.7       79.6       90.2 
060821  142119  47  54.1590 N  60  43.9600 W   7.7        3.4        5.7       79.6       90.2 
060821  142121  47  54.1620 N  60  43.9640 W   7.7        3.4        5.7       79.6       90.2 
060821  142123  47  54.1650 N  60  43.9690 W   7.6        3.4        5.7       79.6       90.2 
060821  142125  47  54.1680 N  60  43.9740 W   7.7        3.4        5.7       79.6       90.2 
060821  142127  47  54.1710 N  60  43.9790 W   7.5        3.4        5.7       79.6       90.2 
060821  142129  47  54.1740 N  60  43.9830 W   7.4        3.4        5.7       79.6       90.2 
060821  142131  47  54.1770 N  60  43.9880 W   7.9        3.4        5.7       79.6       90.2 
060821  142133  47  54.1800 N  60  43.9930 W   7.8        3.4        5.7       79.6       90.2 
