FileName: C:\ZONE12~1\GP096F.TXT
Local Time: Sat Jul 14 12:43:39 2007

Ship: Trawl survey southern Gulf Trip: GP096F Tow: tow 8
Comments: 
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
070714  154343  47  10.7273 N  62  29.5043 W   5.5        5.6*       2.7      128.4*     173.3*
070714  154344  47  10.7291 N  62  29.5044 W   5.6        5.6        2.7      128.4      173.3 
070714  154345  47  10.7310 N  62  29.5044 W   5.8        5.6        2.7      128.4      173.3 
070714  154346  47  10.7330 N  62  29.5043 W   6.0        5.6        2.7      128.4      173.3 
070714  154347  47  10.7349 N  62  29.5043 W   6.2        5.6        2.7      128.4      173.3 
070714  154348  47  10.7369 N  62  29.5043 W   6.3        5.6        2.7      128.4      173.3 
070714  154349  47  10.7388 N  62  29.5044 W   6.4        5.6        2.7      128.4      173.3 
070714  154350  47  10.7407 N  62  29.5045 W   6.5        5.6        2.7      128.4      173.3 
070714  154351  47  10.7427 N  62  29.5046 W   6.6        5.6        2.7      128.4      173.3 
070714  154352  47  10.7448 N  62  29.5045 W   6.7        5.6        2.7      128.4      173.3 
070714  154353  47  10.7468 N  62  29.5044 W   6.8        5.6        2.7      128.4      173.3 
070714  154354  47  10.7488 N  62  29.5043 W   6.9        5.6        2.7      128.4      173.3 
070714  154355  47  10.7508 N  62  29.5044 W   6.9        5.6        2.7      128.4      173.3 
070714  154356  47  10.7528 N  62  29.5045 W   7.0        5.6        2.7      128.4      173.3 
070714  154357  47  10.7547 N  62  29.5045 W   6.9        5.6        2.7      128.4      173.3 
070714  154358  47  10.7566 N  62  29.5046 W   6.9        5.6        2.7      128.4      173.3 
070714  154359  47  10.7584 N  62  29.5045 W   6.9        5.6        2.7      128.4      173.3 
070714  154400  47  10.7602 N  62  29.5044 W   6.8        5.6        2.7      128.4      173.3 
070714  154401  47  10.7618 N  62  29.5045 W   6.6        5.6        2.7      128.4      173.3 
070714  154402  47  10.7634 N  62  29.5046 W   6.5        5.6        2.7      128.4      173.3 
070714  154403  47  10.7649 N  62  29.5046 W   6.3        5.6        2.7      128.4      173.3 
070714  154404  47  10.7663 N  62  29.5046 W   6.1        5.6        2.7      128.4      173.3 
070714  154405  47  10.7676 N  62  29.5046 W   5.9        5.6        2.7      128.4      173.3 
070714  154406  47  10.7688 N  62  29.5046 W   5.6        5.6        2.7      128.4      173.3 
070714  154407  47  10.7700 N  62  29.5046 W   5.5        5.6        2.7      128.4      173.3 
070714  154408  47  10.7712 N  62  29.5045 W   5.3        5.6        2.7      128.4      173.3 
070714  154409  47  10.7723 N  62  29.5044 W   5.1        5.6        2.7      128.4      173.3 
070714  154410  47  10.7733 N  62  29.5044 W   4.9        5.6        2.7      128.4      173.3 
070714  154411  47  10.7744 N  62  29.5045 W   4.7        5.6        2.7      128.4      173.3 
070714  154412  47  10.7755 N  62  29.5044 W   4.6        5.6        2.7      128.4      173.3 
070714  154413  47  10.7765 N  62  29.5044 W   4.4        5.6        2.7      128.4      173.3 
070714  154414  47  10.7774 N  62  29.5045 W   4.3        5.6        2.7      128.4      173.3 
070714  154415  47  10.7784 N  62  29.5045 W   4.1        5.6        2.7      128.4      173.3 
070714  154416  47  10.7792 N  62  29.5045 W   4.0        5.6        2.7      128.4      173.3 
070714  154417  47  10.7802 N  62  29.5046 W   3.9        5.6        2.7      128.4      173.3 
070714  154418  47  10.7810 N  62  29.5046 W   3.8        5.6        2.7      128.4      173.3 
070714  154419  47  10.7818 N  62  29.5045 W   3.6        5.6        2.7      128.4      173.3 
070714  154420  47  10.7826 N  62  29.5046 W   3.5        5.6        2.7      128.4      173.3 
070714  154421  47  10.7834 N  62  29.5047 W   3.4        5.6        2.7      128.4      173.3 
070714  154422  47  10.7842 N  62  29.5047 W   3.3        5.6        2.7        3.0*     173.3 
070714  154423  47  10.7849 N  62  29.5046 W   3.2        5.6        2.7        3.0      173.3 
070714  154424  47  10.7857 N  62  29.5047 W   3.1        5.6        2.7        3.0      173.3 
070714  154425  47  10.7865 N  62  29.5048 W   3.1        5.6        2.7        3.0      173.3 
070714  154426  47  10.7874 N  62  29.5049 W   3.1        5.6        2.7        3.0      173.3 
070714  154427  47  10.7883 N  62  29.5049 W   3.2        5.6        2.7        3.0      173.3 
070714  154428  47  10.7893 N  62  29.5048 W   3.2        5.6        2.7        3.0      173.3 
070714  154429  47  10.7903 N  62  29.5048 W   3.3        5.6        2.7        3.0      173.3 
070714  154430  47  10.7914 N  62  29.5049 W   3.5        5.6        2.7        3.0      173.3 
070714  154431  47  10.7928 N  62  29.5050 W   3.6        5.6        2.7        3.0      173.3 
070714  154432  47  10.7940 N  62  29.5049 W   3.8        5.6        2.7        3.0      173.3 
070714  154433  47  10.7954 N  62  29.5050 W   4.0        5.6        2.7        3.0      173.3 
070714  154434  47  10.7969 N  62  29.5051 W   4.2        5.6        2.7        3.0      173.3 
070714  154435  47  10.7985 N  62  29.5051 W   4.5        5.6        2.7        3.0      173.3 
070714  154436  47  10.8002 N  62  29.5052 W   4.7        5.6        2.7        3.0      173.3 
070714  154437  47  10.8019 N  62  29.5053 W   4.9        5.6        2.7        3.0      173.3 
070714  154438  47  10.8036 N  62  29.5053 W   5.1        5.6        2.7        3.0      173.3 
070714  154439  47  10.8054 N  62  29.5053 W   5.3        5.6        2.7        3.0      173.3 
070714  154440  47  10.8072 N  62  29.5054 W   5.5        5.6        2.7        3.0      173.3 
070714  154441  47  10.8092 N  62  29.5054 W   5.7        5.6        2.7        3.0      173.3 
070714  154442  47  10.8111 N  62  29.5054 W   5.9        5.6        2.7        3.0      173.3 
070714  154443  47  10.8130 N  62  29.5054 W   6.1        5.6        2.7        3.0      173.3 
070714  154444  47  10.8150 N  62  29.5055 W   6.2        5.6        2.7        3.0      173.3 
070714  154445  47  10.8169 N  62  29.5057 W   6.4        5.6        2.7        3.0      173.3 
070714  154446  47  10.8190 N  62  29.5058 W   6.5        5.6        2.7        3.0      173.3 
070714  154447  47  10.8210 N  62  29.5059 W   6.6        5.6        2.7        3.0      173.3 
070714  154448  47  10.8230 N  62  29.5061 W   6.7        5.6        2.7        3.0      173.3 
070714  154449  47  10.8250 N  62  29.5062 W   6.8        5.6        2.7        3.0      173.3 
070714  154450  47  10.8271 N  62  29.5065 W   6.9        5.6        2.7        3.0      173.3 
070714  154451  47  10.8291 N  62  29.5068 W   7.0        5.6        2.7        3.0      173.3 
070714  154452  47  10.8312 N  62  29.5069 W   7.0        5.6        2.7        3.0      173.3 
070714  154453  47  10.8332 N  62  29.5071 W   7.1        5.6        2.7        3.0      173.3 
070714  154454  47  10.8352 N  62  29.5073 W   7.1        5.6        2.7        3.0      173.3 
070714  154455  47  10.8373 N  62  29.5075 W   7.2        5.6        2.7        3.0      173.3 
070714  154456  47  10.8394 N  62  29.5077 W   7.3        5.6        2.7        3.0      173.3 
070714  154457  47  10.8415 N  62  29.5079 W   7.3        5.6        2.7        3.0      173.3 
070714  154458  47  10.8436 N  62  29.5081 W   7.4        5.6        2.7        3.0      173.3 
070714  154459  47  10.8456 N  62  29.5085 W   7.4        5.6        2.7        3.0      173.3 
070714  154500  47  10.8477 N  62  29.5088 W   7.4        5.6        2.7        3.0      173.3 
070714  154501  47  10.8497 N  62  29.5092 W   7.4        5.6        2.7        3.0      173.3 
