FileName: C:\DOCUME~1\NETMIND\DESKTOP\ZONE12~1\GP116F.TXT
Local Time: Sat Aug 11 08:43:30 2007

Ship: Trawl survey southern Gulf Trip: GP116F Tow: tow 4
Comments: Zone 12 - Vallée de Shédiac
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
070811  114331  47  36.6225 N  64   4.6654 W   7.3        3.9*       2.3*     144.8*      93.7*
070811  114332  47  36.6229 N  64   4.6631 W   7.1        3.9        2.3      144.8       93.7 
070811  114333  47  36.6232 N  64   4.6609 W   6.8        3.9        2.3      144.8       93.7 
070811  114334  47  36.6235 N  64   4.6587 W   6.6        3.9        2.3      144.8       93.7 
070811  114335  47  36.6239 N  64   4.6565 W   6.4        3.9        2.3      144.8       93.7 
070811  114336  47  36.6241 N  64   4.6547 W   6.2        3.9        2.3      144.8       93.7 
070811  114337  47  36.6243 N  64   4.6528 W   6.0        3.9        2.3      144.8       93.7 
070811  114338  47  36.6246 N  64   4.6508 W   5.8        3.9        2.3      144.8       93.7 
070811  114339  47  36.6248 N  64   4.6488 W   5.7        3.9        2.3      144.8       93.7 
070811  114340  47  36.6251 N  64   4.6470 W   5.5        3.9        2.3      144.8       93.7 
070811  114341  47  36.6253 N  64   4.6452 W   5.4        3.9        2.3      144.8       93.7 
070811  114342  47  36.6256 N  64   4.6433 W   5.2        3.9        2.3      144.8       93.7 
070811  114343  47  36.6258 N  64   4.6415 W   5.1        3.9        2.3      144.8       93.7 
070811  114344  47  36.6260 N  64   4.6399 W   5.0        3.9        2.3      144.8       93.7 
070811  114345  47  36.6262 N  64   4.6381 W   4.9        3.9        2.3      144.8       93.7 
070811  114346  47  36.6264 N  64   4.6363 W   4.7        3.9        2.3      144.8       93.7 
070811  114347  47  36.6266 N  64   4.6346 W   4.6        3.9        2.3      144.8       93.7 
070811  114348  47  36.6268 N  64   4.6330 W   4.5        3.9        2.3      144.8       93.7 
070811  114349  47  36.6269 N  64   4.6315 W   4.4        3.9        2.3      144.8       93.7 
070811  114350  47  36.6271 N  64   4.6300 W   4.3        3.9        2.3      144.8       93.7 
070811  114351  47  36.6272 N  64   4.6285 W   4.2        3.9        2.3      144.8       93.7 
070811  114352  47  36.6274 N  64   4.6270 W   4.2        3.9        2.3      144.8       93.7 
070811  114353  47  36.6276 N  64   4.6254 W   4.1        3.9        2.3      144.8       93.7 
070811  114354  47  36.6277 N  64   4.6241 W   4.0        3.9        2.3      144.8       93.7 
070811  114355  47  36.6278 N  64   4.6227 W   3.9        3.9        2.3      144.8       93.7 
070811  114356  47  36.6280 N  64   4.6212 W   3.9        3.9        2.3      144.8       93.7 
070811  114357  47  36.6282 N  64   4.6196 W   3.8        3.9        2.3      144.8       93.7 
070811  114358  47  36.6283 N  64   4.6183 W   3.8        3.9        2.3      144.8       93.7 
070811  114359  47  36.6285 N  64   4.6169 W   3.7        3.9        2.3      144.8       93.7 
070811  114400  47  36.6286 N  64   4.6154 W   3.7        3.9        2.3      144.8       93.7 
070811  114401  47  36.6287 N  64   4.6139 W   3.8        3.9        2.3      144.8       93.7 
070811  114402  47  36.6289 N  64   4.6123 W   3.8        3.9        2.3      144.8       93.7 
070811  114403  47  36.6291 N  64   4.6106 W   4.0        3.9        2.3      144.8       93.7 
070811  114404  47  36.6294 N  64   4.6087 W   4.1        3.9        2.3      144.8       93.7 
070811  114405  47  36.6296 N  64   4.6066 W   4.3        3.9        2.3      144.8       93.7 
070811  114406  47  36.6299 N  64   4.6045 W   4.5        3.9        2.3      144.8       93.7 
070811  114407  47  36.6302 N  64   4.6022 W   4.7        3.9        2.3      144.8       93.7 
070811  114408  47  36.6306 N  64   4.5998 W   4.9        3.9        2.3      144.8       93.7 
070811  114409  47  36.6309 N  64   4.5974 W   5.1        3.9        2.3      144.8       93.7 
070811  114410  47  36.6312 N  64   4.5949 W   5.3        3.9        2.3      144.8       93.7 
070811  114411  47  36.6316 N  64   4.5923 W   5.5        3.9        2.3      144.8       93.7 
070811  114412  47  36.6320 N  64   4.5896 W   5.7        3.9        2.3      144.8       93.7 
070811  114413  47  36.6324 N  64   4.5869 W   5.8        3.9        2.3      144.8       93.7 
070811  114414  47  36.6328 N  64   4.5842 W   6.0        3.9        2.3      144.8       93.7 
070811  114415  47  36.6332 N  64   4.5814 W   6.1        3.9        2.3      144.8       93.7 
