FileName: C:\DOCUME~1\NETMIND\DESKTOP\ZONE12~1\GP134F.TXT
Local Time: Thu Aug 23 18:45:17 2007

Ship: Trawl survey southern Gulf Trip: GP134F Tow: tow 10
Comments: Zone 12 - Banc Orphelin
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
070823  214517  48  22.7821 N  62  55.2200 W   4.3        7.3*      12.0*      68.3*      49.3*
070823  214518  48  22.7813 N  62  55.2196 W   4.1        7.3       12.0       68.3       49.3 
070823  214519  48  22.7805 N  62  55.2191 W   4.0        7.3       12.0       68.3       49.3 
070823  214520  48  22.7796 N  62  55.2186 W   3.9        7.3       12.0       68.3       49.3 
070823  214521  48  22.7788 N  62  55.2182 W   3.8        7.3       12.0       68.3       49.3 
070823  214522  48  22.7780 N  62  55.2178 W   3.6        7.3       12.0       68.3       49.3 
070823  214523  48  22.7772 N  62  55.2173 W   3.5        7.3       12.0       68.3       49.3 
070823  214524  48  22.7765 N  62  55.2169 W   3.4        7.3       12.0       68.3       49.3 
070823  214525  48  22.7757 N  62  55.2167 W   3.3        7.3       12.0       68.3       49.3 
070823  214526  48  22.7750 N  62  55.2163 W   3.2        7.3       12.0       68.3       49.3 
070823  214527  48  22.7744 N  62  55.2159 W   3.1        7.3       12.0       68.3       49.3 
070823  214528  48  22.7737 N  62  55.2155 W   3.0       10.8*      12.0       68.3       49.3 
070823  214529  48  22.7730 N  62  55.2152 W   3.0       10.8       12.0       68.3       49.3 
070823  214530  48  22.7723 N  62  55.2149 W   2.9       10.8       12.0       68.3       49.3 
070823  214531  48  22.7718 N  62  55.2145 W   2.8       10.8       12.0       68.3       49.3 
070823  214532  48  22.7712 N  62  55.2142 W   2.7       10.8       12.0        0.9*      49.3 
070823  214533  48  22.7705 N  62  55.2138 W   2.7       10.8       12.0        0.9       49.3 
070823  214534  48  22.7701 N  62  55.2136 W   2.6       10.8       12.0        0.9       49.3 
070823  214535  48  22.7695 N  62  55.2132 W   2.5       10.8       12.0        0.9       49.3 
070823  214536  48  22.7689 N  62  55.2128 W   2.5       10.8       12.0        0.9       49.3 
070823  214537  48  22.7683 N  62  55.2125 W   2.4       10.8       12.0        2.4*      49.3 
070823  214538  48  22.7677 N  62  55.2120 W   2.4       10.8       12.0        2.4       49.3 
070823  214539  48  22.7669 N  62  55.2115 W   2.5       10.8       12.0        2.4       49.3 
070823  214540  48  22.7661 N  62  55.2109 W   2.6       10.8       12.0        2.4       49.3 
070823  214541  48  22.7652 N  62  55.2104 W   2.8       10.8       12.0        2.4       49.3 
070823  214542  48  22.7642 N  62  55.2098 W   2.9       10.8       12.0        2.4       49.3 
070823  214543  48  22.7631 N  62  55.2090 W   3.2       10.8       12.0        2.4       49.3 
070823  214544  48  22.7619 N  62  55.2082 W   3.4       10.8       12.0        2.4       49.3 
070823  214545  48  22.7607 N  62  55.2074 W   3.6       10.8       12.0        2.4       49.3 
070823  214546  48  22.7594 N  62  55.2067 W   3.8       10.8       12.0        2.4       49.3 
070823  214547  48  22.7580 N  62  55.2058 W   4.1       10.8       12.0        2.4       49.3 
070823  214548  48  22.7565 N  62  55.2049 W   4.3       10.8       12.0        2.4       49.3 
070823  214549  48  22.7550 N  62  55.2041 W   4.5       10.8       12.0        2.4       49.3 
070823  214550  48  22.7535 N  62  55.2032 W   4.8       10.8       12.0        2.4       49.3 
070823  214551  48  22.7519 N  62  55.2023 W   5.0       10.8       12.0        2.4       49.3 
070823  214552  48  22.7502 N  62  55.2013 W   5.2       10.8       12.0        2.4       49.3 
070823  214553  48  22.7486 N  62  55.2002 W   5.4       10.8       11.5*       2.4       49.3 
070823  214554  48  22.7469 N  62  55.1993 W   5.6       10.8       11.5        2.4       49.3 
070823  214555  48  22.7452 N  62  55.1983 W   5.7       10.8       11.5        2.4       49.3 
070823  214556  48  22.7435 N  62  55.1972 W   5.9       10.8       11.5        2.4       49.3 
070823  214557  48  22.7417 N  62  55.1962 W   6.0       10.8       11.5        2.4       49.3 
070823  214558  48  22.7400 N  62  55.1952 W   6.1       10.8       11.5        2.4       49.3 
070823  214559  48  22.7382 N  62  55.1942 W   6.2       10.8       11.5        2.4       49.3 
070823  214600  48  22.7364 N  62  55.1932 W   6.3       10.8       11.5        2.4       49.3 
070823  214601  48  22.7346 N  62  55.1922 W   6.4       10.8       11.5        2.4       49.3 
070823  214602  48  22.7329 N  62  55.1912 W   6.5       10.8       11.5        2.4       49.3 
070823  214603  48  22.7311 N  62  55.1902 W   6.6       10.8       11.5        2.4       49.3 
070823  214604  48  22.7292 N  62  55.1893 W   6.6       10.8       11.5        2.4       49.3 
070823  214605  48  22.7274 N  62  55.1883 W   6.7       10.8       11.5        2.4       49.3 
070823  214606  48  22.7256 N  62  55.1872 W   6.7       10.8       11.5        2.4       49.3 
070823  214607  48  22.7237 N  62  55.1862 W   6.8       10.8       11.5        2.4       49.3 
070823  214608  48  22.7218 N  62  55.1853 W   6.8       10.8       11.5        2.4       49.3 
070823  214609  48  22.7200 N  62  55.1843 W   6.9       10.8       11.5        2.4       49.3 
070823  214610  48  22.7181 N  62  55.1833 W   6.9       10.8       11.5        2.4       49.3 
070823  214611  48  22.7164 N  62  55.1822 W   6.9       10.8       11.5        2.4       49.3 
070823  214612  48  22.7145 N  62  55.1812 W   6.9       10.8       11.5        2.4       49.3 
070823  214613  48  22.7127 N  62  55.1803 W   7.0       10.8       11.5        2.4       49.3 
070823  214614  48  22.7109 N  62  55.1792 W   6.9       10.8       11.5        2.4       49.3 
070823  214615  48  22.7091 N  62  55.1781 W   6.9       10.8       11.5        2.4       49.3 
070823  214616  48  22.7073 N  62  55.1770 W   6.9       10.8       11.5        2.4       49.3 
070823  214617  48  22.7057 N  62  55.1760 W   6.9       10.8       11.5        2.4       49.3 
070823  214618  48  22.7039 N  62  55.1749 W   6.9       10.8       11.5        2.4       49.3 
070823  214619  48  22.7021 N  62  55.1738 W   6.9       10.8       11.5        2.4       49.3 
070823  214620  48  22.7004 N  62  55.1728 W   6.9       10.8       11.5        2.4       49.3 
070823  214621  48  22.6986 N  62  55.1718 W   6.9       10.8       11.5        2.4       49.3 
070823  214622  48  22.6968 N  62  55.1708 W   6.9       10.8       11.5        2.4       49.3 
070823  214623  48  22.6950 N  62  55.1698 W   6.9       10.8       11.5        2.4       49.3 
070823  214624  48  22.6932 N  62  55.1688 W   6.9       10.8       11.5        2.4       49.3 
070823  214625  48  22.6914 N  62  55.1677 W   6.9       10.8       11.5        2.4       49.3 
070823  214626  48  22.6896 N  62  55.1667 W   6.9       10.8       11.5        2.4       49.3 
070823  214627  48  22.6879 N  62  55.1657 W   6.9       10.8       11.5        2.4       49.3 
070823  214628  48  22.6861 N  62  55.1646 W   6.9       10.8       11.5        2.4       49.3 
070823  214629  48  22.6843 N  62  55.1636 W   6.9       10.8       11.5        2.4       47.9*
070823  214630  48  22.6825 N  62  55.1626 W   6.9       10.8       11.5        2.4       47.9 
