FileName: C:\DOCUME~1\NETMIND\DESKTOP\ZONE12~1\GP139F.TXT
Local Time: Fri Aug 24 10:42:28 2007

Ship: Trawl survey southern Gulf Trip: GP139F Tow: tow 4
Comments: Zone 12 - Près de la Zone E
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
070824  134229  48  17.1295 N  62  29.2042 W   4.3       12.9*       8.1*      53.6*     695.0*
070824  134230  48  17.1300 N  62  29.2030 W   4.1       12.9        8.1       53.6      695.0 
070824  134231  48  17.1306 N  62  29.2020 W   4.0       12.9        8.1       53.6      695.0 
070824  134232  48  17.1312 N  62  29.2011 W   3.8       12.9        8.1       53.6      695.0 
070824  134233  48  17.1318 N  62  29.1999 W   3.8       12.9        8.1       53.6      695.0 
070824  134234  48  17.1322 N  62  29.1987 W   3.7       12.9        8.1       53.6      695.0 
070824  134235  48  17.1326 N  62  29.1976 W   3.6       12.9        8.1       53.6      695.0 
070824  134236  48  17.1332 N  62  29.1965 W   3.6       12.9        8.1       53.6      695.0 
070824  134237  48  17.1337 N  62  29.1955 W   3.5       12.9        8.1        4.4*     695.0 
070824  134238  48  17.1342 N  62  29.1945 W   3.4       12.9        8.1        4.4      695.0 
070824  134239  48  17.1347 N  62  29.1934 W   3.4       12.9        8.1        4.4      695.0 
070824  134240  48  17.1352 N  62  29.1924 W   3.3       12.9        8.1        4.4      695.0 
070824  134241  48  17.1356 N  62  29.1914 W   3.3       12.9        8.1        4.4      695.0 
070824  134242  48  17.1361 N  62  29.1903 W   3.2       12.9        8.1        4.4      695.0 
070824  134243  48  17.1365 N  62  29.1892 W   3.2       12.9        8.1        4.4      695.0 
070824  134244  48  17.1370 N  62  29.1881 W   3.2       12.9        8.1        4.4      695.0 
070824  134245  48  17.1374 N  62  29.1871 W   3.1       12.9        8.1        4.4      695.0 
070824  134246  48  17.1378 N  62  29.1861 W   3.1       12.9        8.1        4.4      695.0 
070824  134247  48  17.1383 N  62  29.1852 W   3.1       12.9        8.1        1.7*     695.0 
070824  134248  48  17.1387 N  62  29.1841 W   3.1       12.9        8.1        1.7      695.0 
070824  134249  48  17.1390 N  62  29.1830 W   3.0       12.9        8.1        1.7      695.0 
070824  134250  48  17.1393 N  62  29.1819 W   3.0       12.9        8.1        1.7      695.0 
070824  134251  48  17.1398 N  62  29.1808 W   3.0       12.9        8.1        1.7      695.0 
070824  134252  48  17.1403 N  62  29.1799 W   3.0       12.9        8.1        2.2*     695.0 
070824  134253  48  17.1407 N  62  29.1788 W   3.0       12.9        8.1        2.2      695.0 
070824  134254  48  17.1410 N  62  29.1776 W   3.0       12.9        8.1        2.2      695.0 
070824  134255  48  17.1414 N  62  29.1763 W   3.1       12.9        8.1        2.2      695.0 
070824  134256  48  17.1418 N  62  29.1749 W   3.2       12.9        8.1        2.2      695.0 
070824  134257  48  17.1423 N  62  29.1733 W   3.3       12.9        8.1        2.2      695.0 
070824  134258  48  17.1429 N  62  29.1717 W   3.5       12.9        8.1        8.9*     695.0 
070824  134259  48  17.1434 N  62  29.1701 W   3.7       12.9        8.1        8.9      695.0 
070824  134300  48  17.1441 N  62  29.1683 W   3.9       12.9        8.1        8.9      695.0 
070824  134301  48  17.1448 N  62  29.1664 W   4.2       12.9        8.1        8.9      695.0 
070824  134302  48  17.1453 N  62  29.1643 W   4.4       12.9        8.1        8.9      695.0 
070824  134303  48  17.1460 N  62  29.1619 W   4.7       12.9        8.1        3.5*     695.0 
070824  134304  48  17.1469 N  62  29.1596 W   5.0       12.9        8.1        3.5      695.0 
070824  134305  48  17.1479 N  62  29.1575 W   5.2       12.9        8.1        3.5      695.0 
070824  134306  48  17.1487 N  62  29.1553 W   5.4       12.9        8.1        3.5      695.0 
070824  134307  48  17.1495 N  62  29.1528 W   5.6       12.9        8.1        3.5      695.0 
070824  134308  48  17.1503 N  62  29.1503 W   5.8       12.9        8.1        3.5      695.0 
070824  134309  48  17.1512 N  62  29.1479 W   6.0       12.9        8.1        3.5      695.0 
070824  134310  48  17.1521 N  62  29.1453 W   6.1       12.9        8.1        3.5      695.0 
070824  134311  48  17.1530 N  62  29.1427 W   6.3       12.9        8.1        3.5      695.0 
070824  134312  48  17.1540 N  62  29.1400 W   6.5       12.9        8.1        3.5      695.0 
070824  134313  48  17.1549 N  62  29.1373 W   6.6       12.9        8.1        3.5      695.0 
070824  134314  48  17.1558 N  62  29.1347 W   6.7       12.9        8.1        3.5      695.0 
070824  134315  48  17.1566 N  62  29.1320 W   6.7       12.9        8.1        3.5      695.0 
070824  134316  48  17.1575 N  62  29.1292 W   6.8       12.9        8.1        3.5      695.0 
070824  134317  48  17.1584 N  62  29.1265 W   6.9       12.9        8.1        3.5      695.0 
070824  134318  48  17.1594 N  62  29.1238 W   7.0       12.9        8.1        3.5      695.0 
070824  134319  48  17.1604 N  62  29.1209 W   7.1       12.9        8.1        7.0*     695.0 
070824  134320  48  17.1613 N  62  29.1180 W   7.2       12.9        8.1        7.0      695.0 
070824  134321  48  17.1622 N  62  29.1150 W   7.3       12.9        8.1        7.0      695.0 
070824  134322  48  17.1632 N  62  29.1122 W   7.4       12.9        8.1        7.0      695.0 
070824  134323  48  17.1641 N  62  29.1093 W   7.4       12.9        8.1        7.0      695.0 
070824  134324  48  17.1650 N  62  29.1065 W   7.4       12.9        8.1        8.9*     695.0 
070824  134325  48  17.1659 N  62  29.1036 W   7.4       12.9        8.1        8.9      695.0 
070824  134326  48  17.1669 N  62  29.1008 W   7.4       12.9        8.1        8.9      695.0 
070824  134327  48  17.1678 N  62  29.0980 W   7.5       12.9        8.1        8.9      695.0 
070824  134328  48  17.1688 N  62  29.0951 W   7.5       12.9        8.1        8.9      695.0 
070824  134329  48  17.1698 N  62  29.0921 W   7.6       12.9        8.1        8.9      695.0 
070824  134330  48  17.1708 N  62  29.0892 W   7.7       12.9        8.1        8.9      695.0 
070824  134331  48  17.1719 N  62  29.0863 W   7.7       12.9        8.1        8.9      695.0 
070824  134332  48  17.1730 N  62  29.0834 W   7.7       12.9        8.1        8.9      695.0 
070824  134333  48  17.1739 N  62  29.0806 W   7.6       12.9        8.1        8.9      695.0 
070824  134334  48  17.1748 N  62  29.0777 W   7.6       12.9        8.1        8.9      695.0 
070824  134335  48  17.1758 N  62  29.0750 W   7.6       12.9        8.1        8.9      695.0 
070824  134336  48  17.1770 N  62  29.0723 W   7.6       12.9        8.1        8.9      695.0 
070824  134337  48  17.1782 N  62  29.0695 W   7.7       12.9        8.1        8.9      695.0 
070824  134338  48  17.1794 N  62  29.0667 W   7.7       12.9        8.1        8.9      695.0 
