FileName: C:\DOCUME~1\NETMIND\DESKTOP\ZONE12~1\GP142F.TXT
Local Time: Fri Aug 24 14:35:17 2007

Ship: Trawl survey southern Gulf Trip: GP142F Tow: tow 7
Comments: Zone 12 - Banc de l'Orphelin
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
070824  173517  48  14.5332 N  62  53.4120 W   6.0        2.2*       4.0*       4.6*     632.1*
070824  173518  48  14.5344 N  62  53.4130 W   5.9        2.2        4.0        4.6      632.1 
070824  173519  48  14.5355 N  62  53.4140 W   5.7        2.2        4.0        4.6      632.1 
070824  173520  48  14.5366 N  62  53.4151 W   5.5        2.2        4.0        4.6      632.1 
070824  173521  48  14.5376 N  62  53.4162 W   5.4        2.2        4.0        4.6      632.1 
070824  173522  48  14.5386 N  62  53.4172 W   5.2        2.2        4.0        0.2*     632.1 
070824  173523  48  14.5397 N  62  53.4180 W   5.1        2.2        4.0        0.2      632.1 
070824  173524  48  14.5407 N  62  53.4188 W   4.9        2.2        4.0        0.2      632.1 
070824  173525  48  14.5415 N  62  53.4197 W   4.8        2.2        4.0        0.2      632.1 
070824  173526  48  14.5425 N  62  53.4207 W   4.7        2.2        4.0        0.2      632.1 
070824  173527  48  14.5435 N  62  53.4215 W   4.6        2.2        4.0        0.2      632.1 
070824  173528  48  14.5445 N  62  53.4223 W   4.5        2.2        4.0        0.2      632.1 
070824  173529  48  14.5455 N  62  53.4230 W   4.4        2.2        4.0        0.2      632.1 
070824  173530  48  14.5463 N  62  53.4240 W   4.3        2.2        4.0        0.2      632.1 
070824  173531  48  14.5472 N  62  53.4249 W   4.2        2.2        4.0        0.2      632.1 
070824  173532  48  14.5481 N  62  53.4257 W   4.1        2.2        4.0        0.2      632.1 
070824  173533  48  14.5489 N  62  53.4263 W   4.0        2.2        4.0        1.8*     632.1 
070824  173534  48  14.5498 N  62  53.4271 W   4.0        2.2        4.0        1.8      632.1 
070824  173535  48  14.5508 N  62  53.4279 W   4.0        2.2        4.0        1.8      632.1 
070824  173536  48  14.5516 N  62  53.4287 W   3.9        2.2        4.0        1.8      632.1 
070824  173537  48  14.5524 N  62  53.4293 W   3.8        2.2        4.0        1.8      632.1 
070824  173538  48  14.5532 N  62  53.4302 W   3.8        2.2        4.0        2.1*     632.1 
070824  173539  48  14.5541 N  62  53.4310 W   3.7        2.2        4.0        2.1      632.1 
070824  173540  48  14.5549 N  62  53.4315 W   3.6        2.2        4.0        2.1      632.1 
070824  173541  48  14.5558 N  62  53.4320 W   3.6        2.2        4.0        2.1      632.1 
070824  173542  48  14.5566 N  62  53.4328 W   3.6        2.2        4.0        2.1      632.1 
070824  173543  48  14.5576 N  62  53.4336 W   3.6        2.2        4.0        4.1*     632.1 
070824  173544  48  14.5585 N  62  53.4343 W   3.6        2.2        4.0        4.1      632.1 
070824  173545  48  14.5593 N  62  53.4350 W   3.5        2.2        4.0        4.1      632.1 
070824  173546  48  14.5601 N  62  53.4357 W   3.5        2.2        4.0        4.1      632.1 
070824  173547  48  14.5610 N  62  53.4366 W   3.6        2.2        4.0        4.1      632.1 
070824  173548  48  14.5621 N  62  53.4376 W   3.7        2.2        4.0        4.1      632.1 
