FileName: C:\DOCUME~1\NETMIND\DESKTOP\ZONE12~1\GP273F.TXT
Local Time: Sat Sep 08 07:29:39 2007

Ship: Trawl survey southern Gulf Trip: GP273F Tow: tow 2
Comments: Zone 12 - Île du Prince Édouard
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
070908  102939  47   0.4354 N  63  43.4658 W   5.3        2.5*       2.2*     126.7*     196.2*
070908  102940  47   0.4343 N  63  43.4654 W   5.1        2.5        2.2      126.7      196.2 
070908  102941  47   0.4332 N  63  43.4649 W   4.9        2.5        2.2      126.7      196.2 
070908  102942  47   0.4322 N  63  43.4645 W   4.7        2.5        2.2      126.7      196.2 
070908  102943  47   0.4312 N  63  43.4640 W   4.5        2.5        2.2        4.6*     196.2 
070908  102944  47   0.4303 N  63  43.4636 W   4.4        2.5        2.2        4.6      196.2 
070908  102945  47   0.4294 N  63  43.4632 W   4.3        2.5        2.2        4.6      196.2 
070908  102946  47   0.4286 N  63  43.4628 W   4.1        2.5        2.2        4.6      196.2 
070908  102947  47   0.4278 N  63  43.4624 W   4.0        2.5        2.2        4.6      196.2 
070908  102948  47   0.4270 N  63  43.4620 W   3.9        2.5        2.2        0.4*     196.2 
070908  102949  47   0.4262 N  63  43.4616 W   3.8        2.5        2.2        0.4      196.2 
070908  102950  47   0.4254 N  63  43.4611 W   3.7        2.5        2.2        0.4      196.2 
070908  102951  47   0.4246 N  63  43.4606 W   3.6        2.5        2.2        0.4      196.2 
070908  102952  47   0.4240 N  63  43.4603 W   3.5        2.5        2.2        0.4      196.2 
070908  102953  47   0.4233 N  63  43.4598 W   3.4        2.5        2.2        4.4*     196.2 
070908  102954  47   0.4226 N  63  43.4594 W   3.3        2.5        2.2        4.4      196.2 
070908  102955  47   0.4220 N  63  43.4590 W   3.2        2.5        2.2        4.4      196.2 
070908  102956  47   0.4214 N  63  43.4585 W   3.1        2.5        2.2        4.4      196.2 
070908  102957  47   0.4207 N  63  43.4580 W   3.1        2.5        2.2        4.4      196.2 
070908  102958  47   0.4201 N  63  43.4576 W   3.0        2.5        2.2        2.3*     196.2 
070908  102959  47   0.4195 N  63  43.4572 W   2.9        2.5        2.2        2.3        2.6*
070908  103000  47   0.4188 N  63  43.4567 W   2.9        2.5        2.2        2.3        2.6 
070908  103001  47   0.4182 N  63  43.4562 W   2.9        2.5        2.2        2.3        2.6 
070908  103002  47   0.4174 N  63  43.4557 W   2.9        2.5        2.2        2.3        2.6 
070908  103003  47   0.4166 N  63  43.4552 W   3.0        2.5        2.2        2.3        2.6 
070908  103004  47   0.4157 N  63  43.4547 W   3.0        2.5        2.2        3.1*       2.6 
070908  103005  47   0.4147 N  63  43.4541 W   3.2        2.5        2.2        3.1        2.6 
070908  103006  47   0.4136 N  63  43.4535 W   3.3        2.5        2.2        3.1        2.6 
070908  103007  47   0.4123 N  63  43.4528 W   3.6        2.5        2.2        3.1        2.6 
