FileName: C:\DOCUME~1\NETMIND\DESKTOP\ZONE12~1\GP313F.TXT
Local Time: Wed Sep 19 14:10:45 2007

Ship: Trawl survey southern Gulf Trip: GP313F Tow: tow 8
Comments: Zone 20
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
070919  171045  47   7.9740 N  60  20.5785 W   6.5        2.1*       5.8*      84.6*       9.2*
070919  171046  47   7.9747 N  60  20.5766 W   6.3        2.1        5.8       84.6        9.2 
070919  171047  47   7.9753 N  60  20.5748 W   6.1        2.1        5.8       84.6        9.2 
070919  171048  47   7.9760 N  60  20.5731 W   6.0        2.1        5.8       84.6        9.2 
070919  171049  47   7.9767 N  60  20.5713 W   5.8        2.1        5.8       84.6        9.2 
070919  171050  47   7.9774 N  60  20.5695 W   5.7        2.1        5.8       84.6        9.2 
070919  171051  47   7.9781 N  60  20.5677 W   5.6        2.1        5.8       84.6        9.2 
070919  171052  47   7.9787 N  60  20.5660 W   5.4        2.1        5.8       84.6        9.2 
070919  171053  47   7.9793 N  60  20.5645 W   5.3        2.1        5.8       84.6        9.2 
070919  171054  47   7.9799 N  60  20.5629 W   5.2        2.1        5.8       84.6        9.2 
070919  171055  47   7.9804 N  60  20.5612 W   5.1        2.1        5.8       84.6        9.2 
070919  171056  47   7.9809 N  60  20.5597 W   4.9        2.1        5.8       84.6        9.2 
070919  171057  47   7.9813 N  60  20.5582 W   4.8        2.1        5.8       84.6        9.2 
070919  171058  47   7.9819 N  60  20.5567 W   4.7        2.1        5.8       84.6        9.2 
070919  171059  47   7.9824 N  60  20.5553 W   4.6        2.1        5.8       84.6        9.2 
070919  171100  47   7.9829 N  60  20.5538 W   4.5        2.1        5.8        3.0*       9.2 
070919  171101  47   7.9833 N  60  20.5524 W   4.4        2.1        5.8        3.0        9.2 
070919  171102  47   7.9838 N  60  20.5509 W   4.4        2.1        5.8        3.0        9.2 
070919  171103  47   7.9842 N  60  20.5495 W   4.3        2.1        5.8        3.0        9.2 
070919  171104  47   7.9846 N  60  20.5481 W   4.2        2.1        5.8        3.0        9.2 
070919  171105  47   7.9850 N  60  20.5466 W   4.2        2.1        5.8        3.0        9.2 
070919  171106  47   7.9853 N  60  20.5452 W   4.1        2.1        5.8        3.0        9.2 
070919  171107  47   7.9858 N  60  20.5438 W   4.1        2.1        5.8        3.0        9.2 
070919  171108  47   7.9864 N  60  20.5425 W   4.1        2.1        5.8        3.0        9.2 
070919  171109  47   7.9869 N  60  20.5410 W   4.1        2.1        5.8        3.0        9.2 
070919  171110  47   7.9875 N  60  20.5394 W   4.1        2.1        5.8        3.0        9.2 
070919  171111  47   7.9882 N  60  20.5377 W   4.2        2.1        5.8        3.0        9.2 
070919  171112  47   7.9889 N  60  20.5360 W   4.3        2.1        5.8        3.0        9.2 
070919  171113  47   7.9898 N  60  20.5341 W   4.5        2.1        5.8        3.0        9.2 
