FileName: C:\DOCUME~1\NETMIND\DESKTOP\ZONE12~1\GP329F.TXT
Local Time: Tue Jul 24 14:55:50 2007

Ship: Trawl survey southern Gulf Trip: GP329F Tow: tow 7
Comments: Nord de la Zone E
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
070724  175528  48  10.3711 N  61  20.1733 W   6.9        2.9*       7.9*     146.9*       7.0*
070724  175529  48  10.3714 N  61  20.1707 W   6.8        2.9        7.9      146.9        7.0 
070724  175530  48  10.3717 N  61  20.1683 W   6.6        2.9        7.9      146.9        7.0 
070724  175531  48  10.3720 N  61  20.1660 W   6.4        2.9        7.9      146.9        7.0 
070724  175532  48  10.3724 N  61  20.1637 W   6.3        2.9        7.9      146.9        7.0 
070724  175533  48  10.3726 N  61  20.1615 W   6.1        2.9        7.9      146.9        7.0 
070724  175534  48  10.3728 N  61  20.1595 W   5.9        2.9        7.9      146.9        7.0 
070724  175535  48  10.3732 N  61  20.1576 W   5.7        2.9        7.9      146.9        7.0 
070724  175536  48  10.3736 N  61  20.1556 W   5.6        2.9        7.9      146.9        7.0 
070724  175537  48  10.3739 N  61  20.1537 W   5.5        2.9        7.9      146.9        7.0 
070724  175538  48  10.3740 N  61  20.1518 W   5.3        2.9        7.9      146.9        7.0 
070724  175539  48  10.3742 N  61  20.1501 W   5.2        2.9        7.9      146.9        7.0 
070724  175540  48  10.3745 N  61  20.1482 W   5.1        2.9        7.9      146.9        7.0 
070724  175541  48  10.3748 N  61  20.1465 W   4.9        2.9        7.9      146.9        7.0 
070724  175542  48  10.3750 N  61  20.1449 W   4.8        2.9        7.9      146.9        7.0 
070724  175543  48  10.3752 N  61  20.1432 W   4.7        2.9        7.9      146.9        7.0 
070724  175544  48  10.3753 N  61  20.1415 W   4.6        2.9        7.9      146.9        7.0 
070724  175545  48  10.3755 N  61  20.1398 W   4.5        2.9        7.9       33.2*       7.0 
070724  175546  48  10.3758 N  61  20.1382 W   4.4        2.9        7.9       33.2        7.0 
070724  175547  48  10.3759 N  61  20.1367 W   4.3        2.9        7.9       33.2        7.0 
070724  175548  48  10.3761 N  61  20.1353 W   4.2        2.9        7.9       33.2        7.0 
070724  175549  48  10.3763 N  61  20.1337 W   4.2        2.9        7.9       33.2        7.0 
070724  175550  48  10.3765 N  61  20.1322 W   4.1        2.9        7.9       33.2        7.0 
070724  175551  48  10.3766 N  61  20.1307 W   4.0        2.9        7.9       33.2        7.0 
070724  175552  48  10.3768 N  61  20.1292 W   4.0        2.9        7.9       33.2        7.0 
070724  175553  48  10.3770 N  61  20.1277 W   3.9        2.9        7.9       33.2        7.0 
070724  175554  48  10.3771 N  61  20.1262 W   3.9        2.9        7.9       33.2        7.0 
070724  175555  48  10.3772 N  61  20.1248 W   3.8        2.9        7.9       33.2        7.0 
070724  175556  48  10.3774 N  61  20.1233 W   3.8        2.9        7.9       33.2        7.0 
070724  175557  48  10.3776 N  61  20.1217 W   3.8        2.9        7.9       33.2        7.0 
070724  175558  48  10.3779 N  61  20.1199 W   3.9        2.9        7.9       33.2        7.0 
070724  175559  48  10.3781 N  61  20.1181 W   4.0        2.9        7.9       33.2        7.0 
070724  175600  48  10.3783 N  61  20.1162 W   4.1        2.9        7.9       33.2        7.0 
070724  175601  48  10.3785 N  61  20.1141 W   4.2        2.9        7.9       33.2        7.0 
070724  175602  48  10.3788 N  61  20.1119 W   4.4        2.9        7.9       33.2        7.0 
070724  175603  48  10.3791 N  61  20.1095 W   4.7        2.9        7.9       33.2        7.0 
070724  175604  48  10.3795 N  61  20.1071 W   4.9        2.9        7.9       33.2        7.0 
070724  175605  48  10.3796 N  61  20.1046 W   5.1        2.9        7.9       33.2        7.0 
070724  175606  48  10.3797 N  61  20.1019 W   5.3        2.9        7.9       33.2        7.0 
070724  175607  48  10.3799 N  61  20.0991 W   5.6        2.9        7.9       33.2        7.0 
070724  175608  48  10.3802 N  61  20.0964 W   5.7        2.9        7.9       33.2        7.0 
070724  175609  48  10.3805 N  61  20.0937 W   5.9        2.9        7.9       33.2        7.0 
070724  175610  48  10.3808 N  61  20.0909 W   6.1        2.9        7.9       33.2        7.0 
070724  175611  48  10.3810 N  61  20.0879 W   6.3        2.9        7.9       33.2        7.0 
070724  175612  48  10.3811 N  61  20.0849 W   6.4        2.9        7.9       33.2        7.0 
070724  175613  48  10.3812 N  61  20.0819 W   6.6        2.9        7.9       33.2        7.0 
070724  175614  48  10.3813 N  61  20.0788 W   6.7        2.9        7.9       33.2        7.0 
070724  175615  48  10.3815 N  61  20.0756 W   6.9        2.9        7.9       33.2        7.0 
070724  175616  48  10.3818 N  61  20.0725 W   7.0        2.9        7.9       33.2        7.0 
070724  175617  48  10.3822 N  61  20.0693 W   7.1        2.9        7.9       33.2        7.0 
070724  175618  48  10.3823 N  61  20.0661 W   7.2        2.9        7.9       33.2        7.0 
070724  175619  48  10.3825 N  61  20.0629 W   7.3        2.9        7.9       33.2        7.0 
070724  175620  48  10.3825 N  61  20.0597 W   7.3        2.9        7.9       33.2        7.0 
070724  175621  48  10.3826 N  61  20.0565 W   7.4        2.9        7.9       33.2        7.0 
070724  175622  48  10.3826 N  61  20.0532 W   7.5        2.9        7.9       33.2        7.0 
070724  175623  48  10.3826 N  61  20.0498 W   7.6        2.9        7.9       33.2        7.0 
070724  175624  48  10.3827 N  61  20.0464 W   7.6        2.9        7.9       33.2        7.0 
070724  175625  48  10.3830 N  61  20.0429 W   7.8        2.9        7.9       33.2        7.0 
070724  175626  48  10.3834 N  61  20.0395 W   7.9        2.9        7.9       33.2        7.0 
070724  175627  48  10.3836 N  61  20.0362 W   7.9        2.9        7.9       33.2        7.0 
070724  175628  48  10.3837 N  61  20.0330 W   7.8        2.9        7.9       33.2        7.0 
070724  175629  48  10.3836 N  61  20.0297 W   7.8        2.9        7.9       33.2        7.0 
070724  175630  48  10.3835 N  61  20.0266 W   7.8        2.9        7.9       33.2        7.0 
070724  175631  48  10.3835 N  61  20.0233 W   7.8        2.9        7.9       33.2        7.0 
070724  175632  48  10.3835 N  61  20.0199 W   7.9        2.9        7.9       33.2        7.0 
070724  175633  48  10.3836 N  61  20.0165 W   7.9        2.9        7.9       33.2        7.0 
070724  175634  48  10.3836 N  61  20.0130 W   8.0        2.9        7.9       33.2        7.0 
070724  175635  48  10.3836 N  61  20.0096 W   8.0        2.9        7.9       33.2        7.0 
070724  175636  48  10.3835 N  61  20.0063 W   8.0        2.9        7.9       33.2        7.0 
070724  175637  48  10.3834 N  61  20.0032 W   7.9        2.9        7.9       33.2        7.0 
070724  175638  48  10.3835 N  61  20.0000 W   7.9        2.9        7.9       33.2        7.0 
070724  175639  48  10.3834 N  61  19.9967 W   7.9        2.9        7.9       33.2        7.0 
070724  175640  48  10.3835 N  61  19.9936 W   7.9        2.9        7.9       33.2        7.0 
070724  175641  48  10.3835 N  61  19.9901 W   7.9        2.9        7.9       33.2        7.0 
070724  175642  48  10.3835 N  61  19.9865 W   8.0        2.9        7.9       33.2        7.0 
070724  175643  48  10.3836 N  61  19.9832 W   8.1        2.9        7.9       33.2        7.0 
070724  175644  48  10.3836 N  61  19.9798 W   8.1        2.9        7.9       33.2        7.0 
070724  175645  48  10.3835 N  61  19.9764 W   8.1        2.9        7.9       33.2        7.0 
070724  175646  48  10.3834 N  61  19.9732 W   8.0        2.9        7.9       33.2        7.0 
070724  175647  48  10.3833 N  61  19.9701 W   7.9        2.9        7.9       33.2        7.0 
070724  175648  48  10.3833 N  61  19.9668 W   7.9        2.9        7.9       33.2        7.0 
070724  175649  48  10.3834 N  61  19.9636 W   7.9        2.9        7.9       33.2        7.0 
070724  175650  48  10.3834 N  61  19.9603 W   7.9        2.9        7.9       33.2        7.0 
070724  175651  48  10.3833 N  61  19.9569 W   8.0        2.9        7.9       33.2        7.0 
070724  175652  48  10.3833 N  61  19.9534 W   8.0        2.9        7.9       33.2        7.0 
070724  175653  48  10.3834 N  61  19.9501 W   8.0        2.9        7.9       33.2        7.0 
070724  175654  48  10.3834 N  61  19.9467 W   8.0        2.9        7.9       33.2        7.0 
070724  175655  48  10.3832 N  61  19.9435 W   8.0        2.9        7.9       33.2        7.0 
070724  175656  48  10.3831 N  61  19.9403 W   8.0        2.9        7.9       33.2        7.0 
070724  175657  48  10.3830 N  61  19.9371 W   7.9        2.9        7.9       33.2        7.0 
070724  175658  48  10.3830 N  61  19.9338 W   7.9        2.9        7.9       33.2        7.0 
070724  175659  48  10.3830 N  61  19.9304 W   8.0        2.9        7.9       33.2        7.0 
070724  175700  48  10.3830 N  61  19.9269 W   8.1        2.9        7.9       33.2        7.0 
070724  175701  48  10.3829 N  61  19.9235 W   8.1        2.9        7.9       33.2        7.0 
070724  175702  48  10.3828 N  61  19.9202 W   8.1        2.9        7.9       33.2        7.0 
070724  175703  48  10.3827 N  61  19.9168 W   8.1        2.9        7.9       33.2        7.0 
070724  175704  48  10.3827 N  61  19.9134 W   8.1        2.9        7.9       33.2        7.0 
070724  175705  48  10.3826 N  61  19.9102 W   8.0        2.9        7.9       33.2        7.0 
070724  175706  48  10.3825 N  61  19.9071 W   8.0        2.9        7.9       33.2        7.0 
070724  175707  48  10.3824 N  61  19.9038 W   8.0        2.9        7.9       33.2        7.0 
070724  175708  48  10.3822 N  61  19.9004 W   8.0        2.9        7.9       33.2        7.0 
070724  175709  48  10.3820 N  61  19.8970 W   8.0        2.9        7.9       33.2        7.0 
070724  175710  48  10.3820 N  61  19.8936 W   8.1        2.9        7.9       33.2        7.0 
070724  175711  48  10.3821 N  61  19.8901 W   8.1        2.9        7.9       33.2        7.0 
070724  175712  48  10.3821 N  61  19.8866 W   8.2        2.9        7.9       33.2        7.0 
070724  175713  48  10.3820 N  61  19.8833 W   8.1        2.9        7.9       33.2        7.0 
070724  175714  48  10.3818 N  61  19.8801 W   8.1        2.9        7.9       33.2        7.0 
070724  175715  48  10.3815 N  61  19.8769 W   8.0        2.9        7.9       33.2        7.0 
070724  175716  48  10.3815 N  61  19.8737 W   8.0        2.9        7.9       33.2        7.0 
070724  175717  48  10.3815 N  61  19.8704 W   8.0        2.9        7.9       33.2        7.0 
070724  175718  48  10.3816 N  61  19.8670 W   8.0        2.9        7.9       33.2        7.0 
070724  175719  48  10.3817 N  61  19.8635 W   8.1        2.9        7.9       33.2        7.0 
070724  175720  48  10.3817 N  61  19.8602 W   8.1        2.9        7.9       33.2        7.0 
070724  175721  48  10.3816 N  61  19.8568 W   8.1        2.9        7.9       33.2        7.0 
070724  175722  48  10.3813 N  61  19.8536 W   8.1        2.9        7.9       33.2        7.0 
070724  175723  48  10.3812 N  61  19.8505 W   8.0        2.9        7.9       33.2        7.0 
