FileName: C:\DOCUME~1\NETMIND\DESKTOP\ZONE12~1\GP330F.TXT
Local Time: Tue Jul 24 13:01:56 2007

Ship: Trawl survey southern Gulf Trip: GP330F Tow: tow 6
Comments: Nord de la Zone E
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
070724  160136  48  11.2490 N  61  14.5030 W   7.3        6.9*       2.6*      51.6*     569.2*
070724  160137  48  11.2488 N  61  14.5002 W   7.2        6.9        2.6       51.6      569.2 
070724  160138  48  11.2487 N  61  14.4976 W   7.1        6.9        2.6       51.6      569.2 
070724  160139  48  11.2485 N  61  14.4952 W   6.9        6.9        2.6       51.6      569.2 
070724  160140  48  11.2485 N  61  14.4927 W   6.7        6.9        2.6       51.6      569.2 
070724  160141  48  11.2486 N  61  14.4903 W   6.5        6.9        2.6       51.6      569.2 
070724  160142  48  11.2486 N  61  14.4880 W   6.3        6.9        2.6       51.6      569.2 
070724  160143  48  11.2485 N  61  14.4859 W   6.1        6.9        2.6       51.6      569.2 
070724  160144  48  11.2484 N  61  14.4838 W   5.9        6.9        2.6       51.6      569.2 
070724  160145  48  11.2483 N  61  14.4817 W   5.8        6.9        2.6       51.6      569.2 
070724  160146  48  11.2483 N  61  14.4797 W   5.6        6.9        2.6       51.6      569.2 
070724  160147  48  11.2483 N  61  14.4777 W   5.5        6.9        2.6       51.6      569.2 
070724  160148  48  11.2483 N  61  14.4757 W   5.3        6.9        2.6       51.6      569.2 
070724  160149  48  11.2483 N  61  14.4739 W   5.1        6.9        2.6       51.6      569.2 
070724  160150  48  11.2482 N  61  14.4722 W   5.0        6.9        2.6       51.6      569.2 
070724  160151  48  11.2482 N  61  14.4704 W   4.9        6.9        2.6       51.6      569.2 
070724  160152  48  11.2482 N  61  14.4686 W   4.8        6.9        2.6       51.6      569.2 
070724  160153  48  11.2483 N  61  14.4670 W   4.6        6.9        2.6       51.6      569.2 
070724  160154  48  11.2482 N  61  14.4654 W   4.5        6.9        2.6       51.6      569.2 
070724  160155  48  11.2482 N  61  14.4638 W   4.4        6.9        2.6       51.6      569.2 
070724  160156  48  11.2481 N  61  14.4624 W   4.3        6.9        2.6       51.6      569.2 
070724  160157  48  11.2481 N  61  14.4609 W   4.2        6.9        2.6       51.6      569.2 
070724  160158  48  11.2481 N  61  14.4595 W   4.1        6.9        2.6       51.6      569.2 
070724  160159  48  11.2482 N  61  14.4580 W   4.0        6.9        2.6       51.6      569.2 
070724  160200  48  11.2482 N  61  14.4565 W   3.9        6.9        2.6       51.6      569.2 
070724  160201  48  11.2481 N  61  14.4550 W   3.8        6.9        2.6       51.6      569.2 
070724  160202  48  11.2480 N  61  14.4535 W   3.8        6.9        2.6       51.6      569.2 
070724  160203  48  11.2481 N  61  14.4520 W   3.8        6.9        2.6       51.6      569.2 
070724  160204  48  11.2482 N  61  14.4504 W   3.8        6.9        2.6       51.6      569.2 
070724  160205  48  11.2481 N  61  14.4486 W   3.9        6.9        2.6       51.6      569.2 
070724  160206  48  11.2480 N  61  14.4466 W   4.0        6.9        2.6       51.6      569.2 
070724  160207  48  11.2480 N  61  14.4445 W   4.2        6.9        2.6       51.6      569.2 
070724  160208  48  11.2480 N  61  14.4423 W   4.4        6.9        2.6       51.6      569.2 
070724  160209  48  11.2482 N  61  14.4400 W   4.5        6.9        2.6       51.6      569.2 
070724  160210  48  11.2482 N  61  14.4376 W   4.7        6.9        2.6       51.6      569.2 
070724  160211  48  11.2481 N  61  14.4352 W   4.9        6.9        2.6       51.6      569.2 
070724  160212  48  11.2480 N  61  14.4328 W   5.1        6.9        2.6       51.6      569.2 
070724  160213  48  11.2480 N  61  14.4302 W   5.3        6.9        2.6       51.6      569.2 
070724  160214  48  11.2481 N  61  14.4273 W   5.6        6.9        2.6       51.6      569.2 
070724  160215  48  11.2480 N  61  14.4246 W   5.7        6.9        2.6       51.6      569.2 
070724  160216  48  11.2481 N  61  14.4218 W   5.9        6.9        2.6       51.6      569.2 
070724  160217  48  11.2480 N  61  14.4188 W   6.1        6.9        2.6       51.6      569.2 
070724  160218  48  11.2478 N  61  14.4159 W   6.3        6.9        2.6       51.6      569.2 
070724  160219  48  11.2476 N  61  14.4130 W   6.4        6.9        2.6       51.6      569.2 
070724  160220  48  11.2475 N  61  14.4101 W   6.5        6.9        2.6       51.6      569.2 
070724  160221  48  11.2474 N  61  14.4069 W   6.7        6.9        2.6       51.6      569.2 
070724  160222  48  11.2472 N  61  14.4038 W   6.8        6.9        2.6       51.6      569.2 
070724  160223  48  11.2471 N  61  14.4006 W   6.9        6.9        2.6       51.6      569.2 
070724  160224  48  11.2469 N  61  14.3975 W   7.0        6.9        2.6       51.6      569.2 
070724  160225  48  11.2466 N  61  14.3944 W   7.1        6.9        2.6       51.6      569.2 
070724  160226  48  11.2463 N  61  14.3913 W   7.1        6.9        2.6       51.6      569.2 
070724  160227  48  11.2461 N  61  14.3882 W   7.2        6.9        2.6       51.6      569.2 
070724  160228  48  11.2458 N  61  14.3849 W   7.3        6.9        2.6       51.6      569.2 
070724  160229  48  11.2454 N  61  14.3816 W   7.4        6.9        2.6       51.6      569.2 
070724  160230  48  11.2452 N  61  14.3784 W   7.5        6.9        2.6       51.6      569.2 
070724  160231  48  11.2449 N  61  14.3750 W   7.6        6.9        2.6       51.6      569.2 
070724  160232  48  11.2446 N  61  14.3717 W   7.7        6.9        2.6       51.6      569.2 
070724  160233  48  11.2442 N  61  14.3684 W   7.7        6.9        2.6       51.6      569.2 
070724  160234  48  11.2439 N  61  14.3652 W   7.7        6.9        2.6       51.6      569.2 
070724  160235  48  11.2434 N  61  14.3619 W   7.7        6.9        2.6       51.6      569.2 
070724  160236  48  11.2431 N  61  14.3585 W   7.8        6.9        2.6       51.6      569.2 
070724  160237  48  11.2428 N  61  14.3551 W   7.9        6.9        2.6       51.6      569.2 
070724  160238  48  11.2426 N  61  14.3517 W   7.9        6.9        2.6       51.6      569.2 
070724  160239  48  11.2424 N  61  14.3482 W   8.0        6.9        2.6       51.6      569.2 
070724  160240  48  11.2422 N  61  14.3447 W   8.0        6.9        2.6       51.6      569.2 
070724  160241  48  11.2418 N  61  14.3414 W   8.0        6.9        2.6       51.6      569.2 
070724  160242  48  11.2414 N  61  14.3381 W   8.0        6.9        2.6       51.6      569.2 
070724  160243  48  11.2411 N  61  14.3348 W   8.0        6.9        2.6       51.6      569.2 
070724  160244  48  11.2407 N  61  14.3316 W   8.0        6.9        2.6       51.6      569.2 
070724  160245  48  11.2403 N  61  14.3281 W   8.0        6.9        2.6       51.6      569.2 
070724  160246  48  11.2401 N  61  14.3246 W   8.1        6.9        2.6       51.6      569.2 
070724  160247  48  11.2399 N  61  14.3211 W   8.1        6.9        2.6       51.6      569.2 
070724  160248  48  11.2397 N  61  14.3177 W   8.2        6.9        2.6       51.6      569.2 
070724  160249  48  11.2393 N  61  14.3143 W   8.2        6.9        2.6       51.6      569.2 
070724  160250  48  11.2389 N  61  14.3109 W   8.1        6.9        2.6       51.6      569.2 
070724  160251  48  11.2385 N  61  14.3077 W   8.1        6.9        2.6       51.6      569.2 
070724  160252  48  11.2382 N  61  14.3044 W   8.1        6.9        2.6       51.6      569.2 
070724  160253  48  11.2381 N  61  14.3010 W   8.1        6.9        2.6       51.6      569.2 
070724  160254  48  11.2380 N  61  14.2976 W   8.1        6.9        2.6       51.6      569.2 
070724  160255  48  11.2378 N  61  14.2943 W   8.1        6.9        2.6       51.6      569.2 
070724  160256  48  11.2377 N  61  14.2909 W   8.1        6.9        2.6       51.6      569.2 
070724  160257  48  11.2375 N  61  14.2876 W   8.1        6.9        2.6       51.6      569.2 
070724  160258  48  11.2371 N  61  14.2844 W   8.0        6.9        2.6       51.6      569.2 
070724  160259  48  11.2368 N  61  14.2813 W   7.9        6.9        2.6       51.6      569.2 
070724  160300  48  11.2364 N  61  14.2781 W   7.9        6.9        2.6       51.6      569.2 
070724  160301  48  11.2360 N  61  14.2748 W   7.9        6.9        2.6       51.6      569.2 
070724  160302  48  11.2360 N  61  14.2715 W   7.9        6.9        2.6       51.6      569.2 
070724  160303  48  11.2360 N  61  14.2681 W   7.9        6.9        2.6       51.6      569.2 
070724  160304  48  11.2357 N  61  14.2649 W   7.9        6.9        2.6       51.6      569.2 
070724  160305  48  11.2355 N  61  14.2617 W   7.9        6.9        2.6       51.6      569.2 
070724  160306  48  11.2353 N  61  14.2586 W   7.8        6.9        2.6       51.6      569.2 
070724  160307  48  11.2350 N  61  14.2554 W   7.8        6.9        2.6       51.6      569.2 
070724  160308  48  11.2348 N  61  14.2522 W   7.8        6.9        2.6       51.6      569.2 
070724  160309  48  11.2345 N  61  14.2490 W   7.8        6.9        2.6       51.6      569.2 
070724  160310  48  11.2343 N  61  14.2458 W   7.8        6.9        2.6       51.6      569.2 
070724  160311  48  11.2340 N  61  14.2426 W   7.8        6.9        2.6       51.6      569.2 
070724  160312  48  11.2338 N  61  14.2394 W   7.8        6.9        2.6       51.6      569.2 
070724  160313  48  11.2336 N  61  14.2363 W   7.7        6.9        2.6       51.6      569.2 
070724  160314  48  11.2334 N  61  14.2331 W   7.7        6.9        2.6       51.6      569.2 
070724  160315  48  11.2330 N  61  14.2301 W   7.7        6.9        2.6       51.6      569.2 
070724  160316  48  11.2326 N  61  14.2269 W   7.7        6.9        2.6       51.6      569.2 
070724  160317  48  11.2324 N  61  14.2238 W   7.7        6.9        2.6       51.6      569.2 
070724  160318  48  11.2321 N  61  14.2206 W   7.7        6.9        2.6       51.6      569.2 
070724  160319  48  11.2319 N  61  14.2174 W   7.7        6.9        2.6       51.6      569.2 
070724  160320  48  11.2315 N  61  14.2143 W   7.7        6.9        2.6       51.6      569.2 
070724  160321  48  11.2312 N  61  14.2111 W   7.7        6.9        2.6       51.6      569.2 
070724  160322  48  11.2310 N  61  14.2080 W   7.7        6.9        2.6       51.6      569.2 
070724  160323  48  11.2306 N  61  14.2049 W   7.6        6.9        2.6       51.6      569.2 
070724  160324  48  11.2302 N  61  14.2019 W   7.6        6.9        2.6       51.6      569.2 
070724  160325  48  11.2301 N  61  14.1987 W   7.6        6.9        2.6       51.6      569.2 
070724  160326  48  11.2298 N  61  14.1954 W   7.7        6.9        2.6       51.6      569.2 
070724  160327  48  11.2296 N  61  14.1923 W   7.6        6.9        2.6       51.6      569.2 
070724  160328  48  11.2292 N  61  14.1891 W   7.6        6.9        2.6       51.6      569.2 
070724  160329  48  11.2287 N  61  14.1860 W   7.7        6.9        2.6       51.6      569.2 
070724  160330  48  11.2282 N  61  14.1829 W   7.7        6.9        2.6       51.6      569.2 
070724  160331  48  11.2279 N  61  14.1798 W   7.7        6.9        2.6       51.6      569.2 
070724  160332  48  11.2276 N  61  14.1766 W   7.7        6.9        2.6       51.6      569.2 
070724  160333  48  11.2274 N  61  14.1734 W   7.7        6.9        2.6       51.6      569.2 
070724  160334  48  11.2271 N  61  14.1703 W   7.7        6.9        2.6       51.6      569.2 
070724  160335  48  11.2268 N  61  14.1672 W   7.7        6.9        2.6       51.6      569.2 
070724  160336  48  11.2264 N  61  14.1640 W   7.7        6.9        2.6       51.6      569.2 
070724  160337  48  11.2260 N  61  14.1608 W   7.7        6.9        2.6       51.6      569.2 
070724  160338  48  11.2256 N  61  14.1577 W   7.7        6.9        2.6       51.6      569.2 
070724  160339  48  11.2253 N  61  14.1545 W   7.8        6.9        2.6       51.6      569.2 
070724  160340  48  11.2248 N  61  14.1514 W   7.7        6.9        2.6       51.6      569.2 
070724  160341  48  11.2244 N  61  14.1482 W   7.7        6.9        2.6       51.6      569.2 
070724  160342  48  11.2241 N  61  14.1450 W   7.8        6.9        2.6       51.6      569.2 
070724  160343  48  11.2237 N  61  14.1418 W   7.8        6.9        2.6       51.6      569.2 
070724  160344  48  11.2234 N  61  14.1387 W   7.8        6.9        2.6       51.6      569.2 
070724  160345  48  11.2230 N  61  14.1354 W   7.8        6.9        2.6       51.6      569.2 
070724  160346  48  11.2227 N  61  14.1321 W   7.8        6.9        2.6       51.6      569.2 
070724  160347  48  11.2223 N  61  14.1289 W   7.8        6.9        2.6       51.6      569.2 
070724  160348  48  11.2219 N  61  14.1257 W   7.8        6.9        2.6       51.6      569.2 
070724  160349  48  11.2215 N  61  14.1225 W   7.8        6.9        2.6       51.6      569.2 
070724  160350  48  11.2211 N  61  14.1193 W   7.8        6.9        2.6       51.6      569.2 
070724  160351  48  11.2207 N  61  14.1161 W   7.8        6.9        2.6       51.6      569.2 
070724  160352  48  11.2203 N  61  14.1129 W   7.8        6.9        2.6       51.6      569.2 
070724  160353  48  11.2201 N  61  14.1096 W   7.8        6.9        2.6       51.6      569.2 
070724  160354  48  11.2197 N  61  14.1064 W   7.9        6.9        2.6       51.6      569.2 
070724  160355  48  11.2193 N  61  14.1033 W   7.9        6.9        2.6       51.6      569.2 
070724  160356  48  11.2187 N  61  14.1002 W   7.8        6.9        2.6       51.6      569.2 
070724  160357  48  11.2182 N  61  14.0971 W   7.8        6.9        2.6       51.6      569.2 
070724  160358  48  11.2178 N  61  14.0939 W   7.8        6.9        2.6       51.6      569.2 
070724  160359  48  11.2173 N  61  14.0907 W   7.8        6.9        2.6       51.6      569.2 
070724  160400  48  11.2170 N  61  14.0874 W   7.8        6.9        2.6       51.6      569.2 
070724  160401  48  11.2167 N  61  14.0840 W   7.9        6.9        2.6       51.6      569.2 
070724  160402  48  11.2163 N  61  14.0808 W   7.9        6.9        2.6       51.6      569.2 
070724  160403  48  11.2158 N  61  14.0778 W   7.8        6.9        2.6       51.6      569.2 
070724  160404  48  11.2154 N  61  14.0746 W   7.8        6.9        2.6       51.6      569.2 
070724  160405  48  11.2149 N  61  14.0713 W   7.9        6.9        2.6       51.6      569.2 
070724  160406  48  11.2146 N  61  14.0680 W   7.9        6.9        2.6       51.6      569.2 
070724  160407  48  11.2143 N  61  14.0648 W   7.8        6.9        2.6       51.6      569.2 
070724  160408  48  11.2138 N  61  14.0616 W   7.8        6.9        2.6       51.6      569.2 
070724  160409  48  11.2134 N  61  14.0583 W   7.8        6.9        2.6       51.6      569.2 
070724  160410  48  11.2132 N  61  14.0551 W   7.8        6.9        2.6       51.6      569.2 
070724  160411  48  11.2129 N  61  14.0518 W   7.8        6.9        2.6       51.6      569.2 
070724  160412  48  11.2127 N  61  14.0486 W   7.8        6.9        2.6       51.6      569.2 
070724  160413  48  11.2124 N  61  14.0455 W   7.8        6.9        2.6       51.6      569.2 
070724  160414  48  11.2121 N  61  14.0424 W   7.7        6.9        2.6       51.6      569.2 
070724  160415  48  11.2117 N  61  14.0392 W   7.7        6.9        2.6       51.6      569.2 
070724  160416  48  11.2113 N  61  14.0361 W   7.7        6.9        2.6       51.6      569.2 
070724  160417  48  11.2110 N  61  14.0328 W   7.7        6.9        2.6       51.6      569.2 
070724  160418  48  11.2106 N  61  14.0296 W   7.8        6.9        2.6       51.6      569.2 
070724  160419  48  11.2103 N  61  14.0264 W   7.7        6.9        2.6       51.6      569.2 
070724  160420  48  11.2100 N  61  14.0232 W   7.7        6.9        2.6       51.6      569.2 
070724  160421  48  11.2097 N  61  14.0199 W   7.7        6.9        2.6       51.6      569.2 
070724  160422  48  11.2095 N  61  14.0166 W   7.8        6.9        2.6       51.6      569.2 
070724  160423  48  11.2091 N  61  14.0135 W   7.7        6.9        2.6       51.6      569.2 
070724  160424  48  11.2088 N  61  14.0105 W   7.7        6.9        2.6       51.6      569.2 
070724  160425  48  11.2084 N  61  14.0073 W   7.7        6.9        2.6       51.6      569.2 
070724  160426  48  11.2080 N  61  14.0042 W   7.7        6.9        2.6       51.6      569.2 
070724  160427  48  11.2076 N  61  14.0011 W   7.7        6.9        2.6       51.6      569.2 
070724  160428  48  11.2072 N  61  13.9981 W   7.6        6.9        2.6       51.6      569.2 
070724  160429  48  11.2067 N  61  13.9950 W   7.6        6.9        2.6       51.6      569.2 
070724  160430  48  11.2064 N  61  13.9918 W   7.6        6.9        2.6       51.6      569.2 
070724  160431  48  11.2059 N  61  13.9888 W   7.6        6.9        2.6       51.6      569.2 
070724  160432  48  11.2055 N  61  13.9858 W   7.6        6.9        2.6       51.6      569.2 
070724  160433  48  11.2051 N  61  13.9826 W   7.6        6.9        2.6       51.6      569.2 
070724  160434  48  11.2047 N  61  13.9796 W   7.6        6.9        2.6       51.6      569.2 
070724  160435  48  11.2042 N  61  13.9765 W   7.6        6.9        2.6       51.6      569.2 
070724  160436  48  11.2039 N  61  13.9732 W   7.7        6.9        2.6       51.6      569.2 
070724  160437  48  11.2036 N  61  13.9702 W   7.7        6.9        2.6       51.6      569.2 
070724  160438  48  11.2031 N  61  13.9672 W   7.6        6.9        2.6       51.6      569.2 
070724  160439  48  11.2026 N  61  13.9641 W   7.6        6.9        2.6       51.6      569.2 
070724  160440  48  11.2022 N  61  13.9609 W   7.6        6.9        2.6       51.6      569.2 
070724  160441  48  11.2021 N  61  13.9577 W   7.6        6.9        2.6       51.6      569.2 
070724  160442  48  11.2017 N  61  13.9547 W   7.6        6.9        2.6       51.6      569.2 
070724  160443  48  11.2013 N  61  13.9516 W   7.6        6.9        2.6       51.6      569.2 
070724  160444  48  11.2008 N  61  13.9485 W   7.6        6.9        2.6       51.6      569.2 
070724  160445  48  11.2005 N  61  13.9455 W   7.6        6.9        2.6       51.6      569.2 
070724  160446  48  11.2001 N  61  13.9425 W   7.6        6.9        2.6       51.6      569.2 
070724  160447  48  11.1997 N  61  13.9394 W   7.6        6.9        2.6       51.6      569.2 
070724  160448  48  11.1992 N  61  13.9363 W   7.6        6.9        2.6       51.6      569.2 
070724  160449  48  11.1988 N  61  13.9333 W   7.6        6.9        2.6       51.6      569.2 
070724  160450  48  11.1987 N  61  13.9301 W   7.6        6.9        2.6       51.6      569.2 
070724  160451  48  11.1984 N  61  13.9270 W   7.6        6.9        2.6       51.6      569.2 
070724  160452  48  11.1980 N  61  13.9238 W   7.6        6.9        2.6       51.6      569.2 
070724  160453  48  11.1975 N  61  13.9207 W   7.6        6.9        2.6       51.6      569.2 
070724  160454  48  11.1971 N  61  13.9177 W   7.6        6.9        2.6       51.6      569.2 
070724  160455  48  11.1968 N  61  13.9147 W   7.6        6.9        2.6       51.6      569.2 
070724  160456  48  11.1964 N  61  13.9115 W   7.6        6.9        2.6       51.6      569.2 
070724  160457  48  11.1960 N  61  13.9083 W   7.6        6.9        2.6       51.6      569.2 
070724  160458  48  11.1957 N  61  13.9052 W   7.6        6.9        2.6       51.6      569.2 
070724  160459  48  11.1953 N  61  13.9021 W   7.6        6.9        2.6       51.6      569.2 
070724  160500  48  11.1949 N  61  13.8990 W   7.6        6.9        2.6       51.6      569.2 
070724  160501  48  11.1944 N  61  13.8960 W   7.6        6.9        2.6       51.6      569.2 
070724  160502  48  11.1939 N  61  13.8930 W   7.6        6.9        2.6       51.6      569.2 
070724  160503  48  11.1936 N  61  13.8900 W   7.6        6.9        2.6       51.6      569.2 
070724  160504  48  11.1932 N  61  13.8869 W   7.5        6.9        2.6       51.6      569.2 
070724  160505  48  11.1928 N  61  13.8838 W   7.6        6.9        2.6       51.6      569.2 
070724  160506  48  11.1924 N  61  13.8807 W   7.6        6.9        2.6       51.6      569.2 
070724  160507  48  11.1921 N  61  13.8776 W   7.6        6.9        2.6       51.6      569.2 
070724  160508  48  11.1918 N  61  13.8745 W   7.6        6.9        2.6       51.6      569.2 
070724  160509  48  11.1914 N  61  13.8714 W   7.6        6.9        2.6       51.6      569.2 
070724  160510  48  11.1910 N  61  13.8685 W   7.5        6.9        2.6       51.6      569.2 
070724  160511  48  11.1906 N  61  13.8655 W   7.5        6.9        2.6       51.6      569.2 
070724  160512  48  11.1902 N  61  13.8624 W   7.5        6.9        2.6       51.6      569.2 
070724  160513  48  11.1898 N  61  13.8594 W   7.5        6.9        2.6       51.6      569.2 
070724  160514  48  11.1897 N  61  13.8563 W   7.5        6.9        2.6       51.6      569.2 
070724  160515  48  11.1894 N  61  13.8531 W   7.5        6.9        2.6       51.6      569.2 
070724  160516  48  11.1889 N  61  13.8500 W   7.5        6.9        2.6       51.6      569.2 
070724  160517  48  11.1885 N  61  13.8472 W   7.4        6.9        2.6       51.6      569.2 
070724  160518  48  11.1881 N  61  13.8442 W   7.4        6.9        2.6       51.6      569.2 
070724  160519  48  11.1878 N  61  13.8412 W   7.4        6.9        2.6       51.6      569.2 
070724  160520  48  11.1875 N  61  13.8383 W   7.4        6.9        2.6       51.6      569.2 
070724  160521  48  11.1873 N  61  13.8352 W   7.3        6.9        2.6       51.6      569.2 
070724  160522  48  11.1869 N  61  13.8322 W   7.3        6.9        2.6       51.6      569.2 
070724  160523  48  11.1865 N  61  13.8292 W   7.4        6.9        2.6       51.6      569.2 
070724  160524  48  11.1862 N  61  13.8262 W   7.3        6.9        2.6       51.6      569.2 
070724  160525  48  11.1858 N  61  13.8232 W   7.3        6.9        2.6       51.6      569.2 
070724  160526  48  11.1855 N  61  13.8202 W   7.3        6.9        2.6       51.6      569.2 
070724  160527  48  11.1853 N  61  13.8172 W   7.3        6.9        2.6       51.6      569.2 
070724  160528  48  11.1847 N  61  13.8144 W   7.3        6.9        2.6       51.6      569.2 
070724  160529  48  11.1842 N  61  13.8115 W   7.3        6.9        2.6       51.6      569.2 
070724  160530  48  11.1838 N  61  13.8085 W   7.3        6.9        2.6       51.6      569.2 
070724  160531  48  11.1834 N  61  13.8056 W   7.3        6.9        2.6       51.6      569.2 
