FileName: C:\TRAWLS~1\FALL\GP002F.TXT
Local Time: Fri Aug 22 14:02:27 2008

Ship: 22 août 2008 Trip: GP002F Tow: 6
Comments: Area 12, Baie des Chaleurs - Nord de Île Miscou
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
080822  170222  48  13.5181 N  64  10.6929 W   5.9        7.2*      12.4*      98.5*      66.4*
080822  170223  48  13.5183 N  64  10.6911 W   5.8        7.2       12.4       98.5       66.4 
080822  170224  48  13.5185 N  64  10.6893 W   5.6        7.2       12.4       98.5       66.4 
080822  170225  48  13.5187 N  64  10.6874 W   5.4        7.2       12.4       98.5       66.4 
080822  170226  48  13.5190 N  64  10.6856 W   5.2        7.2       12.4       98.5       66.4 
080822  170227  48  13.5193 N  64  10.6838 W   5.0        7.2       12.4       98.5       66.4 
080822  170228  48  13.5194 N  64  10.6822 W   4.9        7.2       12.4       98.5       66.4 
080822  170229  48  13.5196 N  64  10.6806 W   4.8        7.2       12.4       98.5       66.4 
080822  170230  48  13.5198 N  64  10.6789 W   4.6        7.2       12.4       98.5       66.4 
080822  170231  48  13.5200 N  64  10.6773 W   4.5        7.2       12.4       98.5       66.4 
080822  170232  48  13.5202 N  64  10.6760 W   4.4        7.2       12.4       98.5       66.4 
080822  170233  48  13.5203 N  64  10.6746 W   4.2        7.2       12.4        1.7*      66.4 
080822  170234  48  13.5205 N  64  10.6731 W   4.1        7.2       12.4        1.7       66.4 
080822  170235  48  13.5205 N  64  10.6719 W   4.0        7.2       12.4        1.7       66.4 
080822  170236  48  13.5207 N  64  10.6705 W   3.9        7.2       12.4        1.7       66.4 
080822  170237  48  13.5209 N  64  10.6691 W   3.8        7.2       12.4        1.7       66.4 
080822  170238  48  13.5211 N  64  10.6679 W   3.7        7.2       12.4        1.7       66.4 
080822  170239  48  13.5211 N  64  10.6668 W   3.5        7.2       12.4        1.7       66.4 
080822  170240  48  13.5213 N  64  10.6656 W   3.4        7.2       12.4        1.7       66.4 
