FileName: C:\TRAWLS~1\FALL\GP0124F.TXT
Local Time: Thu Aug 14 09:34:17 2008

Ship: 14 août 2008 Trip: GP124F Tow: 5
Comments: Area 12, Banc Orphelin - Ouest
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
080814  123418  48  21.0804 N  63  15.9461 W   6.5        2.8        5.9*     120.8*       7.5*
080814  123419  48  21.0818 N  63  15.9454 W   6.3        2.8        5.9      120.8        7.5 
080814  123420  48  21.0831 N  63  15.9449 W   6.1        2.8        5.9      120.8        7.5 
080814  123421  48  21.0844 N  63  15.9443 W   5.9        2.8        5.9      120.8        7.5 
080814  123422  48  21.0856 N  63  15.9438 W   5.7        2.8        5.9      120.8        7.5 
080814  123423  48  21.0867 N  63  15.9429 W   5.5        2.8        5.9      120.8        7.5 
080814  123424  48  21.0878 N  63  15.9423 W   5.3        2.8        5.9      120.8        7.5 
080814  123425  48  21.0889 N  63  15.9418 W   5.1        2.8        5.9      120.8        7.5 
080814  123426  48  21.0900 N  63  15.9413 W   4.9        2.8        5.9      120.8        7.5 
080814  123427  48  21.0911 N  63  15.9408 W   4.8        2.8        5.9      120.8        7.5 
080814  123428  48  21.0921 N  63  15.9402 W   4.6        2.8        5.9      120.8        7.5 
080814  123429  48  21.0930 N  63  15.9398 W   4.5        2.8        5.9      120.8        7.5 
080814  123430  48  21.0940 N  63  15.9393 W   4.4        2.8        5.9      120.8        7.5 
080814  123431  48  21.0950 N  63  15.9388 W   4.3        2.8        5.9      120.8        7.5 
080814  123432  48  21.0959 N  63  15.9384 W   4.1        2.8        5.9      120.8        7.5 
080814  123433  48  21.0968 N  63  15.9379 W   4.0        2.8        5.9      120.8        7.5 
080814  123434  48  21.0976 N  63  15.9374 W   3.9        2.8        5.9      120.8        7.5 
080814  123435  48  21.0985 N  63  15.9371 W   3.8        2.8        5.9      120.8        7.5 
080814  123436  48  21.0993 N  63  15.9366 W   3.7        2.8        5.9      120.8        7.5 
080814  123437  48  21.1001 N  63  15.9361 W   3.6        2.8        5.9      120.8        7.5 
080814  123438  48  21.1009 N  63  15.9357 W   3.5        2.8        5.9        2.3*       7.5 
080814  123439  48  21.1017 N  63  15.9352 W   3.4        2.8        5.9        2.3        7.5 
080814  123440  48  21.1025 N  63  15.9348 W   3.4        2.8       13.0*       2.3        7.5 
080814  123441  48  21.1032 N  63  15.9345 W   3.3        2.8       13.0        2.3        7.5 
080814  123442  48  21.1040 N  63  15.9340 W   3.2        2.8       13.0        2.3        7.5 
080814  123443  48  21.1047 N  63  15.9336 W   3.2        2.8       13.0        2.6*       7.5 
080814  123444  48  21.1054 N  63  15.9332 W   3.1        2.8       13.0        2.6        7.5 
080814  123445  48  21.1061 N  63  15.9328 W   3.1        2.8       13.0        2.6        7.5 
080814  123446  48  21.1069 N  63  15.9324 W   3.1        2.8       13.0        2.6        7.5 
080814  123447  48  21.1078 N  63  15.9321 W   3.1        2.8       13.0        2.6        7.5 
080814  123448  48  21.1087 N  63  15.9316 W   3.2        2.8       13.0        3.9*       7.5 
080814  123449  48  21.1097 N  63  15.9312 W   3.2        2.8       13.0        3.9        7.5 
080814  123450  48  21.1108 N  63  15.9307 W   3.4        2.8       13.0        3.9        7.5 
080814  123451  48  21.1119 N  63  15.9302 W   3.5        2.8       13.0        3.9        7.5 
080814  123452  48  21.1131 N  63  15.9296 W   3.7        2.8       13.0        3.9        7.5 
080814  123453  48  21.1143 N  63  15.9291 W   3.8        2.8       13.0        7.0*       7.5 
080814  123454  48  21.1156 N  63  15.9285 W   4.0        2.8       13.0        7.0        7.5 
080814  123455  48  21.1170 N  63  15.9279 W   4.2        2.8       13.0        7.0        7.5 
080814  123456  48  21.1184 N  63  15.9272 W   4.4        2.8       13.0        7.0        7.5 
080814  123457  48  21.1199 N  63  15.9265 W   4.6        2.8       13.0        7.0        7.5 
080814  123458  48  21.1215 N  63  15.9259 W   4.8        2.8       13.0        7.0        7.5 
080814  123459  48  21.1231 N  63  15.9251 W   5.0        2.8       13.0        7.0        7.5 
080814  123500  48  21.1247 N  63  15.9244 W   5.2        2.8       13.0        7.0        7.5 
080814  123501  48  21.1265 N  63  15.9236 W   5.4        2.8       13.0        7.0        7.5 
080814  123502  48  21.1282 N  63  15.9228 W   5.6        2.8       13.0        7.0        7.5 
080814  123503  48  21.1300 N  63  15.9220 W   5.7        2.8       13.0        7.0        7.5 
080814  123504  48  21.1318 N  63  15.9212 W   5.9        2.8       13.0        7.0        7.5 
080814  123505  48  21.1336 N  63  15.9204 W   6.0        2.8       13.0        7.0        7.5 
080814  123506  48  21.1354 N  63  15.9196 W   6.2        2.8       13.0        7.0        7.5 
080814  123507  48  21.1373 N  63  15.9188 W   6.3        2.8       13.0        7.0        7.5 
080814  123508  48  21.1391 N  63  15.9181 W   6.4        2.8       13.0        7.0        7.5 
080814  123509  48  21.1410 N  63  15.9174 W   6.5        2.8       13.0        7.0        7.5 
080814  123510  48  21.1430 N  63  15.9167 W   6.6        2.8       13.0        7.0        7.5 
080814  123511  48  21.1449 N  63  15.9161 W   6.6        2.8       13.0        7.0        7.5 
080814  123512  48  21.1469 N  63  15.9155 W   6.7        2.8       13.0        7.0        7.5 
080814  123513  48  21.1488 N  63  15.9150 W   6.8        2.8       13.0        7.0        7.5 
080814  123514  48  21.1508 N  63  15.9145 W   6.8        2.8       13.0        7.0        7.5 
080814  123515  48  21.1527 N  63  15.9140 W   6.8        2.8       13.0        7.0        7.5 
080814  123516  48  21.1546 N  63  15.9134 W   6.9        2.8       13.0        7.0        7.5 
