FileName: C:\TRAWLS~1\FALL\GP091Fr2.TXT
Local Time: Thu Aug 07 16:33:03 2008

Ship: 07 août 2008 Trip: GP091Fr2 Tow: 10
Comments: Area 12, Canal des Îles
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
080807  193253  46  53.8907 N  62   2.0186 W   3.8        2.5*       9.9*       1.7*       9.2*
080807  193254  46  53.8909 N  62   2.0175 W   3.7        2.5        9.9        1.7        9.2 
080807  193255  46  53.8911 N  62   2.0164 W   3.6        2.5        9.9        1.7        9.2 
080807  193256  46  53.8913 N  62   2.0152 W   3.5        2.5        9.9        2.9*      51.0*
080807  193257  46  53.8916 N  62   2.0142 W   3.4        2.5        9.9        2.9       51.0 
080807  193258  46  53.8917 N  62   2.0132 W   3.3        2.5        9.9        2.9       51.0 
080807  193259  46  53.8919 N  62   2.0122 W   3.2        2.5        9.9        2.9       51.0 
080807  193300  46  53.8921 N  62   2.0111 W   3.1        2.5        9.9        2.9       51.0 
080807  193301  46  53.8923 N  62   2.0102 W   3.0        2.5        9.9        2.8*      51.0 
080807  193302  46  53.8925 N  62   2.0093 W   2.9        2.5        9.9        2.8       51.0 
080807  193303  46  53.8927 N  62   2.0084 W   2.9        2.5        2.4*       2.8       51.0 
080807  193304  46  53.8929 N  62   2.0074 W   2.8        2.5        2.4        2.8       51.0 
080807  193305  46  53.8930 N  62   2.0066 W   2.7        2.5        2.4        2.8       51.0 
080807  193306  46  53.8932 N  62   2.0056 W   2.7        2.5        2.4        2.1*      51.0 
080807  193307  46  53.8934 N  62   2.0048 W   2.6        2.5        2.4        2.1       51.0 
080807  193308  46  53.8936 N  62   2.0038 W   2.6        2.5        2.4        2.1       51.0 
080807  193309  46  53.8938 N  62   2.0030 W   2.5        2.5        2.4        2.1       51.0 
080807  193310  46  53.8941 N  62   2.0021 W   2.5        2.5*       2.4        2.1       51.0 
080807  193311  46  53.8942 N  62   2.0012 W   2.4        2.5        2.4        2.1        3.1*
080807  193312  46  53.8944 N  62   2.0003 W   2.4        2.5        2.4        2.3*       3.1 
080807  193313  46  53.8946 N  62   1.9994 W   2.3        2.5        2.4        2.3        3.1 
080807  193314  46  53.8948 N  62   1.9986 W   2.3        2.5        2.4        2.3        3.1 
080807  193315  46  53.8950 N  62   1.9977 W   2.3        2.5        2.4        2.3        3.1 
080807  193316  46  53.8952 N  62   1.9966 W   2.3        2.5        2.7*       2.3        3.1 
080807  193317  46  53.8953 N  62   1.9954 W   2.4        2.5        2.7        6.8*      50.1*
080807  193318  46  53.8955 N  62   1.9944 W   2.5        2.5        2.7        6.8       50.1 
080807  193319  46  53.8958 N  62   1.9931 W   2.6        2.5        2.7        6.8       50.1 
080807  193320  46  53.8960 N  62   1.9915 W   2.8        2.5        2.7        6.8       50.1 
080807  193321  46  53.8962 N  62   1.9900 W   3.1        2.5        2.7        6.8       50.1 
080807  193322  46  53.8964 N  62   1.9883 W   3.2        2.5        2.7        1.9*      50.1 
080807  193323  46  53.8967 N  62   1.9864 W   3.5        3.1*       2.7        1.9       50.1 
080807  193324  46  53.8970 N  62   1.9843 W   3.7        3.1        2.7        1.9       50.1 
080807  193325  46  53.8973 N  62   1.9822 W   4.0        3.1        2.7        1.9       50.1 
080807  193326  46  53.8975 N  62   1.9802 W   4.2        3.1        2.7        1.9       50.1 
080807  193327  46  53.8979 N  62   1.9780 W   4.4        3.1        2.7        1.9        2.2*
080807  193328  46  53.8981 N  62   1.9758 W   4.6        3.1        2.7        1.9        2.2 
080807  193329  46  53.8985 N  62   1.9733 W   4.8        3.1        2.7        1.9        2.2 
080807  193330  46  53.8988 N  62   1.9709 W   5.0        3.1        2.7        1.9        2.2 
