FileName: C:\TRAWLS~1\FALL\GP102F.TXT
Local Time: Sat Jul 19 13:06:00 2008

Ship: 19 juillet 2008 Trip: GP102F Tow: 8
Comments: Area 12 - Sud du Banc Bradelle
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
080719  160600  47   9.1521 N  63   6.1051 W   4.0        9.0*       8.1*       3.0*     177.7*
080719  160601  47   9.1530 N  63   6.1051 W   3.9        9.0        8.1        3.0      177.7 
080719  160602  47   9.1539 N  63   6.1051 W   3.8        9.0        8.1        3.0      177.7 
080719  160603  47   9.1547 N  63   6.1052 W   3.7        9.0        8.1        3.0      177.7 
080719  160604  47   9.1555 N  63   6.1052 W   3.6        9.0        8.1        3.0      177.7 
080719  160605  47   9.1563 N  63   6.1053 W   3.5        9.0        8.1        3.0      177.7 
080719  160606  47   9.1571 N  63   6.1053 W   3.4        9.0        8.1        3.0      177.7 
080719  160607  47   9.1579 N  63   6.1054 W   3.3        9.0        8.1        3.0      177.7 
080719  160608  47   9.1587 N  63   6.1054 W   3.2        9.0        8.1        2.5*       9.2*
080719  160609  47   9.1595 N  63   6.1054 W   3.1        9.0        8.1        2.5        9.2 
080719  160610  47   9.1602 N  63   6.1055 W   3.1        9.0        8.1        2.5        9.2 
080719  160611  47   9.1609 N  63   6.1055 W   3.0        9.0        8.1        2.5        9.2 
080719  160612  47   9.1616 N  63   6.1056 W   2.9        9.0        8.1        2.5        9.2 
080719  160613  47   9.1623 N  63   6.1056 W   2.9        9.0        8.1        2.9*       9.2 
080719  160614  47   9.1630 N  63   6.1057 W   2.8        9.0        8.1        2.9        9.2 
080719  160615  47   9.1637 N  63   6.1057 W   2.8        9.0        8.1        2.9        9.2 
080719  160616  47   9.1644 N  63   6.1057 W   2.8        9.0        8.1        2.9        9.2 
080719  160617  47   9.1652 N  63   6.1057 W   2.8        9.0        8.1        2.9        9.2 
080719  160618  47   9.1661 N  63   6.1057 W   2.9        9.0        8.1        7.7*       9.2 
