FileName: C:\TRAWLS~1\FALL\GP182F.TXT
Local Time: Fri Jul 25 19:41:27 2008

Ship: 25 juillet 2008 Trip: GP182F Tow: 12
Comments: Area F
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
080725  224123  47  44.0690 N  60  57.5731 W   4.7        3.8*      13.2*       0.1*     554.2*
080725  224124  47  44.0701 N  60  57.5734 W   4.5        3.8       13.2        0.1      554.2 
080725  224125  47  44.0712 N  60  57.5736 W   4.4        3.8       13.2        0.1      554.2 
080725  224126  47  44.0721 N  60  57.5738 W   4.3        3.8       13.2        0.1      554.2 
080725  224127  47  44.0731 N  60  57.5742 W   4.1        3.8       13.2        0.1      554.2 
080725  224128  47  44.0739 N  60  57.5745 W   4.0        3.8       13.2        5.6*     554.2 
080725  224129  47  44.0748 N  60  57.5746 W   3.9        3.8       13.2        5.6      554.2 
080725  224130  47  44.0756 N  60  57.5746 W   3.8        3.8       13.2        5.6      554.2 
080725  224131  47  44.0765 N  60  57.5747 W   3.7        3.8       13.2        5.6      554.2 
080725  224132  47  44.0773 N  60  57.5750 W   3.7        3.8       13.2        5.6      554.2 
080725  224133  47  44.0782 N  60  57.5754 W   3.6        3.8       13.2        2.3*     554.2 
080725  224134  47  44.0792 N  60  57.5757 W   3.6        3.8       13.2        2.3      554.2 
080725  224135  47  44.0803 N  60  57.5759 W   3.7        3.8       13.2        2.3      554.2 
080725  224136  47  44.0815 N  60  57.5761 W   3.7        3.8       13.2        2.3      554.2 
080725  224137  47  44.0827 N  60  57.5765 W   3.8        3.8       13.2        2.3      554.2 
080725  224138  47  44.0839 N  60  57.5770 W   4.0        3.8       13.2        2.3      554.2 
080725  224139  47  44.0853 N  60  57.5775 W   4.1        3.8       13.2        2.3      554.2 
080725  224140  47  44.0868 N  60  57.5779 W   4.3        3.8       13.2       95.6*     554.2 
080725  224141  47  44.0883 N  60  57.5783 W   4.5        3.8       13.2       95.6      554.2 
080725  224142  47  44.0899 N  60  57.5787 W   4.7        3.8       13.2       95.6      554.2 
080725  224143  47  44.0915 N  60  57.5794 W   4.9        3.8       13.2       95.6      554.2 
080725  224144  47  44.0932 N  60  57.5800 W   5.1        3.8       13.2       95.6      554.2 
080725  224145  47  44.0948 N  60  57.5806 W   5.3        3.8       13.2       95.6      554.2 
080725  224146  47  44.0966 N  60  57.5812 W   5.4        3.8       13.2       95.6      554.2 
080725  224147  47  44.0983 N  60  57.5818 W   5.6        3.8       13.2       95.6      554.2 
080725  224148  47  44.1002 N  60  57.5824 W   5.8        3.8       13.2       95.6      554.2 
080725  224149  47  44.1020 N  60  57.5829 W   6.0        3.8       13.2       95.6      554.2 
080725  224150  47  44.1039 N  60  57.5835 W   6.1        3.8       13.2       95.6      554.2 
080725  224151  47  44.1058 N  60  57.5843 W   6.2        3.8       13.2       95.6      554.2 
080725  224152  47  44.1078 N  60  57.5850 W   6.4        3.8       13.2       95.6      554.2 
080725  224153  47  44.1098 N  60  57.5856 W   6.5        3.8       13.2       95.6      554.2 
080725  224154  47  44.1119 N  60  57.5862 W   6.6        3.8       13.2       95.6      554.2 
080725  224155  47  44.1139 N  60  57.5870 W   6.8        3.8       13.2       95.6      554.2 
080725  224156  47  44.1159 N  60  57.5878 W   6.8        3.8       13.2       95.6      554.2 
080725  224157  47  44.1179 N  60  57.5886 W   6.9        3.8       13.2       95.6      554.2 
080725  224158  47  44.1198 N  60  57.5892 W   7.0        3.8       13.2       95.6      554.2 
080725  224159  47  44.1217 N  60  57.5898 W   7.0        3.8       13.2       95.6      554.2 
080725  224200  47  44.1237 N  60  57.5906 W   7.1        3.8       13.2       95.6      554.2 
080725  224201  47  44.1256 N  60  57.5915 W   7.1        3.8       13.2       95.6      554.2 
080725  224202  47  44.1276 N  60  57.5924 W   7.2        3.8       13.2       95.6      554.2 
080725  224203  47  44.1296 N  60  57.5933 W   7.2        3.8       13.2       95.6      554.2 
080725  224204  47  44.1316 N  60  57.5941 W   7.3        3.8       13.2       95.6      554.2 
080725  224205  47  44.1337 N  60  57.5948 W   7.3        3.8       13.2       95.6      554.2 
080725  224206  47  44.1358 N  60  57.5956 W   7.4        3.8       13.2       95.6      554.2 
080725  224207  47  44.1378 N  60  57.5964 W   7.4        3.8       13.2       95.6      554.2 
080725  224208  47  44.1399 N  60  57.5973 W   7.5        3.8       13.2       95.6      554.2 
080725  224209  47  44.1418 N  60  57.5984 W   7.5        3.8       13.2       95.6      554.2 
080725  224210  47  44.1439 N  60  57.5995 W   7.5        3.8       13.2       95.6      554.2 
080725  224211  47  44.1458 N  60  57.6006 W   7.5        3.8       13.2       95.6      554.2 
