FileName: C:\TRAWLS~1\FALL\GP205F.TXT
Local Time: Mon Jul 28 17:41:49 2008

Ship: 28 juillet 2008 Trip: GP205F Tow: 10
Comments: Area 12, Banc Bradelle - Nord-est
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
080728  204149  47  48.0965 N  62  26.2334 W   5.0        2.3*      11.0*       7.2*     201.5*
080728  204150  47  48.0953 N  62  26.2335 W   4.9        2.3       11.0        7.2      201.5 
080728  204151  47  48.0942 N  62  26.2336 W   4.7        2.3       11.0        7.2      201.5 
080728  204152  47  48.0931 N  62  26.2337 W   4.6        2.3       11.0        7.2      201.5 
080728  204153  47  48.0921 N  62  26.2337 W   4.5        2.3       11.0        7.2      201.5 
080728  204154  47  48.0910 N  62  26.2336 W   4.4        2.3       11.0        2.9*     201.5 
080728  204155  47  48.0900 N  62  26.2337 W   4.3        2.3       11.0        2.9      201.5 
080728  204156  47  48.0890 N  62  26.2337 W   4.2        2.3       11.0        2.9      201.5 
080728  204157  47  48.0880 N  62  26.2338 W   4.1        2.3       11.0        2.9      201.5 
080728  204158  47  48.0870 N  62  26.2339 W   4.0        2.3       11.0        2.9      201.5 
080728  204159  47  48.0861 N  62  26.2339 W   3.9        2.3       11.0        9.0*     201.5 
080728  204200  47  48.0852 N  62  26.2338 W   3.8        2.3       11.0        9.0      201.5 
080728  204201  47  48.0843 N  62  26.2339 W   3.7        2.3       11.0        9.0      201.5 
080728  204202  47  48.0834 N  62  26.2340 W   3.6        2.3       11.0        9.0      201.5 
080728  204203  47  48.0826 N  62  26.2341 W   3.5        2.3       11.0        9.0        2.6*
080728  204204  47  48.0818 N  62  26.2340 W   3.4        2.3       11.0        9.0        2.6 
080728  204205  47  48.0809 N  62  26.2341 W   3.4        2.3       11.0        9.0        2.6 
080728  204206  47  48.0802 N  62  26.2341 W   3.3        2.3       11.0        9.0        2.6 
080728  204207  47  48.0794 N  62  26.2341 W   3.2        2.3       11.0        9.0        2.6 
080728  204208  47  48.0787 N  62  26.2341 W   3.1        2.3       11.0        9.0        2.6 
080728  204209  47  48.0779 N  62  26.2341 W   3.1        2.3       11.0        9.0       56.7*
080728  204210  47  48.0772 N  62  26.2341 W   3.0        2.3       11.0        7.3*      56.7 
080728  204211  47  48.0765 N  62  26.2341 W   2.9        2.3       11.0        7.3       56.7 
080728  204212  47  48.0758 N  62  26.2341 W   2.9        2.3       11.0        7.3       56.7 
080728  204213  47  48.0751 N  62  26.2341 W   2.8        2.3       11.0        7.3       56.7 
080728  204214  47  48.0745 N  62  26.2342 W   2.7        2.3       11.0        7.3       56.7 
080728  204215  47  48.0738 N  62  26.2342 W   2.7        2.3       11.0        7.3       56.7 
080728  204216  47  48.0731 N  62  26.2342 W   2.7        2.3       11.0        7.3       56.7 
080728  204217  47  48.0725 N  62  26.2342 W   2.6        2.3       11.0        7.3       56.7 
080728  204218  47  48.0718 N  62  26.2343 W   2.6        2.3       11.0        7.3       56.7 
080728  204219  47  48.0709 N  62  26.2343 W   2.7        2.3       11.0        7.3       56.7 
080728  204220  47  48.0701 N  62  26.2343 W   2.7        2.3       11.0        2.9*      56.7 
080728  204221  47  48.0691 N  62  26.2344 W   2.9        2.3       11.0        2.9       56.7 
080728  204222  47  48.0679 N  62  26.2345 W   3.1        2.3        2.6*       2.9       56.7 
080728  204223  47  48.0668 N  62  26.2346 W   3.2        2.3        2.6        2.9       56.7 
080728  204224  47  48.0656 N  62  26.2346 W   3.4        2.3        2.6        2.9        6.6*
080728  204225  47  48.0642 N  62  26.2347 W   3.7        2.3        2.6        3.0*       6.6 
080728  204226  47  48.0628 N  62  26.2348 W   3.9        2.3        2.6        3.0        6.6 
080728  204227  47  48.0613 N  62  26.2348 W   4.1        2.3        2.6        3.0        6.6 
080728  204228  47  48.0597 N  62  26.2349 W   4.4        2.3        2.6        3.0        6.6 
080728  204229  47  48.0581 N  62  26.2349 W   4.6        2.3        2.6        3.0       35.6*
080728  204230  47  48.0564 N  62  26.2349 W   4.8        2.3        2.6        7.2*      35.6 
080728  204231  47  48.0546 N  62  26.2349 W   5.1        2.3        2.6        7.2       35.6 
080728  204232  47  48.0528 N  62  26.2349 W   5.3        2.3        2.6        7.2       35.6 
080728  204233  47  48.0510 N  62  26.2349 W   5.5        2.3        2.6        7.2       35.6 
080728  204234  47  48.0491 N  62  26.2349 W   5.7        2.3        2.6        7.2       35.6 
080728  204235  47  48.0473 N  62  26.2348 W   5.8        2.3        2.6        7.2        8.4*
080728  204236  47  48.0454 N  62  26.2349 W   6.0        2.3        2.6        4.3*       8.4 
080728  204237  47  48.0434 N  62  26.2349 W   6.1        2.3        2.6        4.3        8.4 
080728  204238  47  48.0414 N  62  26.2350 W   6.3        2.3        2.6        4.3        8.4 
080728  204239  47  48.0394 N  62  26.2349 W   6.4        2.3        2.6        4.3        8.4 
080728  204240  47  48.0374 N  62  26.2351 W   6.6        2.3        2.6        4.3       21.1*
080728  204241  47  48.0354 N  62  26.2351 W   6.7        2.3        2.6        4.3       21.1 
080728  204242  47  48.0333 N  62  26.2352 W   6.8        2.3        2.6      113.4*      21.1 
080728  204243  47  48.0313 N  62  26.2353 W   6.9        2.3        2.6      113.4       21.1 
080728  204244  47  48.0292 N  62  26.2354 W   6.9        2.3        2.6      113.4       21.1 
080728  204245  47  48.0271 N  62  26.2354 W   7.0        2.3        2.6      113.4       21.1 
080728  204246  47  48.0250 N  62  26.2355 W   7.1        2.3        2.6      113.4       21.1 
080728  204247  47  48.0230 N  62  26.2356 W   7.1        2.3        2.6      113.4       21.1 
080728  204248  47  48.0209 N  62  26.2357 W   7.2        2.3        2.6      113.4       21.1 
080728  204249  47  48.0188 N  62  26.2358 W   7.2        2.3        2.6      113.4       21.1 
080728  204250  47  48.0167 N  62  26.2358 W   7.3        2.3        2.6      113.4       21.1 
080728  204251  47  48.0146 N  62  26.2359 W   7.3        2.3        2.6      113.4       21.1 
080728  204252  47  48.0125 N  62  26.2361 W   7.4        2.3        2.6      113.4       21.1 
080728  204253  47  48.0104 N  62  26.2362 W   7.4        2.3        2.6      113.4       21.1 
080728  204254  47  48.0083 N  62  26.2362 W   7.4        2.3        2.6      113.4       21.1 
080728  204255  47  48.0062 N  62  26.2362 W   7.4        2.3        2.6      113.4       21.1 
080728  204256  47  48.0041 N  62  26.2364 W   7.5        2.3        2.6      113.4       28.6*
080728  204257  47  48.0020 N  62  26.2365 W   7.4        2.3        2.6       14.6*      28.6 
080728  204258  47  48.0000 N  62  26.2365 W   7.4        2.3        2.6       14.6       28.6 
080728  204259  47  47.9978 N  62  26.2366 W   7.5        2.3        2.6       14.6       28.6 
080728  204300  47  47.9958 N  62  26.2367 W   7.5        2.3        2.6       14.6       28.6 
080728  204301  47  47.9937 N  62  26.2367 W   7.5        2.3        2.6       14.6       28.6 
080728  204302  47  47.9916 N  62  26.2369 W   7.5        2.3        2.6       14.6       28.6 
080728  204303  47  47.9895 N  62  26.2369 W   7.5        2.3        2.6       14.6       28.6 
080728  204304  47  47.9874 N  62  26.2370 W   7.5        2.3        2.6       14.6       28.6 
080728  204305  47  47.9853 N  62  26.2371 W   7.5        2.3        2.6       14.6       28.6 
080728  204306  47  47.9832 N  62  26.2371 W   7.5        2.3        2.6       14.6       28.6 
080728  204307  47  47.9811 N  62  26.2372 W   7.5        2.3        2.6       14.6       28.6 
080728  204308  47  47.9790 N  62  26.2373 W   7.5        2.3        2.6       14.6       28.6 
080728  204309  47  47.9769 N  62  26.2373 W   7.5        2.3        2.6       14.6       28.6 
080728  204310  47  47.9749 N  62  26.2374 W   7.5        2.3        2.6       14.6       28.6 
