FileName: C:\TRAWLS~1\FALL\GP325F.TXT
Local Time: Sun Jul 27 15:55:46 2008

Ship: 27 juillet 2008 Trip: GP325F Tow: 11
Comments: Area E, Sud-est des grenades sous-marines
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
080727  185546  48   9.1492 N  61  39.2379 W   3.6        4.9*      11.8*       4.5*     666.0*
080727  185547  48   9.1489 N  61  39.2367 W   3.5        4.9       11.8        1.1*     666.0 
080727  185548  48   9.1487 N  61  39.2356 W   3.4        4.9       11.8        1.1      666.0 
080727  185549  48   9.1484 N  61  39.2345 W   3.3        4.9       11.8        1.1      666.0 
080727  185550  48   9.1481 N  61  39.2334 W   3.2        4.9       11.8        1.1        7.5*
080727  185551  48   9.1478 N  61  39.2324 W   3.1        4.9       11.8        1.1        7.5 
080727  185552  48   9.1476 N  61  39.2313 W   3.0        2.4*      11.8        3.4*       7.5 
080727  185553  48   9.1474 N  61  39.2303 W   3.0        2.4       11.8        3.4        7.5 
080727  185554  48   9.1472 N  61  39.2292 W   2.9        2.4       11.8        3.4        7.5 
080727  185555  48   9.1470 N  61  39.2284 W   2.8        2.4       11.8        3.4        7.5 
080727  185556  48   9.1468 N  61  39.2274 W   2.8        2.4       11.8        3.4        7.5 
080727  185557  48   9.1465 N  61  39.2263 W   2.8        2.4       11.8        3.4        7.5 
080727  185558  48   9.1462 N  61  39.2253 W   2.8        2.4       11.8        3.4        7.5 
080727  185559  48   9.1460 N  61  39.2241 W   2.8        2.4       11.8        3.4        7.5 
080727  185600  48   9.1456 N  61  39.2229 W   2.9        2.4       11.8        3.4        7.5 
080727  185601  48   9.1451 N  61  39.2215 W   3.0        2.4       11.8        3.4        7.5 
080727  185602  48   9.1446 N  61  39.2200 W   3.2        2.4       11.8        3.4        7.5 
080727  185603  48   9.1441 N  61  39.2184 W   3.4        2.4       11.8        3.4        7.5 
080727  185604  48   9.1435 N  61  39.2166 W   3.6        2.4       11.8        3.4        7.5 
080727  185605  48   9.1428 N  61  39.2147 W   3.8        2.4       11.8        3.4        7.5 
080727  185606  48   9.1420 N  61  39.2129 W   4.0        2.4       11.8        3.4        7.5 
080727  185607  48   9.1411 N  61  39.2111 W   4.2        2.4       11.8        3.4        7.5 
080727  185608  48   9.1402 N  61  39.2093 W   4.4        2.4       11.8        3.4        7.5 
080727  185609  48   9.1393 N  61  39.2073 W   4.6        2.4       11.8        3.4        7.5 
080727  185610  48   9.1385 N  61  39.2053 W   4.8        2.4       11.8        3.4        7.5 
080727  185611  48   9.1375 N  61  39.2034 W   5.0        2.4       11.8        3.4        7.5 
080727  185612  48   9.1363 N  61  39.2014 W   5.1        2.4       11.8        3.4        7.5 
080727  185613  48   9.1353 N  61  39.1994 W   5.3        2.4       11.8        3.4        7.5 
080727  185614  48   9.1342 N  61  39.1973 W   5.5        2.4       11.8        3.4        7.5 
080727  185615  48   9.1331 N  61  39.1952 W   5.6        2.4       11.8        3.4        7.5 
080727  185616  48   9.1319 N  61  39.1932 W   5.8        2.4       11.8        3.4        7.5 
080727  185617  48   9.1307 N  61  39.1912 W   5.9        2.4       11.8        3.4        7.5 
080727  185618  48   9.1295 N  61  39.1891 W   6.0        2.4       11.8        3.4        7.5 
080727  185619  48   9.1283 N  61  39.1869 W   6.1        2.4       11.8        3.4        7.5 
080727  185620  48   9.1271 N  61  39.1848 W   6.2        2.4       11.8        3.4        7.5 
080727  185621  48   9.1259 N  61  39.1826 W   6.3        2.4       11.8        3.4        7.5 
080727  185622  48   9.1246 N  61  39.1805 W   6.4        2.4       11.8        3.4        7.5 
080727  185623  48   9.1233 N  61  39.1783 W   6.4        2.4       11.8        3.4        7.5 
080727  185624  48   9.1221 N  61  39.1763 W   6.5        2.4       11.8        3.4        7.5 
080727  185625  48   9.1208 N  61  39.1741 W   6.5        2.4       11.8        3.4        7.5 
080727  185626  48   9.1197 N  61  39.1720 W   6.6        2.4       11.8        3.4        7.5 
080727  185627  48   9.1185 N  61  39.1698 W   6.6        2.4       11.8        3.4        7.5 
080727  185628  48   9.1172 N  61  39.1676 W   6.7        2.4       11.8        3.4        7.5 
080727  185629  48   9.1159 N  61  39.1655 W   6.7        2.4       11.8        3.4        7.5 
080727  185630  48   9.1147 N  61  39.1634 W   6.6        2.4       11.8        3.4        7.5 
080727  185631  48   9.1134 N  61  39.1613 W   6.7        2.4       11.8        3.4        7.5 
080727  185632  48   9.1121 N  61  39.1591 W   6.7        2.4       11.8        3.4        7.5 
080727  185633  48   9.1110 N  61  39.1570 W   6.7        2.4       11.8        3.4        7.5 
080727  185634  48   9.1097 N  61  39.1549 W   6.7        2.4       11.8        3.4        7.5 
080727  185635  48   9.1085 N  61  39.1528 W   6.7        2.4       11.8        3.4        7.5 
080727  185636  48   9.1072 N  61  39.1507 W   6.7        2.4       11.8        3.4        7.5 
080727  185637  48   9.1060 N  61  39.1485 W   6.7        2.4       11.8        3.4        7.5 
080727  185638  48   9.1047 N  61  39.1465 W   6.7        2.4       11.8        3.4        7.5 
080727  185639  48   9.1035 N  61  39.1444 W   6.7        2.4       11.8        3.4        7.5 
080727  185640  48   9.1022 N  61  39.1422 W   6.7        2.4       11.8        3.4        7.5 
080727  185641  48   9.1010 N  61  39.1400 W   6.7        2.4       11.8        3.4        7.5 
080727  185642  48   9.0997 N  61  39.1380 W   6.7        2.4       11.8        3.4        7.5 
080727  185643  48   9.0984 N  61  39.1360 W   6.7        2.4       11.8        3.4        7.5 
080727  185644  48   9.0970 N  61  39.1340 W   6.7        2.4       11.8        3.4        7.5 
080727  185645  48   9.0957 N  61  39.1320 W   6.7        2.4       11.8        3.4        7.5 
080727  185646  48   9.0944 N  61  39.1299 W   6.7        2.4       11.8        3.4        7.5 
080727  185647  48   9.0931 N  61  39.1279 W   6.7        2.4       11.8        3.4        7.5 
080727  185648  48   9.0918 N  61  39.1259 W   6.7        2.4       11.8        3.4      228.7*
080727  185649  48   9.0905 N  61  39.1240 W   6.7        2.4       11.8        3.4      228.7 
080727  185650  48   9.0892 N  61  39.1221 W   6.7        2.4       11.8        3.4      228.7 
080727  185651  48   9.0878 N  61  39.1200 W   6.7        2.4       11.8        3.4      228.7 
080727  185652  48   9.0865 N  61  39.1181 W   6.7        2.4       11.8        3.4      228.7 
080727  185653  48   9.0852 N  61  39.1162 W   6.7        2.4       11.8        3.4      228.7 
080727  185654  48   9.0838 N  61  39.1143 W   6.7        2.4       11.8        3.4      228.7 
080727  185655  48   9.0825 N  61  39.1124 W   6.7        2.4       11.8        3.4      228.7 
