FileName: C:\TRAWLS~1\FALL\GP334F.TXT
Local Time: Wed Jul 16 11:36:24 2008

Ship: 16 juillet 2008 Trip: GP334F Tow: 6
Comments: Area 12 - North of PEI, Shipwreck Point
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
080716  143602  46  38.6019 N  62  27.1884 W   5.5       10.3*       3.3*       0.1*     351.9*
080716  143603  46  38.6010 N  62  27.1872 W   5.3       10.3        3.3        0.1      351.9 
080716  143604  46  38.6001 N  62  27.1861 W   5.2       10.3        3.3        0.1      351.9 
080716  143605  46  38.5992 N  62  27.1850 W   5.0       10.3        3.3        0.1      351.9 
080716  143606  46  38.5983 N  62  27.1840 W   4.9       10.3        3.3        0.1      351.9 
080716  143607  46  38.5973 N  62  27.1829 W   4.8       10.3        3.3        0.1      351.9 
080716  143608  46  38.5965 N  62  27.1819 W   4.6       10.3        3.3        0.1      351.9 
080716  143609  46  38.5956 N  62  27.1810 W   4.5       10.3        3.3        0.1      351.9 
080716  143610  46  38.5948 N  62  27.1800 W   4.4       10.3        3.3        0.1        3.5*
080716  143611  46  38.5939 N  62  27.1791 W   4.3       10.3        3.3        6.9*       3.5 
080716  143612  46  38.5930 N  62  27.1781 W   4.2       10.3        3.3        6.9        3.5 
080716  143613  46  38.5923 N  62  27.1772 W   4.1       10.3        3.3        6.9        3.5 
080716  143614  46  38.5914 N  62  27.1764 W   4.1       10.3        3.3        6.9        3.5 
080716  143615  46  38.5907 N  62  27.1755 W   4.0       10.3        3.3        6.9       31.7*
080716  143616  46  38.5899 N  62  27.1746 W   3.9       10.3        3.3        6.9       31.7 
080716  143617  46  38.5891 N  62  27.1738 W   3.9       10.3        3.3        6.9       31.7 
080716  143618  46  38.5883 N  62  27.1731 W   3.8       10.3        3.3        6.9       31.7 
080716  143619  46  38.5876 N  62  27.1722 W   3.7       10.3        3.3        6.9       31.7 
080716  143620  46  38.5869 N  62  27.1714 W   3.7       10.3        3.3        6.9       31.7 
080716  143621  46  38.5862 N  62  27.1707 W   3.6       10.3        3.3        5.0*      31.7 
080716  143622  46  38.5855 N  62  27.1699 W   3.5       10.3        3.3        5.0       31.7 
080716  143623  46  38.5848 N  62  27.1691 W   3.5       10.3        3.3        5.0       31.7 
080716  143624  46  38.5841 N  62  27.1684 W   3.4       10.3        3.3        5.0       31.7 
080716  143625  46  38.5835 N  62  27.1677 W   3.4       10.3        3.3        5.0       31.7 
080716  143626  46  38.5828 N  62  27.1670 W   3.3       10.3        3.3        5.0       31.7 
080716  143627  46  38.5821 N  62  27.1663 W   3.3       10.3        3.3        4.7*      31.7 
080716  143628  46  38.5815 N  62  27.1655 W   3.2       10.3        3.3        4.7       31.7 
080716  143629  46  38.5808 N  62  27.1648 W   3.2       10.3        3.3        4.7       31.7 
080716  143630  46  38.5802 N  62  27.1641 W   3.1       10.3        3.3        4.7       31.7 
080716  143631  46  38.5795 N  62  27.1634 W   3.1       10.3        3.3        4.7       11.4*
080716  143632  46  38.5789 N  62  27.1627 W   3.1       10.3        3.3        2.6*      11.4 
080716  143633  46  38.5782 N  62  27.1618 W   3.2       10.3        3.3        2.6       11.4 
080716  143634  46  38.5774 N  62  27.1609 W   3.3       10.3        3.3        2.6       11.4 
080716  143635  46  38.5765 N  62  27.1598 W   3.4       10.3        3.3        2.6       11.4 
080716  143636  46  38.5756 N  62  27.1587 W   3.5       10.3        3.3        2.6       11.9*
080716  143637  46  38.5747 N  62  27.1576 W   3.7       10.3        3.3        7.2*      11.9 
080716  143638  46  38.5737 N  62  27.1562 W   3.9       10.3        3.3        7.2       11.9 
080716  143639  46  38.5726 N  62  27.1548 W   4.1       10.3        3.3        7.2       11.9 
080716  143640  46  38.5715 N  62  27.1534 W   4.3       10.3        3.3        7.2       11.9 
