FileName: C:\PROGRA~1\NETMIND\AREA19~1\GP237.TXT
Local Time: Tue Jun 24 18:20:58 2008

Ship: 24 juin 2008 Trip: GP237 Tow: 11
Comments: Area 19
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
080624  212058  46  47.3387 N  60  57.9088 W   4.6       13.5*       5.4*       1.7*     392.4*
080624  212059  46  47.3397 N  60  57.9081 W   4.5       13.5        5.4        1.7      392.4 
080624  212100  46  47.3407 N  60  57.9075 W   4.5       13.5        5.4        2.4*     392.4 
080624  212101  46  47.3417 N  60  57.9068 W   4.4       13.5        5.4        2.4      392.4 
080624  212102  46  47.3427 N  60  57.9062 W   4.3       13.5        5.4        2.4      392.4 
080624  212103  46  47.3437 N  60  57.9056 W   4.2       13.5        5.4        2.4      392.4 
080624  212104  46  47.3446 N  60  57.9049 W   4.2       13.5        5.4        2.4      392.4 
080624  212105  46  47.3456 N  60  57.9043 W   4.1       13.5        5.4        2.2*     392.4 
080624  212106  46  47.3465 N  60  57.9037 W   4.1       13.5        5.4        2.2      392.4 
080624  212107  46  47.3474 N  60  57.9031 W   4.0       13.5        5.4        2.2      392.4 
080624  212108  46  47.3483 N  60  57.9025 W   4.0       13.5        5.4        2.2      392.4 
080624  212109  46  47.3493 N  60  57.9019 W   3.9       13.5        5.4        2.2      392.4 
080624  212110  46  47.3502 N  60  57.9014 W   3.9       13.5        5.4        2.6*     392.4 
080624  212111  46  47.3510 N  60  57.9008 W   3.8       13.5        5.4        2.6      392.4 
080624  212112  46  47.3519 N  60  57.9002 W   3.8       13.5        5.4        2.6      392.4 
080624  212113  46  47.3528 N  60  57.8995 W   3.8       13.5        5.4        2.6      392.4 
080624  212114  46  47.3537 N  60  57.8990 W   3.8       13.5        5.4        2.6      392.4 
080624  212115  46  47.3546 N  60  57.8983 W   3.7       13.5        5.4       13.0*     392.4 
080624  212116  46  47.3556 N  60  57.8977 W   3.8       13.5        5.4       13.0      392.4 
080624  212117  46  47.3566 N  60  57.8970 W   3.8       13.5        5.4       13.0      392.4 
080624  212118  46  47.3577 N  60  57.8963 W   3.9       13.5        5.4       13.0      392.4 
080624  212119  46  47.3588 N  60  57.8955 W   4.0       13.5        5.4       13.0      392.4 
080624  212120  46  47.3601 N  60  57.8946 W   4.2       13.5        5.4       13.0      392.4 
080624  212121  46  47.3614 N  60  57.8937 W   4.4       13.5        5.4       13.0      392.4 
080624  212122  46  47.3628 N  60  57.8928 W   4.6       13.5        5.4       13.0      392.4 
080624  212123  46  47.3644 N  60  57.8918 W   4.8       13.5        5.4       13.0      392.4 
080624  212124  46  47.3659 N  60  57.8907 W   5.0       13.5        5.4       13.0      392.4 
080624  212125  46  47.3676 N  60  57.8896 W   5.3       13.5        5.4       13.0      392.4 
080624  212126  46  47.3693 N  60  57.8884 W   5.5       13.5        5.4       13.0      392.4 
080624  212127  46  47.3711 N  60  57.8872 W   5.8       13.5        5.4       13.0      392.4 
080624  212128  46  47.3729 N  60  57.8860 W   6.0       13.5        5.4       13.0      392.4 
080624  212129  46  47.3748 N  60  57.8848 W   6.2       13.5        5.4       13.0      392.4 
080624  212130  46  47.3768 N  60  57.8835 W   6.4       13.5        5.4       13.0      392.4 
080624  212131  46  47.3787 N  60  57.8821 W   6.7       13.5        5.4       13.0      392.4 
080624  212132  46  47.3807 N  60  57.8808 W   6.9       13.5        5.4       13.0      392.4 
080624  212133  46  47.3827 N  60  57.8795 W   7.0       13.5        5.4       13.0      392.4 
080624  212134  46  47.3848 N  60  57.8781 W   7.2       13.5        5.4       13.0      392.4 
080624  212135  46  47.3869 N  60  57.8767 W   7.3       13.5        5.4       13.0      392.4 
080624  212136  46  47.3889 N  60  57.8754 W   7.5       13.5        5.4       13.0      392.4 
080624  212137  46  47.3910 N  60  57.8740 W   7.6       13.5        5.4       13.0      392.4 
080624  212138  46  47.3931 N  60  57.8726 W   7.7       13.5        5.4       13.0      123.2*
080624  212139  46  47.3952 N  60  57.8712 W   7.8       13.5        5.4       13.0      123.2 
080624  212140  46  47.3974 N  60  57.8698 W   7.9       13.5        5.4       13.0      123.2 
080624  212141  46  47.3995 N  60  57.8684 W   7.9       13.5        5.4       13.0      123.2 
080624  212142  46  47.4017 N  60  57.8670 W   8.0       13.5        5.4       13.0      123.2 
080624  212143  46  47.4038 N  60  57.8656 W   8.1       13.5        5.4       13.0      123.2 
080624  212144  46  47.4060 N  60  57.8642 W   8.1       13.5        5.4       13.0      123.2 
080624  212145  46  47.4081 N  60  57.8627 W   8.2       13.5        5.4       13.0      123.2 
080624  212146  46  47.4103 N  60  57.8613 W   8.3       13.5        5.4       13.0      123.2 
080624  212147  46  47.4125 N  60  57.8598 W   8.3       13.5        5.4       13.0      123.2 
080624  212148  46  47.4147 N  60  57.8584 W   8.3       13.5        5.4       13.0      123.2 
080624  212149  46  47.4168 N  60  57.8571 W   8.3       13.5        5.4       13.0      123.2 
080624  212150  46  47.4190 N  60  57.8557 W   8.4       13.5        5.4       13.0      123.2 
080624  212151  46  47.4212 N  60  57.8543 W   8.4       13.5        5.4       13.0      123.2 
080624  212152  46  47.4234 N  60  57.8529 W   8.4       13.5        5.4       13.0      123.2 
080624  212153  46  47.4255 N  60  57.8515 W   8.4       13.5        5.4       13.0      123.2 
080624  212154  46  47.4277 N  60  57.8500 W   8.5       13.5        5.4       13.0      123.2 
080624  212155  46  47.4299 N  60  57.8486 W   8.5       13.5        5.4       13.0      123.2 
080624  212156  46  47.4321 N  60  57.8472 W   8.5       13.5        5.4       13.0      123.2 
080624  212157  46  47.4343 N  60  57.8457 W   8.5       13.5        5.4       13.0      123.2 
080624  212158  46  47.4365 N  60  57.8443 W   8.5       13.5        5.4       13.0      123.2 
080624  212159  46  47.4387 N  60  57.8429 W   8.5       13.5        5.4       13.0      123.2 
080624  212200  46  47.4409 N  60  57.8415 W   8.5       13.5        5.4       13.0      123.2 
080624  212201  46  47.4431 N  60  57.8401 W   8.5       13.5        5.4       13.0      123.2 
080624  212202  46  47.4453 N  60  57.8387 W   8.6       13.5        5.4       13.0      123.2 
080624  212203  46  47.4475 N  60  57.8373 W   8.6       13.5        5.4       13.0      123.2 
080624  212204  46  47.4497 N  60  57.8359 W   8.6       13.5        5.4       13.0      123.2 
080624  212205  46  47.4519 N  60  57.8345 W   8.6       13.5        5.4       13.0      123.2 
080624  212206  46  47.4541 N  60  57.8332 W   8.6       13.5        5.4       13.0      123.2 
080624  212207  46  47.4563 N  60  57.8318 W   8.6       13.5        5.4       13.0      123.2 
080624  212208  46  47.4585 N  60  57.8304 W   8.6       13.5        5.4       13.0      123.2 
080624  212209  46  47.4608 N  60  57.8290 W   8.6       13.5        5.4       13.0      123.2 
080624  212210  46  47.4630 N  60  57.8277 W   8.6       13.5        5.4       13.0      123.2 
080624  212211  46  47.4652 N  60  57.8263 W   8.6       13.5        5.4       13.0      123.2 
080624  212212  46  47.4674 N  60  57.8250 W   8.6       13.5        5.4       13.0      123.2 
080624  212213  46  47.4696 N  60  57.8237 W   8.6       13.5        5.4       13.0      123.2 
080624  212214  46  47.4717 N  60  57.8224 W   8.5       13.5        5.4       13.0      123.2 
080624  212215  46  47.4739 N  60  57.8211 W   8.5       13.5        5.4       13.0      123.2 
080624  212216  46  47.4762 N  60  57.8198 W   8.5       13.5        5.4       13.0      123.2 
080624  212217  46  47.4784 N  60  57.8185 W   8.5       13.5        5.4       13.0      123.2 
080624  212218  46  47.4806 N  60  57.8171 W   8.6       13.5        5.4       13.0      123.2 
080624  212219  46  47.4829 N  60  57.8158 W   8.6       13.5        5.4       13.0      123.2 
080624  212220  46  47.4850 N  60  57.8146 W   8.5       13.5        5.4       13.0      123.2 
080624  212221  46  47.4871 N  60  57.8134 W   8.5       13.5        5.4       13.0      123.2 
080624  212222  46  47.4893 N  60  57.8121 W   8.5       13.5        5.4       13.0      123.2 
080624  212223  46  47.4915 N  60  57.8108 W   8.5       13.5        5.4       13.0      123.2 
080624  212224  46  47.4937 N  60  57.8095 W   8.5       13.5        5.4       13.0      123.2 
080624  212225  46  47.4959 N  60  57.8082 W   8.5       13.5        5.4       13.0      123.2 
080624  212226  46  47.4981 N  60  57.8069 W   8.5       13.5        5.4       13.0      123.2 
080624  212227  46  47.5003 N  60  57.8057 W   8.5       13.5        5.4       13.0      123.2 
080624  212228  46  47.5025 N  60  57.8044 W   8.5       13.5        5.4       13.0      123.2 
080624  212229  46  47.5047 N  60  57.8031 W   8.5       13.5        5.4       13.0      123.2 
080624  212230  46  47.5069 N  60  57.8018 W   8.5       13.5        5.4       13.0      123.2 
080624  212231  46  47.5091 N  60  57.8005 W   8.5       13.5        5.4       13.0      123.2 
080624  212232  46  47.5113 N  60  57.7992 W   8.5       13.5        5.4       13.0      123.2 
080624  212233  46  47.5135 N  60  57.7979 W   8.5       13.5        5.4       13.0      123.2 
080624  212234  46  47.5157 N  60  57.7966 W   8.4       13.5        5.4       13.0      123.2 
080624  212235  46  47.5179 N  60  57.7953 W   8.4       13.5        5.4       13.0      123.2 
080624  212236  46  47.5201 N  60  57.7939 W   8.4       13.5        5.4       13.0      123.2 
