FileName: C:\PROGRA~1\NETMIND\AREA19~1\GP238.TXT
Local Time: Tue Jun 24 17:00:08 2008

Ship: 24 juin 2008 Trip: GP238 Tow: 10
Comments: Area 19
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
080624  200008  46  50.1111 N  60  56.8591 W   4.6        6.5        2.8*       3.2*      51.9*
080624  200009  46  50.1120 N  60  56.8581 W   4.5        6.5        2.8        3.2       51.9 
080624  200010  46  50.1129 N  60  56.8572 W   4.5        6.5        2.8        3.2       51.9 
080624  200011  46  50.1137 N  60  56.8562 W   4.4        6.5        2.8        3.2       51.9 
080624  200012  46  50.1145 N  60  56.8553 W   4.3        6.5        2.8        3.5*      51.9 
080624  200013  46  50.1153 N  60  56.8544 W   4.2        6.5        2.8        3.5       51.9 
080624  200014  46  50.1162 N  60  56.8535 W   4.2        6.5        2.8        3.5       51.9 
080624  200015  46  50.1171 N  60  56.8526 W   4.1        6.5        2.8        3.5       51.9 
080624  200016  46  50.1179 N  60  56.8516 W   4.1        6.5        2.8        3.5       51.9 
080624  200017  46  50.1188 N  60  56.8506 W   4.0        6.5       11.6*       3.0*      51.9 
080624  200018  46  50.1196 N  60  56.8497 W   4.0        6.5       11.6        3.0       51.9 
080624  200019  46  50.1205 N  60  56.8488 W   4.0        6.5       11.6        3.0       51.9 
080624  200020  46  50.1213 N  60  56.8478 W   3.9        6.5       11.6        3.0       51.9 
080624  200021  46  50.1222 N  60  56.8469 W   3.9        6.5       11.6        3.0       51.9 
080624  200022  46  50.1230 N  60  56.8459 W   3.9        6.5       11.6        3.1*      51.9 
080624  200023  46  50.1238 N  60  56.8451 W   3.9        6.5       11.6        3.1       51.9 
080624  200024  46  50.1246 N  60  56.8441 W   3.8        6.5       11.6        3.1       51.9 
080624  200025  46  50.1255 N  60  56.8432 W   3.8        6.5       11.6        3.1       51.9 
080624  200026  46  50.1264 N  60  56.8421 W   3.8        6.5       11.6        3.1       51.9 
080624  200027  46  50.1273 N  60  56.8411 W   3.9        6.5       11.6        3.1       51.9 
080624  200028  46  50.1282 N  60  56.8401 W   3.9        6.5       11.6        3.1       51.9 
080624  200029  46  50.1293 N  60  56.8389 W   4.0        6.5       11.6        3.1       51.9 
080624  200030  46  50.1303 N  60  56.8377 W   4.2        6.5       11.6        3.1        1.8*
080624  200031  46  50.1315 N  60  56.8364 W   4.3        6.5       11.6        3.1        1.8 
080624  200032  46  50.1327 N  60  56.8350 W   4.5        6.5       11.6        3.1        1.8 
080624  200033  46  50.1340 N  60  56.8336 W   4.8        6.5       11.6        3.1        1.8 
080624  200034  46  50.1354 N  60  56.8320 W   5.0        6.5       11.6        3.1        1.8 
080624  200035  46  50.1368 N  60  56.8304 W   5.2        6.5       11.6        3.1        1.8 
080624  200036  46  50.1382 N  60  56.8288 W   5.5        6.5       11.6        3.1        1.8 
080624  200037  46  50.1397 N  60  56.8271 W   5.7        6.5       11.6        3.1        1.8 
080624  200038  46  50.1413 N  60  56.8252 W   5.9        6.5       11.6        3.1        1.8 
080624  200039  46  50.1429 N  60  56.8234 W   6.2        6.5       11.6        3.1        1.8 
080624  200040  46  50.1445 N  60  56.8214 W   6.4        6.5       11.6        3.1        1.8 
080624  200041  46  50.1462 N  60  56.8194 W   6.6        6.5       11.6        3.1        1.8 
080624  200042  46  50.1479 N  60  56.8173 W   6.8        6.5       11.6        3.1        1.8 
080624  200043  46  50.1497 N  60  56.8153 W   7.0        6.5       11.6        3.1        1.8 
080624  200044  46  50.1514 N  60  56.8132 W   7.1        6.5       11.6        3.1        1.8 
080624  200045  46  50.1532 N  60  56.8111 W   7.3        6.5       11.6        3.1        1.8 
080624  200046  46  50.1549 N  60  56.8090 W   7.4        6.5       11.6        3.1        1.8 
080624  200047  46  50.1567 N  60  56.8069 W   7.5        6.5       11.6        3.1        1.8 
080624  200048  46  50.1585 N  60  56.8049 W   7.6        6.5       11.6        3.1        1.8 
080624  200049  46  50.1604 N  60  56.8027 W   7.8        6.5       11.6        3.1        1.8 
080624  200050  46  50.1622 N  60  56.8005 W   7.9        6.5       11.6        3.1        1.8 
080624  200051  46  50.1641 N  60  56.7983 W   8.0        6.5       11.6        3.1        1.8 
080624  200052  46  50.1660 N  60  56.7960 W   8.0        6.5       11.6        3.1      495.7*
080624  200053  46  50.1678 N  60  56.7938 W   8.1        6.5       11.6        3.1      495.7 
080624  200054  46  50.1697 N  60  56.7915 W   8.1        6.5       11.6        3.1      495.7 
080624  200055  46  50.1715 N  60  56.7893 W   8.2        6.5       11.6        3.1      495.7 
