FileName: C:\PROGRA~1\NETMIND\AREA19~1\GP302.TXT
Local Time: Sat Jun 21 08:06:27 2008

Ship: 21 juin 2008 Trip: GP302 Tow: 4
Comments: Area F
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
080621  110628  47  22.1351 N  60  24.7612 W   5.2        2.8        2.4*     116.9*      26.0*
080621  110629  47  22.1363 N  60  24.7610 W   5.1        2.8        2.4      116.9       26.0 
080621  110630  47  22.1374 N  60  24.7606 W   4.9        2.8        2.4      116.9       26.0 
080621  110631  47  22.1385 N  60  24.7603 W   4.8        2.8        2.4      116.9       26.0 
080621  110632  47  22.1396 N  60  24.7600 W   4.6        2.8        2.4      116.9       26.0 
080621  110633  47  22.1406 N  60  24.7597 W   4.5        2.8        2.4      116.9       26.0 
080621  110634  47  22.1416 N  60  24.7594 W   4.4        2.8        2.4      116.9       26.0 
080621  110635  47  22.1426 N  60  24.7593 W   4.3        2.8        2.4      116.9       26.0 
080621  110636  47  22.1436 N  60  24.7591 W   4.2        2.8        2.4        4.0*      26.0 
080621  110637  47  22.1446 N  60  24.7589 W   4.1        2.8        2.4        4.0        4.4*
080621  110638  47  22.1455 N  60  24.7585 W   4.0        2.8        2.4        4.0        4.4 
080621  110639  47  22.1464 N  60  24.7582 W   3.9        2.8        2.4        4.0        4.4 
080621  110640  47  22.1473 N  60  24.7579 W   3.8        2.8        2.4        4.0        4.4 
080621  110641  47  22.1481 N  60  24.7577 W   3.7        2.8        2.4        2.8*       4.4 
080621  110642  47  22.1490 N  60  24.7575 W   3.6        2.8        2.4        2.8        4.4 
080621  110643  47  22.1499 N  60  24.7573 W   3.6        2.8        2.4        2.8        4.4 
080621  110644  47  22.1508 N  60  24.7571 W   3.5        2.8        2.4        2.8        4.4 
080621  110645  47  22.1516 N  60  24.7568 W   3.5        2.8        2.4        2.8        4.4 
080621  110646  47  22.1525 N  60  24.7564 W   3.5        2.8        2.4        3.5*       4.4 
080621  110647  47  22.1533 N  60  24.7562 W   3.4        2.8        2.4        3.5        4.4 
080621  110648  47  22.1542 N  60  24.7560 W   3.3        2.8        2.4        3.5        4.4 
080621  110649  47  22.1550 N  60  24.7558 W   3.3        2.8        2.4        3.5        4.4 
080621  110650  47  22.1558 N  60  24.7556 W   3.3        2.8        2.4        3.5        4.4 
080621  110651  47  22.1567 N  60  24.7553 W   3.2        2.8        2.4        6.1*       4.4 
080621  110652  47  22.1576 N  60  24.7549 W   3.3        2.8        2.4        6.1        4.4 
080621  110653  47  22.1584 N  60  24.7545 W   3.2        2.8        2.4        6.1       41.8*
080621  110654  47  22.1591 N  60  24.7543 W   3.2        2.8        8.9*       6.1       41.8 
080621  110655  47  22.1599 N  60  24.7541 W   3.2        2.8        8.9        6.1       41.8 
080621  110656  47  22.1607 N  60  24.7538 W   3.2        2.8        8.9        6.1       41.8 
080621  110657  47  22.1615 N  60  24.7536 W   3.2        2.8        8.9        1.7*      41.8 
080621  110658  47  22.1623 N  60  24.7533 W   3.2        2.8        8.9        1.7       41.8 
080621  110659  47  22.1632 N  60  24.7530 W   3.2        2.8        8.9        1.7       41.8 
080621  110700  47  22.1640 N  60  24.7527 W   3.2        2.8        8.9        1.7       41.8 
080621  110701  47  22.1648 N  60  24.7523 W   3.2        2.8        8.9        1.7       41.8 
080621  110702  47  22.1657 N  60  24.7521 W   3.2        2.8        8.9        5.2*      41.8 
080621  110703  47  22.1666 N  60  24.7518 W   3.2        2.8        8.9        5.2       41.8 
080621  110704  47  22.1676 N  60  24.7515 W   3.3        2.8        8.9        5.2       41.8 
080621  110705  47  22.1687 N  60  24.7513 W   3.4        2.8        8.9        5.2       41.8 
080621  110706  47  22.1699 N  60  24.7510 W   3.6        2.8        8.9        5.2       41.8 
080621  110707  47  22.1712 N  60  24.7508 W   3.7        2.8        8.9        5.2       41.8 
080621  110708  47  22.1726 N  60  24.7505 W   3.9        2.8        8.9        5.2       41.8 
080621  110709  47  22.1740 N  60  24.7502 W   4.2        2.8        8.9        5.2       41.8 
080621  110710  47  22.1755 N  60  24.7499 W   4.4        2.8        8.9        5.2       41.8 
080621  110711  47  22.1771 N  60  24.7496 W   4.6        2.8        8.9        5.2       41.8 
080621  110712  47  22.1788 N  60  24.7494 W   4.9        2.8        8.9        5.2       41.8 
080621  110713  47  22.1806 N  60  24.7491 W   5.1        2.8        8.9        5.2       41.8 
080621  110714  47  22.1824 N  60  24.7489 W   5.4        2.8        8.9        5.2       41.8 
080621  110715  47  22.1843 N  60  24.7486 W   5.6        2.8        8.9        5.2       41.8 
080621  110716  47  22.1862 N  60  24.7482 W   5.8        2.8        8.9        5.2       41.8 
080621  110717  47  22.1881 N  60  24.7479 W   6.0        2.8        8.9        5.2       41.8 
080621  110718  47  22.1901 N  60  24.7477 W   6.1        2.8        8.9        5.2       41.8 
080621  110719  47  22.1921 N  60  24.7475 W   6.3        2.8        8.9        5.2       41.8 
080621  110720  47  22.1941 N  60  24.7472 W   6.4        2.8        8.9        5.2       41.8 
080621  110721  47  22.1961 N  60  24.7470 W   6.6        2.8        8.9        5.2       41.8 
080621  110722  47  22.1982 N  60  24.7467 W   6.7        2.8        8.9        5.2       41.8 
080621  110723  47  22.2003 N  60  24.7464 W   6.9        2.8        8.9        5.2       41.8 
080621  110724  47  22.2024 N  60  24.7462 W   7.0        2.8        8.9        5.2       41.8 
080621  110725  47  22.2045 N  60  24.7460 W   7.1        2.8        8.9        5.2       41.8 
080621  110726  47  22.2066 N  60  24.7457 W   7.1        2.8        8.9        5.2       41.8 
080621  110727  47  22.2087 N  60  24.7454 W   7.2        2.8        8.9        5.2       41.8 
080621  110728  47  22.2108 N  60  24.7452 W   7.2        2.8        8.9        5.2       41.8 
080621  110729  47  22.2129 N  60  24.7451 W   7.3        2.8        8.9        5.2       41.8 
080621  110730  47  22.2150 N  60  24.7450 W   7.3        2.8        8.9        5.2       41.8 
