FileName: C:\PROGRA~1\NETMIND\AREA19~1\GP383.TXT
Local Time: Sat Jun 21 21:01:36 2008

Ship: 21 juin 2008 Trip: GP383 Tow: 14
Comments: Area 19
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
080622  000137  47  14.7127 N  60  53.2622 W   2.7        3.8*      12.2*       2.6*      22.4*
080622  000138  47  14.7130 N  60  53.2612 W   2.7        3.8       12.2        3.3*      22.4 
080622  000139  47  14.7133 N  60  53.2601 W   2.7        3.8       12.2        3.3       22.4 
080622  000140  47  14.7136 N  60  53.2592 W   2.7        3.8       12.2        3.3       22.4 
080622  000141  47  14.7139 N  60  53.2583 W   2.7        3.8       12.2        3.3       22.4 
080622  000142  47  14.7142 N  60  53.2573 W   2.7        3.8       12.2        3.3       22.4 
080622  000143  47  14.7144 N  60  53.2564 W   2.6        3.8       12.2        3.3        1.3*
080622  000144  47  14.7147 N  60  53.2553 W   2.6        3.8       12.2        7.6*       1.3 
080622  000145  47  14.7150 N  60  53.2544 W   2.6        3.8       12.2        7.6        1.3 
080622  000146  47  14.7153 N  60  53.2534 W   2.6        3.8       12.2        7.6        1.3 
080622  000147  47  14.7156 N  60  53.2523 W   2.6        3.8       12.2        7.6        1.3 
080622  000148  47  14.7159 N  60  53.2511 W   2.7        3.8       12.2        7.6        1.3 
080622  000149  47  14.7162 N  60  53.2500 W   2.7        3.8       12.2        7.6       44.4*
080622  000150  47  14.7166 N  60  53.2488 W   2.7        3.8        9.7*       7.6       44.4 
080622  000151  47  14.7170 N  60  53.2475 W   2.8        3.8        9.7        7.6       44.4 
080622  000152  47  14.7174 N  60  53.2460 W   3.0        3.8        9.7        7.6       44.4 
080622  000153  47  14.7177 N  60  53.2445 W   3.1        3.8        9.7        7.6       44.4 
080622  000154  47  14.7181 N  60  53.2428 W   3.3        3.8        9.7        7.6       44.4 
080622  000155  47  14.7186 N  60  53.2411 W   3.5        3.8        9.7        7.6       44.4 
080622  000156  47  14.7191 N  60  53.2391 W   3.8        3.8        9.7        7.6       44.4 
080622  000157  47  14.7196 N  60  53.2369 W   4.0        3.8        9.7        7.6       44.4 
080622  000158  47  14.7201 N  60  53.2347 W   4.3        3.8        9.7        7.6       44.4 
080622  000159  47  14.7205 N  60  53.2323 W   4.5        3.8        9.7        7.6       44.4 
080622  000200  47  14.7210 N  60  53.2301 W   4.8        3.8        9.7        7.6       44.4 
080622  000201  47  14.7215 N  60  53.2276 W   5.0        3.8        9.7        7.6       44.4 
080622  000202  47  14.7220 N  60  53.2249 W   5.3        3.8        9.7        7.6       44.4 
080622  000203  47  14.7224 N  60  53.2223 W   5.5        3.8        9.7        7.6       44.4 
080622  000204  47  14.7229 N  60  53.2196 W   5.6        3.8        9.7        7.6       44.4 
080622  000205  47  14.7233 N  60  53.2169 W   5.8        3.8        9.7        7.6       44.4 
080622  000206  47  14.7237 N  60  53.2142 W   6.0        3.8        9.7        7.6       44.4 
080622  000207  47  14.7241 N  60  53.2114 W   6.2        3.8        9.7        7.6       44.4 
080622  000208  47  14.7245 N  60  53.2087 W   6.3        3.8        9.7        7.6       44.4 
080622  000209  47  14.7249 N  60  53.2059 W   6.4        3.8        9.7        7.6       44.4 
080622  000210  47  14.7252 N  60  53.2030 W   6.5        3.8        9.7        7.6      571.0*
080622  000211  47  14.7257 N  60  53.2003 W   6.6        3.8        9.7        7.6      571.0 
080622  000212  47  14.7261 N  60  53.1972 W   6.7        3.8        9.7        7.6      571.0 
080622  000213  47  14.7265 N  60  53.1942 W   6.8        3.8        9.7        7.6      571.0 
080622  000214  47  14.7268 N  60  53.1913 W   6.9        3.8        9.7        7.6      571.0 
080622  000215  47  14.7271 N  60  53.1882 W   7.0        3.8        9.7        7.6      571.0 
080622  000216  47  14.7275 N  60  53.1852 W   7.1        3.8        9.7        7.6      571.0 
080622  000217  47  14.7278 N  60  53.1822 W   7.1        3.8        9.7        7.6      571.0 
080622  000218  47  14.7280 N  60  53.1792 W   7.1        3.8        9.7        7.6      571.0 
080622  000219  47  14.7283 N  60  53.1761 W   7.2        3.8        9.7        7.6      571.0 
080622  000220  47  14.7285 N  60  53.1732 W   7.2        3.8        9.7        7.6      571.0 
080622  000221  47  14.7287 N  60  53.1704 W   7.2        3.8        9.7        7.6      571.0 
080622  000222  47  14.7289 N  60  53.1673 W   7.2        3.8        9.7        7.6      571.0 
080622  000223  47  14.7291 N  60  53.1644 W   7.2        3.8        9.7        7.6      571.0 
080622  000224  47  14.7293 N  60  53.1615 W   7.2        3.8        9.7        7.6      571.0 
080622  000225  47  14.7295 N  60  53.1586 W   7.2        3.8        9.7        7.6      571.0 
080622  000226  47  14.7296 N  60  53.1557 W   7.2        3.8        9.7        7.6      571.0 
080622  000227  47  14.7297 N  60  53.1528 W   7.2        3.8        9.7        7.6      571.0 
080622  000228  47  14.7298 N  60  53.1498 W   7.2        3.8        9.7        7.6      571.0 
080622  000229  47  14.7300 N  60  53.1468 W   7.2        3.8        9.7        7.6      571.0 
080622  000230  47  14.7302 N  60  53.1437 W   7.2        3.8        9.7        7.6      571.0 
080622  000231  47  14.7304 N  60  53.1408 W   7.2        3.8        9.7        7.6      571.0 
080622  000232  47  14.7306 N  60  53.1378 W   7.2        3.8        9.7        7.6      571.0 
080622  000233  47  14.7307 N  60  53.1348 W   7.2        3.8        9.7        7.6      571.0 
080622  000234  47  14.7308 N  60  53.1319 W   7.2        3.8        9.7        7.6      571.0 
080622  000235  47  14.7309 N  60  53.1290 W   7.2        3.8        9.7        7.6      571.0 
080622  000236  47  14.7310 N  60  53.1260 W   7.2        3.8        9.7        7.6      571.0 
080622  000237  47  14.7311 N  60  53.1229 W   7.2        3.8        9.7        7.6      571.0 
080622  000238  47  14.7312 N  60  53.1201 W   7.2        3.8        9.7        7.6      571.0 
080622  000239  47  14.7313 N  60  53.1172 W   7.2        3.8        9.7        7.6      571.0 
080622  000240  47  14.7314 N  60  53.1142 W   7.2        3.8        9.7        7.6      571.0 
080622  000241  47  14.7314 N  60  53.1113 W   7.2        3.8        9.7        7.6       15.0*
080622  000242  47  14.7316 N  60  53.1084 W   7.2        3.8        9.7       17.6*      15.0 
