FileName: C:\TRAWLS~1\FALL\GP014F.TXT
Local Time: Sat Aug 29 15:21:22 2009

Ship: August 28, 2009 Trip: GP014F Tow: 8
Comments: zone 12 ile de lameque
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
090829  182124  48   1.4145 N  64  52.4373 W   4.6        6.0*      10.2*      68.4*      52.3*
090829  182125  48   1.4152 N  64  52.4352 W   4.8        6.0       10.2       82.2*      52.3 
090829  182126  48   1.4160 N  64  52.4331 W   5.0        6.0       10.2       82.2       52.3 
090829  182127  48   1.4168 N  64  52.4309 W   5.2        6.0       10.2       82.2       52.3 
090829  182128  48   1.4176 N  64  52.4286 W   5.4        6.0       10.2       82.2       52.3 
090829  182129  48   1.4184 N  64  52.4264 W   5.5        6.0       10.2       82.2       52.3 
090829  182130  48   1.4192 N  64  52.4240 W   5.7        6.0       10.2       82.2       52.3 
090829  182131  48   1.4200 N  64  52.4219 W   5.8        6.0       10.2       82.2       52.3 
090829  182132  48   1.4208 N  64  52.4197 W   5.9        6.0       10.2       82.2       52.3 
090829  182133  48   1.4216 N  64  52.4174 W   5.9        6.0       10.2       82.2       52.3 
090829  182134  48   1.4224 N  64  52.4152 W   6.0        6.0       10.2       82.2       52.3 
090829  182135  48   1.4232 N  64  52.4129 W   6.1        6.9*      10.2       82.2       52.3 
090829  182136  48   1.4239 N  64  52.4106 W   6.1        6.9       10.2       82.2       52.3 
090829  182137  48   1.4247 N  64  52.4084 W   6.1        6.9       10.2       82.2       52.3 
090829  182138  48   1.4255 N  64  52.4061 W   6.1        6.9       10.2       82.2       52.3 
090829  182139  48   1.4263 N  64  52.4039 W   6.1        6.9       10.2       82.2       52.3 
090829  182140  48   1.4270 N  64  52.4016 W   6.1        6.9       10.2       82.2       52.3 
090829  182141  48   1.4278 N  64  52.3994 W   6.1        6.9       10.2       82.2       52.3 
090829  182142  48   1.4286 N  64  52.3972 W   6.1        6.9       10.2       82.2       52.3 
090829  182143  48   1.4293 N  64  52.3951 W   6.1        6.9       10.2       82.2       52.3 
090829  182144  48   1.4300 N  64  52.3931 W   6.0        6.9       10.2       82.2       52.3 
090829  182145  48   1.4308 N  64  52.3910 W   5.9        6.9       10.2       82.2       52.3 
090829  182146  48   1.4314 N  64  52.3893 W   5.8        6.9       10.2       82.2       52.3 
090829  182147  48   1.4320 N  64  52.3873 W   5.7        6.9       10.2       82.2       52.3 
090829  182148  48   1.4327 N  64  52.3855 W   5.5        6.9       10.2       82.2       52.3 
090829  182149  48   1.4333 N  64  52.3838 W   5.4        6.9       10.2       82.2       52.3 
090829  182150  48   1.4338 N  64  52.3823 W   5.2        6.9       10.2       82.2       52.3 
090829  182151  48   1.4343 N  64  52.3809 W   5.0        6.9       10.2       82.2       52.3 
090829  182152  48   1.4348 N  64  52.3794 W   4.8        6.9       10.2       82.2       52.3 
090829  182153  48   1.4353 N  64  52.3781 W   4.6        6.9       10.2       82.2       52.3 
090829  182154  48   1.4357 N  64  52.3769 W   4.5        6.9       10.2       82.2       52.3 
090829  182155  48   1.4362 N  64  52.3757 W   4.3        6.9       10.2       82.2       52.3 
090829  182156  48   1.4366 N  64  52.3746 W   4.1        6.9       10.2       82.2       52.3 
090829  182157  48   1.4370 N  64  52.3733 W   4.0        6.9       10.2       82.2       52.3 
