FileName: C:\TRAWLS~1\FALL\GP016F.TXT
Local Time: Sat Aug 29 18:12:01 2009

Ship: August 28, 2009 Trip: GP016F Tow: 10
Comments: zone 12 baie des chaleurs pointe au maquereau
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
090829  211202  48   9.5146 N  64  46.3539 W   7.4        5.6*       7.3*     110.4*     403.4*
090829  211203  48   9.5129 N  64  46.3560 W   7.5        5.6        7.3      110.4      403.4 
090829  211204  48   9.5113 N  64  46.3581 W   7.6        5.6        7.3      110.4      403.4 
090829  211205  48   9.5095 N  64  46.3602 W   7.6        5.6        7.3      110.4      403.4 
090829  211206  48   9.5078 N  64  46.3623 W   7.6        5.6        7.3      110.4      403.4 
090829  211207  48   9.5061 N  64  46.3644 W   7.7        5.6        7.3      110.4      403.4 
090829  211208  48   9.5043 N  64  46.3666 W   7.7        5.6        7.3      110.4      403.4 
090829  211209  48   9.5027 N  64  46.3688 W   7.7        5.6        7.3      110.4      403.4 
090829  211210  48   9.5009 N  64  46.3709 W   7.8        5.6        7.3      110.4      403.4 
090829  211211  48   9.4993 N  64  46.3731 W   7.8        5.6        7.3      110.4      403.4 
090829  211212  48   9.4978 N  64  46.3753 W   7.8        5.6        7.3      110.4      403.4 
090829  211213  48   9.4962 N  64  46.3774 W   7.8        5.6        7.3      110.4      403.4 
090829  211214  48   9.4945 N  64  46.3794 W   7.8        5.6        7.3      110.4      403.4 
090829  211215  48   9.4929 N  64  46.3815 W   7.8        5.6        7.3      110.4      403.4 
090829  211216  48   9.4913 N  64  46.3834 W   7.7        5.6        7.3      110.4      403.4 
090829  211217  48   9.4898 N  64  46.3852 W   7.6        5.6        7.3      110.4      403.4 
090829  211218  48   9.4883 N  64  46.3871 W   7.5        5.6        7.3      110.4      403.4 
090829  211219  48   9.4869 N  64  46.3890 W   7.4        5.6        7.3      110.4      403.4 
090829  211220  48   9.4855 N  64  46.3907 W   7.3        5.6        7.3      110.4      403.4 
090829  211221  48   9.4841 N  64  46.3924 W   7.2        5.6        7.3      110.4      403.4 
090829  211222  48   9.4828 N  64  46.3941 W   7.0        5.6        7.3      110.4      403.4 
090829  211223  48   9.4816 N  64  46.3957 W   6.9        5.6        7.3      110.4      403.4 
090829  211224  48   9.4804 N  64  46.3973 W   6.7        5.6        7.3        4.2*     403.4 
090829  211225  48   9.4792 N  64  46.3987 W   6.5        5.6        7.3        4.2      403.4 
090829  211226  48   9.4781 N  64  46.4001 W   6.4        5.6        7.3        4.2      403.4 
090829  211227  48   9.4770 N  64  46.4016 W   6.2        5.6        7.3        4.2      403.4 
090829  211228  48   9.4759 N  64  46.4029 W   6.0        5.6        7.3        4.2      403.4 
090829  211229  48   9.4748 N  64  46.4042 W   5.9        5.6        7.3        4.2      403.4 
090829  211230  48   9.4737 N  64  46.4055 W   5.8        5.6        7.3        4.2      403.4 
090829  211231  48   9.4726 N  64  46.4068 W   5.7        5.6        7.3        4.2      403.4 
090829  211232  48   9.4716 N  64  46.4081 W   5.5        5.6        7.3        4.2      403.4 
090829  211233  48   9.4705 N  64  46.4093 W   5.4        5.6        7.3        4.2      403.4 
090829  211234  48   9.4696 N  64  46.4105 W   5.3        5.6        7.3        4.2      403.4 
090829  211235  48   9.4686 N  64  46.4117 W   5.2        5.6        7.3        4.2      403.4 
090829  211236  48   9.4676 N  64  46.4129 W   5.1        5.6        7.3        4.2      403.4 
090829  211237  48   9.4666 N  64  46.4140 W   5.0        5.6        7.3        4.2      403.4 
090829  211238  48   9.4656 N  64  46.4152 W   4.9        5.6        7.3        4.2      403.4 
090829  211239  48   9.4647 N  64  46.4163 W   4.9        5.6        7.3        1.6*     403.4 
090829  211240  48   9.4637 N  64  46.4174 W   4.8        5.6        7.3        1.6      403.4 
090829  211241  48   9.4628 N  64  46.4185 W   4.7        5.6        7.3        1.6      403.4 
090829  211242  48   9.4619 N  64  46.4197 W   4.6        5.6        7.3        1.6      403.4 
090829  211243  48   9.4610 N  64  46.4207 W   4.6        5.6        7.3        1.6      403.4 
090829  211244  48   9.4602 N  64  46.4218 W   4.5        5.6        7.3        1.6      403.4 
090829  211245  48   9.4593 N  64  46.4228 W   4.4        5.6        7.3        3.4*     403.4 
090829  211246  48   9.4585 N  64  46.4238 W   4.3        5.6        7.3        3.4      403.4 
090829  211247  48   9.4576 N  64  46.4249 W   4.3        5.6        7.3        3.4      403.4 
090829  211248  48   9.4568 N  64  46.4259 W   4.3        5.6        7.3        3.4      403.4 
090829  211249  48   9.4560 N  64  46.4269 W   4.3        5.6        7.3        3.4      403.4 
090829  211250  48   9.4552 N  64  46.4281 W   4.3        5.6        7.3        5.0*     403.4 
090829  211251  48   9.4542 N  64  46.4293 W   4.3        5.6        7.3        5.0      403.4 
090829  211252  48   9.4532 N  64  46.4304 W   4.4        5.6        7.3        5.0      403.4 
090829  211253  48   9.4522 N  64  46.4318 W   4.5        5.6        7.3        5.0      403.4 
090829  211254  48   9.4510 N  64  46.4331 W   4.7        5.6        7.3        5.0      403.4 
090829  211255  48   9.4497 N  64  46.4345 W   4.9        5.6        7.3        5.9*     403.4 
