FileName: C:\TRAWLS~1\FALL\GP057F.TXT
Local Time: Sat Sep 05 08:18:47 2009

Ship: september 05, 2009 Trip: GP057F Tow: 3
Comments: zone 12 vallee de shediac centre
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
090905  111848  47  29.6235 N  64  14.1329 W   1.4        5.5*      11.7*       2.5*      32.1*
090905  111849  47  29.6229 N  64  14.1330 W   1.5        5.5       11.7        2.5       32.1 
090905  111850  47  29.6222 N  64  14.1331 W   1.7        5.5       11.7        3.1*      32.1 
090905  111851  47  29.6214 N  64  14.1332 W   1.9        5.5       11.7        3.1       32.1 
090905  111852  47  29.6205 N  64  14.1334 W   2.1        5.5       11.7        3.1       32.1 
090905  111853  47  29.6195 N  64  14.1336 W   2.4        5.5       11.7        3.1       32.1 
090905  111854  47  29.6183 N  64  14.1338 W   2.7        5.5       11.7        3.1       32.1 
090905  111855  47  29.6170 N  64  14.1341 W   3.0        5.5       11.7        3.1       32.1 
090905  111856  47  29.6156 N  64  14.1344 W   3.4        5.5       11.7        3.1       32.1 
090905  111857  47  29.6140 N  64  14.1348 W   3.8        5.5       11.7        3.1       32.1 
090905  111858  47  29.6123 N  64  14.1350 W   4.1        5.5       11.7        3.1      360.7*
090905  111859  47  29.6106 N  64  14.1354 W   4.5        5.5       11.7        3.1      360.7 
090905  111900  47  29.6088 N  64  14.1357 W   4.8        5.5       11.7        3.1      360.7 
090905  111901  47  29.6069 N  64  14.1360 W   5.1        5.5       11.7        3.1      360.7 
090905  111902  47  29.6050 N  64  14.1363 W   5.4        5.5       11.7        3.1      360.7 
090905  111903  47  29.6031 N  64  14.1366 W   5.6        5.5       11.7        3.1      360.7 
090905  111904  47  29.6014 N  64  14.1370 W   5.7        5.5       11.7        3.1      360.7 
090905  111905  47  29.5996 N  64  14.1373 W   5.9        5.5       11.7        3.1      360.7 
090905  111906  47  29.5978 N  64  14.1375 W   6.0        5.5       11.7        3.1      360.7 
090905  111907  47  29.5959 N  64  14.1378 W   6.1        5.5       11.7        3.1      360.7 
090905  111908  47  29.5941 N  64  14.1381 W   6.2        5.5       11.7        3.1      360.7 
090905  111909  47  29.5923 N  64  14.1384 W   6.3        5.5       11.7        3.1      360.7 
090905  111910  47  29.5904 N  64  14.1387 W   6.4        5.5       11.7        3.1      360.7 
090905  111911  47  29.5886 N  64  14.1390 W   6.4        5.5       11.7        3.1      360.7 
090905  111912  47  29.5867 N  64  14.1393 W   6.4        5.5       11.7        3.1      360.7 
090905  111913  47  29.5848 N  64  14.1396 W   6.5        5.5       11.7        3.1      360.7 
090905  111914  47  29.5829 N  64  14.1399 W   6.5        5.5       11.7        3.1      360.7 
090905  111915  47  29.5811 N  64  14.1402 W   6.5        5.5       11.7        3.1      360.7 
090905  111916  47  29.5793 N  64  14.1405 W   6.5        5.5       11.7        3.1      360.7 
090905  111917  47  29.5775 N  64  14.1407 W   6.4        5.5       11.7        3.1      360.7 
090905  111918  47  29.5759 N  64  14.1410 W   6.4        5.5       11.7        3.1      360.7 
090905  111919  47  29.5743 N  64  14.1412 W   6.3        5.5       11.7        3.1      360.7 
090905  111920  47  29.5727 N  64  14.1414 W   6.1        5.5       11.7        3.1      360.7 
090905  111921  47  29.5712 N  64  14.1416 W   6.0        5.5       11.7        3.1      360.7 
090905  111922  47  29.5698 N  64  14.1418 W   5.9        5.5       11.7        3.1      360.7 
