FileName: C:\TRAWLS~1\FALL\GP062F.TXT
Local Time: Sat Sep 05 11:39:52 2009

Ship: september 05, 2009 Trip: GP062F Tow: 5
Comments: zone 12 vallee de shediac sud
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
090905  143953  47  11.7240 N  64  25.1178 W   6.0        2.2*      12.6*      65.6*     418.8*
090905  143954  47  11.7220 N  64  25.1174 W   6.2        2.2       12.6       65.6      418.8 
090905  143955  47  11.7200 N  64  25.1170 W   6.4        2.2       12.6       65.6      418.8 
090905  143956  47  11.7179 N  64  25.1166 W   6.5        2.2       12.6       65.6      418.8 
090905  143957  47  11.7158 N  64  25.1163 W   6.7        2.2       12.6       65.6      418.8 
090905  143958  47  11.7137 N  64  25.1159 W   6.8        2.2       12.6       65.6      418.8 
090905  143959  47  11.7116 N  64  25.1154 W   6.9        2.2       12.6       65.6      418.8 
090905  144000  47  11.7095 N  64  25.1149 W   7.0        2.2       12.6       65.6      418.8 
090905  144001  47  11.7074 N  64  25.1145 W   7.1        2.2       12.6       65.6      418.8 
090905  144002  47  11.7053 N  64  25.1140 W   7.2        2.2       12.6       65.6      418.8 
090905  144003  47  11.7032 N  64  25.1135 W   7.2        2.2       12.6       65.6      418.8 
090905  144004  47  11.7011 N  64  25.1131 W   7.3        2.2       12.6       65.6      418.8 
090905  144005  47  11.6989 N  64  25.1127 W   7.3        2.2       12.6       65.6      418.8 
090905  144006  47  11.6968 N  64  25.1123 W   7.4        2.2       12.6       65.6      418.8 
090905  144007  47  11.6947 N  64  25.1119 W   7.4        2.2       12.6       65.6      418.8 
090905  144008  47  11.6925 N  64  25.1115 W   7.4        2.2       12.6       65.6      418.8 
090905  144009  47  11.6904 N  64  25.1111 W   7.4        2.2       12.6       65.6      418.8 
090905  144010  47  11.6882 N  64  25.1106 W   7.5        2.2       12.6       65.6      418.8 
090905  144011  47  11.6862 N  64  25.1102 W   7.4        2.2       12.6       65.6      418.8 
090905  144012  47  11.6843 N  64  25.1098 W   7.3        2.2       12.6       65.6      418.8 
090905  144013  47  11.6824 N  64  25.1093 W   7.2        2.2       12.6       65.6      418.8 
090905  144014  47  11.6806 N  64  25.1089 W   7.1        2.2       12.6       65.6      418.8 
090905  144015  47  11.6789 N  64  25.1084 W   7.0        2.2       12.6       65.6      418.8 
090905  144016  47  11.6772 N  64  25.1081 W   6.8        2.2       12.6       65.6      418.8 
090905  144017  47  11.6757 N  64  25.1078 W   6.6        2.2       12.6       65.6      418.8 
090905  144018  47  11.6742 N  64  25.1075 W   6.4        2.2       12.6       65.6      418.8 
090905  144019  47  11.6727 N  64  25.1072 W   6.2        2.2       12.6       65.6      418.8 
090905  144020  47  11.6713 N  64  25.1070 W   6.0        2.2       12.6       65.6      418.8 
090905  144021  47  11.6699 N  64  25.1067 W   5.8        2.2       12.6       65.6      418.8 
090905  144022  47  11.6686 N  64  25.1065 W   5.7        2.2       12.6       65.6      418.8 
090905  144023  47  11.6673 N  64  25.1063 W   5.5        2.2       12.6       65.6      418.8 
090905  144024  47  11.6660 N  64  25.1061 W   5.4        2.2       12.6       65.6      418.8 
090905  144025  47  11.6648 N  64  25.1059 W   5.2        2.2       12.6       65.6      418.8 
090905  144026  47  11.6636 N  64  25.1057 W   5.1        2.2       12.6       65.6      418.8 
090905  144027  47  11.6625 N  64  25.1055 W   4.9        2.2       12.6       65.6      418.8 
090905  144028  47  11.6614 N  64  25.1053 W   4.8        2.2       12.6       65.6      418.8 
090905  144029  47  11.6603 N  64  25.1052 W   4.6        2.2       12.6       65.6      418.8 
090905  144030  47  11.6592 N  64  25.1050 W   4.5        2.2       12.6       65.6      418.8 
090905  144031  47  11.6582 N  64  25.1048 W   4.4        2.2       12.6       65.6      418.8 
090905  144032  47  11.6572 N  64  25.1046 W   4.3        2.2       12.6       65.6      418.8 
090905  144033  47  11.6562 N  64  25.1045 W   4.2        2.2       12.6       65.6      418.8 
090905  144034  47  11.6553 N  64  25.1043 W   4.1        2.2       12.6       65.6      418.8 
090905  144035  47  11.6543 N  64  25.1042 W   4.0        2.2       12.6       65.6      418.8 
090905  144036  47  11.6534 N  64  25.1040 W   3.9        2.2       12.6       65.6      418.8 
090905  144037  47  11.6525 N  64  25.1039 W   3.8        2.2       12.6       65.6      418.8 
090905  144038  47  11.6515 N  64  25.1038 W   3.7        2.2       12.6       65.6      418.8 
090905  144039  47  11.6506 N  64  25.1037 W   3.7        2.2       12.6       65.6      418.8 
090905  144040  47  11.6497 N  64  25.1035 W   3.6        2.2       12.6       65.6      418.8 
090905  144041  47  11.6488 N  64  25.1034 W   3.6        2.2       12.6       65.6      418.8 
090905  144042  47  11.6478 N  64  25.1032 W   3.6        2.2       12.6        5.2*     418.8 
090905  144043  47  11.6467 N  64  25.1031 W   3.7        2.2       12.6        5.2      418.8 
090905  144044  47  11.6455 N  64  25.1029 W   3.8        2.2       12.6        5.2      418.8 
090905  144045  47  11.6443 N  64  25.1027 W   3.9        2.2       12.6        5.2      418.8 
090905  144046  47  11.6430 N  64  25.1025 W   4.0        2.2       12.6        5.2      418.8 
090905  144047  47  11.6416 N  64  25.1023 W   4.2        2.2       12.6        5.2      418.8 
090905  144048  47  11.6400 N  64  25.1020 W   4.4        2.2       12.6        5.2      418.8 
090905  144049  47  11.6385 N  64  25.1018 W   4.6        2.2       12.6        5.2      418.8 
090905  144050  47  11.6369 N  64  25.1016 W   4.8        2.2       12.6        5.2      418.8 
090905  144051  47  11.6352 N  64  25.1013 W   5.0        2.2       12.6        5.2      418.8 
090905  144052  47  11.6335 N  64  25.1009 W   5.2        2.2       12.6        5.2      418.8 
090905  144053  47  11.6316 N  64  25.1006 W   5.4        2.2       12.6        5.2      418.8 
090905  144054  47  11.6298 N  64  25.1003 W   5.6        2.2       12.6        5.2      418.8 
090905  144055  47  11.6279 N  64  25.0999 W   5.8        2.2       12.6        5.2      418.8 
090905  144056  47  11.6259 N  64  25.0997 W   6.0        2.2       12.6        5.2      418.8 
090905  144057  47  11.6240 N  64  25.0993 W   6.2        2.2       12.6        5.2      418.8 
090905  144058  47  11.6220 N  64  25.0990 W   6.3        2.2       12.6        5.2      418.8 
090905  144059  47  11.6200 N  64  25.0987 W   6.5        2.2       12.6        5.2      418.8 
090905  144100  47  11.6180 N  64  25.0984 W   6.6        2.2       12.6        5.2      418.8 
090905  144101  47  11.6159 N  64  25.0980 W   6.7        2.2       12.6        5.2      418.8 
090905  144102  47  11.6139 N  64  25.0977 W   6.8        2.2       12.6        5.2      418.8 
090905  144103  47  11.6118 N  64  25.0975 W   6.9        2.2       12.6        5.2      418.8 
090905  144104  47  11.6097 N  64  25.0972 W   7.0        2.2       12.6        5.2      418.8 
090905  144105  47  11.6076 N  64  25.0968 W   7.1        2.2       12.6        5.2      418.8 
090905  144106  47  11.6054 N  64  25.0964 W   7.2        2.2       12.6        5.2      418.8 
090905  144107  47  11.6033 N  64  25.0961 W   7.3        2.2       12.6        5.2      418.8 
090905  144108  47  11.6012 N  64  25.0957 W   7.3        2.2       12.6        5.2      418.8 
090905  144109  47  11.5990 N  64  25.0953 W   7.4        2.2       12.6        5.2      418.8 
090905  144110  47  11.5969 N  64  25.0950 W   7.4        2.2       12.6        5.2      418.8 
090905  144111  47  11.5948 N  64  25.0946 W   7.5        2.2       12.6        5.2      418.8 
090905  144112  47  11.5926 N  64  25.0941 W   7.5        2.2       12.6        5.2      418.8 
090905  144113  47  11.5905 N  64  25.0936 W   7.5        2.2       12.6        5.2      418.8 
090905  144114  47  11.5884 N  64  25.0930 W   7.6        2.2       12.6        5.2      418.8 
090905  144115  47  11.5864 N  64  25.0925 W   7.6        2.2       12.6        5.2      418.8 
090905  144116  47  11.5843 N  64  25.0919 W   7.6        2.2       12.6        5.2      418.8 
090905  144117  47  11.5822 N  64  25.0914 W   7.6        2.2       12.6        5.2      418.8 
090905  144118  47  11.5801 N  64  25.0908 W   7.6        2.2       12.6        5.2      418.8 
090905  144119  47  11.5779 N  64  25.0903 W   7.6        2.2       12.6        5.2      418.8 
090905  144120  47  11.5758 N  64  25.0898 W   7.7        2.2       12.6        5.2      418.8 
090905  144121  47  11.5736 N  64  25.0892 W   7.7        2.2       12.6        5.2      418.8 
090905  144122  47  11.5716 N  64  25.0887 W   7.7        2.2       12.6        5.2      418.8 
090905  144123  47  11.5697 N  64  25.0882 W   7.7        2.2       12.6        5.2      418.8 
090905  144124  47  11.5676 N  64  25.0877 W   7.6        2.2       12.6        5.2      418.8 
090905  144125  47  11.5656 N  64  25.0871 W   7.7        2.2       12.6        5.2      418.8 
