FileName: C:\TRAWLS~1\FALL\GP122F.TXT
Local Time: Sat Aug 15 20:21:54 2009

Ship: August 15, 2009 Trip: GP122F Tow: 13
Comments: zone 12 sud ouest du banc orphelin
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
090815  232155  48  13.1903 N  63  28.0123 W   4.6        9.4*      11.7*       3.4*     461.4*
090815  232156  48  13.1913 N  63  28.0125 W   4.4        9.4       11.7        3.4      461.4 
090815  232157  48  13.1921 N  63  28.0127 W   4.2        9.4       11.7        3.4      461.4 
090815  232158  48  13.1928 N  63  28.0131 W   4.0        9.4       11.7        3.4      461.4 
090815  232159  48  13.1935 N  63  28.0133 W   3.8        9.4       11.7        3.4      461.4 
090815  232200  48  13.1943 N  63  28.0136 W   3.7        9.4       11.7        3.4      461.4 
090815  232201  48  13.1951 N  63  28.0139 W   3.6        9.4       11.7        3.4      461.4 
090815  232202  48  13.1959 N  63  28.0142 W   3.5        9.4       11.7        3.4      461.4 
090815  232203  48  13.1967 N  63  28.0146 W   3.4        9.4       11.7        3.4      461.4 
090815  232204  48  13.1973 N  63  28.0147 W   3.3        9.4       11.7        3.4      461.4 
090815  232205  48  13.1981 N  63  28.0150 W   3.2        9.4       11.7        3.4      461.4 
090815  232206  48  13.1988 N  63  28.0155 W   3.1        9.4       11.7        3.4      461.4 
090815  232207  48  13.1995 N  63  28.0158 W   3.0        9.4       11.7        3.4      461.4 
090815  232208  48  13.2002 N  63  28.0158 W   3.0        9.4       11.7        3.4      461.4 
090815  232209  48  13.2009 N  63  28.0161 W   2.9        9.4       11.7        3.4      461.4 
090815  232210  48  13.2016 N  63  28.0166 W   2.8        9.4       11.7        3.4      461.4 
090815  232211  48  13.2021 N  63  28.0168 W   2.7        9.4       11.7        3.4      461.4 
090815  232212  48  13.2028 N  63  28.0169 W   2.6        9.4       11.7        3.4      461.4 
090815  232213  48  13.2033 N  63  28.0170 W   2.6        9.4       11.7        3.4      461.4 
090815  232214  48  13.2039 N  63  28.0173 W   2.5        9.4       11.7        3.4      461.4 
090815  232215  48  13.2045 N  63  28.0177 W   2.5        9.4       11.7        3.4      461.4 
090815  232216  48  13.2050 N  63  28.0178 W   2.4        9.4       11.7        3.4      461.4 
090815  232217  48  13.2053 N  63  28.0178 W   2.4        9.4       11.7        3.4      461.4 
090815  232218  48  13.2059 N  63  28.0180 W   2.3        9.4       11.7        3.4      461.4 
090815  232219  48  13.2064 N  63  28.0184 W   2.4        9.4       11.7        3.4      461.4 
090815  232220  48  13.2071 N  63  28.0187 W   2.4        2.2*      11.7        3.4      461.4 
090815  232221  48  13.2078 N  63  28.0187 W   2.4        2.2       11.7        3.4      461.4 
090815  232222  48  13.2086 N  63  28.0188 W   2.5        2.2       11.7        3.4      461.4 
090815  232223  48  13.2095 N  63  28.0192 W   2.6        2.2       11.7        3.4      461.4 
090815  232224  48  13.2104 N  63  28.0195 W   2.7        2.2       11.7        3.4      461.4 
090815  232225  48  13.2113 N  63  28.0198 W   2.9        2.2       11.7        3.4      461.4 
090815  232226  48  13.2124 N  63  28.0199 W   3.1        2.2       11.7        3.4      461.4 
090815  232227  48  13.2134 N  63  28.0201 W   3.3        2.2       11.7        3.4      461.4 
090815  232228  48  13.2146 N  63  28.0205 W   3.5        2.2       11.7        3.4      461.4 
090815  232229  48  13.2159 N  63  28.0210 W   3.7        2.2       11.7        3.4      461.4 
090815  232230  48  13.2173 N  63  28.0213 W   3.9        2.2       11.7        3.4      461.4 
090815  232231  48  13.2187 N  63  28.0214 W   4.1        2.2       11.7        3.4      461.4 
