FileName: C:\TRAWLS~1\FALL\GP124F.TXT
Local Time: Sat Aug 15 17:16:18 2009

Ship: August 15, 2009 Trip: GP124F Tow: 10
Comments: zone 12  ouest du banc orphelin
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
090815  201618  48  21.0034 N  63  15.9099 W   4.6        3.6*       2.4*     105.8*     104.7*
090815  201619  48  21.0050 N  63  15.9095 W   4.8        3.6        2.4      105.8      104.7 
090815  201620  48  21.0066 N  63  15.9090 W   5.0        3.6        2.4      105.8      104.7 
090815  201621  48  21.0082 N  63  15.9085 W   5.1        3.6        2.4      105.8      104.7 
090815  201622  48  21.0098 N  63  15.9080 W   5.2        3.6        2.4      105.8      104.7 
090815  201623  48  21.0114 N  63  15.9075 W   5.3        3.6        2.4      105.8      104.7 
090815  201624  48  21.0131 N  63  15.9070 W   5.4        3.6        2.4      105.8      104.7 
090815  201625  48  21.0147 N  63  15.9064 W   5.5        3.6        2.4      105.8      104.7 
090815  201626  48  21.0163 N  63  15.9059 W   5.6        3.6        2.4      105.8      104.7 
090815  201627  48  21.0180 N  63  15.9054 W   5.6        3.6        2.4      105.8      104.7 
090815  201628  48  21.0196 N  63  15.9049 W   5.7        3.6        2.4      105.8      104.7 
090815  201629  48  21.0212 N  63  15.9044 W   5.7        3.6        2.4      105.8      104.7 
090815  201630  48  21.0228 N  63  15.9040 W   5.7        3.6        2.4      105.8      104.7 
090815  201631  48  21.0244 N  63  15.9036 W   5.7        3.6        2.4      105.8      104.7 
090815  201632  48  21.0260 N  63  15.9031 W   5.8        3.6        2.4      105.8      104.7 
090815  201633  48  21.0277 N  63  15.9025 W   5.8        3.6        2.4      105.8      104.7 
090815  201634  48  21.0292 N  63  15.9019 W   5.8        3.6        2.4      105.8      104.7 
090815  201635  48  21.0307 N  63  15.9013 W   5.8        3.6        2.4      105.8      104.7 
090815  201636  48  21.0322 N  63  15.9009 W   5.7        3.6        2.4      105.8      104.7 
090815  201637  48  21.0337 N  63  15.9004 W   5.6        3.6        2.4      105.8      104.7 
090815  201638  48  21.0352 N  63  15.9000 W   5.6        3.6        2.4      105.8      104.7 
090815  201639  48  21.0365 N  63  15.8996 W   5.5        3.6        2.4      105.8      104.7 
090815  201640  48  21.0378 N  63  15.8991 W   5.4        3.6        2.4      105.8      104.7 
090815  201641  48  21.0390 N  63  15.8985 W   5.2        3.6        2.4      105.8      104.7 
090815  201642  48  21.0401 N  63  15.8981 W   5.0        3.6        2.4      105.8      104.7 
090815  201643  48  21.0411 N  63  15.8977 W   4.8        3.6        2.4      105.8      104.7 
090815  201644  48  21.0421 N  63  15.8973 W   4.7        3.6        2.4      105.8      104.7 
090815  201645  48  21.0430 N  63  15.8968 W   4.5        3.6        2.4      105.8      104.7 
090815  201646  48  21.0439 N  63  15.8963 W   4.3        3.6        2.4      105.8      104.7 
090815  201647  48  21.0447 N  63  15.8960 W   4.1        3.6        2.4      105.8      104.7 
090815  201648  48  21.0455 N  63  15.8957 W   3.9        3.6        2.4      105.8      104.7 
090815  201649  48  21.0462 N  63  15.8953 W   3.8        3.6        2.4      105.8      104.7 
090815  201650  48  21.0470 N  63  15.8949 W   3.6        3.6        2.4      105.8      104.7 
090815  201651  48  21.0476 N  63  15.8946 W   3.5        3.6        2.4      105.8      104.7 
090815  201652  48  21.0484 N  63  15.8943 W   3.3        3.6        2.4      105.8      104.7 
090815  201653  48  21.0491 N  63  15.8940 W   3.3        3.6        2.4      105.8      104.7 
090815  201654  48  21.0498 N  63  15.8936 W   3.2        3.6        2.4      105.8      104.7 
090815  201655  48  21.0504 N  63  15.8933 W   3.0        3.6        2.4      105.8      104.7 
090815  201656  48  21.0510 N  63  15.8929 W   2.9        3.6        2.4      105.8      104.7 
090815  201657  48  21.0516 N  63  15.8926 W   2.9        3.6        2.4      105.8      104.7 
090815  201658  48  21.0522 N  63  15.8922 W   2.8        3.6        2.4      105.8      104.7 
090815  201659  48  21.0527 N  63  15.8918 W   2.7        3.6        2.4      105.8      104.7 
090815  201700  48  21.0533 N  63  15.8915 W   2.6        3.6        2.4      105.8      104.7 
090815  201701  48  21.0538 N  63  15.8911 W   2.5        3.6        2.4      105.8      104.7 
090815  201702  48  21.0543 N  63  15.8907 W   2.4        3.6        2.4      105.8      104.7 
090815  201703  48  21.0549 N  63  15.8904 W   2.4        3.6        2.3*     105.8      104.7 
090815  201704  48  21.0554 N  63  15.8900 W   2.3        3.6        2.3      105.8      104.7 
090815  201705  48  21.0559 N  63  15.8897 W   2.3        3.6        2.3      105.8      104.7 
090815  201706  48  21.0565 N  63  15.8894 W   2.2        3.6        2.3        2.1*     104.7 
090815  201707  48  21.0571 N  63  15.8890 W   2.3        3.6        2.3        2.1      104.7 
090815  201708  48  21.0578 N  63  15.8885 W   2.3        3.6        2.3        2.1      104.7 
090815  201709  48  21.0585 N  63  15.8882 W   2.4        2.4*       2.3        2.1      104.7 
090815  201710  48  21.0593 N  63  15.8878 W   2.5        2.4        2.3        2.1       26.0*
090815  201711  48  21.0603 N  63  15.8874 W   2.7        2.4        2.3        2.1       26.0 
090815  201712  48  21.0612 N  63  15.8870 W   2.8        2.4        2.3        2.1       26.0 
090815  201713  48  21.0622 N  63  15.8865 W   3.0        2.4        2.3        2.1       26.0 
090815  201714  48  21.0634 N  63  15.8861 W   3.2        2.4        2.3        2.1       26.0 
090815  201715  48  21.0646 N  63  15.8858 W   3.4        2.4        2.3        2.1       26.0 
090815  201716  48  21.0658 N  63  15.8854 W   3.6        2.4        2.3        2.1       26.0 
090815  201717  48  21.0672 N  63  15.8849 W   3.8        2.4        2.3       40.4*      26.0 
090815  201718  48  21.0685 N  63  15.8843 W   4.0        2.4        2.3       40.4       26.0 
090815  201719  48  21.0699 N  63  15.8839 W   4.2        2.4        2.3       40.4       26.0 
090815  201720  48  21.0714 N  63  15.8834 W   4.3        2.4        2.3       40.4       26.0 
090815  201721  48  21.0728 N  63  15.8829 W   4.5        2.4        2.3       40.4       26.0 
090815  201722  48  21.0744 N  63  15.8823 W   4.7        2.4        2.3        3.0*     616.3*
090815  201723  48  21.0759 N  63  15.8819 W   4.8        2.4        2.3        3.0      616.3 
090815  201724  48  21.0775 N  63  15.8814 W   5.0        2.4        2.3        3.0      616.3 
090815  201725  48  21.0791 N  63  15.8810 W   5.1        2.4        2.3        3.0      616.3 
090815  201726  48  21.0807 N  63  15.8806 W   5.2        2.4        2.3        3.0      616.3 
090815  201727  48  21.0823 N  63  15.8803 W   5.3        2.4        2.3        3.0      616.3 
090815  201728  48  21.0840 N  63  15.8799 W   5.4        2.4        2.3        3.0      616.3 
090815  201729  48  21.0857 N  63  15.8794 W   5.5        2.4        2.3        3.0      616.3 
090815  201730  48  21.0873 N  63  15.8791 W   5.6        2.4        2.3        3.0      616.3 
090815  201731  48  21.0890 N  63  15.8789 W   5.7        2.4        2.3        3.0      616.3 
090815  201732  48  21.0907 N  63  15.8786 W   5.7        2.4        2.3        3.0      616.3 
090815  201733  48  21.0924 N  63  15.8783 W   5.8        2.4        2.3        3.0      616.3 
090815  201734  48  21.0942 N  63  15.8780 W   5.9        2.4        2.3        3.0      616.3 
090815  201735  48  21.0959 N  63  15.8777 W   5.9        2.4        2.3        3.0      616.3 
090815  201736  48  21.0976 N  63  15.8774 W   6.0        2.4        2.3        3.0      616.3 
090815  201737  48  21.0993 N  63  15.8772 W   6.0        2.4        2.3        4.2*     616.3 
090815  201738  48  21.1011 N  63  15.8771 W   6.0        2.4        2.3        4.2      616.3 
090815  201739  48  21.1028 N  63  15.8769 W   6.1        2.4        2.3        4.2      616.3 
090815  201740  48  21.1046 N  63  15.8767 W   6.1        2.4        2.3        4.2      616.3 
090815  201741  48  21.1064 N  63  15.8763 W   6.1        2.4        2.3        4.2      616.3 
090815  201742  48  21.1081 N  63  15.8760 W   6.2        2.4        2.3        4.2      616.3 
090815  201743  48  21.1099 N  63  15.8758 W   6.2        2.4        2.3        7.7*     616.3 
090815  201744  48  21.1117 N  63  15.8755 W   6.2        2.4        2.3        7.7      616.3 
090815  201745  48  21.1135 N  63  15.8752 W   6.3        2.4        2.3        7.7      616.3 
090815  201746  48  21.1153 N  63  15.8749 W   6.3        2.4        2.3        7.7      616.3 
090815  201747  48  21.1171 N  63  15.8747 W   6.3        2.4        2.3        7.7      616.3 
090815  201748  48  21.1189 N  63  15.8746 W   6.4        2.4        2.3        7.7      616.3 
090815  201749  48  21.1206 N  63  15.8745 W   6.4        2.4        2.3        7.7      616.3 
090815  201750  48  21.1224 N  63  15.8743 W   6.4        2.4        2.3        7.7      616.3 
090815  201751  48  21.1242 N  63  15.8742 W   6.4        2.4        2.3        7.7      616.3 
090815  201752  48  21.1260 N  63  15.8740 W   6.4        2.4        2.3        7.7      616.3 
090815  201753  48  21.1278 N  63  15.8738 W   6.4        2.4        2.3        7.7      561.7*
090815  201754  48  21.1296 N  63  15.8734 W   6.4        2.4        2.3        7.7      561.7 
090815  201755  48  21.1315 N  63  15.8731 W   6.4        2.4        2.3        7.7      561.7 
090815  201756  48  21.1333 N  63  15.8728 W   6.5        2.4        2.3        7.7      561.7 
090815  201757  48  21.1351 N  63  15.8725 W   6.5        2.4        2.3        7.7      561.7 
090815  201758  48  21.1369 N  63  15.8724 W   6.4        2.4        2.3        7.7      561.7 
090815  201759  48  21.1387 N  63  15.8724 W   6.5        2.4        2.3        7.7       29.5*
090815  201800  48  21.1405 N  63  15.8723 W   6.5        2.4        2.3        7.7       29.5 
090815  201801  48  21.1424 N  63  15.8721 W   6.5        2.4        2.3        7.7       29.5 
090815  201802  48  21.1442 N  63  15.8718 W   6.5        2.4        2.3        7.7       29.5 
090815  201803  48  21.1460 N  63  15.8717 W   6.5        2.4        2.3        7.7       29.5 
090815  201804  48  21.1477 N  63  15.8717 W   6.5        2.4        2.3        4.8*      29.5 
090815  201805  48  21.1495 N  63  15.8716 W   6.5        2.4        2.3        4.8       29.5 
090815  201806  48  21.1514 N  63  15.8713 W   6.5        2.4        2.3        4.8       29.5 
090815  201807  48  21.1532 N  63  15.8709 W   6.5        2.4        2.3        4.8       29.5 
090815  201808  48  21.1550 N  63  15.8707 W   6.5        2.4        2.3        4.8       29.5 
090815  201809  48  21.1567 N  63  15.8708 W   6.5        2.4        2.3        7.8*      29.5 
090815  201810  48  21.1585 N  63  15.8710 W   6.5        2.4        2.3        7.8       29.5 
090815  201811  48  21.1603 N  63  15.8709 W   6.5        2.4        2.3        7.8       29.5 
090815  201812  48  21.1621 N  63  15.8707 W   6.5        2.4        2.3        7.8       29.5 
090815  201813  48  21.1638 N  63  15.8705 W   6.4        2.4        2.3        7.8       29.5 
090815  201814  48  21.1656 N  63  15.8704 W   6.4        2.4        2.3        7.8       29.5 
090815  201815  48  21.1673 N  63  15.8704 W   6.4        2.4        2.3        7.8       29.5 
090815  201816  48  21.1691 N  63  15.8702 W   6.4        2.4        2.3        7.8       29.5 
090815  201817  48  21.1709 N  63  15.8700 W   6.4        2.4        2.3        7.8       29.5 
090815  201818  48  21.1726 N  63  15.8698 W   6.4        2.4        2.3        7.8       29.5 
090815  201819  48  21.1744 N  63  15.8699 W   6.4        2.4        2.3        7.8       29.5 
090815  201820  48  21.1762 N  63  15.8699 W   6.4        2.4        2.3        7.8       29.5 
090815  201821  48  21.1779 N  63  15.8699 W   6.4        2.4        2.3        7.8       29.5 
090815  201822  48  21.1797 N  63  15.8698 W   6.4        2.4        2.3        7.8       29.5 
090815  201823  48  21.1814 N  63  15.8697 W   6.4        2.4        2.3        7.8       29.5 
090815  201824  48  21.1832 N  63  15.8696 W   6.4        2.4        2.3        7.8       29.5 
090815  201825  48  21.1850 N  63  15.8695 W   6.4        2.4        2.3        7.8       29.5 
090815  201826  48  21.1868 N  63  15.8694 W   6.4        2.4        2.3        7.8       29.5 
090815  201827  48  21.1886 N  63  15.8693 W   6.4        2.4        2.3        7.8       29.5 
090815  201828  48  21.1904 N  63  15.8691 W   6.5        2.4        2.3        7.8       29.5 
090815  201829  48  21.1922 N  63  15.8690 W   6.5        2.4        2.3        7.8       29.5 
090815  201830  48  21.1940 N  63  15.8690 W   6.5        2.4        2.3        7.8       29.5 
090815  201831  48  21.1958 N  63  15.8690 W   6.5        2.4        2.3        7.8       29.5 
090815  201832  48  21.1976 N  63  15.8689 W   6.5        2.4        2.3        7.8       29.5 
090815  201833  48  21.1994 N  63  15.8688 W   6.5        2.4        2.3        7.8       29.5 
090815  201834  48  21.2012 N  63  15.8688 W   6.5        2.4        2.3        7.8       19.8*
090815  201835  48  21.2030 N  63  15.8688 W   6.5        2.4        2.3        7.8       19.8 
090815  201836  48  21.2049 N  63  15.8687 W   6.5        2.4        2.3        7.8       19.8 
090815  201837  48  21.2067 N  63  15.8685 W   6.5        2.4        2.3        7.8       19.8 
090815  201838  48  21.2084 N  63  15.8685 W   6.5        2.4        2.3        7.8       19.8 
