FileName: C:\TRAWLS~1\FALL\GP146F.TXT
Local Time: Sun Aug 16 11:36:35 2009

Ship: August 16, 2009 Trip: GP146F Tow: 7
Comments: zone 12 sud  du banc orphelin
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
090816  143637  48   3.4638 N  63  25.4087 W   7.3        2.2*       2.4*     118.2*       6.2*
090816  143638  48   3.4618 N  63  25.4095 W   7.4        2.2        2.4      118.2        6.2 
090816  143639  48   3.4597 N  63  25.4104 W   7.4        2.2        2.4      118.2        6.2 
090816  143640  48   3.4577 N  63  25.4112 W   7.4        2.2        2.4      118.2        6.2 
090816  143641  48   3.4557 N  63  25.4120 W   7.4        2.2        2.4      118.2        6.2 
090816  143642  48   3.4538 N  63  25.4128 W   7.4        2.2        2.4      118.2        6.2 
090816  143643  48   3.4519 N  63  25.4137 W   7.3        2.2        2.4      118.2        6.2 
090816  143644  48   3.4500 N  63  25.4145 W   7.3        2.2        2.4      118.2        6.2 
090816  143645  48   3.4483 N  63  25.4152 W   7.1        2.2        2.4      118.2        6.2 
090816  143646  48   3.4466 N  63  25.4159 W   7.0        2.2        2.4      118.2        6.2 
090816  143647  48   3.4449 N  63  25.4165 W   6.9        2.2        2.4      118.2        6.2 
090816  143648  48   3.4434 N  63  25.4172 W   6.7        2.2        2.4      118.2        6.2 
090816  143649  48   3.4419 N  63  25.4178 W   6.5        2.2        2.4      118.2        6.2 
090816  143650  48   3.4404 N  63  25.4185 W   6.3        2.2        2.4      118.2        6.2 
090816  143651  48   3.4390 N  63  25.4192 W   6.2        2.2        2.4      118.2        6.2 
090816  143652  48   3.4376 N  63  25.4197 W   6.0        2.2        2.4      118.2        6.2 
090816  143653  48   3.4363 N  63  25.4203 W   5.8        2.2        2.4      118.2        6.2 
090816  143654  48   3.4351 N  63  25.4209 W   5.6        2.2        2.4      118.2        6.2 
090816  143655  48   3.4339 N  63  25.4214 W   5.5        2.2        2.4      118.2        6.2 
090816  143656  48   3.4326 N  63  25.4220 W   5.3        2.2        2.4      118.2        6.2 
090816  143657  48   3.4315 N  63  25.4224 W   5.2        2.2        2.4      118.2        6.2 
090816  143658  48   3.4303 N  63  25.4229 W   5.0        2.2        2.4      118.2        6.2 
090816  143659  48   3.4291 N  63  25.4234 W   4.9        2.2        2.4      118.2        6.2 
090816  143700  48   3.4280 N  63  25.4239 W   4.8        2.2        2.4      118.2        6.2 
090816  143701  48   3.4268 N  63  25.4244 W   4.8        2.2        2.4      118.2        6.2 
090816  143702  48   3.4257 N  63  25.4249 W   4.7        2.2        2.4      118.2        6.2 
090816  143703  48   3.4246 N  63  25.4253 W   4.6        2.2        2.4      118.2        6.2 
090816  143704  48   3.4234 N  63  25.4258 W   4.5        2.2        2.4      118.2        6.2 
090816  143705  48   3.4223 N  63  25.4262 W   4.5        2.2        2.4      118.2        6.2 
090816  143706  48   3.4213 N  63  25.4266 W   4.4        2.2        2.4      118.2        6.2 
090816  143707  48   3.4202 N  63  25.4272 W   4.3        2.2        2.4      118.2        6.2 
090816  143708  48   3.4191 N  63  25.4276 W   4.3        2.2        2.4      118.2        6.2 
090816  143709  48   3.4181 N  63  25.4280 W   4.2        2.2        2.4      118.2        6.2 
090816  143710  48   3.4170 N  63  25.4284 W   4.1        2.2        2.4      118.2        6.2 
090816  143711  48   3.4160 N  63  25.4289 W   4.1        2.2        2.4      118.2        6.2 
090816  143712  48   3.4150 N  63  25.4294 W   4.0        2.2        2.4      118.2        6.2 
090816  143713  48   3.4140 N  63  25.4299 W   4.0        2.2        2.4      118.2        6.2 
090816  143714  48   3.4130 N  63  25.4303 W   4.0        2.2        2.4      118.2        6.2 
090816  143715  48   3.4120 N  63  25.4307 W   3.9        2.2        2.4      118.2        6.2 
090816  143716  48   3.4110 N  63  25.4312 W   3.9        2.2        3.4*     118.2        6.2 
090816  143717  48   3.4100 N  63  25.4317 W   3.9        2.2        3.4      118.2        6.2 
090816  143718  48   3.4090 N  63  25.4322 W   3.9        2.2        3.4      118.2        6.2 
090816  143719  48   3.4079 N  63  25.4326 W   3.9        2.2        3.4      118.2        6.2 
090816  143720  48   3.4067 N  63  25.4331 W   4.0        2.2        3.4      118.2        6.2 
090816  143721  48   3.4055 N  63  25.4337 W   4.1        2.2        3.4      118.2        6.2 
090816  143722  48   3.4042 N  63  25.4343 W   4.2        2.2        3.4      118.2        6.2 
090816  143723  48   3.4027 N  63  25.4349 W   4.4        2.2        3.4      118.2        6.2 
090816  143724  48   3.4012 N  63  25.4354 W   4.6        2.2        3.4      118.2        6.2 
090816  143725  48   3.3995 N  63  25.4360 W   4.8        2.2        3.4      118.2        6.2 
090816  143726  48   3.3978 N  63  25.4367 W   5.0        2.2        3.4      118.2        6.2 
090816  143727  48   3.3961 N  63  25.4374 W   5.2        2.2        3.4      118.2        6.2 
090816  143728  48   3.3943 N  63  25.4380 W   5.4        2.2        3.4      118.2        6.2 
090816  143729  48   3.3924 N  63  25.4386 W   5.6        2.2        3.4      118.2        6.2 
090816  143730  48   3.3906 N  63  25.4391 W   5.8        2.2        3.4      118.2        6.2 
090816  143731  48   3.3887 N  63  25.4398 W   6.0        2.2        3.4      118.2        6.2 
090816  143732  48   3.3868 N  63  25.4404 W   6.2        2.2        3.4      118.2        6.2 
090816  143733  48   3.3850 N  63  25.4410 W   6.4        2.2        3.4      118.2        6.2 
090816  143734  48   3.3831 N  63  25.4415 W   6.5        2.2        3.4      118.2        6.2 
090816  143735  48   3.3813 N  63  25.4422 W   6.6        2.2        3.4      118.2        6.2 
090816  143736  48   3.3791 N  63  25.4429 W   6.8        2.2        3.4      118.2        6.2 
090816  143737  48   3.3769 N  63  25.4435 W   7.0        2.2        3.4      118.2        6.2 
090816  143738  48   3.3748 N  63  25.4441 W   7.1        2.2        3.4      118.2        6.2 
090816  143739  48   3.3726 N  63  25.4446 W   7.3        2.2        3.4      118.2        6.2 
090816  143740  48   3.3704 N  63  25.4453 W   7.4        2.2        3.4      118.2        6.2 
090816  143741  48   3.3683 N  63  25.4460 W   7.5        2.2        3.4      118.2        6.2 
090816  143742  48   3.3662 N  63  25.4467 W   7.6        2.2        3.4      118.2        6.2 
090816  143743  48   3.3640 N  63  25.4475 W   7.6        2.2        3.4      118.2        6.2 
090816  143744  48   3.3619 N  63  25.4481 W   7.7        2.2        3.4      118.2        6.2 
090816  143745  48   3.3596 N  63  25.4486 W   7.8        2.2        3.4      118.2        6.2 
090816  143746  48   3.3573 N  63  25.4491 W   7.9        2.2        3.4      118.2        6.2 
090816  143747  48   3.3550 N  63  25.4495 W   8.0        2.2        3.4      118.2        6.2 
090816  143748  48   3.3527 N  63  25.4500 W   8.1        3.1*       3.4      118.2        6.2 
090816  143749  48   3.3505 N  63  25.4507 W   8.1        3.1        3.4      118.2        6.2 
090816  143750  48   3.3484 N  63  25.4515 W   8.1        3.1        3.4      118.2        6.2 
090816  143751  48   3.3462 N  63  25.4523 W   8.2        3.1        3.4      118.2        6.2 
090816  143752  48   3.3439 N  63  25.4530 W   8.2        3.1        3.4      118.2        6.2 
090816  143753  48   3.3416 N  63  25.4536 W   8.2        3.1        3.4      118.2        6.2 
090816  143754  48   3.3392 N  63  25.4539 W   8.3        3.1        2.9*     118.2        6.2 
090816  143755  48   3.3368 N  63  25.4544 W   8.4        3.1        2.9      118.2        6.2 
090816  143756  48   3.3343 N  63  25.4549 W   8.4        3.1        2.9      118.2        6.2 
090816  143757  48   3.3321 N  63  25.4555 W   8.4        3.1        2.9      118.2        6.2 
090816  143758  48   3.3298 N  63  25.4562 W   8.4        3.1        2.9      118.2        6.2 
090816  143759  48   3.3274 N  63  25.4569 W   8.3        3.1        2.9      118.2        6.2 
090816  143800  48   3.3250 N  63  25.4575 W   8.3        3.1        2.9      118.2        6.2 
090816  143801  48   3.3226 N  63  25.4581 W   8.3        3.1        2.9      118.2        6.2 
090816  143802  48   3.3202 N  63  25.4587 W   8.4        3.1        2.9      118.2        6.2 
090816  143803  48   3.3179 N  63  25.4591 W   8.4        3.1        2.9      118.2        6.2 
090816  143804  48   3.3155 N  63  25.4596 W   8.4        3.1        2.9      118.2        6.2 
090816  143805  48   3.3131 N  63  25.4601 W   8.4        3.1        2.9      118.2        6.2 
090816  143806  48   3.3108 N  63  25.4606 W   8.4        3.1        2.9      118.2        6.2 
090816  143807  48   3.3086 N  63  25.4610 W   8.3        3.1        2.9      118.2        6.2 
090816  143808  48   3.3064 N  63  25.4615 W   8.3        3.1        2.9      118.2        6.2 
090816  143809  48   3.3041 N  63  25.4621 W   8.3        3.1        2.9      118.2        6.2 
090816  143810  48   3.3018 N  63  25.4626 W   8.3        3.1        2.9      118.2        6.2 
090816  143811  48   3.2996 N  63  25.4629 W   8.3        3.1        2.9      118.2        6.2 
090816  143812  48   3.2972 N  63  25.4633 W   8.3        3.1        2.9      118.2        6.2 
090816  143813  48   3.2950 N  63  25.4638 W   8.3        3.1        2.9      118.2        6.2 
090816  143814  48   3.2928 N  63  25.4642 W   8.3        3.1        2.9      118.2        6.2 
090816  143815  48   3.2906 N  63  25.4647 W   8.3        3.1        2.9      118.2        6.2 
090816  143816  48   3.2884 N  63  25.4651 W   8.3        3.1        2.9      118.2        6.2 
090816  143817  48   3.2862 N  63  25.4656 W   8.3        3.1        2.9      118.2        6.2 
090816  143818  48   3.2840 N  63  25.4661 W   8.2        3.1        2.9      118.2        6.2 
090816  143819  48   3.2816 N  63  25.4665 W   8.2        3.1        2.9      118.2        6.2 
090816  143820  48   3.2793 N  63  25.4669 W   8.3        3.1        2.9      118.2        6.2 
090816  143821  48   3.2771 N  63  25.4673 W   8.3        3.1        2.9      118.2        6.2 
090816  143822  48   3.2749 N  63  25.4677 W   8.3        3.1        2.9      118.2        6.2 
