FileName: C:\TRAWLS~1\FALL\GP185FR.TXT
Local Time: Sat Jul 18 09:58:56 2009

Ship: July 18, 2009 Trip: GP185FR Tow: 5
Comments: zone 12 nord de l ile brion
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
090718  125858  47  59.6087 N  61  38.0070 W   4.8        3.1*       2.5*     101.7*     573.6*
090718  125859  47  59.6097 N  61  38.0049 W   5.0        3.1        2.5      101.7      573.6 
090718  125900  47  59.6107 N  61  38.0026 W   5.2        3.1        2.5      101.7      573.6 
090718  125901  47  59.6117 N  61  38.0003 W   5.5        3.1        2.5      101.7      573.6 
090718  125902  47  59.6127 N  61  37.9979 W   5.7        3.1        2.5      101.7      573.6 
090718  125903  47  59.6137 N  61  37.9954 W   5.9        3.1        2.5      101.7      573.6 
090718  125904  47  59.6148 N  61  37.9930 W   6.0        3.1        2.5      101.7      573.6 
090718  125905  47  59.6158 N  61  37.9907 W   6.1        3.1        2.5      101.7      573.6 
090718  125906  47  59.6168 N  61  37.9883 W   6.2        3.1        2.5      101.7      573.6 
090718  125907  47  59.6178 N  61  37.9860 W   6.2        3.1        2.5      101.7      573.6 
090718  125908  47  59.6187 N  61  37.9838 W   6.2        3.1        2.5      101.7      573.6 
090718  125909  47  59.6196 N  61  37.9817 W   6.2        3.1        2.5      101.7      573.6 
090718  125910  47  59.6205 N  61  37.9797 W   6.1        3.1        2.5      101.7      573.6 
090718  125911  47  59.6214 N  61  37.9776 W   6.0        3.1        2.5      101.7      573.6 
090718  125912  47  59.6222 N  61  37.9756 W   6.0        3.1        2.5      101.7      573.6 
090718  125913  47  59.6230 N  61  37.9736 W   5.9        3.1        2.5      101.7      573.6 
090718  125914  47  59.6239 N  61  37.9717 W   5.8        3.1        2.5      101.7      573.6 
090718  125915  47  59.6247 N  61  37.9699 W   5.7        3.1        2.5      101.7      573.6 
090718  125916  47  59.6255 N  61  37.9680 W   5.6        3.1        2.5      101.7      573.6 
090718  125917  47  59.6263 N  61  37.9662 W   5.5        3.1        2.5      101.7      573.6 
090718  125918  47  59.6270 N  61  37.9645 W   5.4        3.1        2.5      101.7      573.6 
090718  125919  47  59.6278 N  61  37.9627 W   5.4        3.1        2.5      101.7      573.6 
090718  125920  47  59.6285 N  61  37.9610 W   5.3        3.1        2.5      101.7      573.6 
090718  125921  47  59.6292 N  61  37.9593 W   5.2        3.1        2.5      101.7      573.6 
090718  125922  47  59.6298 N  61  37.9576 W   5.1        3.1        2.5      101.7      573.6 
090718  125923  47  59.6305 N  61  37.9560 W   5.0        3.1        2.5      101.7      573.6 
090718  125924  47  59.6311 N  61  37.9545 W   4.9        3.1        2.5      101.7      573.6 
090718  125925  47  59.6317 N  61  37.9530 W   4.7        3.1        2.5        7.1*     573.6 
090718  125926  47  59.6323 N  61  37.9516 W   4.6        3.1        2.5        7.1      573.6 
090718  125927  47  59.6328 N  61  37.9501 W   4.5        3.1        2.5        7.1      573.6 
090718  125928  47  59.6334 N  61  37.9488 W   4.4        3.1        2.5        7.1      573.6 
090718  125929  47  59.6340 N  61  37.9474 W   4.3        3.1        2.5        7.1      573.6 
090718  125930  47  59.6345 N  61  37.9461 W   4.2        3.1        2.5        7.1      573.6 
090718  125931  47  59.6349 N  61  37.9448 W   4.1        3.1        2.5        7.1      573.6 
090718  125932  47  59.6354 N  61  37.9435 W   4.0        3.1        2.5        7.1      573.6 
090718  125933  47  59.6361 N  61  37.9422 W   3.9        3.1        2.5        7.1       23.3*
090718  125934  47  59.6367 N  61  37.9410 W   3.9        3.1        2.5        7.1       23.3 
090718  125935  47  59.6372 N  61  37.9397 W   3.8        3.1        2.5        2.7*      23.3 
090718  125936  47  59.6377 N  61  37.9385 W   3.7        3.1        2.5        2.7       23.3 
090718  125937  47  59.6382 N  61  37.9373 W   3.7        3.1        2.5        2.7       23.3 
090718  125938  47  59.6387 N  61  37.9361 W   3.6        3.1       11.7*       2.7       72.1*
090718  125939  47  59.6392 N  61  37.9350 W   3.6        3.1       11.7        2.7       72.1 
090718  125940  47  59.6397 N  61  37.9337 W   3.5        3.1       11.7        3.5*      72.1 
090718  125941  47  59.6402 N  61  37.9326 W   3.5        3.1       11.7        3.5       72.1 
090718  125942  47  59.6407 N  61  37.9315 W   3.4        3.1       11.7        3.5       72.1 
090718  125943  47  59.6412 N  61  37.9303 W   3.4        3.1       11.7        3.5       72.1 
090718  125944  47  59.6417 N  61  37.9292 W   3.4        3.1       11.7        3.5       72.1 
090718  125945  47  59.6421 N  61  37.9282 W   3.3        3.1       11.7        3.5       72.1 
090718  125946  47  59.6426 N  61  37.9271 W   3.3        3.1       11.7        2.2*      72.1 
090718  125947  47  59.6431 N  61  37.9260 W   3.3        3.1       11.7        2.2       72.1 
090718  125948  47  59.6436 N  61  37.9250 W   3.2        3.1       11.7        2.2       72.1 
090718  125949  47  59.6441 N  61  37.9239 W   3.2        3.1       11.7        2.2        1.3*
090718  125950  47  59.6446 N  61  37.9228 W   3.2        3.1       11.7        2.2        1.3 
090718  125951  47  59.6450 N  61  37.9218 W   3.1        3.1       11.7        2.6*       1.3 
090718  125952  47  59.6455 N  61  37.9208 W   3.1        3.1       11.7        2.6        1.3 
090718  125953  47  59.6460 N  61  37.9199 W   3.1        3.1       11.7        2.6        1.3 
090718  125954  47  59.6464 N  61  37.9188 W   3.1        3.1       11.7        2.6       21.6*
090718  125955  47  59.6469 N  61  37.9178 W   3.0        3.1       11.7        2.6       21.6 
090718  125956  47  59.6473 N  61  37.9169 W   3.0        3.1        2.5*       2.6*      21.6 
090718  125957  47  59.6478 N  61  37.9159 W   3.0        3.1        2.5        2.6       21.6 
090718  125958  47  59.6483 N  61  37.9149 W   2.9        3.1        2.5        2.6       21.6 
090718  125959  47  59.6487 N  61  37.9139 W   2.9        3.1        2.5        2.6       23.8*
090718  130000  47  59.6493 N  61  37.9129 W   3.0        3.1        2.5        2.6       23.8 
090718  130001  47  59.6499 N  61  37.9117 W   3.0        3.1        2.5        2.9*      23.8 
090718  130002  47  59.6505 N  61  37.9105 W   3.1        3.1        2.5        2.9       23.8 
090718  130003  47  59.6511 N  61  37.9093 W   3.2        3.6*       2.5        2.9       23.8 
090718  130004  47  59.6517 N  61  37.9078 W   3.4        3.6        2.5        2.9       23.8 
090718  130005  47  59.6523 N  61  37.9063 W   3.5        3.6        2.5        2.9       40.5*
090718  130006  47  59.6529 N  61  37.9047 W   3.7        3.6        2.5        5.1*      40.5 
090718  130007  47  59.6537 N  61  37.9029 W   3.9        3.6        2.5        5.1       40.5 
090718  130008  47  59.6544 N  61  37.9010 W   4.1        3.6        2.5        5.1       40.5 
090718  130009  47  59.6553 N  61  37.8991 W   4.4        3.6        2.5        5.1       40.5 
090718  130010  47  59.6560 N  61  37.8970 W   4.6        3.6        3.3*       5.1       29.9*
090718  130011  47  59.6569 N  61  37.8949 W   4.8        3.6        3.3        5.1       29.9 
090718  130012  47  59.6578 N  61  37.8927 W   5.0        3.6        3.3        6.5*      29.9 
090718  130013  47  59.6587 N  61  37.8904 W   5.2        3.6        3.3        6.5       29.9 
