FileName: C:\TRAWLS~1\FALL\GP195F.TXT
Local Time: Thu Sep 03 17:31:19 2009

Ship: september 03, 2009 Trip: GP195F Tow: 6
Comments: zone 12 nord ouest du banc bradelle
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
090903  203121  47  52.1495 N  63  22.4628 W   7.0        2.4*       8.7*       2.1*      10.1*
090903  203122  47  52.1515 N  63  22.4631 W   7.0        2.4        8.7        2.1       10.1 
090903  203123  47  52.1535 N  63  22.4633 W   7.1        2.4        8.7        2.1       10.1 
090903  203124  47  52.1555 N  63  22.4635 W   7.1        2.4        8.7        2.1       10.1 
090903  203125  47  52.1575 N  63  22.4638 W   7.2        2.4        8.7        2.1       10.1 
090903  203126  47  52.1595 N  63  22.4642 W   7.2        2.4        8.7        2.1       10.1 
090903  203127  47  52.1615 N  63  22.4647 W   7.1        2.4        8.7        2.1       10.1 
090903  203128  47  52.1635 N  63  22.4651 W   7.1        2.4        8.7        2.1       10.1 
090903  203129  47  52.1656 N  63  22.4655 W   7.1        2.4        8.7        2.1       10.1 
090903  203130  47  52.1675 N  63  22.4658 W   7.1        2.4        8.7        2.1       10.1 
090903  203131  47  52.1696 N  63  22.4662 W   7.2        2.4        8.7        2.1       10.1 
090903  203132  47  52.1715 N  63  22.4665 W   7.1        2.4        8.7        2.1       10.1 
090903  203133  47  52.1734 N  63  22.4669 W   7.1        2.4        8.7        2.1       10.1 
090903  203134  47  52.1752 N  63  22.4673 W   7.0        2.4        8.7        2.1       10.1 
090903  203135  47  52.1769 N  63  22.4678 W   6.9        2.4        8.7        2.1       10.1 
090903  203136  47  52.1786 N  63  22.4682 W   6.7        2.4        8.7        2.1       10.1 
090903  203137  47  52.1802 N  63  22.4687 W   6.6        2.4        8.7        2.1       10.1 
090903  203138  47  52.1817 N  63  22.4690 W   6.4        2.4        8.7        2.1       10.1 
090903  203139  47  52.1833 N  63  22.4693 W   6.3        2.4        8.7        2.1       10.1 
090903  203140  47  52.1847 N  63  22.4696 W   6.1        2.4        8.7        2.1       10.1 
090903  203141  47  52.1861 N  63  22.4698 W   5.9        2.4        8.7        2.1       10.1 
090903  203142  47  52.1875 N  63  22.4700 W   5.7        2.4        8.7        2.1       10.1 
090903  203143  47  52.1887 N  63  22.4703 W   5.5        2.4        8.7        2.1       10.1 
090903  203144  47  52.1899 N  63  22.4705 W   5.4        2.4        8.7        2.1       10.1 
090903  203145  47  52.1912 N  63  22.4707 W   5.3        2.4        8.7        2.1       10.1 
090903  203146  47  52.1925 N  63  22.4708 W   5.1        2.4        8.7        2.1       10.1 
090903  203147  47  52.1935 N  63  22.4710 W   4.9        2.4        8.7        2.1       10.1 
090903  203148  47  52.1947 N  63  22.4712 W   4.8        2.4        8.7        2.1       10.1 
090903  203149  47  52.1958 N  63  22.4714 W   4.7        2.4        8.7        2.1       10.1 
090903  203150  47  52.1968 N  63  22.4715 W   4.5        2.4        8.7        2.1       10.1 
090903  203151  47  52.1978 N  63  22.4718 W   4.3        2.4        8.7        2.1       10.1 
090903  203152  47  52.1988 N  63  22.4719 W   4.2        2.4        8.7        2.1       10.1 
090903  203153  47  52.1998 N  63  22.4720 W   4.1        2.4        8.7        2.1       10.1 
090903  203154  47  52.2007 N  63  22.4722 W   4.0        2.4        8.7        2.1       10.1 
090903  203155  47  52.2015 N  63  22.4725 W   3.8        2.4        8.7        2.1       10.1 
090903  203156  47  52.2024 N  63  22.4726 W   3.8        2.4        8.7        2.1       10.1 
090903  203157  47  52.2033 N  63  22.4726 W   3.7        2.4        8.7        2.1       10.1 
090903  203158  47  52.2041 N  63  22.4728 W   3.5        2.4        8.7        2.1       10.1 
090903  203159  47  52.2049 N  63  22.4730 W   3.4        2.4        8.7        2.1       10.1 
