FileName: C:\TRAWLS~1\FALL\GP196F.TXT
Local Time: Thu Sep 03 16:26:56 2009

Ship: september 03, 2009 Trip: GP196F Tow: 5
Comments: zone 12 nord ouest du banc bradelle
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
090903  192658  47  48.3490 N  63  22.7919 W   6.8        8.0*      12.8       59.3*     154.0*
090903  192659  47  48.3511 N  63  22.7913 W   7.0        8.0       12.8       59.3      154.0 
090903  192700  47  48.3532 N  63  22.7908 W   7.1        8.0       12.8       59.3      154.0 
090903  192701  47  48.3553 N  63  22.7902 W   7.1        8.0       12.8       59.3      154.0 
090903  192702  47  48.3573 N  63  22.7897 W   7.2        8.0       12.8       59.3      154.0 
090903  192703  47  48.3594 N  63  22.7891 W   7.2        8.0       12.8       59.3      154.0 
090903  192704  47  48.3614 N  63  22.7887 W   7.2        8.0       12.8       59.3      154.0 
090903  192705  47  48.3633 N  63  22.7883 W   7.2        8.0       12.8       59.3      154.0 
090903  192706  47  48.3653 N  63  22.7879 W   7.1        8.0       12.8       59.3      154.0 
090903  192707  47  48.3672 N  63  22.7875 W   7.1        8.0       12.8       59.3      154.0 
090903  192708  47  48.3690 N  63  22.7871 W   7.0        8.0       12.8       59.3      154.0 
090903  192709  47  48.3708 N  63  22.7868 W   6.9        8.0       12.8       59.3      154.0 
090903  192710  47  48.3726 N  63  22.7864 W   6.8        8.0       12.8       59.3      154.0 
090903  192711  47  48.3742 N  63  22.7861 W   6.7        8.0       12.8       59.3      154.0 
090903  192712  47  48.3757 N  63  22.7857 W   6.5        8.0       12.8       59.3      154.0 
090903  192713  47  48.3773 N  63  22.7854 W   6.3        8.0       12.8       59.3      154.0 
090903  192714  47  48.3788 N  63  22.7851 W   6.2        8.0       12.8       59.3      154.0 
090903  192715  47  48.3801 N  63  22.7848 W   6.0        8.0       12.8       59.3      154.0 
090903  192716  47  48.3814 N  63  22.7844 W   5.8        8.0       12.8       59.3      154.0 
090903  192717  47  48.3827 N  63  22.7841 W   5.6        8.0       12.8       59.3      154.0 
090903  192718  47  48.3839 N  63  22.7839 W   5.4        8.0       12.8       59.3      154.0 
090903  192719  47  48.3851 N  63  22.7836 W   5.2        8.0       12.8       59.3      154.0 
090903  192720  47  48.3863 N  63  22.7833 W   5.1        8.0       12.8       59.3      154.0 
090903  192721  47  48.3874 N  63  22.7830 W   4.9        8.0       12.8       59.3      154.0 
090903  192722  47  48.3885 N  63  22.7827 W   4.8        8.0       12.8       59.3      154.0 
090903  192723  47  48.3896 N  63  22.7825 W   4.7        8.0       12.8       59.3      154.0 
090903  192724  47  48.3907 N  63  22.7823 W   4.5        8.0       12.8       59.3      154.0 
090903  192725  47  48.3917 N  63  22.7821 W   4.4        8.0       12.8       59.3      154.0 
090903  192726  47  48.3927 N  63  22.7818 W   4.3        8.0       12.8       59.3      154.0 
090903  192727  47  48.3937 N  63  22.7817 W   4.2        8.0       12.8        1.3*     154.0 
090903  192728  47  48.3946 N  63  22.7814 W   4.1        8.0       12.8        1.3      154.0 
090903  192729  47  48.3956 N  63  22.7810 W   4.0        8.0       12.8        1.3      154.0 
090903  192730  47  48.3966 N  63  22.7808 W   3.9        8.0       12.8        1.3      154.0 
090903  192731  47  48.3974 N  63  22.7807 W   3.8        8.0       12.8        1.3      154.0 
090903  192732  47  48.3982 N  63  22.7805 W   3.6        8.0       12.8        4.1*     154.0 
090903  192733  47  48.3991 N  63  22.7803 W   3.6        8.0       12.8        4.1      154.0 
090903  192734  47  48.4000 N  63  22.7800 W   3.6        8.0       12.8        4.1      154.0 
090903  192735  47  48.4008 N  63  22.7797 W   3.4        8.0       12.8        4.1      154.0 
090903  192736  47  48.4016 N  63  22.7796 W   3.4        8.0       12.8        4.1      154.0 
090903  192737  47  48.4024 N  63  22.7794 W   3.3        8.0        2.3*       4.1      154.0 
090903  192738  47  48.4033 N  63  22.7792 W   3.3        8.0        2.3        8.6*     154.0 
090903  192739  47  48.4042 N  63  22.7789 W   3.3        8.0        2.3        8.6      154.0 
090903  192740  47  48.4052 N  63  22.7786 W   3.4        8.0        2.3        8.6      154.0 
090903  192741  47  48.4063 N  63  22.7784 W   3.5        8.0        2.3        8.6      154.0 
090903  192742  47  48.4075 N  63  22.7781 W   3.6        8.0        2.3        8.6      154.0 
090903  192743  47  48.4087 N  63  22.7778 W   3.8        8.0        2.3        8.6      154.0 
090903  192744  47  48.4101 N  63  22.7776 W   4.0        8.0        2.3        8.6      154.0 
090903  192745  47  48.4115 N  63  22.7773 W   4.1        8.0        2.3        8.6      154.0 
090903  192746  47  48.4129 N  63  22.7770 W   4.3        8.0        2.3        8.6      154.0 
090903  192747  47  48.4145 N  63  22.7767 W   4.5        8.0        2.3        8.6      154.0 
090903  192748  47  48.4161 N  63  22.7763 W   4.7        8.0        2.3        8.6      154.0 
090903  192749  47  48.4178 N  63  22.7759 W   5.0        8.0        2.3        8.6      154.0 
090903  192750  47  48.4196 N  63  22.7755 W   5.2        8.0        2.3        8.6      154.0 
090903  192751  47  48.4213 N  63  22.7752 W   5.4        8.0        2.3        8.6      154.0 
090903  192752  47  48.4231 N  63  22.7749 W   5.5        8.0        2.3        8.6      154.0 
090903  192753  47  48.4250 N  63  22.7746 W   5.7        8.0        2.3        8.6      154.0 
090903  192754  47  48.4268 N  63  22.7743 W   5.8        8.0        2.3        8.6      154.0 
090903  192755  47  48.4287 N  63  22.7738 W   6.0        8.0        2.3        8.6      154.0 
090903  192756  47  48.4307 N  63  22.7732 W   6.2        8.0        2.3        8.6      154.0 
