FileName: C:\TRAWLS~1\FALL\GP215F.TXT
Local Time: Wed Sep 16 12:48:18 2009

Ship: september 16, 2009 Trip: GP215F Tow: 4
Comments: zone 12 banc bradelle nord est
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
090916  154810  47  39.3539 N  62  42.2117 W   5.5        7.3*       2.8*      78.7*     345.3*
090916  154811  47  39.3521 N  62  42.2115 W   5.7        7.3        2.8       78.7      345.3 
090916  154812  47  39.3503 N  62  42.2113 W   5.8        7.3        2.8       78.7      345.3 
090916  154813  47  39.3484 N  62  42.2111 W   6.0        7.3        2.8       78.7      345.3 
090916  154814  47  39.3465 N  62  42.2111 W   6.1        7.3        2.8       78.7      345.3 
090916  154815  47  39.3446 N  62  42.2111 W   6.2        7.3        2.8       78.7      345.3 
090916  154816  47  39.3426 N  62  42.2111 W   6.3        7.3        2.8       78.7      345.3 
090916  154817  47  39.3408 N  62  42.2110 W   6.4        7.3        2.8       78.7      345.3 
090916  154818  47  39.3388 N  62  42.2109 W   6.5        7.3        2.8       78.7      345.3 
090916  154819  47  39.3368 N  62  42.2108 W   6.6        7.3        2.8       78.7      345.3 
090916  154820  47  39.3348 N  62  42.2107 W   6.7        7.3        2.8       78.7      345.3 
090916  154821  47  39.3329 N  62  42.2106 W   6.7        7.3        2.8       78.7      345.3 
090916  154822  47  39.3309 N  62  42.2105 W   6.8        7.3        2.8       78.7      345.3 
090916  154823  47  39.3289 N  62  42.2105 W   6.8        7.3        2.8       78.7      345.3 
090916  154824  47  39.3271 N  62  42.2105 W   6.8        7.3        2.8       78.7      345.3 
090916  154825  47  39.3252 N  62  42.2105 W   6.8        7.3        2.8       78.7      345.3 
090916  154826  47  39.3233 N  62  42.2105 W   6.8        7.3        2.8       78.7      345.3 
090916  154827  47  39.3214 N  62  42.2103 W   6.7        7.3        2.8       78.7      345.3 
090916  154828  47  39.3196 N  62  42.2102 W   6.7        7.3        2.8       78.7      345.3 
090916  154829  47  39.3178 N  62  42.2101 W   6.7        7.3        2.8       78.7      345.3 
090916  154830  47  39.3160 N  62  42.2101 W   6.6        7.3        2.8       78.7      345.3 
090916  154831  47  39.3143 N  62  42.2102 W   6.5        7.3        2.8       78.7      345.3 
090916  154832  47  39.3128 N  62  42.2103 W   6.4        7.3        2.8       78.7      345.3 
090916  154833  47  39.3113 N  62  42.2101 W   6.2        7.3        2.8       78.7      345.3 
090916  154834  47  39.3100 N  62  42.2100 W   6.0        7.3        2.8       78.7      345.3 
090916  154835  47  39.3086 N  62  42.2099 W   5.8        7.3        2.8       78.7      345.3 
090916  154836  47  39.3072 N  62  42.2100 W   5.7        7.3        2.8       78.7      345.3 
090916  154837  47  39.3058 N  62  42.2101 W   5.6        7.3        2.8       78.7      345.3 
