FileName: C:\TRAWLS~1\FALL\GP251F.TXT
Local Time: Thu Sep 24 08:36:52 2009

Ship: september 24, 2009 Trip: GP251F Tow: 2
Comments: zone 19  st lawrence bay 
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
090924  113655  47  12.4095 N  60  33.4024 W   6.7        5.4*       5.1*      91.7*     461.4*
090924  113656  47  12.4095 N  60  33.3998 W   6.6        5.4        5.1       91.7      461.4 
090924  113657  47  12.4095 N  60  33.3971 W   6.6        5.4        5.1       91.7      461.4 
090924  113658  47  12.4095 N  60  33.3944 W   6.6        5.4        5.1       91.7      461.4 
090924  113659  47  12.4094 N  60  33.3917 W   6.6        5.4        5.1       91.7      461.4 
090924  113700  47  12.4093 N  60  33.3892 W   6.5        5.4        5.1       91.7      461.4 
090924  113701  47  12.4091 N  60  33.3868 W   6.4        5.4        5.1       91.7      461.4 
090924  113702  47  12.4089 N  60  33.3845 W   6.3        5.4        5.1       91.7      461.4 
090924  113703  47  12.4087 N  60  33.3822 W   6.2        5.4        5.1       91.7      461.4 
090924  113704  47  12.4087 N  60  33.3801 W   6.0        5.4        5.1       91.7      461.4 
090924  113705  47  12.4087 N  60  33.3780 W   5.9        5.4        5.1       91.7      461.4 
090924  113706  47  12.4087 N  60  33.3760 W   5.7        5.4        5.1       91.7      461.4 
090924  113707  47  12.4085 N  60  33.3740 W   5.6        5.4        5.1        3.5*     461.4 
090924  113708  47  12.4084 N  60  33.3721 W   5.5        5.4        5.1        3.5      461.4 
090924  113709  47  12.4082 N  60  33.3703 W   5.3        5.4        5.1        3.5      461.4 
090924  113710  47  12.4082 N  60  33.3684 W   5.1        5.4        5.1        3.5      461.4 
090924  113711  47  12.4082 N  60  33.3667 W   5.0        5.4        5.1        3.5      461.4 
090924  113712  47  12.4081 N  60  33.3650 W   4.9        5.4        5.1        4.2*     461.4 
090924  113713  47  12.4080 N  60  33.3633 W   4.8        5.4        5.1        4.2      461.4 
090924  113714  47  12.4079 N  60  33.3617 W   4.6        5.4        5.1        4.2      461.4 
090924  113715  47  12.4078 N  60  33.3601 W   4.5        5.4        5.1        4.2      461.4 
090924  113716  47  12.4079 N  60  33.3585 W   4.5        5.4        5.1        4.2      461.4 
090924  113717  47  12.4078 N  60  33.3569 W   4.4        5.4        5.1        4.2      461.4 
090924  113718  47  12.4077 N  60  33.3552 W   4.3        5.4        5.1        3.7*     461.4 
090924  113719  47  12.4075 N  60  33.3536 W   4.2        5.4        5.1        3.7      461.4 
090924  113720  47  12.4075 N  60  33.3521 W   4.2        5.4        5.1        3.7      461.4 
090924  113721  47  12.4074 N  60  33.3507 W   4.0        5.4        5.1        3.7      461.4 
090924  113722  47  12.4073 N  60  33.3493 W   4.0        5.4        5.1        3.7      461.4 
090924  113723  47  12.4072 N  60  33.3479 W   3.9        5.4        5.1       14.5*     461.4 
090924  113724  47  12.4071 N  60  33.3464 W   3.8        5.4        5.1       14.5      461.4 
090924  113725  47  12.4070 N  60  33.3451 W   3.8        5.4        5.1       14.5      461.4 
090924  113726  47  12.4069 N  60  33.3437 W   3.7        5.4        5.1       14.5      461.4 
090924  113727  47  12.4068 N  60  33.3424 W   3.6        5.4        5.1       14.5      461.4 
