FileName: C:\TRAWLS~1\FALL\GP282F.TXT
Local Time: Mon Sep 21 18:47:50 2009

Ship: september 21, 2009 Trip: GP282F Tow: 11
Comments: zone 12  east point PEI
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
090921  214752  46  20.3979 N  61  54.9500 W   6.2        9.4*      13.4*      42.7*     534.4*
090921  214753  46  20.3987 N  61  54.9476 W   6.3        9.4       13.4       42.7      534.4 
090921  214754  46  20.3996 N  61  54.9453 W   6.4        9.4       13.4       42.7      534.4 
090921  214755  46  20.4005 N  61  54.9429 W   6.4        9.4       13.4       42.7      534.4 
090921  214756  46  20.4014 N  61  54.9405 W   6.5        9.4       13.4       42.7      534.4 
090921  214757  46  20.4022 N  61  54.9382 W   6.5        9.4       13.4       42.7      534.4 
090921  214758  46  20.4031 N  61  54.9358 W   6.5        9.4       13.4       42.7      534.4 
090921  214759  46  20.4039 N  61  54.9335 W   6.5        9.4       13.4       42.7      534.4 
090921  214800  46  20.4048 N  61  54.9313 W   6.5        9.4       13.4       42.7      534.4 
090921  214801  46  20.4056 N  61  54.9291 W   6.5        9.4       13.4       42.7      534.4 
090921  214802  46  20.4063 N  61  54.9270 W   6.4        9.4       13.4       42.7      534.4 
090921  214803  46  20.4071 N  61  54.9249 W   6.3        9.4       13.4       42.7      534.4 
090921  214804  46  20.4078 N  61  54.9228 W   6.2        9.4       13.4       42.7      534.4 
090921  214805  46  20.4085 N  61  54.9209 W   6.1        9.4       13.4       42.7      534.4 
090921  214806  46  20.4091 N  61  54.9190 W   6.0        9.4       13.4       42.7      534.4 
090921  214807  46  20.4097 N  61  54.9172 W   5.8        9.4       13.4       42.7      534.4 
090921  214808  46  20.4103 N  61  54.9155 W   5.7        9.4       13.4       42.7      534.4 
090921  214809  46  20.4109 N  61  54.9139 W   5.5        9.4       13.4       42.7      534.4 
090921  214810  46  20.4114 N  61  54.9123 W   5.3        9.4       13.4       42.7      534.4 
090921  214811  46  20.4119 N  61  54.9107 W   5.2        9.4       13.4       42.7      534.4 
090921  214812  46  20.4124 N  61  54.9092 W   5.0        9.4       13.4       42.7      534.4 
090921  214813  46  20.4128 N  61  54.9078 W   4.9        9.4       13.4       42.7      534.4 
090921  214814  46  20.4133 N  61  54.9063 W   4.7        9.4       13.4       42.7      534.4 
090921  214815  46  20.4137 N  61  54.9049 W   4.6        9.4       13.4       42.7      534.4 
090921  214816  46  20.4141 N  61  54.9035 W   4.5        2.2*      13.4       42.7        0.9*
090921  214817  46  20.4145 N  61  54.9022 W   4.3        2.2       13.4       42.7        0.9 
090921  214818  46  20.4149 N  61  54.9010 W   4.2        2.2       13.4       42.7        0.9 
090921  214819  46  20.4154 N  61  54.8997 W   4.2        2.2       13.4       42.7        0.9 
090921  214820  46  20.4158 N  61  54.8985 W   4.1        2.2       13.4       42.7        0.9 
090921  214821  46  20.4162 N  61  54.8973 W   4.0        2.2       13.4       42.7        0.9 
090921  214822  46  20.4166 N  61  54.8961 W   3.9        2.2       13.4       42.7        0.9 
090921  214823  46  20.4170 N  61  54.8950 W   3.8        2.2       13.4        1.1*       0.9 
090921  214824  46  20.4174 N  61  54.8937 W   3.8        2.2       13.4        1.1        0.9 
090921  214825  46  20.4178 N  61  54.8925 W   3.7        2.2       13.4        1.1        0.9 
090921  214826  46  20.4182 N  61  54.8913 W   3.7        2.2       13.4        1.1        0.9 
090921  214827  46  20.4185 N  61  54.8901 W   3.6        2.2       13.4        1.1        0.9 
090921  214828  46  20.4189 N  61  54.8889 W   3.6        2.2       13.4        3.3*       0.9 
090921  214829  46  20.4193 N  61  54.8877 W   3.5        2.2       13.4        3.3        0.9 
090921  214830  46  20.4197 N  61  54.8866 W   3.5        2.2       13.4        3.3        0.9 
090921  214831  46  20.4200 N  61  54.8855 W   3.4        2.2       13.4        3.3        0.9 
090921  214832  46  20.4204 N  61  54.8844 W   3.4        2.2       13.4        3.3       16.3*
090921  214833  46  20.4207 N  61  54.8834 W   3.3        2.2       13.4        3.3       16.3 
090921  214834  46  20.4211 N  61  54.8823 W   3.3        2.2       13.4        4.5*      16.3 
090921  214835  46  20.4214 N  61  54.8813 W   3.3        2.2       13.4        4.5       16.3 
090921  214836  46  20.4218 N  61  54.8802 W   3.2        2.2       13.4        4.5       16.3 
090921  214837  46  20.4221 N  61  54.8792 W   3.2        2.2       13.4        4.5        8.4*
090921  214838  46  20.4225 N  61  54.8781 W   3.2        2.2       13.4        4.5        8.4 
090921  214839  46  20.4229 N  61  54.8769 W   3.2        2.2       13.4        0.5*       8.4 
090921  214840  46  20.4233 N  61  54.8758 W   3.2        2.2       13.4        0.5        8.4 
090921  214841  46  20.4238 N  61  54.8745 W   3.3        2.2       13.4        0.5        8.4 
090921  214842  46  20.4243 N  61  54.8732 W   3.4        2.2       13.4        0.5        8.8*
090921  214843  46  20.4248 N  61  54.8717 W   3.5        2.2       13.4        0.5        8.8 
090921  214844  46  20.4253 N  61  54.8702 W   3.7        2.2       13.4        3.8*       8.8 
090921  214845  46  20.4260 N  61  54.8686 W   3.9        2.2       13.4        3.8        8.8 
090921  214846  46  20.4266 N  61  54.8668 W   4.1        2.2       13.4        3.8        8.8 
090921  214847  46  20.4274 N  61  54.8650 W   4.3        2.2       13.4        3.8        8.8 
090921  214848  46  20.4282 N  61  54.8630 W   4.5        2.2       13.4        3.8       10.6*
090921  214849  46  20.4290 N  61  54.8610 W   4.7        2.2       13.4        3.8       10.6 
090921  214850  46  20.4298 N  61  54.8589 W   4.9        2.2       13.4        3.8       10.6 
090921  214851  46  20.4306 N  61  54.8568 W   5.1        2.2       13.4        3.8       10.6 
090921  214852  46  20.4315 N  61  54.8546 W   5.3        2.2       13.4        3.8       10.6 
090921  214853  46  20.4324 N  61  54.8524 W   5.5        2.2       13.4        3.8       10.6 
090921  214854  46  20.4333 N  61  54.8501 W   5.7        2.2       13.4        3.8       10.6 
090921  214855  46  20.4343 N  61  54.8477 W   5.9        2.2       13.4        3.8       10.6 
090921  214856  46  20.4352 N  61  54.8453 W   6.0        2.2       13.4        3.8       10.6 
090921  214857  46  20.4361 N  61  54.8429 W   6.2        2.2       13.4        3.8       10.6 
090921  214858  46  20.4371 N  61  54.8404 W   6.3        2.2       13.4        3.8       10.6 
090921  214859  46  20.4380 N  61  54.8379 W   6.4        2.2       13.4        3.8       10.6 
090921  214900  46  20.4390 N  61  54.8353 W   6.6        2.2       13.4        3.8       10.6 
090921  214901  46  20.4400 N  61  54.8328 W   6.7        2.2       13.4        3.8       10.6 
090921  214902  46  20.4409 N  61  54.8302 W   6.8        2.2       13.4        3.8       10.6 
090921  214903  46  20.4419 N  61  54.8275 W   6.9        2.2       13.4        3.8       10.6 
090921  214904  46  20.4428 N  61  54.8249 W   7.0        2.2       13.4        3.8       10.6 
090921  214905  46  20.4438 N  61  54.8223 W   7.0        2.2       13.4        3.8       10.6 
090921  214906  46  20.4448 N  61  54.8196 W   7.1        2.2       13.4        3.8       10.6 
090921  214907  46  20.4457 N  61  54.8169 W   7.2        2.2       13.4        3.8       10.6 
090921  214908  46  20.4467 N  61  54.8142 W   7.2        2.2       13.4        3.8       10.6 
090921  214909  46  20.4477 N  61  54.8115 W   7.3        2.2       13.4        3.8       10.6 
090921  214910  46  20.4487 N  61  54.8089 W   7.3        2.2       13.4        3.8       10.6 
090921  214911  46  20.4496 N  61  54.8062 W   7.3        2.2       13.4        3.8       10.6 
090921  214912  46  20.4506 N  61  54.8035 W   7.4        2.2       13.4        3.8       10.6 
090921  214913  46  20.4517 N  61  54.8008 W   7.4        2.2       13.4        3.8       10.6 
090921  214914  46  20.4526 N  61  54.7982 W   7.4        2.2       13.4        3.8       10.6 
090921  214915  46  20.4536 N  61  54.7956 W   7.4        2.2       13.4      134.2*      10.6 
090921  214916  46  20.4546 N  61  54.7930 W   7.4        2.2       13.4      134.2       10.6 
090921  214917  46  20.4557 N  61  54.7904 W   7.4        2.2       13.4      134.2       10.6 
090921  214918  46  20.4566 N  61  54.7877 W   7.4        2.2       13.4      134.2       10.6 
090921  214919  46  20.4576 N  61  54.7852 W   7.4        2.2       13.4      134.2       10.6 
090921  214920  46  20.4587 N  61  54.7826 W   7.4        2.2       13.4      134.2       10.6 
090921  214921  46  20.4597 N  61  54.7800 W   7.4        2.2       13.4      134.2       10.6 
090921  214922  46  20.4607 N  61  54.7775 W   7.4        2.2       13.4      134.2       10.6 
090921  214923  46  20.4618 N  61  54.7750 W   7.4        2.2       13.4      134.2       10.6 
090921  214924  46  20.4628 N  61  54.7724 W   7.3        2.2       13.4      134.2       10.6 
090921  214925  46  20.4638 N  61  54.7699 W   7.3        2.2       13.4      134.2       10.6 
090921  214926  46  20.4648 N  61  54.7674 W   7.3        2.2       13.4      134.2       10.6 
090921  214927  46  20.4659 N  61  54.7648 W   7.3        2.2       13.4      134.2       10.6 
090921  214928  46  20.4669 N  61  54.7623 W   7.3        2.2       13.4      134.2       10.6 
090921  214929  46  20.4679 N  61  54.7599 W   7.2        2.2       13.4      134.2       10.6 
090921  214930  46  20.4689 N  61  54.7574 W   7.2        2.2       13.4      134.2       10.6 
090921  214931  46  20.4699 N  61  54.7549 W   7.2        2.2       13.4      134.2       10.6 
090921  214932  46  20.4709 N  61  54.7524 W   7.2        2.2       13.4      134.2       10.6 
090921  214933  46  20.4719 N  61  54.7500 W   7.1        2.2       13.4      134.2       10.6 
090921  214934  46  20.4729 N  61  54.7475 W   7.1        2.2       13.4      134.2       10.6 
090921  214935  46  20.4740 N  61  54.7450 W   7.2        2.2       13.4      134.2       10.6 
090921  214936  46  20.4750 N  61  54.7425 W   7.2        2.2       13.4      134.2       10.6 
090921  214937  46  20.4760 N  61  54.7400 W   7.2        2.2       13.4      134.2       10.6 
090921  214938  46  20.4771 N  61  54.7375 W   7.2        2.2       13.4      134.2       10.6 
090921  214939  46  20.4781 N  61  54.7350 W   7.2        2.2       13.4      134.2       10.6 
090921  214940  46  20.4792 N  61  54.7324 W   7.2        2.2       13.4      134.2       10.6 
090921  214941  46  20.4802 N  61  54.7299 W   7.2        2.2       13.4      134.2       10.6 
090921  214942  46  20.4813 N  61  54.7274 W   7.2        2.2       13.4      134.2       10.6 
090921  214943  46  20.4823 N  61  54.7248 W   7.2        2.2       13.4      134.2       10.6 
090921  214944  46  20.4834 N  61  54.7223 W   7.3        2.2       13.4      134.2       10.6 
090921  214945  46  20.4845 N  61  54.7199 W   7.3        2.2       13.4      134.2       10.6 
090921  214946  46  20.4855 N  61  54.7174 W   7.3        2.2       13.4      134.2       10.6 
090921  214947  46  20.4866 N  61  54.7150 W   7.3        2.2       13.4      134.2       10.6 
090921  214948  46  20.4876 N  61  54.7125 W   7.3        2.2       13.4      134.2       10.6 
090921  214949  46  20.4886 N  61  54.7099 W   7.3        2.2       13.4      134.2       10.6 
090921  214950  46  20.4897 N  61  54.7074 W   7.3        2.2       13.4      134.2       10.6 
090921  214951  46  20.4907 N  61  54.7049 W   7.3        2.2       13.4      134.2       10.6 
090921  214952  46  20.4916 N  61  54.7026 W   7.2        6.9*      13.4      134.2       10.6 
090921  214953  46  20.4925 N  61  54.7003 W   7.1        6.9       13.4      134.2       10.6 
090921  214954  46  20.4933 N  61  54.6982 W   6.9        6.9       13.4      134.2       10.6 
090921  214955  46  20.4941 N  61  54.6963 W   6.8        6.9       13.4      134.2       10.6 
090921  214956  46  20.4948 N  61  54.6944 W   6.5        6.9       13.4      134.2        1.8*
090921  214957  46  20.4955 N  61  54.6926 W   6.3        6.9       13.4        2.2*       1.8 
090921  214958  46  20.4961 N  61  54.6909 W   6.1        6.9       13.4        2.2        1.8 
090921  214959  46  20.4967 N  61  54.6894 W   5.8        6.9       13.4        2.2        1.8 
090921  215000  46  20.4972 N  61  54.6879 W   5.6        6.9       13.4        2.2        1.8 
090921  215001  46  20.4977 N  61  54.6866 W   5.3        6.9       13.4        2.2       28.2*
090921  215002  46  20.4982 N  61  54.6852 W   5.1        6.9       13.4        2.2       28.2 
090921  215003  46  20.4986 N  61  54.6840 W   4.9        6.9       13.4        6.4*      28.2 
090921  215004  46  20.4990 N  61  54.6828 W   4.6        6.9       13.4        6.4       28.2 
090921  215005  46  20.4995 N  61  54.6816 W   4.5        6.9       13.4        6.4       28.2 
090921  215006  46  20.4999 N  61  54.6805 W   4.3        6.9       13.4        6.4       23.3*
090921  215007  46  20.5002 N  61  54.6794 W   4.1        6.9       13.4        6.4       23.3 
090921  215008  46  20.5006 N  61  54.6782 W   3.9        6.9       13.4        6.2*      23.3 
090921  215009  46  20.5009 N  61  54.6772 W   3.8        6.9       13.4        6.2       23.3 
090921  215010  46  20.5013 N  61  54.6762 W   3.6        6.9       13.4        6.2       23.3 
090921  215011  46  20.5016 N  61  54.6752 W   3.5        6.9       13.4        6.2       23.3 
090921  215012  46  20.5019 N  61  54.6742 W   3.4        6.9       13.4        6.2       32.6*
090921  215013  46  20.5022 N  61  54.6732 W   3.2        6.9       13.4        6.0*      32.6 
