FileName: C:\TRAWLS~1\FALL\GP290F.TXT
Local Time: Fri Sep 25 06:49:15 2009

Ship: september 25, 2009 Trip: GP290F Tow: 2
Comments: zone 12 est des iles de la madelaine
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
090925  094916  47  15.4652 N  61  14.9800 W   6.9        9.7*       7.7*     126.5*     150.0*
090925  094917  47  15.4632 N  61  14.9795 W   6.9        9.7        7.7      126.5      150.0 
090925  094918  47  15.4612 N  61  14.9790 W   7.0        9.7        7.7      126.5      150.0 
090925  094919  47  15.4591 N  61  14.9786 W   7.1        9.7        7.7      126.5      150.0 
090925  094920  47  15.4570 N  61  14.9782 W   7.2        9.7        7.7      126.5      150.0 
090925  094921  47  15.4549 N  61  14.9778 W   7.2        9.7        7.7      126.5      150.0 
090925  094922  47  15.4529 N  61  14.9774 W   7.2        9.7        7.7      126.5      150.0 
090925  094923  47  15.4509 N  61  14.9769 W   7.2        9.7        7.7      126.5      150.0 
090925  094924  47  15.4490 N  61  14.9764 W   7.1        9.7        7.7      126.5      150.0 
090925  094925  47  15.4471 N  61  14.9759 W   7.1        9.7        7.7      126.5      150.0 
090925  094926  47  15.4452 N  61  14.9755 W   7.0        9.7        7.7      126.5      150.0 
090925  094927  47  15.4434 N  61  14.9751 W   7.0        9.7        7.7      126.5      150.0 
090925  094928  47  15.4415 N  61  14.9747 W   6.9        9.7        7.7      126.5      150.0 
090925  094929  47  15.4397 N  61  14.9744 W   6.9        9.7        7.7      126.5      150.0 
090925  094930  47  15.4379 N  61  14.9740 W   6.8        9.7        7.7      126.5      150.0 
090925  094931  47  15.4362 N  61  14.9736 W   6.7        9.7        7.7      126.5      150.0 
090925  094932  47  15.4346 N  61  14.9732 W   6.5        9.7        7.7      126.5      150.0 
090925  094933  47  15.4331 N  61  14.9727 W   6.4        9.7        7.7      126.5      150.0 
090925  094934  47  15.4317 N  61  14.9723 W   6.2        9.7        7.7       53.4*     150.0 
090925  094935  47  15.4303 N  61  14.9719 W   6.0        9.7        7.7       53.4      150.0 
090925  094936  47  15.4290 N  61  14.9715 W   5.8        9.7        7.7       53.4      150.0 
090925  094937  47  15.4276 N  61  14.9712 W   5.7        9.7        7.7       53.4      150.0 
090925  094938  47  15.4263 N  61  14.9709 W   5.5        9.7        7.7       53.4      150.0 
090925  094939  47  15.4251 N  61  14.9706 W   5.4        9.7        7.7       53.4      150.0 
090925  094940  47  15.4239 N  61  14.9702 W   5.2        9.7        7.7       53.4      150.0 
090925  094941  47  15.4228 N  61  14.9698 W   5.0        9.7        7.7       53.4      150.0 
090925  094942  47  15.4217 N  61  14.9694 W   4.9        9.7        7.7       53.4      150.0 
090925  094943  47  15.4206 N  61  14.9691 W   4.7        9.7        7.7       53.4      150.0 
090925  094944  47  15.4195 N  61  14.9688 W   4.6        9.7        7.7       53.4      150.0 
090925  094945  47  15.4184 N  61  14.9686 W   4.5        9.7        7.7        3.5*     150.0 
090925  094946  47  15.4174 N  61  14.9682 W   4.4        9.7        7.7        3.5      150.0 
090925  094947  47  15.4164 N  61  14.9678 W   4.3        9.7        7.7        3.5      150.0 
090925  094948  47  15.4154 N  61  14.9674 W   4.2        9.7        7.7        3.5      150.0 
090925  094949  47  15.4144 N  61  14.9671 W   4.1        9.7        7.7        3.5      150.0 
090925  094950  47  15.4134 N  61  14.9668 W   4.0        9.7        7.7        2.1*     150.0 
090925  094951  47  15.4125 N  61  14.9664 W   3.9        9.7        7.7        2.1      150.0 
090925  094952  47  15.4117 N  61  14.9661 W   3.8        9.7        7.7        2.1      150.0 
090925  094953  47  15.4108 N  61  14.9658 W   3.7        9.7        7.7        2.1      150.0 
090925  094954  47  15.4100 N  61  14.9656 W   3.7        9.7        7.7        2.1      150.0 
090925  094955  47  15.4091 N  61  14.9654 W   3.6        9.7        7.7        2.2*     150.0 
090925  094956  47  15.4083 N  61  14.9651 W   3.5        2.1*       7.7        2.2      150.0 
090925  094957  47  15.4075 N  61  14.9647 W   3.4        2.1        7.7        2.2      150.0 
090925  094958  47  15.4066 N  61  14.9645 W   3.4        2.1        7.7        2.2      150.0 
090925  094959  47  15.4058 N  61  14.9642 W   3.3        2.1        7.7        2.2      150.0 
090925  095000  47  15.4050 N  61  14.9639 W   3.2        2.1        7.7        0.4*      13.6*
090925  095001  47  15.4043 N  61  14.9636 W   3.2        2.1        7.7        0.4       13.6 
090925  095002  47  15.4034 N  61  14.9633 W   3.2        2.1        7.7        0.4       13.6 
090925  095003  47  15.4025 N  61  14.9631 W   3.2        2.1        7.7        0.4       13.6 
090925  095004  47  15.4016 N  61  14.9628 W   3.2        2.1        7.7        0.4       13.6 
090925  095005  47  15.4007 N  61  14.9625 W   3.2        2.1        7.7        6.0*      13.6 
090925  095006  47  15.3997 N  61  14.9621 W   3.3        2.1        7.7        6.0       13.6 
090925  095007  47  15.3986 N  61  14.9617 W   3.5        2.1        7.7        6.0       13.6 
090925  095008  47  15.3973 N  61  14.9615 W   3.6        2.1        7.7        6.0       13.6 
090925  095009  47  15.3960 N  61  14.9612 W   3.8        2.1        7.7        6.0       13.6 
090925  095010  47  15.3945 N  61  14.9609 W   4.1        2.1        7.7        6.0       13.6 
090925  095011  47  15.3931 N  61  14.9604 W   4.3        2.1        7.7        8.0*      13.6 
090925  095012  47  15.3916 N  61  14.9599 W   4.5        2.1        7.7        8.0       13.6 
090925  095013  47  15.3901 N  61  14.9595 W   4.6        2.1        7.7        8.0       13.6 
090925  095014  47  15.3885 N  61  14.9591 W   4.8        2.1        7.7        8.0       13.6 
090925  095015  47  15.3869 N  61  14.9588 W   5.0        2.1        7.7        8.0       13.6 
090925  095016  47  15.3851 N  61  14.9585 W   5.2        2.1        7.7        8.0       13.6 
090925  095017  47  15.3833 N  61  14.9582 W   5.4        2.1        7.7        8.0       13.6 
090925  095018  47  15.3815 N  61  14.9577 W   5.6        2.1        7.7        8.0       13.6 
090925  095019  47  15.3797 N  61  14.9572 W   5.8        2.1        7.7        8.0       13.6 
090925  095020  47  15.3778 N  61  14.9568 W   5.9        2.1        7.7        8.0       13.6 
090925  095021  47  15.3760 N  61  14.9563 W   6.1        2.1        7.7        8.0       13.6 
090925  095022  47  15.3741 N  61  14.9559 W   6.2        2.1        3.9*       8.0       13.6 
090925  095023  47  15.3723 N  61  14.9556 W   6.2        2.1        3.9        8.0       13.6 
090925  095024  47  15.3704 N  61  14.9552 W   6.3        2.1        3.9        8.0       13.6 
090925  095025  47  15.3685 N  61  14.9548 W   6.4        2.1        3.9        8.0       13.6 
090925  095026  47  15.3666 N  61  14.9544 W   6.5        2.1        3.9        8.0       13.6 
090925  095027  47  15.3646 N  61  14.9540 W   6.6        2.1        3.9        8.0       13.6 
090925  095028  47  15.3626 N  61  14.9535 W   6.7        2.1        3.9        8.0       13.6 
090925  095029  47  15.3605 N  61  14.9531 W   6.8        2.1        3.9        8.0       13.6 
090925  095030  47  15.3585 N  61  14.9527 W   6.9        2.1        3.9        8.0       13.6 
090925  095031  47  15.3566 N  61  14.9523 W   6.9        2.1        3.9        8.0       13.6 
090925  095032  47  15.3547 N  61  14.9518 W   6.9        2.1        3.9        8.0       13.6 
090925  095033  47  15.3528 N  61  14.9514 W   6.9        2.1        3.9        8.0       13.6 
090925  095034  47  15.3509 N  61  14.9511 W   6.9        2.1        3.9        8.0       13.6 
090925  095035  47  15.3489 N  61  14.9507 W   6.9        2.4*       3.9        8.0       13.6 
090925  095036  47  15.3469 N  61  14.9503 W   7.0        2.4        3.9        8.0       13.6 
090925  095037  47  15.3449 N  61  14.9499 W   7.0        2.4        3.9        4.5*      13.6 
090925  095038  47  15.3428 N  61  14.9495 W   7.1        2.4        3.9        4.5       13.6 
090925  095039  47  15.3408 N  61  14.9491 W   7.2        2.4        3.9        4.5       13.6 
090925  095040  47  15.3388 N  61  14.9486 W   7.2        2.4        3.9        4.5       13.6 
090925  095041  47  15.3368 N  61  14.9481 W   7.1        2.4        3.9        4.5       13.6 
090925  095042  47  15.3350 N  61  14.9476 W   7.1        2.4        3.9        5.3*      13.6 
090925  095043  47  15.3332 N  61  14.9472 W   7.0        2.4        3.9        5.3       13.6 
090925  095044  47  15.3312 N  61  14.9468 W   7.0        2.4        3.9        5.3       13.6 
090925  095045  47  15.3292 N  61  14.9464 W   7.0        2.4        3.9        5.3       13.6 
090925  095046  47  15.3271 N  61  14.9462 W   7.1        2.4        3.9        5.3       13.6 
090925  095047  47  15.3250 N  61  14.9459 W   7.2        2.4        3.9        6.5*      12.8*
090925  095048  47  15.3229 N  61  14.9455 W   7.2        2.4        3.9        6.5       12.8 
090925  095049  47  15.3209 N  61  14.9449 W   7.2        2.4        3.9        6.5       12.8 
090925  095050  47  15.3190 N  61  14.9444 W   7.1        2.4        3.9        6.5       12.8 
090925  095051  47  15.3172 N  61  14.9438 W   7.0        2.4        3.9        6.5       12.8 
090925  095052  47  15.3154 N  61  14.9432 W   7.0        2.4        3.9        3.8*       0.0*
090925  095053  47  15.3135 N  61  14.9427 W   7.0        2.4        3.9        3.8        0.0 
