FileName: C:\TRAWLS~1\FALL\GP293F.TXT
Local Time: Mon Sep 21 10:22:39 2009

Ship: september 21, 2009 Trip: GP293F Tow: 4
Comments: zone 12  pres cape george NE
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
090921  132241  45  54.1216 N  61  53.5182 W   6.3        5.9*      12.0*      21.3*     308.8*
090921  132242  45  54.1229 N  61  53.5160 W   6.5        5.9       12.0       21.3      308.8 
090921  132243  45  54.1242 N  61  53.5139 W   6.6        5.9       12.0       21.3      308.8 
090921  132244  45  54.1255 N  61  53.5116 W   6.7        5.9       12.0       21.3      308.8 
090921  132245  45  54.1268 N  61  53.5093 W   6.8        5.9       12.0       21.3      308.8 
090921  132246  45  54.1281 N  61  53.5071 W   6.8        5.9       12.0       21.3      308.8 
090921  132247  45  54.1294 N  61  53.5048 W   6.9        5.9       12.0       21.3      308.8 
090921  132248  45  54.1307 N  61  53.5027 W   6.9        5.9       12.0       21.3      308.8 
090921  132249  45  54.1320 N  61  53.5005 W   6.9        5.9       12.0       21.3      308.8 
090921  132250  45  54.1332 N  61  53.4985 W   6.9        5.9       12.0       21.3      308.8 
090921  132251  45  54.1343 N  61  53.4965 W   6.8        5.9       12.0       21.3      308.8 
090921  132252  45  54.1354 N  61  53.4946 W   6.8        5.9       12.0       21.3      308.8 
090921  132253  45  54.1365 N  61  53.4927 W   6.6        5.9       12.0       21.3      308.8 
090921  132254  45  54.1375 N  61  53.4909 W   6.5        5.9       12.0       21.3      308.8 
090921  132255  45  54.1385 N  61  53.4892 W   6.4        5.9       12.0       21.3      308.8 
090921  132256  45  54.1395 N  61  53.4876 W   6.2        5.9       12.0       21.3      308.8 
090921  132257  45  54.1404 N  61  53.4860 W   6.0        5.9       12.0       21.3      308.8 
090921  132258  45  54.1413 N  61  53.4845 W   5.9        5.9       12.0       21.3      308.8 
090921  132259  45  54.1422 N  61  53.4831 W   5.7        5.9       12.0       21.3      308.8 
090921  132300  45  54.1430 N  61  53.4817 W   5.5        5.9       12.0       21.3      308.8 
090921  132301  45  54.1438 N  61  53.4803 W   5.4        5.9       12.0       21.3      308.8 
090921  132302  45  54.1446 N  61  53.4788 W   5.2        5.9       12.0       21.3      308.8 
090921  132303  45  54.1454 N  61  53.4776 W   5.1        5.9       12.0       21.3      308.8 
090921  132304  45  54.1461 N  61  53.4763 W   4.9        5.9       12.0       21.3      308.8 
090921  132305  45  54.1468 N  61  53.4751 W   4.8        5.9       12.0       21.3      308.8 
