FileName: C:\TRAWLS~1\FALL\GP300F.TXT
Local Time: Mon Jul 20 15:09:55 2009

Ship: July 20, 2009 Trip: GP300F Tow: 9
Comments: zone 12  ouest de l ile cap au meule
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
090720  180956  47  31.9247 N  62   9.8997 W   5.9        3.5*      12.8*      19.9*      72.6*
090720  180957  47  31.9249 N  62   9.8975 W   5.8        3.5       12.8       19.9       72.6 
090720  180958  47  31.9250 N  62   9.8953 W   5.7        3.5       12.8       19.9       72.6 
090720  180959  47  31.9251 N  62   9.8932 W   5.6        3.5       12.8       19.9       72.6 
090720  181000  47  31.9252 N  62   9.8910 W   5.6        3.5       12.8       19.9       72.6 
090720  181001  47  31.9253 N  62   9.8890 W   5.5        3.5       12.8       19.9       72.6 
090720  181002  47  31.9253 N  62   9.8870 W   5.4        3.5       12.8       19.9       72.6 
090720  181003  47  31.9254 N  62   9.8852 W   5.2        3.5       12.8       19.9       72.6 
090720  181004  47  31.9256 N  62   9.8835 W   5.1        3.5       12.8       19.9       72.6 
090720  181005  47  31.9256 N  62   9.8818 W   4.9        3.5       12.8       19.9       72.6 
090720  181006  47  31.9257 N  62   9.8801 W   4.8        3.5       12.8       19.9       72.6 
090720  181007  47  31.9257 N  62   9.8784 W   4.7        3.5       12.8       19.9       72.6 
090720  181008  47  31.9258 N  62   9.8768 W   4.5        3.5       12.8       19.9       72.6 
090720  181009  47  31.9259 N  62   9.8753 W   4.4        3.5       12.8       19.9       72.6 
090720  181010  47  31.9260 N  62   9.8738 W   4.3        3.5       12.8       19.9       72.6 
090720  181011  47  31.9261 N  62   9.8722 W   4.2        3.5       12.8        0.4*      72.6 
090720  181012  47  31.9261 N  62   9.8707 W   4.1        3.5       12.8        0.4       72.6 
090720  181013  47  31.9261 N  62   9.8692 W   4.0        3.5       12.8        0.4       72.6 
090720  181014  47  31.9262 N  62   9.8677 W   4.0        3.5       12.8        0.4       72.6 
090720  181015  47  31.9263 N  62   9.8662 W   3.9        3.5       12.8        0.4       72.6 
090720  181016  47  31.9264 N  62   9.8649 W   3.8        3.5       12.8        5.3*      72.6 
090720  181017  47  31.9264 N  62   9.8635 W   3.7        3.5       12.8        5.3       72.6 
090720  181018  47  31.9264 N  62   9.8620 W   3.7        3.5       12.8        5.3       72.6 
090720  181019  47  31.9265 N  62   9.8605 W   3.7        3.5       12.8        5.3       72.6 
090720  181020  47  31.9266 N  62   9.8592 W   3.6        3.5       12.8        5.3       72.6 
090720  181021  47  31.9267 N  62   9.8579 W   3.5        3.5       12.8        1.3*      72.6 
090720  181022  47  31.9268 N  62   9.8565 W   3.5        3.5       12.8        1.3       72.6 
090720  181023  47  31.9268 N  62   9.8552 W   3.4        3.5       12.8        1.3       72.6 
090720  181024  47  31.9268 N  62   9.8539 W   3.4        3.5       12.8        1.3       72.6 
090720  181025  47  31.9269 N  62   9.8527 W   3.3        3.5       12.8        1.3       72.6 
090720  181026  47  31.9270 N  62   9.8516 W   3.3        3.5       12.8        3.3*      72.6 
090720  181027  47  31.9271 N  62   9.8504 W   3.2        3.5       12.8        3.3       72.6 
090720  181028  47  31.9271 N  62   9.8491 W   3.2        3.5       12.8        3.3       72.6 
090720  181029  47  31.9272 N  62   9.8480 W   3.1        3.5       12.8        3.3       72.6 
090720  181030  47  31.9272 N  62   9.8471 W   3.0        3.5       12.8        3.3       72.6 
090720  181031  47  31.9273 N  62   9.8459 W   3.0        3.5       12.8        3.3       72.6 
090720  181032  47  31.9274 N  62   9.8447 W   3.1        3.5       12.8        1.4*      72.6 
090720  181033  47  31.9275 N  62   9.8434 W   3.1        3.5       12.8        1.4       72.6 
090720  181034  47  31.9275 N  62   9.8423 W   3.0        3.5       12.8        1.4       72.6 
090720  181035  47  31.9275 N  62   9.8413 W   2.9        3.5       12.8        1.4       21.1*
090720  181036  47  31.9275 N  62   9.8401 W   3.0        3.5       12.8        1.4       21.1 
090720  181037  47  31.9276 N  62   9.8386 W   3.0        3.5       12.8        2.1*      21.1 
090720  181038  47  31.9278 N  62   9.8372 W   3.1        3.5       12.8        2.1       21.1 
090720  181039  47  31.9279 N  62   9.8358 W   3.2        3.5       12.8        2.1       21.1 
090720  181040  47  31.9280 N  62   9.8344 W   3.2        3.5       12.8        2.1       21.1 
