FileName: C:\TRAWLS~1\FALL\GP319F.TXT
Local Time: Tue Jul 21 07:25:31 2009

Ship: July 21, 2009 Trip: GP319F Tow: 3
Comments: zone 12  sud-ouest de l ile harve aubert
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
090721  102532  47  11.9078 N  62  19.7259 W   6.3        2.6*       2.7*      10.9*     402.0*
090721  102533  47  11.9090 N  62  19.7234 W   6.4        2.6        2.7       10.9      402.0 
090721  102534  47  11.9102 N  62  19.7209 W   6.6        2.6        2.7       10.9      402.0 
090721  102535  47  11.9114 N  62  19.7185 W   6.7        2.6        2.7       10.9      402.0 
090721  102536  47  11.9126 N  62  19.7160 W   6.8        2.6        2.7       10.9      402.0 
090721  102537  47  11.9138 N  62  19.7135 W   6.9        2.6        2.7       10.9      402.0 
090721  102538  47  11.9150 N  62  19.7109 W   7.0        2.6        2.7       10.9      402.0 
090721  102539  47  11.9162 N  62  19.7085 W   7.1        2.6        2.7       10.9      402.0 
090721  102540  47  11.9174 N  62  19.7060 W   7.1        2.6        2.7       10.9      402.0 
090721  102541  47  11.9187 N  62  19.7036 W   7.2        2.6        2.7       10.9      402.0 
090721  102542  47  11.9199 N  62  19.7011 W   7.2        2.6        2.7       10.9      402.0 
090721  102543  47  11.9211 N  62  19.6986 W   7.3        2.6        2.7       10.9      402.0 
090721  102544  47  11.9224 N  62  19.6960 W   7.3        2.6        2.7       10.9      402.0 
090721  102545  47  11.9236 N  62  19.6935 W   7.3        2.6        2.7       10.9      402.0 
090721  102546  47  11.9248 N  62  19.6910 W   7.4        2.6        2.7       10.9      402.0 
090721  102547  47  11.9261 N  62  19.6885 W   7.4        2.6        2.7       10.9      402.0 
090721  102548  47  11.9273 N  62  19.6860 W   7.4        2.6        2.7       10.9      402.0 
090721  102549  47  11.9284 N  62  19.6834 W   7.4        2.6        2.7       10.9      402.0 
090721  102550  47  11.9296 N  62  19.6810 W   7.4        2.6        2.7       10.9      402.0 
090721  102551  47  11.9309 N  62  19.6786 W   7.4        2.6        2.7       10.9      402.0 
090721  102552  47  11.9321 N  62  19.6762 W   7.4        2.6        2.7       10.9      402.0 
090721  102553  47  11.9333 N  62  19.6739 W   7.3        2.6        2.7       10.9      402.0 
090721  102554  47  11.9345 N  62  19.6716 W   7.2        2.6        2.7       10.9      402.0 
090721  102555  47  11.9356 N  62  19.6695 W   7.1        2.6        2.7       10.9      402.0 
090721  102556  47  11.9366 N  62  19.6674 W   7.0        2.6        2.7       10.9      402.0 
090721  102557  47  11.9376 N  62  19.6654 W   6.8        2.6        2.7       10.9      402.0 
090721  102558  47  11.9384 N  62  19.6634 W   6.7        2.6        2.7       10.9      402.0 
090721  102559  47  11.9393 N  62  19.6616 W   6.5        2.6        2.7       10.9      402.0 
090721  102600  47  11.9401 N  62  19.6598 W   6.3        2.6        2.7       10.9      402.0 
090721  102601  47  11.9408 N  62  19.6582 W   6.0        2.6        2.7       10.9      402.0 
090721  102602  47  11.9415 N  62  19.6566 W   5.8        2.6        2.7       10.9      402.0 
090721  102603  47  11.9422 N  62  19.6550 W   5.6        2.6        2.7       10.9      402.0 
090721  102604  47  11.9429 N  62  19.6535 W   5.4        2.6        2.7       10.9      402.0 
090721  102605  47  11.9435 N  62  19.6520 W   5.2        2.6        2.7       10.9      402.0 
090721  102606  47  11.9440 N  62  19.6506 W   5.0        2.6        2.7       10.9      402.0 
090721  102607  47  11.9447 N  62  19.6492 W   4.9        2.6        2.7       10.9      402.0 
090721  102608  47  11.9453 N  62  19.6479 W   4.7        2.6        2.7       10.9      402.0 
090721  102609  47  11.9458 N  62  19.6465 W   4.6        2.6        2.7       10.9      402.0 
090721  102610  47  11.9463 N  62  19.6452 W   4.4        2.6        2.7       10.9      402.0 
090721  102611  47  11.9468 N  62  19.6440 W   4.3        2.6        2.7        4.4*     402.0 
090721  102612  47  11.9473 N  62  19.6428 W   4.2        2.6        2.7        4.4      402.0 
090721  102613  47  11.9477 N  62  19.6416 W   4.0        2.6        2.7        4.4      402.0 
090721  102614  47  11.9482 N  62  19.6404 W   3.9        2.6        2.7        4.4      402.0 
090721  102615  47  11.9486 N  62  19.6392 W   3.8        2.6        2.7        4.4      402.0 
090721  102616  47  11.9490 N  62  19.6381 W   3.7        2.6        2.7        1.6*     402.0 
090721  102617  47  11.9494 N  62  19.6370 W   3.6        2.6        2.7        1.6      402.0 
090721  102618  47  11.9498 N  62  19.6360 W   3.5        2.6        2.7        1.6      402.0 
090721  102619  47  11.9502 N  62  19.6349 W   3.4        2.6        2.7        1.6      402.0 
090721  102620  47  11.9506 N  62  19.6339 W   3.4        2.6        2.7        1.6      402.0 
090721  102621  47  11.9510 N  62  19.6328 W   3.3        2.6        2.7        1.6      402.0 
090721  102622  47  11.9513 N  62  19.6318 W   3.2        2.6        2.7        3.5*     402.0 
090721  102623  47  11.9517 N  62  19.6308 W   3.1        2.6        2.7        3.5      402.0 
090721  102624  47  11.9520 N  62  19.6298 W   3.1        2.6        2.5*       3.5      402.0 
090721  102625  47  11.9524 N  62  19.6287 W   3.1        2.6        2.5        3.5      402.0 
090721  102626  47  11.9528 N  62  19.6276 W   3.1        2.6        2.5        3.5      402.0 
090721  102627  47  11.9532 N  62  19.6265 W   3.1        2.6        2.5        2.8*     402.0 
090721  102628  47  11.9537 N  62  19.6254 W   3.1        2.6        2.5        2.8      402.0 
090721  102629  47  11.9542 N  62  19.6241 W   3.2        2.6        2.5        2.8      402.0 
090721  102630  47  11.9547 N  62  19.6228 W   3.3        2.6        2.5        2.8        1.3*
090721  102631  47  11.9553 N  62  19.6213 W   3.5        2.6        2.5        2.8        1.3 
090721  102632  47  11.9560 N  62  19.6197 W   3.6        3.0*       2.5        4.7*       1.3 
090721  102633  47  11.9566 N  62  19.6181 W   3.8        3.0        2.5        4.7        1.3 
090721  102634  47  11.9574 N  62  19.6163 W   4.0        3.0        2.5        4.7        1.3 
090721  102635  47  11.9582 N  62  19.6145 W   4.2        3.0        2.5        4.7        0.9*
090721  102636  47  11.9590 N  62  19.6126 W   4.4        3.0        2.5        4.7        0.9 
090721  102637  47  11.9598 N  62  19.6106 W   4.6        3.0        2.5        2.2*       0.9 
090721  102638  47  11.9608 N  62  19.6086 W   4.8        3.0        2.5*       2.2        0.9 
090721  102639  47  11.9618 N  62  19.6064 W   5.1        3.0        2.5        2.2        0.9 
090721  102640  47  11.9627 N  62  19.6042 W   5.2        3.0        2.5        2.2        0.4*
090721  102641  47  11.9636 N  62  19.6020 W   5.4        3.0        2.5        2.2        0.4 
090721  102642  47  11.9646 N  62  19.5997 W   5.6        3.0        2.5        0.4*       0.4 
090721  102643  47  11.9656 N  62  19.5975 W   5.8        3.0        2.5        0.4        0.4 
