FileName: C:\TRAWLS~1\FALL\GP331FR.TXT
Local Time: Tue Jul 21 09:00:56 2009

Ship: July 21, 2009 Trip: GP331Fr Tow: 5
Comments: zone 12  sud-ouest de l ile harve aubert
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
090721  120058  47  13.1729 N  62  11.0595 W   5.8        4.3*      10.3*      37.1*     327.3*
090721  120059  47  13.1715 N  62  11.0578 W   6.0        4.3       10.3       37.1      327.3 
090721  120100  47  13.1700 N  62  11.0560 W   6.1        4.3       10.3       37.1      327.3 
090721  120101  47  13.1685 N  62  11.0544 W   6.2        4.3       10.3       37.1      327.3 
090721  120102  47  13.1670 N  62  11.0526 W   6.3        4.3       10.3       37.1      327.3 
090721  120103  47  13.1655 N  62  11.0509 W   6.3        4.3       10.3       37.1      327.3 
090721  120104  47  13.1640 N  62  11.0492 W   6.4        4.3       10.3       37.1      327.3 
090721  120105  47  13.1625 N  62  11.0476 W   6.5        4.3       10.3       37.1      327.3 
090721  120106  47  13.1610 N  62  11.0459 W   6.5        4.3       10.3       37.1      327.3 
090721  120107  47  13.1595 N  62  11.0443 W   6.5        4.3       10.3       37.1      327.3 
090721  120108  47  13.1581 N  62  11.0426 W   6.5        4.3       10.3       37.1      327.3 
090721  120109  47  13.1567 N  62  11.0410 W   6.5        4.3       10.3       37.1      327.3 
090721  120110  47  13.1552 N  62  11.0393 W   6.5        4.3       10.3       37.1      327.3 
090721  120111  47  13.1538 N  62  11.0377 W   6.5        4.3       10.3       37.1      327.3 
090721  120112  47  13.1524 N  62  11.0361 W   6.5        4.3       10.3       37.1      327.3 
090721  120113  47  13.1510 N  62  11.0345 W   6.5        4.3       10.3       91.3*     327.3 
090721  120114  47  13.1497 N  62  11.0330 W   6.4        4.3       10.3       91.3      327.3 
090721  120115  47  13.1484 N  62  11.0316 W   6.3        4.3       10.3       91.3      327.3 
090721  120116  47  13.1472 N  62  11.0303 W   6.1        4.3       10.3       91.3      327.3 
090721  120117  47  13.1461 N  62  11.0290 W   6.0        4.3       10.3       91.3      327.3 
090721  120118  47  13.1450 N  62  11.0278 W   5.8        4.3       10.3        0.5*     327.3 
090721  120119  47  13.1439 N  62  11.0266 W   5.7        4.3       10.3        0.5      327.3 
090721  120120  47  13.1429 N  62  11.0255 W   5.5        4.3       10.3        0.5      327.3 
090721  120121  47  13.1419 N  62  11.0244 W   5.3        4.3       10.3        0.5      327.3 
090721  120122  47  13.1409 N  62  11.0233 W   5.2        4.3       10.3        0.5      327.3 
090721  120123  47  13.1400 N  62  11.0223 W   5.0        4.3       10.3        3.5*     327.3 
090721  120124  47  13.1391 N  62  11.0213 W   4.9        4.3       10.3        3.5      327.3 
090721  120125  47  13.1382 N  62  11.0203 W   4.8        4.3       10.3        3.5      327.3 
