FileName: C:\TRAWLS~1\JUNE\GP306S.TXT
Local Time: Sun Jun 14 20:27:58 2009

Ship: June 14, 2009 Trip: GP306S Tow: 13
Comments: Area 19 - nord 
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
090614  232759  47  17.5967 N  60  26.3234 W   7.3        6.3*       7.5*      13.5*      19.4*
090614  232800  47  17.5978 N  60  26.3210 W   7.3        6.3        7.5       13.5       19.4 
090614  232801  47  17.5989 N  60  26.3186 W   7.3        6.3        7.5       13.5       19.4 
090614  232802  47  17.6000 N  60  26.3162 W   7.2        6.3        7.5       13.5       19.4 
090614  232803  47  17.6010 N  60  26.3139 W   7.1        6.3        7.5       13.5       19.4 
090614  232804  47  17.6019 N  60  26.3117 W   7.0        6.3        7.5       13.5       19.4 
090614  232805  47  17.6028 N  60  26.3095 W   6.9        6.3        7.5       13.5       19.4 
090614  232806  47  17.6038 N  60  26.3072 W   6.8        6.3        7.5       13.5       19.4 
090614  232807  47  17.6047 N  60  26.3052 W   6.7        6.3        7.5       13.5       19.4 
090614  232808  47  17.6056 N  60  26.3034 W   6.5        6.3        7.5       13.5       19.4 
090614  232809  47  17.6065 N  60  26.3017 W   6.3        6.3        7.5       13.5       19.4 
090614  232810  47  17.6073 N  60  26.2999 W   6.1        6.3        7.5       13.5       19.4 
090614  232811  47  17.6081 N  60  26.2982 W   6.0        6.3        7.5       13.5       19.4 
090614  232812  47  17.6087 N  60  26.2969 W   5.8        6.3        7.5       13.5       19.4 
090614  232813  47  17.6094 N  60  26.2952 W   5.6        6.3        7.5       13.5       19.4 
090614  232814  47  17.6102 N  60  26.2937 W   5.4        6.3        7.5       13.5       19.4 
090614  232815  47  17.6108 N  60  26.2923 W   5.2        6.3        7.5       13.5       19.4 
090614  232816  47  17.6115 N  60  26.2910 W   5.1        6.3        7.5       13.5       19.4 
090614  232817  47  17.6123 N  60  26.2897 W   4.9        6.3        7.5       13.5       19.4 
090614  232818  47  17.6129 N  60  26.2885 W   4.8        6.3        7.5       13.5       19.4 
090614  232819  47  17.6135 N  60  26.2874 W   4.6        6.3        7.5       13.5       19.4 
090614  232820  47  17.6140 N  60  26.2863 W   4.5        6.3        7.5       13.5       19.4 
090614  232821  47  17.6146 N  60  26.2852 W   4.3        6.3        7.5       13.5       19.4 
090614  232822  47  17.6151 N  60  26.2839 W   4.2        6.3        7.5       13.5       19.4 
